airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
5b6,0,path,,UNLABELED,152.14,201.69,243.24,175.18,91.1,26.51,2415.0593,440.4832,230.331,197.69,188.435,3.4364,76,1,0,1,rgb,207,207,207,0,none,,,,0.0,164.1598,30.107,172.3629,23.1756,0.0,594.0,387.36,0.0,1093.5021
5b6,1,path,,UNLABELED,95.91,333.9,164.52,270.72,68.61,63.18,4334.7809,614.5225,254.2795,130.215,302.31,1.0859,70,1,0,1,rgb,207,207,207,0,none,,,,0.0,129.4309,2.1544,38.4767,26.3904,0.0,594.0,387.36,0.0,2068.8478
5b6,2,path,,UNLABELED,153.72,366.17,197.89,296.22,44.17,69.95,3089.6912,461.2162,202.4786,175.805,331.195,0.6315,54,1,0,1,rgb,207,207,207,0,none,,,,0.0,121.5277,30.2386,119.5761,15.1546,0.0,594.0,387.36,0.0,764.3547
5b6,3,path,,UNLABELED,195.53,388.64,240.57,331.5,45.04,57.14,2573.5852,427.8552,183.7457,218.05,360.07,0.7882,59,1,0,1,rgb,207,207,207,0,none,,,,0.0,124.0349,15.2264,127.906,9.7336,0.0,594.0,387.36,0.0,984.0452
5b6,4,path,,UNLABELED,260.41,328.61,281.9,274.49,21.49,54.12,1163.0398,219.1598,120.3058,271.155,301.55,0.3971,30,1,0,1,rgb,207,207,207,0,none,,,,0.0,109.8931,21.4155,77.2474,17.2147,0.0,594.0,387.36,0.0,501.4886
5b6,5,path,,UNLABELED,214.56,292.85,240.73,239.49,26.17,53.36,1396.4307,317.7442,146.2916,227.645,266.17,0.4904,66,1,0,1,rgb,207,207,207,0,none,,,,0.0,90.1511,9.2351,92.8574,11.4342,0.0,594.0,387.36,0.0,841.0531
5b6,6,path,,UNLABELED,132.18,199.92,152.14,191.31,19.96,8.61,171.8558,54.8661,45.901,142.16,195.615,2.3182,17,1,0,1,rgb,207,207,207,0,none,,,,0.0,167.3831,5.5119,142.14,10.0695,0.0,594.0,387.36,0.0,98.7038
5b6,7,path,,UNLABELED,133.93,223.64,138.08,219.15,4.15,4.49,18.6334,9.8977,12.8575,136.005,221.395,0.9243,9,1,0,1,rgb,207,207,207,0,none,,,,0.0,126.2243,2.6622,123.9116,4.3017,0.0,594.0,387.36,0.0,11.0888
5b6,8,path,,UNLABELED,129.61,230.27,135.37,222.72,5.76,7.55,43.4881,13.811,11.2675,132.49,226.495,0.7629,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,123.4394,19.632,123.9778,7.7298,0.0,594.0,387.36,0.0,13.811
5b6,9,path,,UNLABELED,162.72,245.78,173.96,240.79,11.24,4.99,56.0875,22.0803,25.6786,168.34,243.285,2.2525,19,1,0,1,rgb,207,207,207,0,none,,,,0.0,11.9393,4.9703,35.8867,4.1966,0.0,594.0,387.36,0.0,34.7639
5b6,10,path,,UNLABELED,144.2,225.5,147.14,222.43,2.94,3.07,9.0257,4.4206,8.5531,145.67,223.965,0.9577,5,1,0,1,rgb,207,207,207,0,none,,,,0.0,138.2673,2.4417,127.0931,2.57,0.0,594.0,387.36,0.0,4.4281
5b6,11,path,,UNLABELED,141.24,228.57,145.62,224.51,4.38,4.06,17.7828,9.8173,10.8552,143.43,226.54,1.0788,8,1,0,1,rgb,207,207,207,0,none,,,,0.0,12.7564,1.4317,36.1836,3.5063,0.0,594.0,387.36,0.0,10.5108
5b6,12,path,,UNLABELED,136.96,226.5,142.36,221.78,5.4,4.72,25.488,10.1686,12.6033,139.66,224.14,1.1441,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,36.6638,7.7975,36.9555,5.356,0.0,594.0,387.36,0.0,10.1686
5b6,13,path,,UNLABELED,152.91,231.94,155.97,228.97,3.06,2.97,9.0882,4.647,6.4314,154.44,230.455,1.0303,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,156.8263,1.0778,35.0135,2.1611,0.0,594.0,387.36,0.0,4.647
5b6,14,path,,UNLABELED,149.89,235.56,154.74,230.7,4.85,4.86,23.571,12.8486,13.3839,152.315,233.13,0.9979,9,1,0,1,rgb,207,207,207,0,none,,,,0.0,39.4065,2.1029,36.1543,4.6444,0.0,594.0,387.36,0.0,14.0686
5b6,15,path,,UNLABELED,144.07,232.82,151.2,226.94,7.13,5.88,41.9245,14.6329,16.5969,147.635,229.88,1.2126,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,36.0707,13.1687,36.3877,7.3663,0.0,594.0,387.36,0.0,14.6329
5b6,16,path,,UNLABELED,161.93,239.19,166.05,235.03,4.12,4.16,17.1392,8.7586,8.6937,163.99,237.11,0.9904,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,128.0798,1.2587,126.353,3.1041,0.0,594.0,387.36,0.0,8.7586
5b6,17,path,,UNLABELED,159.2,242.15,164.21,237.59,5.01,4.56,22.8456,12.5101,12.5169,161.705,239.87,1.0987,8,1,0,1,rgb,207,207,207,0,none,,,,0.0,32.6611,2.272,35.9206,4.3466,0.0,594.0,387.36,0.0,13.0252
5b6,18,path,,UNLABELED,153.64,239.6,160.34,234.07,6.7,5.53,37.0512,12.6307,15.689,156.99,236.835,1.2116,5,1,0,1,rgb,207,207,207,0,none,,,,0.0,34.2341,13.0412,36.4751,6.9642,0.0,594.0,387.36,0.0,12.6307
5b6,19,path,,UNLABELED,154.14,202.5,157.81,198.75,3.67,3.75,13.7625,6.8677,8.0888,155.975,200.625,0.9787,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,47.9936,1.3232,43.197,2.9218,0.0,594.0,387.36,0.0,6.8677
5b6,20,path,,UNLABELED,149.93,200.69,155.68,195.69,5.75,5.0,28.75,15.9943,13.0498,152.805,198.19,1.15,9,1,0,1,rgb,207,207,207,0,none,,,,0.0,32.4938,1.6913,128.4429,2.4769,0.0,594.0,387.36,0.0,18.5108
5b6,21,path,,UNLABELED,136.33,220.0,151.27,199.44,14.94,20.56,307.1664,34.9453,50.6624,143.8,209.72,0.7267,21,1,0,1,rgb,207,207,207,0,none,,,,0.0,124.6804,137.539,124.0055,17.1294,0.0,594.0,387.36,0.0,43.1881
5b6,22,path,,UNLABELED,58.43,213.06,69.7,194.84,11.27,18.22,205.3394,56.7033,42.5087,64.065,203.95,0.6186,10,1,0,1,rgb,207,207,207,0,none,,,,0.0,115.0806,17.1068,110.9836,11.4493,0.0,594.0,387.36,0.0,80.4477
5b6,23,path,,UNLABELED,253.58,355.12,260.28,348.46,6.7,6.66,44.622,22.3718,13.8472,256.93,351.79,1.006,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,132.82,1.4567,128.865,5.2272,0.0,594.0,387.36,0.0,22.3718
5b6,24,path,,UNLABELED,213.61,326.83,223.9,317.19,10.29,9.64,99.1954,49.1119,20.2929,218.755,322.01,1.0674,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,142.6823,1.5551,130.8691,7.6566,0.0,594.0,387.36,0.0,49.1119
5b6,25,path,,UNLABELED,251.74,321.87,258.83,315.57,7.09,6.3,44.6672,22.2299,14.7854,255.285,318.72,1.1254,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,28.3779,1.6331,38.1738,5.8895,0.0,594.0,387.36,0.0,22.2299
5b6,26,path,,UNLABELED,234.56,306.68,240.78,300.93,6.22,5.75,35.765,17.8825,12.1288,237.67,303.805,1.0817,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,30.8274,1.4849,37.5208,4.4003,0.0,594.0,387.36,0.0,17.8825
5b6,27,path,,UNLABELED,108.81,227.3,130.07,198.0,21.26,29.3,622.9182,100.6803,94.0315,119.44,212.65,0.7256,60,1,0,1,rgb,207,207,207,0,none,,,,0.0,57.0017,6.5538,124.6919,11.104,0.0,594.0,387.36,0.0,313.9678
5b6,28,path,,UNLABELED,248.54,414.58,286.55,359.44,38.01,55.14,2095.8711,353.074,172.4637,267.545,387.01,0.6893,42,1,0,1,rgb,207,207,207,0,none,,,,0.0,97.7276,2.2719,20.393,17.6779,0.0,594.0,387.36,0.0,1197.2866
5b6,29,path,,UNLABELED,73.0,198.4,84.27,189.49,11.27,8.91,100.4158,39.1101,17.2066,78.635,193.945,1.2649,13,1,0,1,rgb,207,207,207,0,none,,,,0.0,42.2904,7.5542,3.8297,4.941,0.0,594.0,387.36,0.0,39.4394
5b6,30,path,,UNLABELED,246.81,336.51,256.14,327.77,9.33,8.74,81.5441,34.9067,26.5217,251.475,332.14,1.0675,15,1,0,1,rgb,207,207,207,0,none,,,,0.0,37.581,7.7276,38.5322,11.927,0.0,594.0,387.36,0.0,34.9067
5b6,31,path,,UNLABELED,117.39,213.78,121.91,208.71,4.52,5.07,22.9164,8.8171,8.4615,119.65,211.245,0.8915,5,1,0,1,rgb,207,207,207,0,none,,,,0.0,124.3909,9.3814,128.4458,5.0179,0.0,594.0,387.36,0.0,8.8171
5b6,32,path,,UNLABELED,120.97,216.36,125.15,211.42,4.18,4.94,20.6492,7.1934,8.072,123.06,213.89,0.8462,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,127.7094,12.7293,128.4536,5.21,0.0,594.0,387.36,0.0,7.1934
5b6,33,path,,UNLABELED,113.93,200.13,125.34,190.89,11.41,9.24,105.4287,45.1024,33.8636,119.635,195.51,1.2348,15,1,0,1,rgb,207,207,207,0,none,,,,0.0,22.237,2.2019,33.8649,5.4555,0.0,594.0,387.36,0.0,59.4084
5b6,34,path,,UNLABELED,113.46,203.44,116.0,201.03,2.54,2.41,6.1214,3.1007,5.5922,114.73,202.235,1.0539,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,34.5876,1.768,34.7844,2.0333,0.0,594.0,387.36,0.0,3.1007
5b6,35,path,,UNLABELED,115.02,200.64,118.03,197.84,3.01,2.8,8.4281,4.1863,6.6769,116.525,199.24,1.075,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,34.7,2.2463,34.7672,2.5077,0.0,594.0,387.36,0.0,4.1863
5b6,36,path,,UNLABELED,142.39,214.16,145.52,211.34,3.13,2.82,8.8266,4.0171,7.123,143.955,212.75,1.1099,5,1,0,1,rgb,207,207,207,0,none,,,,0.0,32.3077,4.7931,35.2367,2.8772,0.0,594.0,387.36,0.0,4.0171
5b6,37,path,,UNLABELED,145.47,209.68,148.74,206.69,3.27,2.99,9.7773,4.7451,8.9913,147.105,208.185,1.0937,7,1,0,1,rgb,207,207,207,0,none,,,,0.0,28.9663,3.9029,34.5923,2.8182,0.0,594.0,387.36,0.0,4.7459
5b6,38,path,,UNLABELED,148.82,205.09,151.83,202.44,3.01,2.65,7.9766,3.774,6.6492,150.325,203.765,1.1358,5,1,0,1,rgb,207,207,207,0,none,,,,0.0,31.2011,3.8216,35.4136,2.6749,0.0,594.0,387.36,0.0,3.774
5b6,39,path,,UNLABELED,145.47,224.53,158.67,207.08,13.2,17.45,230.3401,74.8813,49.6643,152.07,215.805,0.7564,19,1,0,1,rgb,207,207,207,0,none,,,,0.0,118.5938,12.2765,125.2909,17.2746,0.0,594.0,387.36,0.0,91.7133
5b6,40,path,,UNLABELED,154.26,231.41,167.98,213.4,13.72,18.01,247.0974,98.9548,47.3491,161.12,222.405,0.7618,11,1,0,1,rgb,207,207,207,0,none,,,,0.0,126.0675,11.6792,125.484,17.3651,0.0,594.0,387.36,0.0,101.2713
5b6,41,path,,UNLABELED,163.75,237.46,175.8,221.78,12.05,15.68,188.944,83.655,35.8738,169.775,229.62,0.7685,7,1,0,1,rgb,207,207,207,0,none,,,,0.0,123.8209,7.3674,125.3294,15.0274,0.0,594.0,387.36,0.0,85.7006
5b6,42,path,,UNLABELED,171.06,243.4,184.34,227.64,13.28,15.76,209.2929,67.9692,41.6702,177.7,235.52,0.8426,8,1,0,1,rgb,207,207,207,0,none,,,,0.0,123.5537,29.3098,125.6181,17.3942,0.0,594.0,387.36,0.0,68.6013
5b6,43,path,,UNLABELED,99.9,287.54,104.94,282.75,5.04,4.79,24.1416,10.9716,11.6435,102.42,285.145,1.0522,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,38.9395,3.9158,37.6944,4.7265,0.0,594.0,387.36,0.0,10.9716
5b6,44,path,,UNLABELED,108.72,291.47,113.75,287.0,5.03,4.47,22.4841,11.222,10.3983,111.235,289.235,1.1253,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,26.5704,1.5685,38.0598,4.623,0.0,594.0,387.36,0.0,11.222
5b6,45,path,,UNLABELED,114.06,299.16,117.86,295.77,3.8,3.39,12.882,3.7666,9.3637,115.96,297.465,1.121,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,38.7937,22.7561,38.5555,4.2839,0.0,594.0,387.36,0.0,3.7666
5b6,46,path,,UNLABELED,122.89,304.16,127.68,299.34,4.79,4.82,23.0878,11.3392,11.1448,125.285,301.75,0.9938,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,40.7307,2.3619,37.5686,4.7563,0.0,594.0,387.36,0.0,11.3392
5b6,47,path,,UNLABELED,114.72,311.43,117.55,306.46,2.83,4.97,14.0651,6.4002,10.9288,116.135,308.945,0.5694,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,70.9061,12.8943,71.0662,5.0851,0.0,594.0,387.36,0.0,6.4002
5b6,48,path,,UNLABELED,121.48,335.82,126.05,329.58,4.57,6.24,28.5168,17.2051,11.7987,123.765,332.7,0.7324,6,1,0,1,rgb,207,207,207,0,none,,,,0.0,112.4654,3.9658,115.2777,4.7775,0.0,594.0,387.36,0.0,17.2051
5b6,49,path,,UNLABELED,133.05,319.45,138.31,314.15,5.26,5.3,27.8781,14.0916,11.0992,135.68,316.8,0.9924,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,129.8946,1.3576,128.0326,4.1389,0.0,594.0,387.36,0.0,14.0916
5b6,50,path,,UNLABELED,142.68,304.24,146.49,299.86,3.81,4.38,16.6878,4.7084,6.8819,144.585,302.05,0.8699,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,128.2874,25.4913,128.2614,4.9415,0.0,594.0,387.36,0.0,4.7084
5b6,51,path,,UNLABELED,148.72,293.81,153.68,288.25,4.96,5.56,27.5776,11.4884,9.6648,151.2,291.03,0.8921,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,127.8613,6.1396,128.0251,5.3571,0.0,594.0,387.36,0.0,11.4884
5b6,52,path,,UNLABELED,145.84,282.71,151.55,277.38,5.71,5.33,30.4343,15.7315,11.6189,148.695,280.045,1.0713,5,1,0,1,rgb,207,207,207,0,none,,,,0.0,145.776,1.9761,127.5689,4.4283,0.0,594.0,387.36,0.0,15.7315
5b6,53,path,,UNLABELED,177.48,311.36,183.04,305.56,5.56,5.8,32.2479,15.468,12.1382,180.26,308.46,0.9586,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,128.9125,2.6776,128.3806,5.766,0.0,594.0,387.36,0.0,15.468
5b6,54,path,,UNLABELED,185.78,320.04,190.36,315.35,4.58,4.69,21.4802,10.9297,10.2066,188.07,317.695,0.9765,5,1,0,1,rgb,207,207,207,0,none,,,,0.0,49.7528,1.7901,35.8095,3.6746,0.0,594.0,387.36,0.0,10.9353
5b6,55,path,,UNLABELED,169.24,327.12,174.94,321.37,5.7,5.75,32.775,16.0778,11.7009,172.09,324.245,0.9913,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,130.729,2.1061,128.1252,5.0212,0.0,594.0,387.36,0.0,16.0778
5b6,56,path,,UNLABELED,177.65,331.22,180.81,328.36,3.16,2.86,9.0376,5.5097,7.1415,179.23,329.79,1.1049,5,1,0,1,rgb,207,207,207,0,none,,,,0.0,132.415,1.733,7.7141,2.5329,0.0,594.0,387.36,0.0,5.5152
5b6,57,path,,UNLABELED,173.08,338.84,177.69,333.82,4.61,5.02,23.1422,12.0981,9.9943,175.385,336.33,0.9183,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,120.8822,3.2692,124.8459,4.813,0.0,594.0,387.36,0.0,12.0981
5b6,58,path,,UNLABELED,159.44,331.87,163.26,327.81,3.82,4.06,15.5092,7.7384,9.1944,161.35,329.84,0.9409,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,124.3015,1.5568,129.2164,3.8592,0.0,594.0,387.36,0.0,7.7384
5b6,59,path,,UNLABELED,157.52,340.15,163.03,334.93,5.51,5.22,28.7623,14.5691,11.1001,160.275,337.54,1.0556,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,134.4334,1.8755,127.6618,4.4844,0.0,594.0,387.36,0.0,14.5691
5b6,60,path,,UNLABELED,153.96,351.45,158.76,345.74,4.8,5.71,27.408,13.0345,16.7792,156.36,348.595,0.8406,6,1,0,1,rgb,207,207,207,0,none,,,,0.0,119.8731,6.5187,111.5671,5.9033,0.0,594.0,387.36,0.0,14.4043
5b6,61,path,,UNLABELED,162.82,357.33,167.02,352.62,4.2,4.71,19.782,10.4388,9.1917,164.92,354.975,0.8917,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,118.9134,2.5009,117.5145,4.0478,0.0,594.0,387.36,0.0,10.4388
5b6,62,path,,UNLABELED,192.03,387.01,197.22,382.34,5.19,4.67,24.2373,13.7448,11.4269,194.625,384.675,1.1113,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,131.8344,2.0793,119.7008,4.8237,0.0,594.0,387.36,0.0,13.7448
5b6,63,path,,UNLABELED,209.54,383.72,212.41,379.39,2.87,4.33,12.427,6.8543,7.004,210.975,381.555,0.6628,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,104.8511,3.5485,108.5659,2.7638,0.0,594.0,387.36,0.0,6.8543
5b6,64,path,,UNLABELED,200.55,364.39,205.01,359.48,4.46,4.91,21.8986,17.5882,13.1833,202.78,361.935,0.9084,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,111.8466,1.7404,97.4264,4.9515,0.0,594.0,387.36,0.0,17.5882
5b6,65,path,,UNLABELED,200.67,353.98,204.18,349.81,3.51,4.17,14.6367,11.671,9.9714,202.425,351.895,0.8417,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,106.997,2.2075,98.5911,4.2173,0.0,594.0,387.36,0.0,11.671
5b6,66,path,,UNLABELED,221.41,357.91,226.46,352.41,5.05,5.5,27.7749,14.3665,11.4671,223.935,355.16,0.9182,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,125.4568,1.383,146.348,4.1686,0.0,594.0,387.36,0.0,14.3665
5b6,67,path,,UNLABELED,230.24,348.56,232.9,344.04,2.66,4.52,12.0232,4.1279,6.8959,231.57,346.3,0.5885,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,125.2962,16.3947,130.3976,3.9655,0.0,594.0,387.36,0.0,4.1279
5b6,68,path,,UNLABELED,222.9,342.74,230.2,337.45,7.3,5.29,38.6171,19.4372,13.6543,226.55,340.095,1.38,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,1.4495,1.9118,31.1904,4.7694,0.0,594.0,387.36,0.0,19.4372
5b6,69,path,,UNLABELED,265.93,366.46,269.17,362.76,3.24,3.7,11.988,4.4346,6.1132,267.55,364.61,0.8757,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,127.7844,10.2741,128.0886,3.7608,0.0,594.0,387.36,0.0,4.4346
5b6,70,path,,UNLABELED,259.03,410.15,263.8,407.06,4.77,3.09,14.7392,6.8715,10.5778,261.415,408.605,1.5437,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,21.7476,9.0837,21.2179,4.5591,0.0,594.0,387.36,0.0,6.8715
5b6,71,path,,UNLABELED,279.9,415.73,284.83,412.8,4.93,2.93,14.4448,5.7847,10.8507,282.365,414.265,1.6826,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,22.0956,16.4529,22.4569,4.8693,0.0,594.0,387.36,0.0,5.7847
5b6,72,path,,UNLABELED,271.1,303.39,274.76,299.34,3.66,4.05,14.823,7.6275,7.8924,272.93,301.365,0.9037,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,120.5715,2.2643,119.5146,3.3899,0.0,594.0,387.36,0.0,7.6275
5b6,73,path,,UNLABELED,273.86,289.92,277.14,284.28,3.28,5.64,18.4992,12.8987,12.6931,275.5,287.1,0.5816,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,81.1933,4.3337,78.2274,5.5875,0.0,594.0,387.36,0.0,12.8987
5b6,74,path,,UNLABELED,217.65,283.03,223.11,277.58,5.46,5.45,29.7571,14.8184,11.0996,220.38,280.305,1.0018,5,1,0,1,rgb,207,207,207,0,none,,,,0.0,133.3874,2.0222,127.294,4.3241,0.0,594.0,387.36,0.0,14.8576
5b6,75,path,,UNLABELED,232.89,252.95,236.51,247.69,3.62,5.26,19.0412,15.3216,12.9838,234.7,250.32,0.6882,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,81.1876,2.3887,86.0847,5.2723,0.0,594.0,387.36,0.0,15.3216
5b6,76,path,,UNLABELED,225.83,184.32,228.99,181.24,3.16,3.08,9.7329,9.4569,9.2311,227.41,182.78,1.026,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,157.9167,1.0374,0.7394,3.1003,0.0,594.0,387.36,0.0,9.4569
5b6,77,path,,UNLABELED,237.47,184.35,240.26,181.54,2.79,2.81,7.8399,7.3204,8.0195,238.865,182.945,0.9929,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,60.1982,1.046,3.6912,2.7958,0.0,594.0,387.36,0.0,7.3204
5b6,78,path,,UNLABELED,239.58,269.99,241.4,265.43,1.82,4.56,8.2992,3.129,5.7419,240.49,267.71,0.3991,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,105.3467,36.2082,105.778,4.2294,0.0,594.0,387.36,0.0,3.129
5b6,79,path,,UNLABELED,208.2,193.2,213.05,191.78,4.85,1.42,6.8869,4.4315,6.2366,210.625,192.49,3.4155,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,174.5791,20.5711,175.213,4.0742,0.0,594.0,387.36,0.0,4.4315
5b6,80,path,,UNLABELED,196.53,202.55,201.07,198.92,4.54,3.63,16.4802,5.1246,6.8162,198.8,200.735,1.2507,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,143.8537,19.3762,143.3275,4.638,0.0,594.0,387.36,0.0,5.1246
5b6,81,path,,UNLABELED,253.04,355.55,256.95,352.53,3.91,3.02,11.8082,2.626,9.2795,254.995,354.04,1.2947,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,37.1902,50.4071,37.3929,4.3802,0.0,594.0,387.36,0.0,2.626
5b6,82,path,,UNLABELED,211.34,328.46,217.95,322.98,6.61,5.48,36.2229,17.8564,16.9335,214.645,325.72,1.2062,7,1,0,1,rgb,207,207,207,0,none,,,,0.0,37.8437,4.0076,41.5761,5.8016,0.0,594.0,387.36,0.0,18.596
5b6,83,path,,UNLABELED,57.49,215.34,62.2,211.5,4.71,3.84,18.0864,9.4334,11.1619,59.845,213.42,1.2266,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,25.8055,4.8242,22.0736,5.0825,0.0,594.0,387.36,0.0,9.4334
5b6,84,path,,UNLABELED,255.15,318.4,259.99,314.07,4.84,4.33,20.9573,8.6282,11.2578,257.57,316.235,1.1178,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,37.8682,6.5305,38.2453,4.7494,0.0,594.0,387.36,0.0,8.6282
5b6,85,path,,UNLABELED,237.29,303.61,242.61,298.65,5.32,4.96,26.3872,12.7722,10.2432,239.95,301.13,1.0726,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,36.9668,2.4086,37.9641,4.5028,0.0,594.0,387.36,0.0,12.7722
5b6,86,path,,UNLABELED,228.98,298.67,234.01,294.02,5.03,4.65,23.3895,10.7124,11.4198,231.495,296.345,1.0817,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,38.0382,3.6571,38.1289,4.5511,0.0,594.0,387.36,0.0,10.7124
5b6,87,path,,UNLABELED,179.98,260.31,186.08,254.36,6.1,5.95,36.295,18.2546,12.5243,183.03,257.335,1.0252,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,37.7008,1.4387,38.2051,4.7213,0.0,594.0,387.36,0.0,18.2546
5b6,88,path,,UNLABELED,94.23,232.1,98.58,226.76,4.35,5.34,23.229,11.8372,9.9453,96.405,229.43,0.8146,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,111.5699,2.0029,120.0621,4.0324,0.0,594.0,387.36,0.0,11.8372
5b6,89,path,,UNLABELED,106.21,243.44,111.34,238.5,5.13,4.94,25.3422,12.5794,11.6422,108.775,240.97,1.0385,5,1,0,1,rgb,207,207,207,0,none,,,,0.0,48.6313,2.0647,38.1417,4.145,0.0,594.0,387.36,0.0,12.5794
5b6,90,path,,UNLABELED,121.06,253.71,125.96,249.18,4.9,4.53,22.197,9.8941,11.2311,123.51,251.445,1.0817,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,38.4135,4.3072,38.1289,4.5511,0.0,594.0,387.36,0.0,9.8941
5b6,91,path,,UNLABELED,172.93,293.21,178.31,288.16,5.38,5.05,27.169,12.6767,12.1722,175.62,290.685,1.0654,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,38.6409,3.1742,38.6786,4.7524,0.0,594.0,387.36,0.0,12.6767
5b6,92,path,,UNLABELED,197.23,376.85,201.65,371.47,4.42,5.38,23.7797,12.0758,11.8756,199.44,374.16,0.8216,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,116.82,3.1984,117.3099,4.8169,0.0,594.0,387.36,0.0,12.0758
5b6,93,path,,UNLABELED,116.73,210.48,134.45,198.28,17.72,12.2,216.1837,76.6149,48.4812,125.59,204.38,1.4525,29,1,0,1,rgb,207,207,207,0,none,,,,0.0,163.4048,4.9147,127.6943,6.9507,0.0,594.0,387.36,0.0,117.4705
5b6,94,path,,UNLABELED,244.04,397.26,248.78,392.57,4.74,4.69,22.2306,20.2514,13.6264,246.41,394.915,1.0107,7,1,0,1,rgb,207,207,207,0,none,,,,0.0,153.7129,1.3385,92.442,4.6943,0.0,594.0,387.36,0.0,20.7576
5b6,95,path,,UNLABELED,99.48,201.77,102.54,199.15,3.06,2.62,8.0172,2.1135,4.7879,101.01,200.46,1.1679,4,1,0,1,rgb,0,0,0,0,none,,,,0.0,38.4836,9.8961,27.6041,3.4531,0.0,594.0,387.36,0.0,2.2086
5b6,96,path,,UNLABELED,223.67,315.91,226.73,313.29,3.06,2.62,8.0172,2.1135,4.7879,225.2,314.6,1.1679,4,1,0,1,rgb,0,0,0,0,none,,,,0.0,38.4836,9.8961,27.6041,3.4531,0.0,594.0,387.36,0.0,2.2086
5b6,97,path,,UNLABELED,96.75,200.51,100.95,197.16,4.2,3.35,14.07,0.0,5.3724,98.85,198.835,1.2537,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,38.5766,1000000.0,38.5766,5.3724,0.0,594.0,387.36,0.0,0.0
