airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
abr,0,path,,UNLABELED,103.41,427.57,139.65,389.4,36.24,38.17,1383.2809,182.835,158.7433,121.53,408.485,0.9494,39,1,0,1,rgb,207,207,207,0,none,,,,0.0,140.0456,1.3186,135.0,31.24,0.0,594.0,387.36,0.0,647.6468
abr,1,path,,UNLABELED,66.06,406.52,124.53,78.58,58.47,327.94,19174.6498,1710.1266,879.0757,95.295,242.55,0.1783,100,1,0,1,rgb,207,207,207,0,none,,,,0.0,85.4585,76.265,90.0,136.68,0.0,594.0,387.36,0.0,12967.8338
abr,2,path,,UNLABELED,92.19,513.11,180.54,428.62,88.35,84.49,7464.6925,2115.459,590.1415,136.365,470.865,1.0457,112,1,0,1,rgb,207,207,207,0,none,,,,0.0,148.7024,4.0691,134.8626,44.2155,0.0,594.0,387.36,0.0,4413.6782
abr,3,path,,UNLABELED,55.09,477.31,348.61,180.94,293.52,296.37,86990.5177,2761.1411,1306.5959,201.85,329.125,0.9904,149,1,0,1,rgb,207,207,207,0,none,,,,0.0,135.0566,39.3857,135.0259,171.9613,0.0,594.0,387.36,0.0,21314.3601
abr,4,path,,UNLABELED,99.99,445.21,113.01,432.01,13.02,13.2,171.8639,0.0,18.5408,106.5,438.61,0.9864,2,1,0,0,none,,,,1,rgb,207,207,207,0.39,134.6067,1000000.0,134.6067,18.5408,0.0,594.0,387.36,0.0,0.0
abr,5,path,,UNLABELED,22.11,446.27,43.73,422.64,21.62,23.63,510.8808,510.8808,90.5,32.92,434.455,0.9149,5,1,0,0,none,,,,1,rgb,0,0,0,0.39,120.9468,1.4637,90.0,23.63,0.0,594.0,387.36,0.0,510.8808
abr,6,path,,UNLABELED,18.04,549.11,369.32,44.72,351.28,504.39,177182.1276,177182.1276,1711.34,193.68,296.915,0.6964,5,1,0,0,none,,,,1,rgb,0,0,0,0.39,102.133,2.2278,90.0,504.39,0.0,594.0,387.36,0.0,177182.1276
abr,7,path,,UNLABELED,51.16,462.66,336.32,176.94,285.16,285.72,81475.9177,2214.0535,801.7888,193.74,319.8,0.998,4,1,0,1,rgb,0,0,0,0,none,,,,0.0,134.9435,5124.4159,134.943,398.1155,0.0,594.0,387.36,0.0,2214.0535
abr,8,path,,UNLABELED,60.5,395.91,66.46,78.57,5.96,317.34,1891.3461,1765.9708,645.8005,63.48,237.24,0.0188,5,1,0,1,rgb,0,0,0,0,none,,,,0.0,90.239,3343.761,90.0704,317.3402,0.0,594.0,387.36,0.0,1765.9708
abr,9,path,,UNLABELED,114.29,491.23,119.24,486.26,4.95,4.97,24.6015,12.276,10.7589,116.765,488.745,0.996,4,1,0,1,rgb,0,0,0,0,none,,,,0.0,135.4324,1.2947,137.386,3.7368,0.0,594.0,387.36,0.0,12.276
abr,10,path,,UNLABELED,117.55,485.8,124.93,478.37,7.38,7.43,54.8334,25.9847,16.9083,121.24,482.085,0.9933,4,1,0,1,rgb,0,0,0,0,none,,,,0.0,45.79,2.5399,45.7555,6.4352,0.0,594.0,387.36,0.0,25.9847
abr,11,path,,UNLABELED,121.12,482.5,127.94,475.57,6.82,6.93,47.2626,23.2677,15.1999,124.53,479.035,0.9841,4,1,0,1,rgb,0,0,0,0,none,,,,0.0,47.4232,1.6601,46.4802,5.4748,0.0,594.0,387.36,0.0,23.2677
abr,12,path,,UNLABELED,124.47,477.48,130.4,471.61,5.93,5.87,34.8091,16.5446,13.4535,127.435,474.545,1.0102,4,1,0,1,rgb,0,0,0,0,none,,,,0.0,136.3791,2.4849,136.4281,5.1069,0.0,594.0,387.36,0.0,16.5446
abr,13,path,,UNLABELED,132.38,469.9,144.09,458.17,11.71,11.73,137.3581,51.9753,28.949,138.235,464.035,0.9983,4,1,0,1,rgb,0,0,0,0,none,,,,0.0,134.8771,8.6797,134.869,12.3744,0.0,594.0,387.36,0.0,51.9753
abr,14,path,,UNLABELED,141.64,460.92,148.15,454.4,6.51,6.52,42.4453,21.1751,14.0683,144.895,457.66,0.9985,4,1,0,1,rgb,0,0,0,0,none,,,,0.0,133.9036,1.2361,133.6639,4.8521,0.0,594.0,387.36,0.0,21.1751
abr,15,path,,UNLABELED,146.06,484.9,151.23,479.73,5.17,5.17,26.7289,13.2884,11.243,148.645,482.315,1.0,4,1,0,1,rgb,0,0,0,0,none,,,,0.0,135.0,1.353,135.0,3.9315,0.0,594.0,387.36,0.0,13.2884
abr,16,path,,UNLABELED,140.62,478.41,148.86,470.41,8.24,8.0,65.9199,20.6276,20.7452,144.74,474.41,1.03,4,1,0,1,rgb,0,0,0,0,none,,,,0.0,136.3618,17.2699,136.3566,9.2586,0.0,594.0,387.36,0.0,20.6276
abr,17,path,,UNLABELED,147.93,471.15,152.66,466.52,4.73,4.63,21.8999,9.0742,11.3028,150.295,468.835,1.0216,4,1,0,1,rgb,0,0,0,0,none,,,,0.0,136.4114,5.838,136.3845,4.6824,0.0,594.0,387.36,0.0,9.0742
abr,18,path,,UNLABELED,153.76,465.98,157.29,462.46,3.53,3.52,12.4257,6.1972,7.6511,155.525,464.22,1.0028,4,1,0,1,rgb,0,0,0,0,none,,,,0.0,136.8689,1.3059,137.4367,2.6611,0.0,594.0,387.36,0.0,6.1972
