airport,object_id,subpath_index,edge_index,mid_x,mid_y,angle,length
acy,0,0,0,58.19,326.645,152.1737,13.0037
acy,0,0,1,50.635,325.615,66.0571,8.8955
acy,0,0,2,54.44,318.905,154.7571,12.4045
acy,1,0,0,70.03,115.915,63.6843,9.2485
acy,1,0,1,64.05,113.79,152.797,8.8375
acy,1,0,2,62.065,120.06,65.4089,9.3478
acy,2,0,0,278.525,509.05,60.4755,9.3548
acy,2,0,1,272.4,506.995,152.189,8.6377
acy,2,0,2,270.85,513.085,60.8797,9.3292
acy,3,0,0,95.0,114.72,162.8141,2.0307
acy,3,0,1,97.06,114.525,5.5021,2.1901
acy,3,0,2,99.11,115.155,28.6736,2.1884
acy,3,0,3,100.705,116.47,51.2076,2.0271
acy,3,0,4,104.265,122.77,62.0383,12.4765
acy,3,0,5,107.49,129.25,72.8144,2.0307
acy,3,0,6,107.685,131.31,95.5023,2.1901
acy,3,0,7,107.055,133.36,118.6734,2.1883
acy,3,0,8,105.74,134.955,141.2074,2.0272
acy,3,0,9,103.835,136.18,152.1146,2.5229
acy,3,0,10,115.49,160.83,62.0426,54.4777
acy,3,0,11,129.08,185.45,34.3301,1.9859
acy,3,0,12,131.215,186.24,9.9208,2.6699
acy,3,0,13,147.73,180.48,158.4917,32.6754
acy,3,0,14,163.745,173.3,124.4063,2.8847
acy,3,0,15,164.73,170.64,96.5967,2.9596
acy,3,0,16,164.51,166.135,82.6776,6.1199
acy,3,0,17,164.755,163.025,173.2643,1.2788
acy,3,0,18,165.875,161.98,116.5651,2.169
acy,3,0,19,166.485,159.62,95.1387,2.7912
acy,3,0,20,166.485,157.17,83.2745,2.1347
acy,3,0,21,167.545,155.965,173.0236,2.3877
acy,3,0,22,169.09,159.145,83.8206,6.6889
acy,3,0,23,170.75,162.315,173.2,2.6184
acy,3,0,24,172.84,168.935,83.349,13.6418
acy,3,0,25,169.74,176.18,173.1107,7.8366
acy,3,0,26,156.8,180.215,158.4994,19.4537
acy,3,0,27,140.655,186.575,158.4986,15.2514
acy,3,0,28,133.115,191.28,103.115,3.9223
acy,3,0,29,137.93,203.11,62.0656,22.4565
acy,3,0,30,161.035,246.645,62.0378,76.116
acy,3,0,31,217.6,259.71,152.0436,87.6708
acy,3,0,32,256.6,238.31,108.2326,1.7898
acy,3,0,33,256.565,236.51,71.6554,2.0017
acy,3,0,34,252.495,231.885,44.3832,10.5082
acy,3,0,35,246.9,227.76,13.7427,3.7885
acy,3,0,36,249.065,225.18,151.9943,9.0724
acy,3,0,37,252.38,224.575,114.3447,3.3477
acy,3,0,38,256.125,230.58,45.2893,12.6079
acy,3,0,39,261.69,235.165,5.3085,2.2697
acy,3,0,40,263.315,235.165,168.0242,1.012
acy,3,0,41,282.04,225.385,152.0443,41.2766
acy,3,0,42,301.26,214.9,140.7104,2.5583
acy,3,0,43,302.0,213.03,76.7295,2.1782
acy,3,0,44,299.985,209.115,58.275,6.713
acy,3,0,45,297.645,205.505,52.7073,1.898
acy,3,0,46,295.77,204.39,15.4786,2.6979
acy,3,0,47,292.78,203.74,9.7373,3.4294
acy,3,0,48,290.895,203.245,46.4335,0.5659
acy,3,0,49,295.48,200.5,152.0147,10.8259
acy,3,0,50,304.635,205.155,58.6978,16.8414
acy,3,0,51,310.1,212.91,27.1923,2.4509
acy,3,0,52,317.355,215.155,15.2867,12.7823
acy,3,0,53,324.54,213.63,107.6278,6.7363
acy,3,0,54,326.375,210.595,12.1189,1.6672
acy,3,0,55,328.57,206.46,107.7544,9.0511
acy,3,0,56,333.765,203.245,16.0148,7.9381
