airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
aeg,0,path,,UNLABELED,157.47,379.58,270.76,168.36,113.29,211.22,23929.1142,507.5885,726.8353,214.115,273.97,0.5364,74,1,0,1,rgb,207,207,207,0,none,,,,0.0,93.603,3.0352,90.0329,104.33,0.0,594.0,387.36,0.0,13604.5791
aeg,1,path,,UNLABELED,50.83,407.96,245.95,205.44,195.12,202.52,39515.6993,582.7187,714.2689,148.39,306.7,0.9635,97,1,0,1,rgb,207,207,207,0,none,,,,0.0,46.0412,109.1609,43.8798,187.3625,0.0,594.0,387.36,0.0,6211.2882
aeg,2,path,,UNLABELED,157.17,456.08,248.58,342.9,91.41,113.18,10345.7849,2025.5303,433.6697,202.875,399.49,0.8077,47,1,0,1,rgb,207,207,207,0,none,,,,0.0,56.001,14.2891,43.1323,31.2424,0.0,594.0,387.36,0.0,4527.4039
aeg,3,path,,UNLABELED,262.64,168.26,270.74,164.8,8.1,3.46,28.026,10.2333,21.9168,266.69,166.53,2.341,10,1,0,1,rgb,207,207,207,0,none,,,,0.0,13.3106,11.5172,0.9195,8.101,0.0,594.0,387.36,0.0,17.9996
aeg,4,path,,UNLABELED,270.74,170.17,270.8,168.26,0.06,1.91,0.1146,0.0617,3.8298,270.77,169.215,0.0314,7,1,0,1,rgb,207,207,207,0,none,,,,0.0,89.1783,1874.8858,90.0,1.9,0.0,594.0,387.36,0.0,0.0648
aeg,5,path,,UNLABELED,268.74,171.7,270.74,170.17,2.0,1.53,3.06,0.8798,6.2003,269.74,170.935,1.3072,8,1,0,1,rgb,207,207,207,0,none,,,,0.0,141.5578,5.4247,179.7132,2.0,0.0,594.0,387.36,0.0,1.52
aeg,6,path,,UNLABELED,249.67,168.36,262.7,154.29,13.03,14.07,183.332,37.7402,47.8401,256.185,161.325,0.9261,24,1,0,1,rgb,207,207,207,0,none,,,,0.0,63.8503,5.1124,90.0,9.53,0.0,594.0,387.36,0.0,101.8424
aeg,7,path,,UNLABELED,245.73,156.34,249.7,153.73,3.97,2.61,10.3616,7.428,9.4642,247.715,155.035,1.5211,22,1,0,1,rgb,207,207,207,0,none,,,,0.0,179.0534,2.2086,151.0211,0.743,0.0,594.0,387.36,0.0,7.7799
aeg,8,path,,UNLABELED,193.41,403.53,219.09,379.52,25.68,24.01,616.5765,111.8069,72.2621,206.25,391.525,1.0696,10,1,0,1,rgb,207,207,207,0,none,,,,0.0,42.7088,103.7865,42.8728,34.6721,0.0,594.0,387.36,0.0,111.8069
aeg,9,path,,UNLABELED,270.44,378.27,274.06,371.25,3.62,7.02,25.4124,25.2369,14.21,272.25,374.76,0.5157,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,90.2765,3.813,90.0,7.02,0.0,594.0,387.36,0.0,25.2369
aeg,10,path,,UNLABELED,67.19,179.32,88.8,155.69,21.61,23.63,510.6444,510.6444,90.48,77.995,167.505,0.9145,5,1,0,0,none,,,,1,rgb,0,0,0,0.39,120.8848,1.4643,90.0,23.63,0.0,594.0,387.36,0.0,510.6444
aeg,11,compound,,UNLABELED,78.16,369.27,81.31,364.42,3.15,4.85,15.2775,5.7384,22.4416,79.735,366.845,0.6495,98,2,0,1,rgb,0,0,0,0,none,,,,0.0,89.9984,2.6285,74.9817,0.4245,0.0,594.0,387.36,0.0,12.195
aeg,12,path,,UNLABELED,82.04,365.1,82.72,364.42,0.68,0.68,0.4624,0.353,2.1208,82.38,364.76,1.0,17,1,0,1,rgb,0,0,0,0,none,,,,0.0,90.5044,1.0976,12.0943,0.1432,0.0,594.0,387.36,0.0,0.353
aeg,13,path,,UNLABELED,84.03,369.1,85.35,364.51,1.32,4.59,6.0588,2.6724,11.5921,84.69,366.805,0.2876,7,1,0,1,rgb,0,0,0,0,none,,,,0.0,95.3114,22.5514,90.0,4.59,0.0,594.0,387.36,0.0,4.3248
aeg,14,compound,,UNLABELED,87.12,369.11,89.2,367.04,2.08,2.07,4.3056,2.4055,10.0227,88.16,368.075,1.0048,34,2,0,1,rgb,0,0,0,0,none,,,,0.0,90.151,1.1185,169.4606,0.4374,0.0,594.0,387.36,0.0,3.3576
