airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
aid,0,path,,UNLABELED,211.02,210.11,215.25,204.31,4.23,5.8,24.534,17.8429,13.2021,213.135,207.21,0.7293,7,1,0,1,rgb,207,207,207,0,none,,,,0.0,64.1658,2.3397,0.1352,4.23,0.0,594.0,387.36,0.0,20.4042
aid,1,path,,UNLABELED,218.15,312.08,309.03,246.03,90.88,66.05,6002.6232,445.732,252.0138,263.59,279.055,1.3759,59,1,0,1,rgb,207,207,207,0,none,,,,0.0,151.1388,52.8196,154.9002,74.3289,0.0,594.0,387.36,0.0,1889.5209
aid,2,path,,UNLABELED,39.32,390.99,215.23,300.42,175.91,90.57,15932.1703,2295.413,1477.4176,127.275,345.705,1.9423,1035,1,0,1,rgb,207,207,207,0,none,,,,0.0,156.3882,7.5175,154.9197,83.5362,0.0,594.0,387.36,0.0,10439.3661
aid,3,path,,UNLABELED,314.94,430.9,314.94,361.01,0.0,69.89,0.0,0.0,69.89,314.94,395.955,0.0,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,90.0,1000000.0,90.0,69.89,0.0,594.0,387.36,0.0,0.0
aid,4,path,,UNLABELED,294.83,426.51,314.94,361.01,20.11,65.5,1317.204,0.0,68.5176,304.885,393.76,0.307,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,107.0677,1000000.0,107.0677,68.5176,0.0,594.0,387.36,0.0,0.0
aid,5,path,,UNLABELED,294.83,426.51,297.64,417.36,2.81,9.15,25.7115,8.0799,18.0197,296.235,421.935,0.3071,10,1,0,1,rgb,0,0,0,0,none,,,,0.0,101.4963,27.5404,107.0719,9.5718,0.0,594.0,387.36,0.0,10.0056
aid,6,path,,UNLABELED,312.49,432.56,317.39,421.9,4.9,10.66,52.2343,22.7541,20.4285,314.94,427.23,0.4597,6,1,0,1,rgb,0,0,0,0,none,,,,0.0,90.1158,5.0377,77.4577,4.651,0.0,594.0,387.36,0.0,26.1171
aid,7,path,,UNLABELED,297.19,404.58,301.2,401.64,4.01,2.94,11.7894,2.9816,14.6362,299.195,403.11,1.3639,7,1,0,1,rgb,0,0,0,0,none,,,,0.0,24.982,1.9339,174.7284,4.027,0.0,594.0,387.36,0.0,5.7376
aid,8,compound,,UNLABELED,297.8,400.66,301.85,397.4,4.05,3.26,13.2029,3.564,17.1651,299.825,399.03,1.2423,12,2,0,1,rgb,0,0,0,0,none,,,,0.0,17.1272,1.2307,41.7268,4.0867,0.0,594.0,387.36,0.0,6.3333
aid,9,compound,,UNLABELED,298.89,398.15,302.58,394.98,3.69,3.17,11.6973,3.8132,18.0383,300.735,396.565,1.164,45,2,0,1,rgb,0,0,0,0,none,,,,0.0,19.1688,3.0697,17.1028,3.5364,0.0,594.0,387.36,0.0,7.0582
