airport,object_id,subpath_index,edge_index,mid_x,mid_y,angle,length
aiz,0,0,0,301.18,433.71,38.2546,2.6488
aiz,0,0,1,303.485,434.485,177.9628,2.5316
aiz,0,0,2,305.585,434.44,0.0,1.67
aiz,0,0,3,308.765,436.54,41.8451,6.2957
aiz,0,0,4,309.985,441.815,109.5108,6.7368
aiz,0,0,5,303.95,438.495,52.9119,16.2841
aiz,1,0,0,172.48,370.855,53.5171,1.48
aiz,1,0,1,173.75,371.745,19.5663,1.7617
aiz,1,0,2,186.09,387.065,52.5458,37.854
aiz,1,0,3,206.675,395.275,143.0948,22.698
aiz,1,0,4,216.77,387.91,151.6659,2.3177
aiz,1,0,5,218.335,387.075,152.3929,1.23
aiz,1,0,6,219.64,386.365,150.7855,1.7415
aiz,1,0,7,222.99,385.055,161.1348,5.474
aiz,1,0,8,223.855,381.585,56.2844,6.2154
aiz,1,0,9,221.345,379.735,136.8839,2.1508
aiz,1,0,10,216.4,374.845,53.515,13.9923
aiz,1,0,11,211.45,368.165,53.1736,2.636
aiz,1,0,12,209.37,365.385,53.21,4.308
aiz,1,0,13,205.32,359.995,53.0177,9.176
aiz,1,0,14,202.56,356.27,90.0,0.12
aiz,1,0,15,202.46,356.21,0.0,0.2
aiz,1,0,16,202.26,356.105,46.3965,0.29
aiz,1,0,17,201.09,354.615,52.3117,3.5004
aiz,1,0,18,189.82,360.76,143.5639,25.3567
aiz,1,0,19,178.105,367.42,29.867,3.4941
aiz,1,0,20,175.505,366.125,21.3903,2.3305
aiz,1,0,21,173.2,364.57,42.8069,3.3258
aiz,1,0,22,170.48,364.73,139.3044,3.9568
aiz,2,0,0,295.5,451.445,143.1302,7.15
aiz,2,0,1,291.41,454.175,154.5635,2.7241
aiz,2,0,2,288.88,455.145,163.5034,2.7116
aiz,2,0,3,286.005,454.365,36.4898,3.9181
aiz,2,0,4,281.925,450.12,50.878,7.9401
aiz,2,0,5,262.465,424.54,52.9999,56.3461
aiz,2,0,6,244.605,402.66,145.5858,2.194
aiz,2,0,7,251.41,413.515,53.0094,25.6281
aiz,2,0,8,259.185,424.335,83.6596,1.1772
aiz,2,0,9,258.75,425.84,118.5232,2.0942
aiz,2,0,10,251.555,431.61,144.0796,16.5343
aiz,2,0,11,251.48,445.185,52.811,21.9043
aiz,2,0,12,262.06,451.125,144.8819,9.6825
aiz,2,0,13,264.865,446.62,56.1181,4.1436
aiz,2,0,14,264.325,444.47,145.0395,1.5008
aiz,2,0,15,261.045,438.765,53.5582,13.1144
aiz,2,0,16,256.77,433.685,152.8354,0.8542
aiz,2,0,17,256.02,433.81,10.7132,0.7531
aiz,2,0,18,255.195,433.165,51.645,1.4665
aiz,2,0,19,255.095,431.755,113.0323,1.8147
aiz,2,0,20,257.365,429.475,142.9628,4.798
aiz,2,0,21,260.11,427.875,169.4223,1.6887
aiz,2,0,22,261.675,427.85,10.0302,1.4928
aiz,2,0,23,265.385,431.99,53.4284,9.9861
aiz,2,0,24,270.22,438.545,53.839,6.3045
aiz,2,0,25,277.79,448.84,53.6181,19.2527
aiz,2,0,26,284.025,457.285,52.9331,1.742
aiz,2,0,27,285.235,458.555,40.011,1.7887
aiz,2,0,28,286.905,459.19,3.4856,1.9737
aiz,2,0,29,288.555,459.09,166.4719,1.3679
aiz,2,0,30,290.45,458.065,144.8832,3.0074
aiz,2,0,31,297.93,452.825,145.008,15.2582
aiz,2,0,32,302.825,446.655,52.9515,4.498
aiz,3,0,0,234.265,357.425,81.4191,3.9543
aiz,3,0,1,234.12,360.655,109.0392,2.6976
aiz,3,0,2,233.09,362.62,130.5332,1.8157
aiz,3,0,3,229.925,365.235,143.2191,6.43
aiz,3,0,4,224.755,368.265,156.9349,5.6409
aiz,3,0,5,220.35,367.99,37.323,4.5521
aiz,3,0,6,217.655,367.16,148.1403,2.084
aiz,3,0,7,219.45,373.355,64.6037,12.4977
aiz,3,0,8,223.855,381.585,56.2844,6.2154
aiz,3,0,9,227.4,385.305,31.9488,4.2898
aiz,3,0,10,232.195,389.3,43.8709,8.2535
aiz,3,0,11,235.725,392.8,49.0685,1.6943
aiz,3,0,12,239.99,398.36,52.9813,12.324
aiz,3,0,13,244.605,402.66,145.5858,2.194
aiz,3,0,14,237.84,391.925,52.8277,25.3884
aiz,3,0,15,228.47,379.605,52.3687,5.5685
aiz,3,0,16,226.075,375.67,68.1129,3.7288
aiz,3,0,17,226.635,372.075,123.9375,4.4959
aiz,3,0,18,228.735,369.62,145.0762,2.0612
aiz,3,0,19,232.265,367.145,144.9292,6.5612
aiz,3,0,20,235.78,365.04,165.155,1.7173
aiz,3,0,21,237.655,364.865,2.4657,2.0919
aiz,3,0,22,239.925,365.34,19.3421,2.5966
aiz,3,0,23,241.7,366.105,31.345,1.288
aiz,4,0,0,142.73,266.195,55.9569,4.5015
aiz,4,0,1,140.715,262.31,69.5061,4.3129
aiz,4,0,2,141.22,258.495,125.067,4.3862
aiz,4,0,3,143.725,255.54,137.024,3.4033
aiz,4,0,4,147.295,252.73,144.6374,5.702
aiz,4,0,5,151.785,250.29,159.9533,4.6093
