airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
als,0,path,,UNLABELED,261.88,497.66,286.33,462.13,24.45,35.53,868.7089,188.5411,84.8531,274.105,479.895,0.6882,12,1,0,1,rgb,207,207,207,0,none,,,,0.0,61.2333,38.5859,58.526,31.2003,0.0,594.0,387.36,0.0,226.3977
als,1,path,,UNLABELED,248.02,437.78,307.74,392.68,59.72,45.1,2693.3717,193.6139,190.2958,277.88,415.23,1.3242,76,1,0,1,rgb,207,207,207,0,none,,,,0.0,153.9867,11.2361,166.71,33.1477,0.0,594.0,387.36,0.0,1179.707
als,2,path,,UNLABELED,211.11,421.53,228.66,407.27,17.55,14.26,250.2629,44.2996,52.0459,219.885,414.4,1.2307,28,1,0,1,rgb,207,207,207,0,none,,,,0.0,148.8599,4.7544,58.3187,10.6818,0.0,594.0,387.36,0.0,116.5309
als,3,compound,,UNLABELED,49.52,483.48,261.88,152.84,212.36,330.64,70214.7072,2089.7075,1067.7092,155.7,318.16,0.6423,268,2,0,1,rgb,207,207,207,0,none,,,,0.0,59.4836,167.6272,58.2811,218.6008,0.0,594.0,387.36,0.0,14238.7606
als,4,path,,UNLABELED,164.95,378.62,181.19,366.66,16.24,11.96,194.2303,35.4998,48.7918,173.07,372.64,1.3579,23,1,0,1,rgb,207,207,207,0,none,,,,0.0,150.3895,11.0158,148.7918,11.6569,0.0,594.0,387.36,0.0,89.8733
als,5,path,,UNLABELED,161.82,380.5,167.4,372.47,5.58,8.03,44.8074,11.2815,18.5117,164.61,376.485,0.6949,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,58.7905,42.9599,58.785,8.6059,0.0,594.0,387.36,0.0,11.2815
als,6,compound,,UNLABELED,112.48,433.04,115.63,428.18,3.15,4.86,15.309,5.7279,22.4424,114.055,430.61,0.6481,98,2,0,1,rgb,0,0,0,0,none,,,,0.0,89.9984,2.6282,103.7066,0.422,0.0,594.0,387.36,0.0,12.1889
als,7,path,,UNLABELED,116.36,428.87,117.04,428.18,0.68,0.69,0.4692,0.3567,2.1324,116.7,428.525,0.9855,17,1,0,1,rgb,0,0,0,0,none,,,,0.0,90.3936,1.1241,12.0943,0.1432,0.0,594.0,387.36,0.0,0.3567
als,8,path,,UNLABELED,118.35,432.87,119.67,428.27,1.32,4.6,6.072,2.6775,11.6121,119.01,430.57,0.287,7,1,0,1,rgb,0,0,0,0,none,,,,0.0,95.2992,22.6554,90.0,4.6,0.0,594.0,387.36,0.0,4.3339
als,9,compound,,UNLABELED,121.44,432.88,123.52,430.8,2.08,2.08,4.3264,2.4063,10.0242,122.48,431.84,1.0,34,2,0,1,rgb,0,0,0,0,none,,,,0.0,90.1515,1.1206,10.5394,0.4374,0.0,594.0,387.36,0.0,3.3589
als,10,path,,UNLABELED,125.47,433.04,131.94,428.1,6.47,4.94,31.9618,9.0202,33.1008,128.705,430.57,1.3097,11,1,0,1,rgb,0,0,0,0,none,,,,0.0,153.007,1.2617,67.9711,5.1457,0.0,594.0,387.36,0.0,22.2296
als,11,compound,,UNLABELED,83.72,439.41,88.14,434.57,4.42,4.84,21.3928,6.0095,22.3305,85.93,436.99,0.9132,12,2,0,1,rgb,0,0,0,0,none,,,,0.0,90.2411,1.244,114.542,5.3207,0.0,594.0,387.36,0.0,10.6964
als,12,path,,UNLABELED,88.54,439.39,92.54,434.38,4.0,5.01,20.04,7.4867,27.5523,90.54,436.885,0.7984,9,1,0,1,rgb,0,0,0,0,none,,,,0.0,67.7472,1.7657,133.053,4.9951,0.0,594.0,387.36,0.0,19.22
als,13,path,,UNLABELED,93.35,439.39,97.35,434.38,4.0,5.01,20.04,7.4867,27.5523,95.35,436.885,0.7984,9,1,0,1,rgb,0,0,0,0,none,,,,0.0,67.7472,1.7657,133.053,4.9951,0.0,594.0,387.36,0.0,19.22
als,14,path,,UNLABELED,98.08,439.17,101.48,434.49,3.4,4.68,15.912,6.0296,22.1295,99.78,436.83,0.7265,51,1,0,1,rgb,0,0,0,0,none,,,,0.0,105.3207,1.377,90.0,2.91,0.0,594.0,387.36,0.0,14.7342
als,15,compound,,UNLABELED,101.75,439.41,106.18,434.57,4.43,4.84,21.4412,6.0124,22.3587,103.965,436.99,0.9153,12,2,0,1,rgb,0,0,0,0,none,,,,0.0,90.5824,1.2358,114.6399,5.3248,0.0,594.0,387.36,0.0,10.7206
als,16,path,,UNLABELED,106.57,439.17,108.57,434.57,2.0,4.6,9.2,3.474,13.2,107.57,436.87,0.4348,7,1,0,1,rgb,0,0,0,0,none,,,,0.0,100.4862,10.2887,90.0,4.6,0.0,594.0,387.36,0.0,6.337
als,17,compound,,UNLABELED,110.7,439.17,113.61,434.57,2.91,4.6,13.386,6.4612,23.4951,112.155,436.87,0.6326,45,2,0,1,rgb,0,0,0,0,none,,,,0.0,92.1861,3.0541,90.0,4.6,0.0,594.0,387.36,0.0,11.9617
als,18,compound,,UNLABELED,113.52,439.41,117.95,434.57,4.43,4.84,21.4412,6.0124,22.3587,115.735,436.99,0.9153,12,2,0,1,rgb,0,0,0,0,none,,,,0.0,90.5824,1.2358,114.6399,5.3248,0.0,594.0,387.36,0.0,10.7206
als,19,path,,UNLABELED,117.92,439.17,120.71,434.57,2.79,4.6,12.8339,3.8769,14.78,119.315,436.87,0.6065,9,1,0,1,rgb,0,0,0,0,none,,,,0.0,89.3783,3.4394,90.0,4.09,0.0,594.0,387.36,0.0,8.3554
als,20,path,,UNLABELED,121.13,439.17,123.64,434.57,2.51,4.6,11.546,5.6517,21.74,122.385,436.87,0.5457,13,1,0,1,rgb,0,0,0,0,none,,,,0.0,82.4378,2.6581,90.0,4.6,0.0,594.0,387.36,0.0,11.546
