airport,object_id,subpath_index,edge_index,mid_x,mid_y,angle,length
als,0,0,0,270.025,477.635,58.526,31.2003
als,0,0,1,277.975,491.56,107.4598,1.2999
als,0,0,2,279.445,494.92,58.7143,6.4124
als,0,0,3,283.72,495.89,145.8564,6.3071
als,0,0,4,284.765,491.51,59.0524,6.0865
als,0,0,5,282.525,488.7,16.5044,1.408
als,0,0,6,276.805,480.415,58.036,19.0598
als,0,0,7,271.885,471.48,98.3659,1.7183
als,0,0,8,269.945,467.195,58.9872,8.0159
als,0,0,9,267.15,463.75,0.7844,1.4601
als,0,0,10,265.93,462.935,58.671,1.8848
als,1,0,0,249.2,435.875,58.225,4.4817
als,1,0,1,250.355,437.535,84.1732,0.4925
als,1,0,2,250.345,437.13,95.3555,0.3214
als,1,0,3,250.395,436.79,101.0046,0.3667
als,1,0,4,250.495,436.395,106.8204,0.4492
als,1,0,5,250.635,436.015,114.4452,0.3625
als,1,0,6,250.825,435.675,123.3097,0.4188
als,1,0,7,251.015,435.45,146.3099,0.1803
als,1,0,8,251.215,435.36,162.2581,0.2625
als,1,0,9,251.68,435.21,162.0718,0.7147
als,1,0,10,268.15,431.29,166.71,33.1477
als,1,0,11,284.895,427.355,168.5111,1.2552
als,1,0,12,292.225,425.675,166.9618,13.7854
als,1,0,13,299.155,424.08,169.4624,0.4374
als,1,0,14,299.56,424.03,176.9866,0.3805
als,1,0,15,299.9,424.06,14.9323,0.3105
als,1,0,16,300.2,424.175,26.5627,0.3354
als,1,0,17,300.475,424.36,41.3479,0.333
als,1,0,18,300.93,424.735,38.7653,0.8465
als,1,0,19,301.435,425.105,30.9641,0.4082
als,1,0,20,301.81,425.295,23.0256,0.4346
als,1,0,21,302.24,425.42,9.8662,0.4669
als,1,0,22,303.74,425.405,177.5202,2.5424
als,1,0,23,304.98,424.205,88.4992,2.2908
als,1,0,24,304.945,422.14,89.6883,1.84
als,1,0,25,304.89,420.205,87.1797,2.0325
als,1,0,26,303.505,419.155,1.502,2.6709
als,1,0,27,302.13,417.005,88.9163,4.2308
als,1,0,28,302.09,412.185,90.0,5.41
als,1,0,29,302.275,408.26,98.6225,2.4679
als,1,0,30,302.675,406.685,121.2016,0.8301
als,1,0,31,303.17,406.08,138.2396,0.7507
als,1,0,32,303.575,405.765,152.5247,0.2818
als,1,0,33,303.865,405.675,171.3835,0.3338
als,1,0,34,304.75,405.65,0.0,1.44
als,1,0,35,305.655,405.625,172.3057,0.3734
als,1,0,36,306.12,405.525,165.004,0.5797
als,1,0,37,306.665,405.3,150.4882,0.609
als,1,0,38,307.08,404.96,128.2926,0.4842
als,1,0,39,307.345,404.595,123.3079,0.4188
als,1,0,40,307.52,404.28,113.2031,0.3046
als,1,0,41,307.635,403.92,104.0344,0.4535
als,1,0,42,307.715,403.485,96.631,0.4329
als,1,0,43,307.715,397.99,89.7288,10.5601
als,1,0,44,306.56,392.7,0.5071,2.2601
als,1,0,45,304.73,392.685,0.4097,1.4
als,1,0,46,302.76,392.705,178.8722,2.5405
als,1,0,47,301.48,398.695,90.096,11.93
als,1,0,48,301.345,405.175,103.6429,1.0599
als,1,0,49,301.065,406.1,110.7087,0.8766
als,1,0,50,300.785,407.075,102.4752,1.1573
als,1,0,51,300.495,409.77,94.4294,4.2728
als,1,0,52,300.245,412.78,95.5175,1.7682
als,1,0,53,300.215,415.86,88.5677,4.4014
als,1,0,54,300.29,418.835,88.5225,1.5505
als,1,0,55,300.295,419.805,94.3985,0.3912
als,1,0,56,300.28,420.165,90.0,0.33
als,1,0,57,300.26,420.41,104.0388,0.1649
als,1,0,58,300.22,420.58,102.5226,0.1844
als,1,0,59,300.14,420.845,108.9236,0.37
als,1,0,60,300.02,421.155,113.9667,0.2955
als,1,0,61,299.845,421.58,111.6297,0.6239
als,1,0,62,299.56,422.125,123.6893,0.6129
als,1,0,63,299.23,422.545,134.1191,0.4597
als,1,0,64,298.955,422.8,141.9554,0.2921
als,1,0,65,298.715,422.95,154.3599,0.2773
als,1,0,66,298.385,423.075,162.4071,0.4301
als,1,0,67,288.875,425.335,166.7269,19.1208
als,1,0,68,270.225,429.685,167.0143,19.1805
als,1,0,69,257.365,432.69,166.4056,7.2326
als,1,0,70,251.835,434.005,167.0055,4.1359
als,1,0,71,249.655,434.47,0.0,0.33
als,1,0,72,249.29,434.485,175.711,0.4011
als,1,0,73,248.915,434.475,8.1305,0.3536
als,1,0,74,248.575,434.375,24.443,0.3625
als,2,0,0,226.23,407.585,141.7795,1.0183
als,2,0,1,225.41,408.39,130.6013,1.2907
als,2,0,2,224.595,409.355,129.746,1.2355
als,2,0,3,223.39,410.37,146.3101,1.947
als,2,0,4,221.495,411.54,149.8587,2.5093
als,2,0,5,219.415,412.835,146.2436,2.3935
als,2,0,6,217.7,413.85,154.075,1.6011
als,2,0,7,216.3,414.425,161.6911,1.4325
als,2,0,8,215.11,414.81,162.5825,1.069
als,2,0,9,214.22,414.95,3.0123,0.761
als,2,0,10,213.33,414.6,32.9053,1.2149
als,2,0,11,212.295,413.71,46.8474,1.5352
als,2,0,12,211.44,412.725,52.1718,1.0762
als,2,0,13,211.125,412.34,69.4452,0.0854
als,2,0,14,213.945,416.925,58.3187,10.6818
als,2,0,15,216.775,421.5,50.1916,0.0781
als,2,0,16,216.73,421.205,77.845,0.6649
als,2,0,17,216.455,420.215,72.8669,1.3918
als,2,0,18,216.16,418.99,80.8701,1.1344
als,2,0,19,216.86,417.61,133.9325,2.2773
als,2,0,20,218.54,416.02,139.1345,2.3537
als,2,0,21,221.65,413.815,147.1216,5.2868
als,2,0,22,224.795,411.905,152.8188,2.0797
als,2,0,23,226.195,411.345,169.8545,0.9651
als,2,0,24,227.035,411.17,166.1482,0.7519
als,2,0,25,228.03,410.8,156.0375,1.3788
als,2,0,26,227.645,408.895,58.0105,3.8319
als,3,0,0,256.755,467.485,148.3832,12.0366
als,3,0,1,259.69,460.795,58.221,8.3168
als,3,0,2,257.57,457.485,72.7172,0.4713
als,3,0,3,257.7,458.09,81.0277,0.7694
als,3,0,4,257.76,458.91,90.0,0.88
als,3,0,5,257.68,459.85,99.0905,1.0127
als,3,0,6,257.5,460.835,101.6512,0.9904
als,3,0,7,257.2,461.74,115.4627,0.9304
als,3,0,8,256.72,462.58,123.6901,1.0095
als,3,0,9,256.075,463.3,140.5822,0.9449
als,3,0,10,255.29,463.88,146.3099,1.0095
als,3,0,11,251.815,465.93,149.913,7.0614
als,3,0,12,248.58,467.8,150.9449,0.4118
als,3,0,13,248.18,467.98,160.0175,0.4682
als,3,0,14,247.725,468.085,173.9272,0.4727
als,3,0,15,247.2,468.075,6.8817,0.5842
als,3,0,16,246.565,467.89,23.4987,0.7524
als,3,0,17,245.91,467.52,35.3624,0.7603
als,3,0,18,245.27,466.99,43.2101,0.9055
als,3,0,19,244.515,466.105,53.5311,1.43
als,3,0,20,242.775,463.65,55.0283,4.5885
als,3,0,21,236.555,453.82,58.3262,18.6828
als,3,0,22,230.115,443.405,58.0886,5.8077
als,3,0,23,227.665,439.435,58.7014,3.5226
als,3,0,24,224.69,434.615,58.1425,7.8059
als,3,0,25,220.815,428.33,58.5704,6.9614
als,3,0,26,218.515,424.435,62.3309,2.0889
als,3,0,27,199.15,392.98,58.267,71.7923
als,3,0,28,179.455,361.11,58.6918,3.1368
als,3,0,29,178.0,358.445,64.2186,2.9429
als,3,0,30,177.29,356.55,82.9981,1.1486
als,3,0,31,177.295,355.64,102.4392,0.6963
als,3,0,32,177.435,355.045,104.3005,0.5263
als,3,0,33,177.62,354.505,112.8344,0.6185
als,3,0,34,177.94,353.98,129.8065,0.6248
als,3,0,35,178.345,353.58,142.027,0.5201
