airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
alw,0,path,,UNLABELED,193.27,269.35,203.35,259.65,10.08,9.7,97.7758,44.5857,23.6626,198.31,264.5,1.0392,6,1,0,1,rgb,207,207,207,0,none,,,,0.0,141.6856,1.5036,55.0793,7.2322,0.0,594.0,387.36,0.0,48.5414
alw,1,path,,UNLABELED,155.9,206.82,166.47,194.86,10.57,11.96,126.417,68.0141,32.4419,161.185,200.84,0.8838,8,1,0,1,rgb,207,207,207,0,none,,,,0.0,55.4885,3.131,53.9062,10.779,0.0,594.0,387.36,0.0,69.3597
alw,2,path,,UNLABELED,184.38,276.8,195.91,265.79,11.53,11.01,126.9454,51.778,28.1802,190.145,271.295,1.0472,8,1,0,1,rgb,207,207,207,0,none,,,,0.0,147.5875,1.1577,53.7675,10.0666,0.0,594.0,387.36,0.0,64.4576
alw,3,path,,UNLABELED,239.42,320.79,249.92,309.77,10.5,11.02,115.7099,62.8733,31.0777,244.67,315.28,0.9528,9,1,0,1,rgb,207,207,207,0,none,,,,0.0,53.9256,1.9327,54.3054,7.2155,0.0,594.0,387.36,0.0,64.3732
alw,4,path,,UNLABELED,258.97,365.69,283.58,333.9,24.61,31.79,782.3522,130.5204,80.7123,271.275,349.795,0.7741,10,1,0,1,rgb,207,207,207,0,none,,,,0.0,52.2758,73.5724,53.8543,22.7858,0.0,594.0,387.36,0.0,131.4957
alw,5,path,,UNLABELED,131.68,198.28,160.12,160.99,28.44,37.29,1060.5279,164.554,89.0133,145.9,179.635,0.7627,9,1,0,1,rgb,207,207,207,0,none,,,,0.0,53.9132,83.004,53.799,41.9729,0.0,594.0,387.36,0.0,212.27
alw,6,path,,UNLABELED,224.71,331.86,236.17,320.79,11.46,11.07,126.8622,51.8491,28.0914,230.44,326.325,1.0352,8,1,0,1,rgb,207,207,207,0,none,,,,0.0,144.5447,1.1713,53.808,9.9747,0.0,594.0,387.36,0.0,64.2837
alw,7,path,,UNLABELED,205.42,313.2,244.51,262.59,39.09,50.61,1978.3441,237.1173,122.9125,224.965,287.895,0.7724,10,1,0,1,rgb,207,207,207,0,none,,,,0.0,52.408,113.3863,53.4894,49.4309,0.0,594.0,387.36,0.0,327.3233
alw,8,path,,UNLABELED,280.67,403.89,310.86,363.58,30.19,40.31,1216.9589,172.2893,82.389,295.765,383.735,0.7489,7,1,0,1,rgb,207,207,207,0,none,,,,0.0,55.3822,85.2297,53.9727,27.3389,0.0,594.0,387.36,0.0,201.8711
alw,9,path,,UNLABELED,261.56,330.27,268.29,323.15,6.73,7.12,47.9176,12.2244,23.6279,264.925,326.71,0.9452,21,1,0,1,rgb,207,207,207,0,none,,,,0.0,53.1229,3.017,51.7554,8.8365,0.0,594.0,387.36,0.0,24.0446
alw,10,path,,UNLABELED,291.91,421.39,303.24,412.82,11.33,8.57,97.0983,42.0522,23.1648,297.575,417.105,1.3221,6,1,0,1,rgb,207,207,207,0,none,,,,0.0,161.8141,2.9953,143.4253,8.9281,0.0,594.0,387.36,0.0,49.4353
alw,11,path,,UNLABELED,118.17,166.31,127.19,158.7,9.02,7.61,68.6424,32.3174,19.9888,122.68,162.505,1.1853,5,1,0,1,rgb,207,207,207,0,none,,,,0.0,150.6427,2.3565,143.9443,7.4588,0.0,594.0,387.36,0.0,33.9186
