airport,object_id,subpath_index,edge_index,mid_x,mid_y,angle,length
arr,0,0,0,213.62,452.12,0.0,35.28
arr,0,0,1,195.98,441.14,90.0,21.96
arr,0,0,2,202.6,430.16,0.0,13.24
arr,0,0,3,209.22,436.935,90.0,13.55
arr,0,0,4,209.42,444.26,70.0173,1.1705
arr,0,0,5,210.04,445.26,46.9749,1.2311
arr,0,0,6,210.86,446.08,42.7689,1.0898
arr,0,0,7,211.585,446.625,28.3004,0.7382
arr,0,0,8,219.725,446.8,0.0,15.63
arr,0,0,9,228.01,446.525,149.6684,1.0891
arr,0,0,10,229.25,445.63,141.1589,1.9772
arr,0,0,11,230.47,444.335,123.6902,1.6225
arr,0,0,12,231.32,443.24,133.6031,1.16
arr,1,0,0,234.315,452.12,0.0,6.11
arr,1,0,1,237.37,460.2,90.0,16.16
arr,1,0,2,234.315,468.28,0.0,6.11
arr,2,0,0,93.985,172.43,36.3869,0.236
arr,2,0,1,93.975,172.415,32.9081,0.2025
arr,2,0,2,94.07,172.485,56.3133,0.0361
arr,3,0,0,130.85,196.71,26.5563,0.0447
arr,3,0,1,130.815,196.69,33.7035,0.0361
arr,3,0,2,130.805,196.68,0.0,0.01
arr,3,0,3,130.84,196.7,33.6968,0.0721
arr,4,0,0,183.23,231.18,29.7408,0.1612
arr,4,0,1,183.09,231.1,29.7503,0.1613
arr,4,0,2,183.035,231.06,0.0,0.03
arr,4,0,3,183.175,231.14,32.6198,0.2968
arr,5,0,0,92.21,171.265,33.0958,4.0107
arr,5,0,1,95.25,163.0,123.3569,17.1683
arr,5,0,2,165.71,199.125,33.3681,157.4319
arr,5,0,3,231.46,242.43,45.0218,0.0283
arr,5,0,4,231.85,242.58,20.2229,0.8099
arr,5,0,5,232.685,242.65,171.2548,0.9207
arr,5,0,6,233.505,242.295,142.016,0.9262
arr,5,0,7,234.04,241.635,114.3871,0.8235
arr,5,0,8,234.175,244.19,90.6845,5.8604
arr,5,0,9,234.14,248.235,90.0,2.23
arr,5,0,10,233.8,248.465,68.9843,1.8961
arr,5,0,11,232.945,246.79,56.8991,1.8861
arr,5,0,12,214.875,234.42,33.4105,42.0606
arr,5,0,13,197.33,222.85,45.0,0.0283
arr,5,0,14,196.905,222.68,22.4787,0.9415
arr,5,0,15,195.96,222.5,0.0,1.02
arr,5,0,16,194.98,222.7,156.9487,1.0216
arr,5,0,17,194.18,223.24,134.1454,0.9476
arr,5,0,18,193.855,223.57,116.5651,0.0223
arr,5,0,19,191.2,227.62,123.2317,9.7076
arr,5,0,20,188.535,231.69,116.6,0.0224
arr,5,0,21,188.35,232.135,112.4796,0.9415
arr,5,0,22,188.175,233.075,89.4331,1.0101
arr,5,0,23,188.385,234.045,66.2089,1.0164
arr,5,0,24,188.925,234.84,44.5688,0.9405
arr,5,0,25,189.255,235.165,45.0,0.0142
arr,5,0,26,186.275,233.19,33.512,7.1363
arr,5,0,27,183.72,231.34,15.9468,0.8736
