airport,object_id,subpath_index,edge_index,mid_x,mid_y,angle,length
atl,0,0,0,202.56,356.985,179.1047,4.4805
atl,0,0,1,200.335,357.495,88.1913,0.9505
atl,0,0,2,199.93,357.99,177.2741,0.8409
atl,0,0,3,199.52,358.32,88.1534,0.6203
atl,0,0,4,195.17,358.625,0.0657,8.72
atl,0,0,5,190.805,358.96,90.8421,0.6801
atl,0,0,6,189.555,359.32,179.0798,2.4903
atl,0,0,7,188.315,359.48,87.9526,0.2802
atl,0,0,8,187.04,359.65,178.6574,2.5607
atl,0,0,9,185.76,360.125,90.0,0.89
atl,0,0,10,185.595,360.585,174.8058,0.3314
atl,0,0,11,185.44,360.945,88.3406,0.6903
atl,0,0,12,184.28,361.305,179.2655,2.3402
atl,0,0,13,183.11,361.565,90.0,0.49
atl,0,0,14,182.88,361.83,175.031,0.4617
atl,0,0,15,182.64,361.99,94.0865,0.2807
atl,0,0,16,182.51,362.13,0.0,0.24
atl,0,0,17,182.385,362.27,92.0442,0.2802
atl,0,0,18,180.675,363.02,160.3145,3.6217
atl,0,0,19,179.025,364.28,85.1634,1.3046
atl,0,0,20,178.47,364.96,177.1846,1.2215
atl,0,0,21,178.005,366.125,82.7195,2.2885
atl,0,0,22,178.095,368.735,92.1355,2.952
atl,0,0,23,178.37,370.24,5.1956,0.6627
atl,0,0,24,178.655,370.915,93.9908,1.2931
atl,0,0,25,178.555,372.05,96.4044,0.9861
atl,0,0,26,178.515,372.82,86.9336,0.5608
atl,0,0,27,178.35,373.175,157.3789,0.39
atl,0,0,28,178.305,373.775,75.579,1.0842
atl,0,0,29,178.375,375.075,94.7944,1.5554
atl,0,0,30,182.495,375.835,179.7946,8.3701
atl,0,0,31,187.65,376.045,13.0597,1.9915
atl,0,0,32,193.98,376.25,179.7862,10.7201
atl,0,0,33,201.665,376.24,0.2465,4.6501
atl,0,0,34,203.975,375.8,88.0909,0.9005
atl,0,0,35,204.48,375.435,9.2843,1.0538
atl,0,0,36,204.96,370.98,89.4952,9.0804
atl,1,0,0,154.635,432.48,179.8834,9.83
atl,1,0,1,149.58,428.655,87.9093,7.6751
atl,1,0,2,149.53,423.305,93.3996,3.0353
atl,1,0,3,149.645,420.65,91.2564,2.2806
atl,1,0,4,149.625,407.665,89.7823,23.6902
atl,1,0,5,149.525,394.925,86.4834,1.7934
atl,1,0,6,148.545,394.1,175.6724,1.8553
atl,1,0,7,147.58,386.49,89.7016,15.3602
atl,1,0,8,146.47,378.815,179.732,2.14
atl,1,0,9,145.38,377.075,89.3432,3.4902
atl,1,0,10,143.095,375.325,0.1264,4.53
atl,1,0,11,140.835,377.24,89.8509,3.84
atl,1,0,12,140.84,381.62,90.0,4.92
atl,1,0,13,140.66,416.55,90.3176,64.941
atl,1,0,14,147.73,449.02,0.0,14.5
atl,1,0,15,154.98,442.845,90.0,12.35
atl,1,0,16,157.3,436.67,0.0,4.64
atl,2,0,0,82.32,322.425,0.0583,9.84
atl,2,0,1,87.24,321.595,90.0,1.67
atl,2,0,2,87.235,318.78,89.8553,3.96
atl,2,0,3,87.23,315.3,90.0,3.0
atl,2,0,4,87.245,296.08,90.0485,35.44
atl,2,0,5,87.255,278.05,89.0758,0.6201
atl,2,0,6,87.235,276.765,89.1186,1.9502
atl,2,0,7,87.155,275.915,117.4739,0.2818
atl,2,0,8,87.02,276.13,127.876,0.228
atl,2,0,9,86.865,276.28,144.7776,0.2081
atl,2,0,10,86.67,276.385,157.7519,0.2377
atl,2,0,11,86.295,276.42,2.1632,0.5304
atl,2,0,12,85.935,276.4,6.0059,0.191
atl,2,0,13,85.66,276.33,18.4342,0.3795
atl,2,0,14,85.35,276.2,28.3031,0.2953
atl,2,0,15,84.875,275.96,26.2316,0.7692
atl,2,0,16,83.335,274.845,38.3365,3.047
atl,2,0,17,81.705,273.605,34.1449,1.0512
atl,2,0,18,81.285,273.19,97.125,0.2419
atl,2,0,19,81.3,272.945,90.0,0.25
atl,2,0,20,81.295,272.68,87.9541,0.2802
atl,2,0,21,81.245,272.385,73.8113,0.3228
atl,2,0,22,81.18,272.155,75.0677,0.1552
atl,2,0,23,81.095,271.935,65.8543,0.3178
atl,2,0,24,80.95,271.64,61.9271,0.34
atl,2,0,25,80.85,271.45,63.4393,0.0895
atl,2,0,26,80.595,271.2,41.7833,0.6303
atl,2,0,27,80.165,270.83,39.37,0.5045
atl,2,0,28,79.19,272.0,120.3901,3.0837
atl,2,0,29,77.99,274.07,119.5783,1.7017
atl,2,0,30,77.67,274.895,40.3661,0.2625
atl,2,0,31,76.425,277.215,121.0391,5.217
atl,2,0,32,74.83,279.315,28.3681,0.5682
atl,2,0,33,74.065,280.085,119.6425,2.0825
atl,2,0,34,73.295,281.455,118.7401,1.0607
atl,2,0,35,73.445,282.0,11.1741,0.8256
atl,2,0,36,73.85,282.085,90.0,0.01
atl,2,0,37,73.28,283.095,119.5606,2.3108
atl,2,0,38,72.725,285.195,89.215,2.1902
atl,2,0,39,71.355,286.29,0.0,2.77
atl,2,0,40,69.97,287.55,90.0,2.52
atl,2,0,41,69.64,288.81,0.0,0.66
atl,2,0,42,69.31,291.43,90.0,5.24
atl,2,0,43,69.635,294.425,49.0856,0.9925
atl,2,0,44,69.965,294.8,0.0,0.01
atl,2,0,45,71.35,294.8,0.0,2.76
