airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
avl,0,path,,UNLABELED,263.43,67.4301,276.99,53.78,13.56,13.65,185.0943,112.3552,31.7131,270.21,60.605,0.9934,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,110.9841,1.031,110.1665,10.6744,0.0,594.0,387.36,0.0,112.3552
avl,1,path,,UNLABELED,110.78,483.04,123.89,469.64,13.11,13.4,175.674,106.9795,31.2763,117.335,476.34,0.9784,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,109.7615,1.0967,109.9415,10.5846,0.0,594.0,387.36,0.0,106.9795
avl,2,path,,UNLABELED,225.04,285.75,227.73,284.77,2.69,0.98,2.6362,0.0,2.863,226.385,285.26,2.7449,2,1,0,0,none,,,,1,rgb,207,207,207,0.39,20.0175,1000000.0,20.0175,2.863,0.0,594.0,387.36,0.0,0.0
avl,3,path,,UNLABELED,269.33,81.03,286.15,66.96,16.82,14.07,236.6576,90.6572,50.6484,277.74,73.995,1.1955,10,1,0,1,rgb,207,207,207,0,none,,,,0.0,22.1715,3.3543,20.2036,10.6556,0.0,594.0,387.36,0.0,130.2743
avl,4,path,,UNLABELED,264.54,98.15,283.24,76.72,18.7,21.43,400.7411,125.5481,68.6753,273.89,87.435,0.8726,11,1,0,1,rgb,207,207,207,0,none,,,,0.0,10.0214,1.125,111.8361,18.4433,0.0,594.0,387.36,0.0,226.6188
avl,5,path,,UNLABELED,232.68,175.03,260.68,141.14,28.0,33.89,948.9204,209.1064,107.5741,246.68,158.085,0.8262,17,1,0,1,rgb,207,207,207,0,none,,,,0.0,126.7806,5.4922,110.5727,36.1985,0.0,594.0,387.36,0.0,355.917
avl,6,path,,UNLABELED,200.29,273.55,219.07,252.69,18.78,20.86,391.7505,116.5846,48.347,209.68,263.12,0.9003,9,1,0,1,rgb,207,207,207,0,none,,,,0.0,123.2118,1.2989,110.1858,8.694,0.0,594.0,387.36,0.0,220.7974
avl,7,path,,UNLABELED,149.78,411.2,168.59,390.02,18.81,21.18,398.3956,116.4375,65.0582,159.185,400.61,0.8881,8,1,0,1,rgb,207,207,207,0,none,,,,0.0,108.9469,1.3422,110.0026,22.5397,0.0,594.0,387.36,0.0,224.1545
avl,8,path,,UNLABELED,126.55,469.31,145.84,452.84,19.29,16.47,317.7062,106.4643,65.2128,136.195,461.075,1.1712,10,1,0,1,rgb,207,207,207,0,none,,,,0.0,174.415,1.2959,112.9673,17.888,0.0,594.0,387.36,0.0,201.1492
avl,9,path,,UNLABELED,122.94,477.09,138.86,465.52,15.92,11.57,184.1943,75.2847,46.701,130.9,471.305,1.376,10,1,0,1,rgb,207,207,207,0,none,,,,0.0,20.4558,2.8027,20.1998,10.1652,0.0,594.0,387.36,0.0,111.3949
avl,10,path,,UNLABELED,166.35,385.83,181.98,344.16,15.63,41.67,651.3023,198.9801,102.7761,174.165,364.995,0.3751,17,1,0,1,rgb,207,207,207,0,none,,,,0.0,93.2192,5.6514,109.5092,34.9145,0.0,594.0,387.36,0.0,325.768
avl,11,path,,UNLABELED,135.74,477.2,287.9,73.78,152.16,403.42,61384.3826,1834.3564,864.6965,211.82,275.49,0.3772,47,1,0,1,rgb,207,207,207,0,none,,,,0.0,110.1634,3415.7695,110.3189,97.8273,0.0,594.0,387.36,0.0,2207.6455
avl,12,path,,UNLABELED,223.0,288.49,228.86,283.85,5.86,4.64,27.1905,11.5831,19.1432,225.93,286.17,1.2629,21,1,0,1,rgb,207,207,207,0,none,,,,0.0,160.3359,1.6537,19.8972,2.8501,0.0,594.0,387.36,0.0,16.6186
avl,13,path,,UNLABELED,192.52,366.44,197.74,362.8,5.22,3.64,19.0008,10.2459,13.0188,195.13,364.62,1.4341,8,1,0,1,rgb,207,207,207,0,none,,,,0.0,22.5146,2.8152,20.2827,2.9424,0.0,594.0,387.36,0.0,11.4801
avl,14,path,,UNLABELED,170.08,403.82,186.03,391.56,15.95,12.26,195.5469,34.5639,49.9165,178.055,397.69,1.301,25,1,0,1,rgb,207,207,207,0,none,,,,0.0,17.7312,6.7833,19.9435,8.6487,0.0,594.0,387.36,0.0,107.7708
avl,15,path,,UNLABELED,180.45,376.14,196.19,364.02,15.74,12.12,190.7686,33.8978,49.15,188.32,370.08,1.2987,25,1,0,1,rgb,207,207,207,0,none,,,,0.0,18.9767,8.7586,19.9721,8.8417,0.0,594.0,387.36,0.0,104.2808
avl,16,path,,UNLABELED,191.0,345.69,208.47,333.72,17.47,11.97,209.1159,38.4775,53.567,199.735,339.705,1.4595,31,1,0,1,rgb,207,207,207,0,none,,,,0.0,13.4791,8.2774,19.9511,7.6491,0.0,594.0,387.36,0.0,122.2157
avl,17,path,,UNLABELED,214.53,283.89,231.81,270.95,17.28,12.94,223.6032,37.6644,53.9463,223.17,277.42,1.3354,25,1,0,1,rgb,207,207,207,0,none,,,,0.0,20.1852,8.9905,19.9046,9.9866,0.0,594.0,387.36,0.0,124.0764
avl,18,path,,UNLABELED,202.12,313.85,220.7,299.94,18.58,13.91,258.4479,81.0086,57.7657,211.41,306.895,1.3357,18,1,0,1,rgb,207,207,207,0,none,,,,0.0,16.4063,3.4265,109.9831,12.1729,0.0,594.0,387.36,0.0,158.2239
avl,19,path,,UNLABELED,198.39,326.77,215.36,314.61,16.97,12.16,206.3553,36.9049,50.6073,206.875,320.69,1.3956,28,1,0,1,rgb,207,207,207,0,none,,,,0.0,17.8143,10.4067,19.9331,8.8289,0.0,594.0,387.36,0.0,109.6508
avl,20,path,,UNLABELED,217.09,322.02,262.26,274.84,45.17,47.18,2131.1209,1046.2164,192.5185,239.675,298.43,0.9574,30,1,0,1,rgb,207,207,207,0,none,,,,0.0,89.3897,1.6316,110.5466,28.4071,0.0,594.0,387.36,0.0,1329.5278
avl,21,path,,UNLABELED,180.34,427.05,247.36,320.29,67.02,106.76,7155.0553,1774.8494,431.8703,213.85,373.67,0.6278,61,1,0,1,rgb,207,207,207,0,none,,,,0.0,108.6122,4.3393,110.3597,44.0627,0.0,594.0,387.36,0.0,3520.2979
avl,22,path,,UNLABELED,215.44,380.76,243.71,323.72,28.27,57.04,1612.5204,813.5431,193.2272,229.575,352.24,0.4956,21,1,0,1,rgb,207,207,207,0,none,,,,0.0,106.572,5.0921,109.8569,27.1438,0.0,594.0,387.36,0.0,1026.0673
avl,23,path,,UNLABELED,245.56,71.91,264.42,58.98,18.86,12.93,243.8595,94.273,43.0325,254.99,65.445,1.4586,6,1,0,1,rgb,207,207,207,0,none,,,,0.0,178.1708,2.5772,20.1948,15.0342,0.0,594.0,387.36,0.0,154.7107
avl,24,path,,UNLABELED,175.34,261.27,196.69,239.76,21.35,21.51,459.2382,132.7848,59.4877,186.015,250.515,0.9926,11,1,0,1,rgb,207,207,207,0,none,,,,0.0,67.0902,1.1057,110.1521,13.6134,0.0,594.0,387.36,0.0,282.535
avl,25,path,,UNLABELED,125.83,397.45,145.31,376.75,19.48,20.7,403.2361,123.47,66.3661,135.57,387.1,0.9411,8,1,0,1,rgb,207,207,207,0,none,,,,0.0,98.4739,1.1615,109.1296,21.9099,0.0,594.0,387.36,0.0,238.4324
