airport,object_id,subpath_index,edge_index,mid_x,mid_y,angle,length
bbg,0,0,0,98.105,438.865,125.0362,5.3127
bbg,1,0,0,94.095,444.595,124.9541,8.6748
bbg,2,0,0,125.725,399.395,124.9823,62.6
bbg,3,0,0,103.705,430.865,124.9755,14.2178
bbg,3,0,1,100.045,436.53,158.9168,0.8895
bbg,3,0,2,101.17,436.095,158.8273,1.5228
bbg,3,0,3,102.48,435.685,167.3195,1.23
bbg,3,0,4,103.93,435.575,1.6848,1.7007
bbg,3,0,5,105.245,435.765,19.5367,0.9868
bbg,3,0,6,106.5,436.53,37.2163,1.984
bbg,3,0,7,108.605,438.525,46.691,3.8342
bbg,3,0,8,110.275,440.525,59.5964,1.4029
bbg,3,0,9,110.74,441.645,77.9432,1.0532
bbg,3,0,10,110.875,442.68,87.2474,1.0412
bbg,3,0,11,110.845,443.64,97.125,0.8869
bbg,3,0,12,110.41,444.87,115.6884,1.7533
bbg,3,0,13,107.265,449.735,124.1579,9.849
bbg,3,0,14,103.49,455.07,128.7152,3.2297
bbg,3,0,15,101.935,456.71,145.1141,1.3288
bbg,3,0,16,100.595,457.225,170.3623,1.6128
bbg,3,0,17,99.17,457.305,4.9901,1.2648
bbg,3,0,18,97.585,456.76,27.1617,2.1467
bbg,3,0,19,94.965,455.12,34.6326,4.0471
bbg,3,0,20,92.86,453.535,44.6723,1.2375
bbg,3,0,21,92.065,452.305,65.9373,1.7413
bbg,3,0,22,91.575,450.885,77.8115,1.2788
bbg,3,0,23,91.525,449.205,94.6062,2.1168
bbg,3,0,24,89.015,451.86,124.9713,9.055
bbg,3,0,25,83.255,453.35,35.0467,7.7319
bbg,3,0,26,79.495,450.715,34.8951,1.4509
bbg,3,0,27,75.9,454.58,125.0279,10.4534
bbg,3,0,28,77.24,461.9,35.0097,10.5976
bbg,3,0,29,84.58,460.66,125.0279,10.4534
bbg,3,0,30,87.78,456.33,165.9648,0.4123
bbg,3,0,31,88.23,456.42,29.2487,0.5731
bbg,3,0,32,93.535,460.115,35.1173,12.3598
bbg,3,0,33,100.065,464.815,37.821,3.7345
bbg,3,0,34,101.625,465.96,0.0,0.17
bbg,3,0,35,101.87,465.825,139.8435,0.4187
bbg,3,0,36,104.98,461.38,124.3899,10.4458
bbg,3,0,37,112.03,451.165,124.7733,14.3776
bbg,3,0,38,120.285,439.245,124.6357,14.6211
bbg,3,0,39,126.02,430.945,124.6625,5.5561
bbg,3,0,40,129.295,426.42,127.1146,5.618
bbg,3,0,41,133.75,420.54,127.1709,9.1361
bbg,3,0,42,139.41,412.91,126.0103,9.8651
bbg,3,0,43,146.545,402.58,123.7422,15.2487
bbg,3,0,44,151.96,394.785,129.0421,3.7467
bbg,3,0,45,154.59,391.745,132.4529,4.2964
bbg,3,0,46,157.215,388.96,134.3971,3.3589
bbg,3,0,47,159.535,386.58,134.1375,3.2884
bbg,3,0,48,161.175,385.13,151.39,1.1277
bbg,3,0,49,162.105,384.75,165.8088,0.8974
bbg,3,0,50,163.085,384.64,0.0,1.09
bbg,3,0,51,164.045,384.72,10.9105,0.8453
bbg,3,0,52,165.06,385.045,22.2119,1.2962
bbg,3,0,53,167.98,386.605,29.5451,5.3335
bbg,3,0,54,172.865,389.31,28.4538,5.8348
bbg,3,0,55,176.245,391.305,36.5874,2.03
bbg,3,0,56,180.58,395.12,42.3627,9.5278
bbg,3,0,57,185.335,399.695,47.8623,3.6815
bbg,3,0,58,186.78,401.505,64.7378,0.9841
bbg,3,0,59,186.965,402.215,95.388,0.5324
bbg,3,0,60,186.785,402.98,107.2233,1.0469
bbg,3,0,61,186.155,404.925,108.1969,3.0421
bbg,3,0,62,184.635,408.805,113.227,5.2995
bbg,3,0,63,184.145,411.5,25.1018,1.2258
bbg,3,0,64,183.7,414.075,113.3627,5.0435
bbg,3,0,65,183.2,416.6,22.7823,1.0846
bbg,3,0,66,183.15,418.18,111.8734,2.9525
bbg,3,0,67,185.48,420.595,19.9433,6.1275
bbg,3,0,68,187.0,425.725,108.4139,8.6109
bbg,3,0,69,189.05,430.95,18.4854,7.191
bbg,3,0,70,192.305,432.635,105.8759,1.1332
bbg,3,0,71,196.41,434.825,21.114,9.1332
bbg,3,0,72,200.51,436.97,107.7443,1.0499
bbg,3,0,73,201.49,437.91,21.105,2.4439
bbg,3,0,74,202.54,438.725,103.4963,0.7713
bbg,3,0,75,204.275,439.855,22.4749,3.95
bbg,3,0,76,206.335,439.925,108.9352,1.4484
bbg,3,0,77,209.065,440.135,19.7339,5.3013
bbg,3,0,78,212.835,437.83,111.7242,6.8893
bbg,3,0,79,213.49,434.39,21.161,1.3297
bbg,3,0,80,212.325,435.555,111.2012,3.014
bbg,3,0,81,210.675,436.535,21.0374,2.3678
bbg,3,0,82,210.105,434.725,111.1205,2.9695
bbg,3,0,83,210.415,433.255,20.6954,0.481
bbg,3,0,84,209.92,433.865,111.2309,1.4912
bbg,3,0,85,209.425,434.475,20.6954,0.481
bbg,3,0,86,208.665,435.77,111.1903,2.9601
bbg,3,0,87,206.35,436.465,21.0482,3.8145
bbg,3,0,88,204.84,435.075,110.9555,1.5099
bbg,3,0,89,205.505,434.525,21.4253,0.8486
bbg,3,0,90,207.665,430.095,111.0543,9.826
bbg,3,0,91,208.535,425.165,21.0805,1.9184
bbg,3,0,92,208.78,421.86,111.0634,6.3439
bbg,3,0,93,211.425,419.48,21.0759,3.2258
bbg,3,0,94,213.42,418.785,111.0226,2.7318
bbg,3,0,95,213.59,417.39,20.556,0.6835
bbg,3,0,96,213.815,415.86,111.133,3.0233
bbg,3,0,97,217.45,415.64,21.0622,6.6225
bbg,3,0,98,220.86,416.01,111.3174,1.7604
bbg,3,0,99,216.61,413.48,20.5148,9.7589
bbg,3,0,100,212.64,409.865,107.4821,3.9945
bbg,3,0,101,206.965,405.56,20.9304,13.4366
bbg,3,0,102,200.51,403.08,23.9629,0.394
bbg,3,0,103,200.25,402.775,70.4263,0.4776
bbg,3,0,104,200.205,402.32,98.6517,0.4653
bbg,3,0,105,200.36,401.715,107.7451,0.7875
bbg,3,0,106,202.005,396.775,108.4726,9.626
bbg,3,0,107,205.11,387.9,110.1324,9.181
bbg,3,0,108,207.785,380.275,108.2793,6.9823
bbg,3,0,109,209.205,376.01,108.886,2.0081
bbg,3,0,110,209.675,374.69,111.4002,0.7948
bbg,3,0,111,210.06,373.935,121.9373,0.9074
bbg,3,0,112,210.44,373.35,124.9938,0.4883
bbg,3,0,113,210.84,372.88,133.9197,0.7497
bbg,3,0,114,211.455,372.38,147.0606,0.846
bbg,3,0,115,212.145,372.005,156.5957,0.7301
bbg,3,0,116,213.295,371.64,164.8937,1.6883
bbg,3,0,117,215.55,371.19,170.9251,2.9165
bbg,3,0,118,217.915,370.85,173.2183,1.863
bbg,3,0,119,219.385,370.77,3.1506,1.0916
bbg,3,0,120,220.38,370.92,14.9316,0.9315
bbg,3,0,121,221.225,371.315,34.8461,0.9626
bbg,3,0,122,221.93,372.035,55.138,1.0847
bbg,3,0,123,222.525,373.145,66.8012,1.447
bbg,3,0,124,223.165,375.36,77.1,3.1803
bbg,3,0,125,223.71,378.145,81.2537,2.4991
bbg,3,0,126,230.525,378.27,170.4886,13.4347
bbg,3,0,127,235.77,369.45,79.8522,15.6651
bbg,3,0,128,228.515,362.765,170.1033,11.9275
bbg,3,0,129,222.745,364.725,83.5923,1.8818
bbg,3,0,130,223.34,365.605,173.5956,0.9861
bbg,3,0,131,223.9,365.595,32.7387,0.1664
bbg,3,0,132,224.01,365.72,63.4371,0.1789
bbg,3,0,133,223.995,366.07,101.5122,0.5511
bbg,3,0,134,223.725,366.655,124.3151,0.7627
bbg,3,0,135,222.965,367.42,140.4539,1.4136
bbg,3,0,136,221.63,368.155,160.1629,1.6797
bbg,3,0,137,219.655,368.695,167.8555,2.4242
bbg,3,0,138,217.505,369.13,169.4341,1.9633
bbg,3,0,139,215.385,369.485,171.3846,2.3364
bbg,3,0,140,213.48,369.795,169.7959,1.5241
bbg,3,0,141,212.31,370.08,160.3459,0.892
bbg,3,0,142,211.385,370.49,152.7586,1.136
bbg,3,0,143,210.53,370.995,145.0081,0.8545
bbg,3,0,144,209.84,371.62,131.8201,1.0198
bbg,3,0,145,209.02,372.75,122.619,1.7809
bbg,3,0,146,208.245,374.18,113.4525,1.4825
bbg,3,0,147,207.35,376.465,110.4973,3.427
bbg,3,0,148,205.945,380.355,109.4072,4.8453
bbg,3,0,149,204.41,384.695,109.5568,4.3616
bbg,3,0,150,202.185,390.91,109.7671,8.841
bbg,3,0,151,200.375,395.83,112.5128,1.6454
bbg,3,0,152,199.87,396.89,122.3482,0.7102
bbg,3,0,153,199.365,397.49,136.3971,0.87
bbg,3,0,154,198.67,397.98,153.434,0.8497
bbg,3,0,155,197.955,398.205,174.0363,0.6737
bbg,3,0,156,196.33,398.4,172.9295,2.5998
bbg,3,0,157,194.355,398.59,177.4924,1.3713
bbg,3,0,158,193.195,398.54,9.5603,0.9634
bbg,3,0,159,192.3,398.275,23.7722,0.9179
bbg,3,0,160,191.095,397.54,35.0165,1.917
bbg,3,0,161,189.44,396.385,34.8148,2.1194
bbg,3,0,162,186.575,394.23,37.8452,5.0527
bbg,3,0,163,181.95,390.705,36.9047,6.578
bbg,3,0,164,178.875,388.365,39.3594,1.1511
bbg,3,0,165,177.905,387.445,46.5911,1.5279
bbg,3,0,166,176.67,386.205,43.9732,1.9732
bbg,3,0,167,174.58,384.315,41.127,3.6641
bbg,3,0,168,171.56,381.935,35.6203,4.035
bbg,3,0,169,166.83,378.6,34.9547,7.5402
bbg,3,0,170,161.735,375.075,34.247,4.8511
bbg,3,0,171,157.27,371.985,35.0389,6.0091
bbg,3,0,172,153.745,369.47,36.5674,2.652
bbg,3,0,173,152.135,368.05,49.1376,1.666
bbg,3,0,174,151.425,366.93,71.3899,1.0341
bbg,3,0,175,151.175,365.945,80.2564,1.0045
bbg,3,0,176,151.065,365.095,85.9715,0.7118
bbg,3,0,177,151.04,364.36,90.0,0.76
bbg,3,0,178,151.1,363.515,97.3529,0.9377
bbg,3,0,179,147.415,368.4,124.992,13.061
bbg,3,0,180,144.045,373.56,153.1308,0.8408
bbg,3,0,181,144.965,373.21,163.6385,1.136
bbg,3,0,182,146.165,372.995,175.2002,1.3146
bbg,3,0,183,147.585,373.02,5.9702,1.5383
bbg,3,0,184,149.115,373.51,28.1892,1.7359
bbg,3,0,185,151.055,374.875,39.1032,3.0283
bbg,3,0,186,153.135,376.57,39.2721,2.3381
bbg,3,0,187,154.475,377.94,55.3754,1.5312
bbg,3,0,188,155.05,379.2,77.4713,1.2907
bbg,3,0,189,155.16,380.265,93.945,0.8721
bbg,3,0,190,154.94,381.33,106.7829,1.3161
bbg,3,0,191,154.15,383.105,117.6553,2.5854
bbg,3,0,192,152.18,386.85,117.7858,5.8777
bbg,3,0,193,149.66,391.52,119.0546,4.736
bbg,3,0,194,146.595,396.405,124.2269,6.8092
bbg,3,0,195,142.875,401.985,123.1365,6.604
bbg,3,0,196,139.075,407.51,125.8604,6.8111
bbg,3,0,197,134.775,413.255,127.6751,7.5427
bbg,3,0,198,129.79,419.88,126.3629,9.0404
bbg,3,0,199,126.7,424.035,128.5239,1.3165
bbg,3,0,200,123.775,427.42,131.2283,7.6321
bbg,3,0,201,120.03,431.66,131.9177,3.6823
bbg,3,0,202,118.145,433.575,140.2377,1.7042
bbg,3,0,203,116.97,434.34,157.0678,1.1292
bbg,3,0,204,115.985,434.615,173.2544,0.9365
bbg,3,0,205,114.945,434.615,5.4639,1.1553
bbg,3,0,206,113.685,434.26,23.6516,1.4956
bbg,3,0,207,110.87,432.455,35.2439,5.2161
bbg,3,0,208,108.33,430.405,53.046,1.364
bbg,3,0,209,107.755,429.23,75.3236,1.3025
bbg,3,0,210,107.56,427.915,87.4924,1.3713
bbg,3,0,211,107.655,426.135,96.5124,2.2042
bbg,3,1,0,227.49,364.69,161.5662,0.6957
bbg,3,1,1,227.98,364.69,34.5075,0.3883
bbg,3,1,2,228.25,364.96,55.4919,0.3883
bbg,3,1,3,228.495,365.15,12.5281,0.2766
bbg,3,1,4,228.74,365.095,142.3062,0.278
bbg,3,1,5,228.88,364.805,98.3252,0.4144
bbg,3,1,6,229.22,364.545,169.9392,0.6297
bbg,3,1,7,229.57,364.67,77.4709,0.3688
bbg,3,1,8,229.555,365.015,108.4349,0.3479
