airport,object_id,subpath_index,edge_index,mid_x,mid_y,angle,length
bec,0,0,0,243.895,494.24,78.5059,11.5925
bec,0,0,1,243.965,500.14,168.5377,2.2142
bec,0,0,2,242.3,497.52,78.4574,5.7972
bec,0,0,3,241.665,494.015,85.272,1.3345
bec,0,0,4,241.705,492.69,98.191,1.3336
bec,0,0,5,242.09,490.955,105.0972,2.2269
bec,0,0,6,242.48,489.22,98.6155,1.3351
bec,0,0,7,242.525,487.895,85.272,1.3345
bec,0,0,8,242.605,487.895,78.5243,1.3571
bec,1,0,0,257.485,463.955,168.5056,21.9298
bec,1,0,1,268.59,461.715,171.3136,0.7284
bec,1,0,2,269.31,461.64,176.8195,0.7211
bec,1,0,3,271.35,461.62,0.0,3.36
bec,1,0,4,273.03,460.65,90.0,1.94
bec,1,0,5,275.47,459.68,0.0,4.88
bec,1,0,6,277.91,462.7,90.0,6.04
bec,1,0,7,275.47,465.72,0.0,4.88
bec,1,0,8,273.03,464.89,90.0,1.66
bec,1,0,9,271.06,464.06,0.0,3.94
bec,1,0,10,268.91,464.07,176.8194,0.3605
bec,1,0,11,268.55,464.105,172.0927,0.3635
bec,1,0,12,265.74,464.665,168.5017,5.3677
bec,1,0,13,261.86,466.93,125.8498,4.2687
bec,1,0,14,258.285,469.13,168.5716,4.7441
bec,1,0,15,254.045,468.52,29.4216,4.3971
bec,1,0,16,249.665,467.94,168.5337,5.0304
bec,1,0,17,246.58,468.695,157.6434,1.3408
bec,1,0,18,245.44,469.465,135.2771,1.4637
bec,1,0,19,244.65,470.66,111.6557,1.4633
bec,1,0,20,244.385,472.015,89.5758,1.35
bec,1,0,21,244.03,470.925,78.4717,3.6027
bec,1,0,22,243.44,468.01,78.6903,2.3455
bec,1,0,23,242.85,465.095,78.4717,3.6027
bec,1,0,24,242.585,463.645,73.2173,0.658
bec,1,0,25,242.84,464.27,62.7008,0.6977
bec,1,0,26,243.515,465.095,45.0,1.4566
bec,1,0,27,244.71,465.885,22.0188,1.467
bec,1,0,28,246.065,466.15,179.1514,1.3502
bec,2,0,0,229.33,422.66,78.5035,2.4083
bec,2,0,1,229.855,425.255,78.6121,2.8868
bec,2,0,2,230.14,426.66,90.0,0.02
bec,2,0,3,230.14,426.645,90.0,0.01
bec,2,0,4,230.135,426.625,71.5476,0.0316
bec,2,0,5,230.125,426.575,81.8751,0.0707
bec,2,0,6,230.1,426.48,71.5672,0.1265
bec,2,0,7,230.035,426.29,70.9049,0.2751
bec,2,0,8,229.86,425.915,62.0491,0.5547
bec,2,0,9,229.32,425.255,45.3476,1.1667
bec,2,0,10,228.365,424.625,21.5292,1.1718
bec,2,0,11,227.28,424.415,179.469,1.08
bec,2,0,12,215.45,426.715,168.5096,23.0418
bec,2,0,13,203.245,429.505,151.5872,2.0806
bec,2,0,14,201.84,430.91,118.3011,2.0671
bec,2,0,15,200.68,432.925,121.2297,2.5845
bec,2,0,16,198.79,434.46,160.5845,2.5871
bec,2,0,17,196.945,434.78,9.9819,1.2692
bec,2,0,18,195.735,434.34,29.4276,1.3433
bec,2,0,19,194.715,433.49,50.0862,1.3559
bec,2,0,20,194.055,432.375,69.286,1.2722
bec,2,0,21,193.46,429.96,78.5085,3.7145
bec,2,0,22,193.26,426.86,97.5652,2.5825
bec,2,0,23,194.375,424.7,137.0396,2.5826
bec,2,0,24,196.61,423.74,176.4512,2.585
bec,2,0,25,198.945,424.41,35.6672,2.5726
bec,2,0,26,200.8,425.81,38.7459,2.0771
bec,2,0,27,202.645,426.555,5.2444,2.0787
bec,2,0,28,214.97,424.355,168.5096,23.0418
bec,2,0,29,226.76,421.855,157.7062,1.0808
bec,2,0,30,227.675,421.235,135.0,1.1738
bec,2,0,31,228.31,420.28,112.1664,1.1662
bec,2,0,32,228.52,419.2,88.9389,1.0802
bec,2,0,33,228.8,420.07,78.3778,2.879
bec,3,0,0,218.46,369.235,78.5345,7.9486
bec,3,0,1,219.39,373.815,78.4491,1.3983
bec,3,0,2,219.43,374.23,69.6774,0.5759
bec,3,0,3,219.135,373.725,50.3147,0.6107
bec,3,0,4,218.395,373.275,21.5285,1.1718
bec,3,0,5,217.29,373.225,163.5826,1.1676
bec,3,0,6,216.385,373.865,125.9917,1.1741
bec,3,0,7,215.675,375.545,106.8517,2.5181
bec,3,0,8,207.09,378.425,168.4825,16.7778
bec,3,0,9,197.805,374.85,78.5327,10.7139
bec,3,0,10,205.965,367.72,168.4812,18.8292
bec,3,0,11,215.63,365.66,157.7507,0.9508
