airport,object_id,subpath_index,edge_index,mid_x,mid_y,angle,length
bed,0,0,0,127.575,530.79,144.9008,22.3307
bed,1,0,0,144.13,446.875,57.3929,22.3057
bed,2,0,0,36.19,452.885,116.0498,18.3991
bed,3,0,0,123.295,534.41,150.0269,11.2091
bed,3,0,1,132.43,527.99,139.7756,11.2112
bed,3,0,2,143.425,490.32,101.1561,69.4116
bed,3,0,3,147.555,451.3,62.5201,11.2041
bed,3,0,4,141.545,441.905,52.2597,11.1913
bed,3,0,5,128.28,487.345,101.1629,101.6532
bed,4,0,0,36.19,452.885,116.0498,18.3991
bed,4,0,1,49.09,446.365,11.142,18.0604
bed,4,0,2,61.93,449.21,15.4498,8.2584
bed,4,0,3,68.325,451.43,24.8803,5.3241
bed,4,0,4,72.665,454.385,43.629,5.319
bed,4,0,5,74.77,456.45,51.9524,0.5841
bed,4,0,6,76.81,458.395,42.6774,5.06
bed,4,0,7,81.015,461.06,22.0536,5.0602
bed,4,0,8,92.545,463.925,11.777,18.765
bed,4,0,9,104.82,466.405,10.3619,6.2825
bed,4,0,10,110.81,467.12,2.961,5.8077
bed,4,0,11,116.555,466.675,168.1875,5.8131
bed,4,0,12,120.03,465.86,160.7507,1.3346
bed,4,0,13,123.955,463.52,147.2428,7.8362
bed,4,0,14,129.105,459.46,133.7168,5.3683
bed,4,0,15,132.615,457.255,170.903,3.3522
bed,4,0,16,129.06,483.39,101.1638,53.8184
bed,4,0,17,123.15,513.34,101.1546,7.2367
bed,4,0,18,122.575,515.25,94.3586,3.2895
bed,4,0,19,122.43,511.945,80.7889,3.3735
bed,4,0,20,121.495,508.725,66.8459,3.3825
bed,4,0,21,119.85,505.855,53.3048,3.28
bed,4,0,22,115.795,501.3,46.4967,8.9338
bed,4,0,23,111.0,496.73,37.7132,4.3485
bed,4,0,24,107.235,494.65,20.1404,4.3564
bed,4,0,25,102.075,493.275,11.3453,6.3542
bed,4,0,26,97.31,492.59,2.0826,3.3022
bed,4,0,27,94.08,492.995,163.6007,3.294
bed,4,0,28,84.205,497.44,154.368,18.4008
bed,4,0,29,75.09,501.745,158.3797,1.7641
bed,4,0,30,73.375,502.27,167.4034,1.8341
bed,4,0,31,70.6,502.45,0.6095,3.7602
bed,4,0,32,66.935,501.825,18.7233,3.7695
bed,4,0,33,64.375,500.73,32.3036,1.8338
bed,4,0,34,62.935,499.665,40.8486,1.7582
bed,4,0,35,62.21,499.03,45.0,0.1697
bed,4,0,36,60.265,495.815,59.1432,7.3504
