airport,object_id,subpath_index,edge_index,mid_x,mid_y,angle,length
bet,0,0,0,122.06,131.26,156.6116,8.7162
bet,0,0,1,123.75,124.27,66.2907,11.4898
bet,0,0,2,117.445,120.74,156.5853,8.707
bet,1,0,0,273.23,479.825,156.1905,8.7442
bet,1,0,1,274.96,472.8,66.6569,11.4578
bet,1,0,2,268.69,469.27,156.6115,8.7162
bet,2,0,0,162.3,265.93,50.2269,4.5018
bet,2,0,1,163.055,262.22,137.9478,5.9122
bet,2,0,2,166.335,259.23,137.0504,2.9647
bet,2,0,3,168.065,257.32,125.6283,2.2145
bet,2,0,4,169.035,255.41,107.8369,2.122
bet,2,0,5,169.395,252.995,91.4272,2.8109
bet,2,0,6,173.215,260.31,66.5363,19.0121
bet,2,0,7,176.205,268.455,35.877,1.9623
bet,2,0,8,174.475,267.41,26.6876,2.093
bet,2,0,9,172.75,266.615,22.3617,1.7085
bet,2,0,10,170.77,266.18,5.2813,2.3902
bet,3,0,0,140.84,123.165,156.7009,32.1846
bet,3,0,1,157.7,121.59,66.5277,10.4442
bet,3,0,2,158.42,125.505,32.7565,3.2343
bet,3,0,3,156.465,124.48,14.1503,1.2272
bet,3,0,4,154.975,124.13,12.5964,1.8341
bet,3,0,5,152.195,124.525,162.4817,3.9534
bet,3,0,6,139.36,130.035,155.8266,24.005
bet,4,0,0,193.93,285.885,66.385,11.3832
bet,4,0,1,192.44,280.92,17.5603,1.6572
bet,4,0,2,194.075,281.27,6.7486,1.7018
bet,4,0,3,197.55,280.675,165.1976,5.4406
bet,4,0,4,208.62,276.3,156.4418,18.4148
bet,4,0,5,217.85,272.175,150.6083,1.8134
bet,4,0,6,219.335,270.985,133.0106,2.0377
bet,4,0,7,220.48,268.65,105.8027,3.3049
bet,4,0,8,223.21,272.175,65.9752,11.2003
bet,4,0,9,224.5,276.845,24.2041,2.1708
bet,4,0,10,222.565,276.4,0.0,1.89
bet,4,0,11,220.13,276.895,161.6224,3.1401
bet,4,0,12,208.865,281.615,156.6248,21.298
bet,4,0,13,198.445,286.485,135.0,1.8243
bet,4,0,14,197.55,287.725,112.7905,1.2908
bet,4,0,15,196.955,289.165,112.2095,1.8254
bet,5,0,0,218.34,339.805,98.866,3.6334
bet,5,0,1,219.71,336.92,135.0002,3.083
bet,5,0,2,230.39,331.605,156.2234,20.9589
bet,5,0,3,241.07,327.18,169.6029,2.2164
bet,5,0,4,243.305,326.83,172.536,2.3096
bet,5,0,5,245.99,327.215,19.1575,3.2606
bet,5,0,6,245.39,322.85,66.4074,10.6938
bet,5,0,7,243.055,318.89,101.7196,1.92
bet,5,0,8,242.065,320.725,131.6142,2.3942
bet,5,0,9,240.375,322.315,142.169,2.2663
bet,5,0,10,230.64,326.685,157.4261,19.1469
bet,5,0,11,220.555,330.76,162.1889,2.6154
bet,5,0,12,218.17,331.455,165.4918,2.3551
bet,5,0,13,216.135,331.455,18.2425,1.8847
bet,5,0,14,214.205,330.72,23.0315,2.2493
bet,6,0,0,69.7,285.86,139.8322,44.1531
bet,6,0,1,103.07,258.22,140.9192,42.5116
bet,6,0,2,131.35,259.845,51.9026,38.1848
bet,6,0,3,143.6,275.265,40.0448,1.2279
bet,6,0,4,144.395,275.73,12.1563,0.6649
bet,6,0,5,145.55,275.73,175.1787,1.6659
bet,6,0,6,143.965,277.57,141.6598,6.158
bet,6,0,7,141.55,278.795,90.0,1.37
bet,6,0,8,141.44,277.46,80.3949,1.3185
bet,6,0,9,136.645,271.01,51.0701,14.9116
bet,6,0,10,131.385,264.96,23.4987,1.254
bet,6,0,11,130.09,264.925,163.3741,1.5028
bet,6,0,12,114.705,276.67,141.8247,37.3097
bet,6,0,13,85.54,299.6,141.8253,36.8896
bet,6,0,14,76.165,317.76,52.833,16.9662
bet,6,0,15,83.1,324.615,3.0045,3.625
bet,6,0,16,81.02,327.815,141.4031,9.9545
bet,6,0,17,64.98,315.51,51.746,39.2475
bet,7,0,0,181.865,319.075,66.4332,35.1409
bet,7,0,1,189.61,335.755,38.6118,1.8429
bet,7,0,2,191.085,336.655,23.29,1.644
bet,7,0,3,192.96,337.265,14.2761,2.3114
bet,7,0,4,194.945,337.59,2.6482,1.7318
bet,7,0,5,196.67,337.27,157.2856,1.8646
bet,7,0,6,198.255,336.225,136.625,1.9948
bet,7,0,7,199.77,334.24,121.2867,3.0424
bet,7,0,8,201.245,331.75,119.9259,2.7461
bet,7,0,9,202.0,329.52,93.8506,2.0847
bet,7,0,10,201.89,327.145,82.3211,2.6942
bet,7,0,11,206.29,336.365,66.5431,23.0117
bet,7,0,12,210.04,346.02,47.317,2.4486
bet,7,0,13,208.055,344.545,26.4657,2.5804
bet,7,0,14,205.605,343.465,21.3038,2.78
bet,7,0,15,203.12,342.67,13.6959,2.4497
bet,7,0,16,200.345,342.455,177.291,3.1735
bet,7,0,17,197.825,342.78,165.0304,1.9357
bet,7,0,18,196.13,343.86,132.4792,2.2508
bet,7,0,19,195.085,345.48,109.8376,1.6797
bet,7,0,20,194.695,347.32,95.7104,2.1105
bet,7,0,21,210.15,384.14,66.4909,78.0156
bet,7,0,22,226.215,420.13,23.54,1.1017
bet,7,0,23,227.15,420.42,9.2451,0.8713
bet,7,0,24,228.23,420.275,161.6977,1.3693
bet,7,0,25,233.24,417.395,148.5651,10.2199
bet,7,0,26,238.175,414.26,140.7379,1.4853
bet,7,0,27,238.895,413.285,106.0198,1.0508
bet,7,0,28,239.075,412.42,95.5523,0.7234
bet,7,0,29,240.48,415.195,66.3945,6.8426
bet,7,0,30,241.415,418.15,22.4792,0.9416
bet,7,0,31,240.48,417.97,0.0,1.0
bet,7,0,32,239.33,418.15,164.5214,1.3489
bet,7,0,33,233.635,421.465,148.1429,11.8794
bet,7,0,34,228.41,424.885,122.276,0.6742
bet,7,0,35,228.16,425.71,97.386,1.089
bet,7,0,36,228.16,426.83,83.1183,1.1684
bet,7,0,37,237.78,448.055,65.1756,45.4937
bet,7,0,38,248.3,469.31,32.1644,2.2917
bet,7,0,39,250.315,470.135,11.6261,2.1338
bet,7,0,40,252.37,470.245,174.0647,2.0309
bet,7,0,41,256.155,468.95,156.7889,6.0388
bet,7,0,42,259.36,467.255,130.4136,1.3265
bet,7,0,43,260.295,466.065,126.399,1.7021
bet,7,0,44,260.98,464.155,98.3595,2.4763
bet,7,0,45,262.925,466.965,66.3743,8.8083
bet,7,0,46,255.145,475.18,156.3502,20.8403
bet,7,0,47,245.06,479.9,135.0004,1.5274
bet,7,0,48,244.375,481.375,98.815,1.8923
bet,7,0,49,244.375,483.105,79.6637,1.6162
bet,7,0,50,252.085,501.3,66.502,37.9468
bet,7,0,51,249.525,522.915,157.3982,21.9346
bet,7,0,52,219.08,478.24,67.4309,105.8893
bet,7,0,53,202.58,427.55,154.77,8.4457
bet,7,0,54,207.66,425.82,3.1798,2.5239
bet,7,0,55,214.935,423.335,156.9856,13.0703
bet,7,0,56,175.41,315.505,66.6076,229.4055
bet,7,0,57,129.045,209.365,46.3561,2.3907
bet,7,0,58,127.28,208.105,22.7929,2.0392
bet,7,0,59,125.44,207.6,6.9683,1.8134
bet,7,0,60,123.46,207.745,166.7149,2.2194
bet,7,0,61,117.59,209.945,157.9001,10.3397
bet,7,0,62,111.755,212.575,146.7551,2.499
bet,7,0,63,110.71,213.8,90.0,1.08
bet,7,0,64,110.89,214.95,73.5599,1.272
bet,7,0,65,111.465,216.245,60.0301,1.5815
bet,7,0,66,103.97,220.57,155.2341,17.3783
bet,7,0,67,92.37,215.85,66.0693,18.2925
bet,7,0,68,89.81,206.845,150.7137,2.6371
bet,7,0,69,90.495,205.37,60.7407,1.9028
bet,7,0,70,90.82,204.145,153.4346,1.7665
bet,7,0,71,90.06,200.215,66.3239,7.7198
bet,7,0,72,92.585,194.845,155.7577,8.9382
bet,7,0,73,97.485,193.55,33.2062,1.972
bet,7,0,74,99.61,193.335,149.8536,3.0067
bet,7,0,75,103.18,197.765,66.3561,11.3203
bet,7,0,76,105.88,203.815,63.5673,1.932
bet,7,0,77,107.14,205.365,39.5329,2.1523
bet,7,0,78,109.05,206.52,23.518,2.3557
bet,7,0,79,111.065,207.135,8.8155,1.8924
bet,7,0,80,116.36,205.225,154.764,9.6401
bet,7,0,81,121.335,202.665,140.6098,1.5915
bet,7,0,82,122.38,201.405,119.6629,1.7377
bet,7,0,83,123.135,198.885,100.4333,3.5893
bet,7,0,84,123.39,196.0,86.4237,2.2444
bet,7,0,85,113.05,171.57,66.2225,50.9442
bet,7,0,86,102.89,146.785,94.265,2.9582
bet,7,0,87,103.465,143.975,109.2039,2.8273
bet,7,0,88,104.615,140.985,112.4846,3.5823
bet,7,0,89,105.985,138.79,141.7502,1.7445
bet,7,0,90,112.365,135.62,155.2121,12.5459
bet,7,0,91,119.895,137.24,66.647,9.2584
bet,7,0,92,120.94,140.805,40.9281,2.0912
bet,7,0,93,119.25,139.76,21.8014,1.9387
bet,7,0,94,117.015,139.58,172.3207,2.6942
bet,7,0,95,113.735,140.59,156.8907,4.2294
bet,7,0,96,110.67,142.25,143.4583,2.7881
bet,7,0,97,109.12,144.05,113.9076,2.1221
bet,7,0,98,108.545,146.065,97.8998,2.11
bet,7,0,99,108.545,148.12,81.8302,2.0407
bet,7,0,100,138.735,218.735,66.6526,151.6253
bet,7,0,101,169.505,288.95,40.0767,1.895
bet,7,0,102,170.875,289.885,26.7423,1.4445
bet,7,0,103,172.46,290.465,15.178,1.948
bet,7,0,104,174.445,290.61,173.991,2.1015
bet,7,0,105,176.46,290.03,154.1481,2.1557
bet,7,0,106,178.115,288.84,133.5732,1.9876
bet,7,0,107,179.45,287.365,130.7256,1.9925
bet,7,0,108,180.53,285.6,113.0616,2.1954
bet,7,0,109,181.25,282.0,96.3888,5.2124
bet,7,0,110,185.465,288.485,66.6112,19.7749
bet,7,0,111,188.565,296.875,39.7027,2.1446
bet,7,0,112,186.765,295.69,27.1497,2.1915
bet,7,0,113,184.6,294.9,13.6956,2.4496
bet,7,0,114,182.26,294.43,8.8962,2.328
bet,7,0,115,180.025,294.25,0.0,2.17
bet,7,0,116,178.15,294.645,153.4347,1.7665
bet,7,0,117,176.46,295.94,135.0002,2.5456
bet,7,0,118,175.165,297.635,116.421,1.7754
bet,7,0,119,174.695,299.545,93.848,2.235
bet,7,0,120,174.73,301.815,84.5596,2.3205
bet,8,0,0,120.505,324.365,140.9678,62.7066
bet,8,0,1,145.475,303.9,130.5027,1.8938
bet,8,0,2,146.415,302.425,113.2903,1.644
bet,8,0,3,146.74,300.77,90.0,1.8
bet,8,0,4,145.405,293.095,78.8528,13.8106
bet,8,0,5,143.89,285.675,74.4073,1.3393
bet,8,0,6,143.53,284.42,73.5592,1.272
bet,8,0,7,146.34,281.425,141.4219,7.6494
bet,8,0,8,149.15,279.69,105.4785,1.3489
bet,8,0,9,148.79,281.06,104.0365,1.4843
bet,8,0,10,148.645,282.43,86.9182,1.3019
bet,8,0,11,150.015,289.35,77.9801,12.8211
bet,8,0,12,151.925,296.555,58.4097,2.1953
bet,8,0,13,153.295,298.03,34.1859,1.9221
bet,8,0,14,154.99,298.68,6.9683,1.8134
bet,8,0,15,156.61,298.61,165.9643,1.4843
bet,8,0,16,159.275,297.275,149.2969,4.5242
bet,8,0,17,161.87,295.365,130.7259,1.9925
bet,8,0,18,162.95,293.71,115.5376,1.9949
bet,8,0,19,163.45,291.8,93.9646,2.0249
bet,8,0,20,163.415,289.17,86.2914,3.2468
bet,8,0,21,167.13,296.375,66.594,19.2326
bet,8,0,22,169.435,303.76,43.546,4.1804
bet,8,0,23,167.02,301.995,19.855,1.9138
bet,8,0,24,165.185,301.455,12.9497,1.9188
bet,8,0,25,163.275,301.385,171.5417,1.9714
bet,8,0,26,161.4,301.815,162.4286,1.8881
bet,8,0,27,159.745,302.64,144.4259,1.8565
bet,8,0,28,158.265,303.9,135.1981,2.0436
bet,8,0,29,156.93,305.705,119.3454,2.4894
bet,8,0,30,156.03,307.905,104.579,2.3042
bet,8,0,31,155.635,310.64,93.7086,3.2468
bet,8,0,32,155.745,314.205,83.6921,3.9137
bet,8,0,33,162.48,330.705,65.8697,31.8972
bet,8,0,34,169.9,345.985,38.8536,2.3114
bet,8,0,35,171.63,346.85,9.5743,1.6834
bet,8,0,36,173.47,346.99,0.0,2.02
bet,8,0,37,175.885,346.525,161.6873,2.9599
bet,8,0,38,178.66,345.195,147.7322,3.2404
bet,8,0,39,180.82,343.57,136.1088,2.1924
bet,8,0,40,182.365,341.91,129.9928,2.3495
bet,8,0,41,183.445,340.255,113.2905,1.644
bet,8,0,42,183.805,338.78,92.7827,1.4417
bet,8,0,43,183.915,337.16,94.7634,1.8062
bet,8,0,44,183.88,335.575,80.8776,1.3875
bet,8,0,45,187.3,342.995,66.4653,17.6807
bet,8,0,46,190.075,350.345,45.0003,2.1355
bet,8,0,47,188.6,349.085,35.0452,1.7589
bet,8,0,48,186.98,348.435,9.1526,1.8232
bet,8,0,49,185.0,348.4,174.1844,2.1712
bet,8,0,50,179.63,350.345,156.8416,9.332
bet,8,0,51,174.69,352.72,140.2813,1.6901
bet,8,0,52,173.755,353.8,117.8244,1.2212
bet,8,0,53,173.325,354.81,107.146,0.9837
bet,8,0,54,173.325,355.785,73.9792,1.0508
bet,8,0,55,180.785,372.36,65.5252,35.3131
bet,8,0,56,180.17,391.67,157.7763,17.1327
bet,8,0,57,171.34,392.785,67.0461,4.6155
bet,8,0,58,167.485,390.085,11.0114,6.0209
bet,8,0,59,163.345,390.085,154.1156,2.6343
bet,8,0,60,153.15,368.865,67.5399,47.1679
bet,8,0,61,142.265,347.07,0.0,3.75
bet,8,0,62,128.61,355.715,143.7261,29.2236
