airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
bfm,0,path,,UNLABELED,125.16,354.44,168.16,305.65,43.0,48.79,2097.9697,188.1618,70.6434,146.66,330.045,0.8813,10,1,0,1,rgb,207,207,207,0,none,,,,0.0,131.9484,215.8702,131.2492,27.2395,0.0,594.0,387.36,0.0,298.1766
bfm,1,path,,UNLABELED,169.94,303.01,186.48,282.07,16.54,20.94,346.3475,80.0911,48.2611,178.21,292.54,0.7899,11,1,0,1,rgb,207,207,207,0,none,,,,0.0,120.9691,22.964,126.7459,11.082,0.0,594.0,387.36,0.0,103.3589
bfm,2,path,,UNLABELED,156.97,369.23,165.45,361.72,8.48,7.51,63.6849,45.4409,29.0124,161.21,365.475,1.1292,17,1,0,1,rgb,207,207,207,0,none,,,,0.0,44.0981,2.8786,89.5124,7.0503,0.0,594.0,387.36,0.0,51.8332
bfm,3,path,,UNLABELED,309.32,117.26,320.28,110.55,10.96,6.71,73.5414,33.1483,20.1189,314.8,113.905,1.6334,9,1,0,1,rgb,207,207,207,0,none,,,,0.0,163.6291,3.1752,176.6447,5.9803,0.0,594.0,387.36,0.0,40.4097
bfm,4,path,,UNLABELED,164.64,309.12,173.96,299.61,9.32,9.51,88.6332,48.4993,19.346,169.3,304.365,0.98,11,1,0,1,rgb,207,207,207,0,none,,,,0.0,134.0435,3.0016,130.8698,6.4798,0.0,594.0,387.36,0.0,48.6742
bfm,5,path,,UNLABELED,118.74,360.9,128.5,350.67,9.76,10.23,99.8449,51.2403,28.6878,123.62,355.785,0.9541,12,1,0,1,rgb,207,207,207,0,none,,,,0.0,134.8325,2.3965,129.9285,6.5593,0.0,594.0,387.36,0.0,53.5614
bfm,6,path,,UNLABELED,101.73,379.53,113.36,367.05,11.63,12.48,145.1424,70.6436,28.6523,107.545,373.29,0.9319,12,1,0,1,rgb,207,207,207,0,none,,,,0.0,126.4274,1.7974,34.2426,6.3267,0.0,594.0,387.36,0.0,76.647
bfm,7,path,,UNLABELED,324.68,134.81,334.18,117.71,9.5,17.1,162.4498,94.3612,39.3337,329.43,126.26,0.5556,16,1,0,1,rgb,207,207,207,0,none,,,,0.0,121.785,2.8473,128.179,8.9303,0.0,594.0,387.36,0.0,101.5209
bfm,8,path,,UNLABELED,183.26,284.85,192.37,275.2,9.11,9.65,87.9115,47.935,18.7627,187.815,280.025,0.944,14,1,0,1,rgb,207,207,207,0,none,,,,0.0,127.7811,4.4723,127.9386,6.3271,0.0,594.0,387.36,0.0,48.4397
bfm,9,path,,UNLABELED,230.0,235.98,239.4,218.76,9.4,17.22,161.8679,69.6178,36.9389,234.7,227.37,0.5459,15,1,0,1,rgb,207,207,207,0,none,,,,0.0,94.8836,2.9671,90.0333,17.22,0.0,594.0,387.36,0.0,86.0616
bfm,10,path,,UNLABELED,170.36,273.85,180.55,263.53,10.19,10.32,105.1606,38.3743,28.5152,175.455,268.69,0.9874,18,1,0,1,rgb,207,207,207,0,none,,,,0.0,131.6477,5.6709,131.2856,12.4429,0.0,594.0,387.36,0.0,51.4689
bfm,11,path,,UNLABELED,232.58,305.86,239.35,298.45,6.77,7.41,50.1658,15.7977,20.8594,235.965,302.155,0.9136,21,1,0,1,rgb,207,207,207,0,none,,,,0.0,113.5008,1.454,90.0,7.41,0.0,594.0,387.36,0.0,30.3799
bfm,12,path,,UNLABELED,104.39,363.37,113.62,354.05,9.23,9.32,86.0236,37.4897,26.2716,109.005,358.71,0.9903,9,1,0,1,rgb,207,207,207,0,none,,,,0.0,55.993,2.0433,128.4104,6.1002,0.0,594.0,387.36,0.0,41.4998
bfm,13,path,,UNLABELED,85.06,374.16,91.81,364.6,6.75,9.56,64.53,26.1437,21.4221,88.435,369.38,0.7061,12,1,0,1,rgb,207,207,207,0,none,,,,0.0,83.7201,3.2833,131.2223,7.4053,0.0,594.0,387.36,0.0,32.5098
bfm,14,path,,UNLABELED,224.76,369.22,239.32,358.04,14.56,11.18,162.7807,80.929,37.8034,232.04,363.63,1.3023,21,1,0,1,rgb,207,207,207,0,none,,,,0.0,6.9309,1.1596,179.9509,11.68,0.0,594.0,387.36,0.0,120.0065
bfm,15,path,,UNLABELED,244.8,230.03,327.26,132.97,82.46,97.06,8003.5666,335.4575,183.6951,286.03,181.5,0.8496,24,1,0,1,rgb,207,207,207,0,none,,,,0.0,131.8145,266.745,131.2492,114.1453,0.0,594.0,387.36,0.0,650.1819
bfm,16,path,,UNLABELED,169.72,315.58,232.94,302.19,63.22,13.39,846.5167,157.1184,88.3203,201.33,308.885,4.7214,21,1,0,1,rgb,207,207,207,0,none,,,,0.0,175.0032,19.3083,166.6975,44.5041,0.0,594.0,387.36,0.0,449.348
bfm,17,path,,UNLABELED,189.0,278.13,233.01,231.13,44.01,47.0,2068.4697,179.5944,127.7544,211.005,254.63,0.9364,10,1,0,1,rgb,207,207,207,0,none,,,,0.0,134.3545,278.1724,131.256,46.1311,0.0,594.0,387.36,0.0,251.719
bfm,18,path,,UNLABELED,89.6,380.78,106.96,371.61,17.36,9.17,159.1912,60.349,37.6276,98.28,376.195,1.8931,22,1,0,1,rgb,207,207,207,0,none,,,,0.0,22.9502,4.7948,41.2455,7.2351,0.0,594.0,387.36,0.0,75.4541
bfm,19,path,,UNLABELED,96.99,357.39,107.31,347.0,10.32,10.39,107.2248,38.3838,29.1008,102.15,352.195,0.9933,18,1,0,1,rgb,207,207,207,0,none,,,,0.0,131.6234,5.7053,131.2071,12.7204,0.0,594.0,387.36,0.0,52.3776
bfm,20,path,,UNLABELED,315.33,124.73,330.2,111.47,14.87,13.26,197.1758,103.2714,31.7622,322.765,118.1,1.1214,8,1,0,1,rgb,207,207,207,0,none,,,,0.0,67.1572,1.595,41.2314,9.4674,0.0,594.0,387.36,0.0,105.7139
bfm,21,path,,UNLABELED,194.59,470.08,209.59,453.0,15.0,17.08,256.1999,58.3926,47.6637,202.09,461.54,0.8782,29,1,0,1,rgb,207,207,207,0,none,,,,0.0,126.067,12.4272,126.2282,13.2148,0.0,594.0,387.36,0.0,100.9414
bfm,22,path,,UNLABELED,177.64,280.19,187.15,270.49,9.51,9.7,92.2472,39.6295,27.2163,182.395,275.34,0.9804,10,1,0,1,rgb,207,207,207,0,none,,,,0.0,60.511,2.4989,127.9384,6.3271,0.0,594.0,387.36,0.0,44.2943
bfm,23,path,,UNLABELED,109.25,370.83,122.71,356.83,13.46,14.0,188.4401,87.6781,40.5225,115.98,363.83,0.9614,26,1,0,1,rgb,207,207,207,0,none,,,,0.0,147.1384,2.7869,128.4105,6.1002,0.0,594.0,387.36,0.0,101.076
bfm,24,path,,UNLABELED,244.72,369.1,262.49,358.15,17.77,10.95,194.5813,98.1536,53.7318,253.605,363.625,1.6228,18,1,0,1,rgb,207,207,207,0,none,,,,0.0,178.5695,2.1917,179.923,14.89,0.0,594.0,387.36,0.0,144.4301
bfm,25,path,,UNLABELED,124.16,365.26,156.97,355.71,32.81,9.55,313.3356,101.4085,73.75,140.565,360.485,3.4356,27,1,0,1,rgb,207,207,207,0,none,,,,0.0,8.4507,29.5858,179.2397,10.5509,0.0,594.0,387.36,0.0,184.8212
bfm,26,path,,UNLABELED,69.04,366.61,89.3,350.83,20.26,15.78,319.7028,199.7877,59.1442,79.17,358.72,1.2839,28,1,0,1,rgb,207,207,207,0,none,,,,0.0,12.073,3.142,131.263,12.585,0.0,594.0,387.36,0.0,218.2668
bfm,27,path,,UNLABELED,254.41,217.96,285.95,193.89,31.54,24.07,759.1669,173.3754,88.1345,270.18,205.925,1.3103,15,1,0,1,rgb,207,207,207,0,none,,,,0.0,141.1491,3.9076,131.2417,31.9309,0.0,594.0,387.36,0.0,355.839
bfm,28,path,,UNLABELED,165.39,369.26,200.59,351.4,35.2,17.86,628.6722,433.1976,102.3772,182.99,360.33,1.9709,42,1,0,1,rgb,207,207,207,0,none,,,,0.0,174.1837,6.2899,0.0,20.83,0.0,594.0,387.36,0.0,523.4766
bfm,29,path,,UNLABELED,157.46,391.27,166.44,369.14,8.98,22.13,198.7273,117.5937,61.7276,161.95,380.205,0.4058,25,1,0,1,rgb,207,207,207,0,none,,,,0.0,92.6501,7.09,90.0,11.64,0.0,594.0,387.36,0.0,158.8735
bfm,30,path,,UNLABELED,189.48,502.9,202.05,466.61,12.57,36.29,456.165,254.0615,86.9764,195.765,484.755,0.3464,32,1,0,1,rgb,207,207,207,0,none,,,,0.0,85.2218,6.4218,72.8908,19.5449,0.0,594.0,387.36,0.0,317.6851
bfm,31,path,,UNLABELED,130.41,479.71,239.25,392.57,108.84,87.14,9484.3172,622.0965,285.6348,184.83,436.14,1.249,30,1,0,1,rgb,207,207,207,0,none,,,,0.0,36.1179,188.4707,36.9219,118.9561,0.0,594.0,387.36,0.0,846.0898
bfm,32,path,,UNLABELED,108.9,395.8,132.55,373.84,23.65,21.96,519.3538,111.2396,61.4983,120.725,384.82,1.077,14,1,0,1,rgb,207,207,207,0,none,,,,0.0,40.5524,18.1638,37.8044,25.6294,0.0,594.0,387.36,0.0,142.1214
bfm,33,path,,UNLABELED,102.1,513.16,187.94,430.95,85.84,82.21,7056.9067,2963.8462,432.0809,145.02,472.055,1.0442,153,1,0,1,rgb,207,207,207,0,none,,,,0.0,132.0589,2.5017,159.7956,31.8498,0.0,594.0,387.36,0.0,4578.1199
bfm,34,path,,UNLABELED,94.29,458.01,175.68,380.09,81.39,77.92,6341.9086,2842.4346,315.5939,134.985,419.05,1.0445,40,1,0,1,rgb,207,207,207,0,none,,,,0.0,69.4458,1.5905,37.8276,57.314,0.0,594.0,387.36,0.0,3424.8999
bfm,35,path,,UNLABELED,236.25,204.16,244.84,187.96,8.59,16.2,139.158,75.6724,27.9928,240.545,196.06,0.5302,17,1,0,1,rgb,207,207,207,0,none,,,,0.0,97.3355,1.9373,131.2645,13.0243,0.0,594.0,387.36,0.0,86.7392
bfm,36,path,,UNLABELED,239.67,185.66,245.83,175.15,6.16,10.51,64.7417,42.0676,18.7559,242.75,180.405,0.5861,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,115.0174,3.1168,131.2326,9.2548,0.0,594.0,387.36,0.0,42.0676
bfm,37,path,,UNLABELED,239.25,494.54,244.69,485.23,5.44,9.31,50.6463,50.2221,20.6011,241.97,489.885,0.5843,6,1,0,1,rgb,207,207,207,0,none,,,,0.0,90.0044,2.4916,90.0,8.84,0.0,594.0,387.36,0.0,50.3521
bfm,38,path,,UNLABELED,244.65,494.05,252.94,475.0,8.29,19.05,157.9243,71.9965,34.5017,248.795,484.525,0.4352,9,1,0,1,rgb,207,207,207,0,none,,,,0.0,86.6686,5.5529,126.9198,13.784,0.0,594.0,387.36,0.0,78.9622
bfm,39,path,,UNLABELED,100.76,335.49,103.48,332.51,2.72,2.98,8.1056,2.1036,4.7844,102.12,334.0,0.9127,4,1,0,1,rgb,0,0,0,0,none,,,,0.0,131.2031,9.9886,120.4234,3.4559,0.0,594.0,387.36,0.0,2.1978
bfm,40,path,,UNLABELED,248.74,419.03,248.75,409.31,0.01,9.72,0.0971,0.0,9.72,248.745,414.17,0.001,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,90.0589,1000000.0,90.0589,9.72,0.0,594.0,387.36,0.0,0.0
