airport,object_id,subpath_index,edge_index,mid_x,mid_y,angle,length
bfm,0,0,0,126.83,352.555,48.461,5.0367
bfm,0,0,1,129.615,352.09,115.383,5.2022
bfm,0,0,2,134.045,345.3,126.7458,11.082
bfm,0,0,3,146.34,330.62,131.2492,27.2395
bfm,0,0,4,159.29,316.515,135.7679,11.0813
bfm,0,0,5,165.23,311.13,142.3471,4.9765
bfm,0,0,6,167.43,309.465,147.77,0.5438
bfm,0,0,7,167.91,309.22,158.2004,0.5385
bfm,0,0,8,166.4,307.385,44.5901,4.9428
bfm,1,0,0,184.89,283.46,41.1605,4.2238
bfm,1,0,1,183.19,282.315,114.1797,0.5371
bfm,1,0,2,181.72,284.83,120.9266,5.2925
bfm,1,0,3,177.92,290.195,128.2511,7.8823
bfm,1,0,4,172.71,296.45,131.2372,8.4044
bfm,1,0,5,171.89,301.31,41.0817,5.174
bfm,1,0,6,173.845,302.975,98.1249,0.0707
bfm,1,0,7,173.905,302.78,108.9701,0.3384
bfm,1,0,8,175.085,300.245,115.3462,5.2559
bfm,1,0,9,179.525,293.43,126.7459,11.082
bfm,2,0,0,165.125,368.77,0.0,0.65
bfm,2,0,1,165.42,365.245,89.5124,7.0503
bfm,2,0,2,163.77,361.72,0.0,3.24
bfm,2,0,3,160.615,361.76,178.5073,3.071
bfm,2,0,4,158.025,361.895,174.8545,2.1185
bfm,2,0,5,156.97,363.06,90.0,2.14
bfm,2,0,6,157.4,364.2,9.2461,0.8713
bfm,2,0,7,158.24,364.42,20.0953,0.8732
bfm,2,0,8,159.02,364.8,31.8658,0.8713
bfm,2,0,9,159.71,365.325,42.6728,0.8705
bfm,2,0,10,160.285,365.975,54.3091,0.8742
bfm,2,0,11,160.72,366.725,65.5016,0.8682
bfm,2,0,12,161.0,367.545,76.7595,0.8732
bfm,2,0,13,161.1,368.555,90.0,1.17
bfm,2,0,14,162.64,369.185,1.674,3.0813
bfm,2,0,15,164.325,369.1,138.1204,0.3895
bfm,3,0,0,317.295,111.805,176.6447,5.9803
bfm,3,0,1,313.525,111.265,42.3279,2.1236
bfm,3,0,2,311.03,112.495,131.3212,5.1796
bfm,3,0,3,309.84,114.455,1.6523,1.0404
bfm,3,0,4,310.675,114.495,4.5394,0.632
bfm,3,0,5,311.29,114.61,16.6984,0.6264
bfm,3,0,6,311.87,114.85,28.1777,0.6353
bfm,3,0,7,313.74,116.13,35.4013,3.9013
bfm,4,0,0,166.4,307.385,44.5901,4.9428
bfm,4,0,1,168.425,309.06,167.2429,0.5434
bfm,4,0,2,168.96,308.99,177.8768,0.5404
bfm,4,0,3,169.475,309.015,8.1309,0.495
bfm,4,0,4,171.84,306.6,130.8698,6.4798
bfm,4,0,5,173.915,304.045,66.8014,0.2285
bfm,4,0,6,173.835,303.775,78.0258,0.3374
bfm,4,0,7,173.795,303.44,88.3137,0.3401
bfm,4,0,8,173.815,303.14,100.8858,0.2648
bfm,4,0,9,171.89,301.31,41.0817,5.174
bfm,5,0,0,126.83,352.555,48.461,5.0367
bfm,5,0,1,123.315,352.775,131.234,5.5982
bfm,5,0,2,120.105,355.855,144.4624,3.3549
bfm,5,0,3,120.725,358.865,45.7126,5.6856
bfm,5,0,4,122.885,360.845,162.5526,0.3669
bfm,5,0,5,123.335,360.755,172.7461,0.5544
bfm,5,0,6,123.885,360.73,2.083,0.5504
bfm,5,0,7,126.265,358.225,129.9285,6.5593
bfm,5,0,8,128.34,355.55,79.381,0.3256
bfm,5,0,9,128.315,355.225,91.7374,0.3302
bfm,5,0,10,128.35,354.9,100.6195,0.3256
bfm,6,0,0,112.355,373.615,83.6594,0.4528
bfm,6,0,1,112.345,373.165,93.8149,0.451
bfm,6,0,2,112.42,372.72,105.2544,0.4561
bfm,6,0,3,112.92,371.665,117.787,1.8877
bfm,6,0,4,111.305,368.94,42.605,5.5839
bfm,6,0,5,108.18,368.84,120.8696,4.1708
bfm,6,0,6,106.245,371.62,131.1448,2.6293
bfm,6,0,7,103.555,374.1,140.7705,4.712
bfm,6,0,8,104.345,377.37,34.2426,6.3267
bfm,6,0,9,107.685,379.26,8.6274,1.4666
bfm,6,0,10,108.655,379.45,18.0839,0.5155
bfm,7,0,0,332.115,119.39,41.26,5.0949
bfm,7,0,1,327.44,121.22,128.179,8.9303
bfm,7,0,2,325.03,125.25,56.0562,1.2536
bfm,7,0,3,325.635,126.345,66.0845,1.258
bfm,7,0,4,326.04,127.53,76.1842,1.2563
bfm,7,0,5,326.23,128.765,86.3387,1.2526
bfm,7,0,6,326.2,130.015,96.3898,1.2578
