airport,object_id,subpath_index,edge_index,mid_x,mid_y,angle,length
bif,0,0,0,228.388,245.571,14.9373,3.8874
bif,0,0,1,230.516,245.1335,104.9161,1.9425
bif,0,0,2,232.6055,244.6855,14.9303,3.8075
bif,0,0,3,234.8375,243.704,104.9303,3.0469
bif,0,0,4,233.4115,241.747,14.9334,3.7641
bif,0,0,5,232.0365,239.5985,104.9284,3.4432
bif,0,0,6,234.1435,238.3785,14.9286,3.4432
bif,0,0,7,236.251,237.1585,104.9442,3.4435
bif,0,0,8,235.0315,235.051,14.9443,3.4435
bif,0,0,9,233.8905,232.649,104.9415,4.053
bif,0,0,10,236.3715,231.213,14.9242,4.0537
bif,0,0,11,238.852,229.7765,104.9241,4.0538
bif,0,0,12,237.4155,227.2955,14.9376,4.054
bif,0,0,13,235.854,225.286,104.948,3.0782
bif,0,0,14,238.412,224.3755,14.937,4.4732
bif,0,0,15,241.214,222.5485,104.9329,4.975
bif,0,0,16,239.8405,219.6075,14.9395,4.17
bif,0,0,17,238.0045,218.402,104.9612,1.3829
bif,0,0,18,235.906,217.1265,14.9384,4.7133
bif,0,0,19,229.8375,230.7325,104.9361,29.421
bif,1,0,0,164.954,113.452,135.0,1.7253
bif,1,0,1,163.734,113.452,45.0,1.7253
bif,1,0,2,163.734,112.232,135.0,1.7253
bif,1,0,3,164.954,112.232,45.0,1.7253
bif,2,0,0,168.451,113.514,135.0,1.7253
bif,2,0,1,167.231,113.514,45.0,1.7253
bif,2,0,2,167.231,112.294,135.0,1.7253
bif,2,0,3,168.451,112.294,45.0,1.7253
bif,3,0,0,135.871,85.036,135.0,1.7253
bif,3,0,1,134.651,85.036,45.0,1.7253
bif,3,0,2,134.651,83.816,135.0,1.7253
bif,3,0,3,135.871,83.816,45.0,1.7253
bif,4,0,0,124.7005,137.506,21.1478,6.4472
bif,4,0,1,121.7615,128.952,58.539,22.7832
bif,4,0,2,102.8525,116.7135,11.007,26.4129
bif,4,0,3,89.889,111.9835,90.0,4.417
bif,4,0,4,104.335,112.5855,11.0095,29.4337
bif,4,0,5,135.811,143.2285,58.5386,65.2585
bif,4,0,6,148.9855,173.42,148.5394,9.0399
bif,4,0,7,138.3235,164.655,58.5386,26.0823
bif,4,0,8,133.439,152.355,148.5392,4.5065
bif,4,0,9,132.8905,147.1415,58.5381,9.4667
bif,4,0,10,125.699,141.2775,21.1508,10.124
bif,4,0,11,121.336,139.451,0.0,0.716
bif,5,0,0,121.336,139.451,0.0,0.716
bif,5,0,1,121.694,137.897,90.0,3.108
bif,5,0,2,89.009,127.0705,15.8383,67.9496
bif,5,0,3,55.6055,117.529,20.5252,1.5344
bif,5,0,4,54.6605,116.694,68.1899,1.2193
bif,5,0,5,55.4255,111.74,102.7326,8.9972
bif,5,0,6,73.153,110.7715,11.5477,34.1635
