airport,object_id,subpath_index,edge_index,mid_x,mid_y,angle,length
bkf,0,0,0,117.295,303.796,118.8603,10.2512
bkf,0,0,1,117.1325,309.426,26.2719,5.1556
bkf,0,0,2,115.942,317.043,118.403,14.7245
bkf,0,0,3,124.33,330.072,28.8607,27.1525
bkf,0,0,4,140.4105,329.103,119.1221,17.221
bkf,0,0,5,148.2925,323.599,28.6638,8.4142
bkf,0,0,6,157.6995,328.77,28.8837,13.055
bkf,0,0,7,170.604,335.8675,28.753,16.4001
bkf,0,0,8,183.29,342.898,29.3097,12.608
bkf,0,0,9,189.792,346.8575,40.9954,2.6631
bkf,0,0,10,191.262,348.9785,69.5575,2.6627
bkf,0,0,11,193.868,346.4285,119.414,8.7189
bkf,0,0,12,195.955,342.6415,168.9986,0.11
bkf,0,0,13,193.35,342.225,9.5024,5.173
bkf,0,0,14,172.039,331.4495,28.8822,42.8499
bkf,0,0,15,153.9675,319.8515,118.856,2.8533
bkf,0,0,16,146.0825,313.8515,28.9905,19.6033
bkf,0,0,17,137.462,309.0705,32.9804,0.1121
bkf,0,0,18,136.5795,308.573,29.2028,1.9143
bkf,0,0,19,135.723,308.097,23.2011,0.0457
bkf,0,0,20,127.7355,303.6975,28.8601,18.1925
bkf,1,0,0,164.518,399.979,0.0,0.12
bkf,1,0,1,164.518,399.979,0.0,0.12
bkf,2,0,0,159.5105,409.1375,118.3783,20.8188
bkf,2,0,1,154.599,417.394,92.2857,1.8054
bkf,2,0,2,154.262,415.574,67.8871,1.9818
bkf,2,0,3,153.1555,413.989,42.2815,1.9828
bkf,2,0,4,151.563,413.0445,17.9033,1.8054
bkf,2,0,5,137.388,412.5795,0.8067,26.6346
bkf,2,0,6,122.357,412.5115,176.0139,3.4383
bkf,2,0,7,118.9865,413.098,164.2469,3.4402
bkf,2,0,8,106.2295,418.9115,154.2845,24.6437
bkf,2,0,9,94.9525,424.9825,103.6167,1.4909
bkf,2,0,10,95.277,426.26,47.8815,1.4911
bkf,2,0,11,115.4,427.1185,0.8919,39.2508
bkf,2,0,12,132.7525,431.5545,118.7973,9.4268
bkf,2,0,13,130.372,435.9845,110.1673,0.6381
bkf,2,0,14,128.0845,440.1375,119.4695,8.8523
bkf,2,0,15,125.9105,443.9925,23.2514,0.0076
bkf,2,0,16,121.9935,451.095,118.9033,16.2228
bkf,2,0,17,117.907,459.2095,99.3018,2.054
bkf,2,0,18,118.297,461.086,57.2077,2.0532
bkf,2,0,19,121.7765,463.5485,28.6839,6.6649
bkf,2,0,20,126.9065,464.6585,167.4918,4.5203
bkf,2,0,21,126.829,468.147,119.8626,9.1741
bkf,2,0,22,118.698,468.9025,28.8608,13.3524
bkf,2,0,23,112.8425,465.6745,32.8818,0.0203
bkf,2,0,24,112.2835,464.9815,51.3148,1.7615
bkf,2,0,25,111.7135,463.4135,88.7313,1.7614
bkf,2,0,26,113.092,460.0335,119.2187,5.7278
bkf,2,0,27,114.5105,456.907,91.8727,1.2547
bkf,2,0,28,114.0135,455.927,34.2986,1.2529
bkf,2,0,29,113.4825,455.543,66.472,0.0676
bkf,2,0,30,107.8265,455.4245,0.8884,11.2864
bkf,2,0,31,102.21,453.653,90.8846,3.3684
bkf,2,0,32,98.1765,451.9055,0.8962,8.12
bkf,2,0,33,94.091,453.5235,90.8858,3.3634
bkf,2,0,34,70.3185,454.8355,0.8915,47.4988
bkf,2,0,35,46.571,454.466,0.0,0.002
bkf,2,0,36,46.7925,440.2565,90.8971,28.4225
bkf,2,0,37,56.7865,426.1685,0.7124,19.5445
bkf,2,0,38,67.2815,425.896,151.4281,1.6477
bkf,2,0,39,68.195,425.1065,115.6601,0.8775
bkf,2,0,40,68.4,424.309,92.1368,0.8046
bkf,2,0,41,66.101,419.147,64.074,10.5853
bkf,2,0,42,61.9415,412.8615,39.5774,4.7888
bkf,2,0,43,57.3415,411.2995,0.7592,5.5095
bkf,2,0,44,54.632,408.3775,90.8935,5.7717
bkf,2,0,45,104.5675,406.2905,0.9169,99.7938
bkf,2,0,46,159.458,403.534,144.5872,12.27
bkf,2,1,0,108.314,413.1745,77.0672,0.7685
bkf,2,1,1,107.928,412.5605,38.6015,0.7678
bkf,2,1,2,89.141,411.929,1.2147,36.9823
bkf,2,1,3,69.731,412.0205,152.353,2.0839
bkf,2,1,4,68.6205,413.528,100.3762,2.0821
bkf,2,1,5,70.613,418.945,63.6074,9.8083
bkf,2,1,6,72.9865,423.8055,67.5154,1.0119
bkf,2,1,7,75.5065,425.384,25.5264,5.1563
bkf,2,1,8,80.394,426.204,173.5174,5.155
bkf,2,1,9,95.6775,419.731,154.0844,28.2899
bkf,3,0,0,164.518,399.979,0.0,0.12
bkf,3,0,1,164.518,399.979,0.0,0.12
bkf,4,0,0,159.5105,409.1375,118.3783,20.8188
bkf,4,0,1,154.599,417.394,92.2857,1.8054
bkf,4,0,2,154.262,415.574,67.8871,1.9818
bkf,4,0,3,153.1555,413.989,42.2815,1.9828
bkf,4,0,4,151.563,413.0445,17.9033,1.8054
bkf,4,0,5,137.388,412.5795,0.8067,26.6346
bkf,4,0,6,122.357,412.5115,176.0139,3.4383
bkf,4,0,7,118.9865,413.098,164.2469,3.4402
bkf,4,0,8,106.2295,418.9115,154.2845,24.6437
bkf,4,0,9,94.9525,424.9825,103.6167,1.4909
bkf,4,0,10,95.277,426.26,47.8815,1.4911
bkf,4,0,11,115.4,427.1185,0.8919,39.2508
bkf,4,0,12,132.7525,431.5545,118.7973,9.4268
bkf,4,0,13,130.372,435.9845,110.1673,0.6381
