airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
bmg,0,path,,UNLABELED,223.76,356.94,246.1,347.5,22.34,9.44,210.8896,73.6732,49.9752,234.93,352.22,2.3665,16,1,0,1,rgb,207,207,207,0,none,,,,0.0,169.7679,12.1954,0.0,6.77,0.0,594.0,387.36,0.0,119.5221
bmg,1,path,,UNLABELED,260.15,354.56,273.27,345.84,13.12,8.72,114.4062,79.8331,35.5719,266.71,350.2,1.5046,7,1,0,1,rgb,207,207,207,0,none,,,,0.0,22.4815,2.2654,178.3521,10.0842,0.0,594.0,387.36,0.0,87.155
bmg,2,path,,UNLABELED,222.21,178.26,222.24,178.08,0.03,0.18,0.0054,0.0004,0.3654,222.225,178.17,0.1667,5,1,0,1,rgb,207,207,207,0,none,,,,0.0,98.798,1960.1896,99.4623,0.1825,0.0,594.0,387.36,0.0,0.0004
bmg,3,path,,UNLABELED,85.3,178.08,223.5,82.04,138.2,96.04,13272.7289,682.5454,459.7251,154.4,130.06,1.439,76,1,0,1,rgb,207,207,207,0,none,,,,0.0,30.0964,41.7592,28.5534,152.3501,0.0,594.0,387.36,0.0,3211.3898
bmg,4,path,,UNLABELED,249.27,165.47,249.52,165.34,0.25,0.13,0.0325,0.0025,0.5675,249.395,165.405,1.923,5,1,0,1,rgb,207,207,207,0,none,,,,0.0,28.7798,464.314,27.4753,0.2818,0.0,594.0,387.36,0.0,0.0025
bmg,5,path,,UNLABELED,231.82,175.22,231.87,174.89,0.05,0.33,0.0165,0.0023,0.6682,231.845,175.055,0.1515,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,98.0172,1019.071,96.9104,0.3324,0.0,594.0,387.36,0.0,0.0023
bmg,6,path,,UNLABELED,180.24,527.93,303.67,165.47,123.43,362.46,44738.4396,4710.4431,1519.1606,241.955,346.7,0.3405,185,1,0,1,rgb,207,207,207,0,none,,,,0.0,101.7751,17.4518,98.5204,239.8067,0.0,594.0,387.36,0.0,22796.5491
bmg,7,path,,UNLABELED,158.95,127.87,199.86,64.8,40.91,63.07,2580.1942,478.6199,244.9507,179.405,96.335,0.6486,52,1,0,1,rgb,207,207,207,0,none,,,,0.0,60.8508,6.9187,29.1908,22.0619,0.0,594.0,387.36,0.0,1391.6138
bmg,8,path,,UNLABELED,236.23,183.5,306.15,129.39,69.92,54.11,3783.3701,555.1308,430.8233,271.19,156.445,1.2922,95,1,0,1,rgb,207,207,207,0,none,,,,0.0,17.9096,3.2523,0.7605,27.1224,0.0,594.0,387.36,0.0,2450.1246
bmg,9,path,,UNLABELED,217.85,87.02,297.12,87.02,79.27,0.0,0.0,0.0,79.27,257.485,87.02,0.0,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,0.0,1000000.0,0.0,79.27,0.0,594.0,387.36,0.0,0.0
bmg,10,path,,UNLABELED,218.29,78.73,325.29,78.73,107.0,0.0,0.0,0.0,107.0,271.79,78.73,0.0,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,0.0,1000000.0,0.0,107.0,0.0,594.0,387.36,0.0,0.0
bmg,11,path,,UNLABELED,129.44,515.89,151.06,492.26,21.62,23.63,510.8804,510.8804,90.5,140.25,504.075,0.9149,5,1,0,0,none,,,,1,rgb,0,0,0,0.39,120.9468,1.4637,90.0,23.63,0.0,594.0,387.36,0.0,510.8804
bmg,12,compound,,UNLABELED,273.65,418.05,276.8,413.2,3.15,4.85,15.2775,5.7229,22.4469,275.225,415.625,0.6495,98,2,0,1,rgb,0,0,0,0,none,,,,0.0,89.9887,2.6329,105.0163,0.4245,0.0,594.0,387.36,0.0,12.1825
bmg,13,path,,UNLABELED,277.54,413.88,278.22,413.2,0.68,0.68,0.4624,0.352,2.1179,277.88,413.54,1.0,17,1,0,1,rgb,0,0,0,0,none,,,,0.0,89.7615,1.1039,53.967,0.136,0.0,594.0,387.36,0.0,0.352
bmg,14,compound,,UNLABELED,278.97,418.05,282.12,413.2,3.15,4.85,15.2775,5.7196,22.4476,280.545,415.625,0.6495,98,2,0,1,rgb,0,0,0,0,none,,,,0.0,89.9996,2.6316,74.9837,0.4245,0.0,594.0,387.36,0.0,12.1848
bmg,15,compound,,UNLABELED,282.62,417.89,284.69,415.82,2.07,2.07,4.2849,2.4052,10.0274,283.655,416.855,1.0,34,2,0,1,rgb,0,0,0,0,none,,,,0.0,90.0189,1.1256,79.2138,0.4276,0.0,594.0,387.36,0.0,3.3588
bmg,16,path,,UNLABELED,286.64,418.05,293.11,413.11,6.47,4.94,31.9618,9.0181,33.0758,289.875,415.58,1.3097,11,1,0,1,rgb,0,0,0,0,none,,,,0.0,153.2206,1.2653,112.0288,5.1457,0.0,594.0,387.36,0.0,22.2297
bmg,17,compound,,UNLABELED,244.89,424.42,249.32,419.59,4.43,4.83,21.3969,5.9903,22.3405,247.105,422.005,0.9172,12,2,0,1,rgb,0,0,0,0,none,,,,0.0,90.5715,1.2324,114.6848,5.3158,0.0,594.0,387.36,0.0,10.6984
bmg,18,path,,UNLABELED,249.71,424.4,253.71,419.4,4.0,5.0,20.0,7.4644,27.5151,251.71,421.9,0.8,9,1,0,1,rgb,0,0,0,0,none,,,,0.0,67.5826,1.7601,132.969,4.9882,0.0,594.0,387.36,0.0,19.18
bmg,19,path,,UNLABELED,254.52,424.4,258.52,419.4,4.0,5.0,20.0001,7.4644,27.5152,256.52,421.9,0.8,9,1,0,1,rgb,0,0,0,0,none,,,,0.0,67.5826,1.7601,132.9691,4.9882,0.0,594.0,387.36,0.0,19.1801
bmg,20,path,,UNLABELED,259.25,424.18,262.66,419.5,3.41,4.68,15.9588,6.0888,22.1362,260.955,421.84,0.7286,51,1,0,1,rgb,0,0,0,0,none,,,,0.0,105.3223,1.3737,90.0,2.9,0.0,594.0,387.36,0.0,14.756
bmg,21,compound,,UNLABELED,262.93,424.42,267.35,419.59,4.42,4.83,21.3485,5.972,22.3324,265.14,422.005,0.9151,12,2,0,1,rgb,0,0,0,0,none,,,,0.0,90.2335,1.2379,114.5867,5.3116,0.0,594.0,387.36,0.0,10.6743
bmg,22,path,,UNLABELED,267.75,424.18,269.75,419.59,2.0,4.59,9.18,3.4272,13.18,268.75,421.885,0.4357,7,1,0,1,rgb,0,0,0,0,none,,,,0.0,100.578,10.2439,90.0,4.59,0.0,594.0,387.36,0.0,6.3036
bmg,23,compound,,UNLABELED,271.88,424.18,274.78,419.59,2.9,4.59,13.3111,6.3956,23.458,273.33,421.885,0.6318,45,2,0,1,rgb,0,0,0,0,none,,,,0.0,92.0891,3.0559,90.0,4.59,0.0,594.0,387.36,0.0,11.9045
bmg,24,compound,,UNLABELED,274.69,424.42,279.12,419.59,4.43,4.83,21.3969,5.9962,22.3466,276.905,422.005,0.9172,12,2,0,1,rgb,0,0,0,0,none,,,,0.0,90.0623,1.2349,65.3152,5.3158,0.0,594.0,387.36,0.0,10.6984
bmg,25,path,,UNLABELED,279.1,424.18,281.89,419.59,2.79,4.59,12.8061,3.8301,14.76,280.495,421.885,0.6078,9,1,0,1,rgb,0,0,0,0,none,,,,0.0,89.3276,3.4302,90.0,4.08,0.0,594.0,387.36,0.0,8.3181
bmg,26,path,,UNLABELED,282.31,424.18,284.81,419.59,2.5,4.59,11.475,5.6355,21.68,283.56,421.885,0.5447,13,1,0,1,rgb,0,0,0,0,none,,,,0.0,82.4382,2.661,90.0,4.59,0.0,594.0,387.36,0.0,11.475
bmg,27,compound,,UNLABELED,286.93,424.35,291.79,419.5,4.86,4.85,23.571,7.4956,27.0455,289.36,421.925,1.0021,114,2,0,1,rgb,0,0,0,0,none,,,,0.0,90.0275,1.0718,127.1855,0.364,0.0,594.0,387.36,0.0,18.5107
bmg,28,path,,UNLABELED,292.35,424.18,294.61,419.59,2.26,4.59,10.3734,4.4166,16.9,293.48,421.885,0.4924,11,1,0,1,rgb,0,0,0,0,none,,,,0.0,71.9124,3.9172,90.0,4.59,0.0,594.0,387.36,0.0,8.3503
bmg,29,path,,UNLABELED,296.77,424.35,300.41,419.5,3.64,4.85,17.6541,5.1081,20.0578,298.59,421.925,0.7505,75,1,0,1,rgb,0,0,0,0,none,,,,0.0,87.3394,2.3167,90.0,0.69,0.0,594.0,387.36,0.0,14.8742
bmg,30,path,,UNLABELED,301.08,424.18,304.4,419.59,3.32,4.59,15.2388,6.5484,23.98,302.74,421.885,0.7233,13,1,0,1,rgb,0,0,0,0,none,,,,0.0,90.9713,2.0153,90.0,4.59,0.0,594.0,387.36,0.0,15.2388
bmg,31,compound,,UNLABELED,304.71,424.42,309.13,419.59,4.42,4.83,21.3485,5.972,22.3324,306.92,422.005,0.9151,12,2,0,1,rgb,0,0,0,0,none,,,,0.0,90.2335,1.2379,114.5867,5.3116,0.0,594.0,387.36,0.0,10.6743
bmg,32,path,,UNLABELED,309.53,424.4,313.53,419.4,4.0,5.0,20.0,7.4636,27.5151,311.53,421.9,0.8,9,1,0,1,rgb,0,0,0,0,none,,,,0.0,67.6248,1.7603,133.053,4.9951,0.0,594.0,387.36,0.0,19.18
bmg,33,path,,UNLABELED,314.08,424.35,318.51,419.5,4.43,4.85,21.4856,7.048,26.8415,316.295,421.925,0.9134,100,1,0,1,rgb,0,0,0,0,none,,,,0.0,97.4237,1.4413,0.0,1.76,0.0,594.0,387.36,0.0,17.1818
bmg,34,path,,UNLABELED,319.12,424.18,321.62,419.59,2.5,4.59,11.475,5.6355,21.68,320.37,421.885,0.5447,13,1,0,1,rgb,0,0,0,0,none,,,,0.0,82.4382,2.661,90.0,4.59,0.0,594.0,387.36,0.0,11.475
bmg,35,path,,UNLABELED,262.07,430.48,264.06,425.8,1.99,4.68,9.3133,3.2291,12.3227,263.065,428.14,0.4252,31,1,0,1,rgb,0,0,0,0,none,,,,0.0,77.1536,7.8574,90.0,2.92,0.0,594.0,387.36,0.0,5.7851
bmg,36,compound,,UNLABELED,264.32,430.72,268.75,425.89,4.43,4.83,21.3969,5.9962,22.3466,266.535,428.305,0.9172,12,2,0,1,rgb,0,0,0,0,none,,,,0.0,90.394,1.2342,114.6848,5.3158,0.0,594.0,387.36,0.0,10.6984
bmg,37,path,,UNLABELED,269.14,430.7,273.14,425.7,4.0,5.0,20.0,7.48,27.5182,271.14,428.2,0.8,9,1,0,1,rgb,0,0,0,0,none,,,,0.0,67.6896,1.7624,132.969,4.9882,0.0,594.0,387.36,0.0,19.18
bmg,38,path,,UNLABELED,273.87,430.48,277.27,425.8,3.4,4.68,15.9119,6.0243,22.1151,275.57,428.14,0.7265,51,1,0,1,rgb,0,0,0,0,none,,,,0.0,105.3914,1.375,90.0,2.9,0.0,594.0,387.36,0.0,14.7206
bmg,39,compound,,UNLABELED,277.54,430.72,281.97,425.89,4.43,4.83,21.3969,5.9902,22.3406,279.755,428.305,0.9172,12,2,0,1,rgb,0,0,0,0,none,,,,0.0,90.5714,1.2324,114.6848,5.3158,0.0,594.0,387.36,0.0,10.6984
bmg,40,compound,,UNLABELED,282.36,430.48,285.26,425.89,2.9,4.59,13.311,6.4498,23.4416,283.81,428.185,0.6318,45,2,0,1,rgb,0,0,0,0,none,,,,0.0,92.069,3.0562,90.0,4.59,0.0,594.0,387.36,0.0,11.9295
bmg,41,path,,UNLABELED,285.2,430.48,288.82,425.89,3.62,4.59,16.6158,4.4157,16.4129,287.01,428.185,0.7887,10,1,0,1,rgb,0,0,0,0,none,,,,0.0,89.4365,3.1465,120.6323,2.9636,0.0,594.0,387.36,0.0,9.6849
bmg,42,path,,UNLABELED,290.84,430.65,293.78,425.89,2.94,4.76,13.9944,5.2005,20.6935,292.31,428.27,0.6176,47,1,0,1,rgb,0,0,0,0,none,,,,0.0,100.946,1.9508,51.0619,3.2141,0.0,594.0,387.36,0.0,12.9657
