airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
bna,0,path,,UNLABELED,168.96,186.88,187.18,166.98,18.22,19.9,362.5779,100.8797,61.4538,178.07,176.93,0.9156,20,1,0,1,rgb,207,207,207,0,none,,,,0.0,136.9449,12.7671,150.4444,13.887,0.0,594.0,387.36,0.0,149.6682
bna,1,path,,UNLABELED,158.22,185.27,167.02,176.55,8.8,8.72,76.736,50.4739,30.8542,162.62,180.91,1.0092,34,1,0,1,rgb,207,207,207,0,none,,,,0.0,65.4179,2.2092,75.0788,3.6118,0.0,594.0,387.36,0.0,56.4243
bna,2,path,,UNLABELED,254.49,223.3,264.93,203.48,10.44,19.82,206.9212,89.9142,43.294,259.71,213.39,0.5267,50,1,0,1,rgb,207,207,207,0,none,,,,0.0,67.6354,14.0003,71.6521,8.3231,0.0,594.0,387.36,0.0,91.8873
bna,3,path,,UNLABELED,313.84,403.3,326.76,383.05,12.92,20.25,261.6297,93.7867,51.6726,320.3,393.175,0.638,58,1,0,1,rgb,207,207,207,0,none,,,,0.0,69.1701,7.3977,71.895,8.2379,0.0,594.0,387.36,0.0,129.8399
bna,4,path,,UNLABELED,73.79,388.51,140.77,321.48,66.98,67.03,4489.6706,994.5862,311.6713,107.28,354.995,0.9993,100,1,0,1,rgb,207,207,207,0,none,,,,0.0,57.47,2.8383,72.2056,17.5391,0.0,594.0,387.36,0.0,2756.0114
bna,5,path,,UNLABELED,99.04,296.72,118.47,267.51,19.43,29.21,567.5501,301.4082,80.3943,108.755,282.115,0.6652,37,1,0,1,rgb,207,207,207,0,none,,,,0.0,74.2376,4.1813,72.5107,11.8791,0.0,594.0,387.36,0.0,330.102
bna,6,path,,UNLABELED,92.32,263.08,111.6,238.67,19.28,24.41,470.6248,107.8261,111.6562,101.96,250.875,0.7898,74,1,0,1,rgb,207,207,207,0,none,,,,0.0,57.0715,5.8063,72.2318,15.7619,0.0,594.0,387.36,0.0,243.164
bna,7,path,,UNLABELED,194.61,282.4,251.67,257.25,57.06,25.15,1435.0586,515.3573,180.8739,223.14,269.825,2.2688,116,1,0,1,rgb,207,207,207,0,none,,,,0.0,0.1067,6.5788,136.4952,15.7173,0.0,594.0,387.36,0.0,1037.0889
bna,8,path,,UNLABELED,189.17,264.17,197.5,257.4,8.33,6.77,56.394,22.2444,20.0634,193.335,260.785,1.2304,6,1,0,1,rgb,207,207,207,0,none,,,,0.0,143.1823,6.2681,151.5217,8.3049,0.0,594.0,387.36,0.0,22.2444
bna,9,path,,UNLABELED,188.11,195.71,225.76,153.08,37.65,42.63,1605.0201,787.1202,132.3093,206.935,174.395,0.8832,60,1,0,1,rgb,207,207,207,0,none,,,,0.0,142.4507,4.4118,153.091,26.073,0.0,594.0,387.36,0.0,876.4732
bna,10,path,,UNLABELED,73.49,431.4,83.26,422.97,9.77,8.43,82.361,48.1188,31.2326,78.375,427.185,1.159,42,1,0,1,rgb,207,207,207,0,none,,,,0.0,134.4718,2.507,0.9112,5.0306,0.0,594.0,387.36,0.0,64.4522
bna,11,path,,UNLABELED,224.73,289.6,233.6,280.29,8.87,9.31,82.5796,39.6886,25.6224,229.165,284.945,0.9527,14,1,0,1,rgb,207,207,207,0,none,,,,0.0,140.128,3.5483,136.8619,9.1406,0.0,594.0,387.36,0.0,39.6886
