airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
bvy,0,path,,UNLABELED,226.93,292.95,230.48,288.61,3.55,4.34,15.407,0.0,5.607,228.705,290.78,0.818,2,1,0,0,none,,,,1,rgb,207,207,207,0.39,129.2823,1000000.0,129.2823,5.607,0.0,594.0,387.36,0.0,0.0
bvy,1,compound,,UNLABELED,216.85,337.79,327.93,222.63,111.08,115.16,12791.9734,1718.5785,679.5449,272.39,280.21,0.9646,182,2,0,1,rgb,207,207,207,0,none,,,,0.0,129.6498,6.8288,128.4248,70.4599,0.0,594.0,387.36,0.0,5969.0909
bvy,2,path,,UNLABELED,225.62,340.28,233.28,332.5,7.66,7.78,59.5948,28.294,18.0042,229.45,336.39,0.9846,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,131.5068,2.6695,132.3921,6.8377,0.0,594.0,387.36,0.0,28.294
bvy,3,path,,UNLABELED,300.64,285.31,311.49,273.8,10.85,11.51,124.8837,32.1041,30.1869,306.065,279.555,0.9427,13,1,0,1,rgb,207,207,207,0,none,,,,0.0,50.3754,10.5823,54.987,6.7275,0.0,594.0,387.36,0.0,45.2891
bvy,4,path,,UNLABELED,153.63,309.2,158.97,304.98,5.34,4.22,22.5348,12.5248,17.2581,156.3,307.09,1.2654,11,1,0,1,rgb,207,207,207,0,none,,,,0.0,163.4216,2.3764,169.8005,4.8567,0.0,594.0,387.36,0.0,16.2144
bvy,5,compound,,UNLABELED,60.77,439.44,230.48,190.56,169.71,248.88,42237.4247,2768.95,1351.9482,145.625,315.0,0.6819,86,2,0,1,rgb,207,207,207,0,none,,,,0.0,88.4969,3.9529,79.3721,84.8556,0.0,594.0,387.36,0.0,23673.8744
bvy,6,path,,UNLABELED,88.95,56.32,292.43,56.32,203.48,0.0,0.0,0.0,203.48,190.69,56.32,0.0,2,1,0,0,none,,,,1,rgb,0,0,0,0.42,0.0,1000000.0,0.0,203.48,0.0,594.0,387.36,0.0,0.0
bvy,7,path,,UNLABELED,89.49,72.62,93.41,67.4,3.92,5.22,20.4625,5.9188,21.5855,91.45,70.01,0.751,75,1,0,1,rgb,0,0,0,0,none,,,,0.0,87.3212,2.3134,90.0,0.73,0.0,594.0,387.36,0.0,17.2518
bvy,8,compound,,UNLABELED,93.58,72.7,98.35,67.49,4.77,5.21,24.8518,6.9672,24.0871,95.965,70.095,0.9155,12,2,0,1,rgb,0,0,0,0,none,,,,0.0,90.6095,1.2379,114.6424,5.7321,0.0,594.0,387.36,0.0,12.4259
bvy,9,path,,UNLABELED,98.68,72.44,102.35,67.4,3.67,5.04,18.4967,7.0537,23.8408,100.515,69.92,0.7282,51,1,0,1,rgb,0,0,0,0,none,,,,0.0,105.376,1.3764,90.0,3.13,0.0,594.0,387.36,0.0,17.1086
bvy,10,path,,UNLABELED,102.74,72.44,105.74,67.49,3.0,4.95,14.85,4.466,15.9,104.24,69.965,0.6061,9,1,0,1,rgb,0,0,0,0,none,,,,0.0,89.3251,3.4473,90.0,4.4,0.0,594.0,387.36,0.0,9.658
bvy,11,path,,UNLABELED,106.2,72.44,106.84,67.49,0.64,4.95,3.168,3.168,11.18,106.52,69.965,0.1293,5,1,0,1,rgb,0,0,0,0,none,,,,0.0,88.7452,61.5882,90.0,4.95,0.0,594.0,387.36,0.0,3.168
bvy,12,compound,,UNLABELED,107.36,72.62,112.59,67.4,5.23,5.22,27.3005,8.6927,29.1281,109.975,70.01,1.0019,114,2,0,1,rgb,0,0,0,0,none,,,,0.0,89.8556,1.0712,61.5066,0.3983,0.0,594.0,387.36,0.0,21.4748
bvy,13,path,,UNLABELED,113.19,72.68,117.5,67.28,4.31,5.4,23.2741,8.7091,29.6766,115.345,69.98,0.7981,9,1,0,1,rgb,0,0,0,0,none,,,,0.0,67.7588,1.7638,132.89,5.3777,0.0,594.0,387.36,0.0,22.3043
bvy,14,path,,UNLABELED,118.47,68.13,119.2,67.4,0.73,0.73,0.5329,0.4063,2.2747,118.835,67.765,1.0,17,1,0,1,rgb,0,0,0,0,none,,,,0.0,89.3295,1.1248,11.3206,0.153,0.0,594.0,387.36,0.0,0.4063
bvy,15,path,,UNLABELED,118.47,70.79,119.2,70.06,0.73,0.73,0.5329,0.4089,2.2826,118.835,70.425,1.0,17,1,0,1,rgb,0,0,0,0,none,,,,0.0,89.3881,1.1383,11.3206,0.153,0.0,594.0,387.36,0.0,0.4089
bvy,16,compound,,UNLABELED,122.19,72.44,125.03,67.49,2.84,4.95,14.058,7.626,25.4756,123.61,69.965,0.5737,77,3,0,1,rgb,0,0,0,0,none,,,,0.0,96.1066,4.6676,90.0,4.95,0.0,594.0,387.36,0.0,12.1634
bvy,17,path,,UNLABELED,125.72,72.44,128.42,67.49,2.7,4.95,13.365,6.5671,23.38,127.07,69.965,0.5455,13,1,0,1,rgb,0,0,0,0,none,,,,0.0,82.4297,2.6597,90.0,4.95,0.0,594.0,387.36,0.0,13.365
bvy,18,compound,,UNLABELED,130.52,72.7,135.29,67.49,4.77,5.21,24.8518,6.9773,24.0731,132.905,70.095,0.9155,12,2,0,1,rgb,0,0,0,0,none,,,,0.0,90.5762,1.239,114.6424,5.7321,0.0,594.0,387.36,0.0,12.4259
bvy,19,path,,UNLABELED,135.71,72.44,137.86,67.49,2.15,4.95,10.6425,3.9985,14.2,136.785,69.965,0.4343,7,1,0,1,rgb,0,0,0,0,none,,,,0.0,100.5038,10.3055,90.0,4.95,0.0,594.0,387.36,0.0,7.3205
bvy,20,path,,UNLABELED,138.25,72.44,140.95,67.49,2.7,4.95,13.365,6.534,23.42,139.6,69.965,0.5455,13,1,0,1,rgb,0,0,0,0,none,,,,0.0,82.4319,2.6498,90.0,4.95,0.0,594.0,387.36,0.0,13.365
bvy,21,compound,,UNLABELED,141.69,72.4401,144.82,67.4901,3.13,4.95,15.4936,7.4523,25.2902,143.255,69.9651,0.6323,45,2,0,1,rgb,0,0,0,0,none,,,,0.0,92.1696,3.0541,90.0,4.95,0.0,594.0,387.36,0.0,13.8468
bvy,22,path,,UNLABELED,144.83,72.44,147.83,67.49,3.0,4.95,14.85,4.466,15.9,146.33,69.965,0.6061,9,1,0,1,rgb,0,0,0,0,none,,,,0.0,89.3251,3.4473,90.0,4.4,0.0,594.0,387.36,0.0,9.658
bvy,23,path,,UNLABELED,149.75,72.44,152.75,67.49,3.0,4.95,14.85,4.466,15.9,151.25,69.965,0.6061,9,1,0,1,rgb,0,0,0,0,none,,,,0.0,89.3251,3.4473,90.0,4.4,0.0,594.0,387.36,0.0,9.658
bvy,24,compound,,UNLABELED,152.84,72.62,158.06,67.4,5.22,5.22,27.2483,8.6851,29.1189,155.45,70.01,1.0,114,2,0,1,rgb,0,0,0,0,none,,,,0.0,90.0611,1.0726,117.2127,0.3936,0.0,594.0,387.36,0.0,21.4599
bvy,25,compound,,UNLABELED,160.58,72.4401,163.7,67.4901,3.12,4.95,15.4441,7.4622,25.2646,162.14,69.9651,0.6303,45,2,0,1,rgb,0,0,0,0,none,,,,0.0,92.128,3.0585,90.0,4.95,0.0,594.0,387.36,0.0,13.8272
bvy,26,path,,UNLABELED,164.07,72.44,167.74,67.4,3.67,5.04,18.4967,7.0314,23.8353,165.905,69.92,0.7282,51,1,0,1,rgb,0,0,0,0,none,,,,0.0,105.4645,1.3738,90.0,3.13,0.0,594.0,387.36,0.0,17.1158
bvy,27,path,,UNLABELED,168.58,72.68,172.89,67.28,4.31,5.4,23.2741,8.6915,29.6734,170.735,69.98,0.7981,9,1,0,1,rgb,0,0,0,0,none,,,,0.0,67.6991,1.7619,132.968,5.3845,0.0,594.0,387.36,0.0,22.3043
bvy,28,path,,UNLABELED,173.21,72.62,180.18,67.3,6.97,5.32,37.0804,10.4782,35.6521,176.695,69.96,1.3101,11,1,0,1,rgb,0,0,0,0,none,,,,0.0,152.9917,1.2641,112.0315,5.5449,0.0,594.0,387.36,0.0,25.7876
bvy,29,compound,,UNLABELED,179.99,72.7,184.76,67.49,4.77,5.21,24.8518,6.9773,24.0731,182.375,70.095,0.9155,12,2,0,1,rgb,0,0,0,0,none,,,,0.0,89.9572,1.2393,65.3576,5.7321,0.0,594.0,387.36,0.0,12.4259
bvy,30,path,,UNLABELED,184.66,72.44,188.55,67.49,3.89,4.95,19.2555,5.0803,17.6694,186.605,69.965,0.7859,10,1,0,1,rgb,0,0,0,0,none,,,,0.0,89.3467,3.1571,59.3435,3.1968,0.0,594.0,387.36,0.0,11.2118
bvy,31,path,,UNLABELED,190.6,72.62,194.52,67.4,3.92,5.22,20.4625,5.9151,21.5917,192.56,70.01,0.751,75,1,0,1,rgb,0,0,0,0,none,,,,0.0,87.3096,2.3158,90.0,0.73,0.0,594.0,387.36,0.0,17.2564
bvy,32,compound,,UNLABELED,195.24,72.4401,198.36,67.4901,3.12,4.95,15.4441,7.4588,25.2579,196.8,69.9651,0.6303,45,2,0,1,rgb,0,0,0,0,none,,,,0.0,92.1644,3.0645,90.0,4.95,0.0,594.0,387.36,0.0,13.8232
bvy,33,compound,,UNLABELED,198.45,72.62,203.68,67.4,5.23,5.22,27.3004,8.6884,29.1272,201.065,70.01,1.0019,114,2,0,1,rgb,0,0,0,0,none,,,,0.0,90.14,1.0714,118.4934,0.3983,0.0,594.0,387.36,0.0,21.4711
bvy,34,path,,UNLABELED,204.06,72.62,207.22,67.4,3.16,5.22,16.4951,6.2926,22.0778,205.64,70.01,0.6054,91,1,0,1,rgb,0,0,0,0,none,,,,0.0,91.7526,3.611,11.4824,0.6531,0.0,594.0,387.36,0.0,13.8709
bvy,35,path,,UNLABELED,207.61,72.62,210.77,67.4,3.16,5.22,16.4951,6.2947,22.0812,209.19,70.01,0.6054,91,1,0,1,rgb,0,0,0,0,none,,,,0.0,91.7443,3.6054,11.4824,0.6531,0.0,594.0,387.36,0.0,13.8759
bvy,36,path,,UNLABELED,211.38,72.44,212.02,67.49,0.64,4.95,3.168,3.168,11.18,211.7,69.965,0.1293,5,1,0,1,rgb,0,0,0,0,none,,,,0.0,88.7452,61.5882,90.0,4.95,0.0,594.0,387.36,0.0,3.168
bvy,37,path,,UNLABELED,212.91,72.68,217.22,67.28,4.31,5.4,23.2741,8.6915,29.6734,215.065,69.98,0.7981,9,1,0,1,rgb,0,0,0,0,none,,,,0.0,67.6991,1.7619,132.968,5.3845,0.0,594.0,387.36,0.0,22.3043
bvy,38,path,,UNLABELED,217.82,72.62,222.58,67.4,4.76,5.22,24.847,8.1764,28.9263,220.2,70.01,0.9119,100,1,0,1,rgb,0,0,0,0,none,,,,0.0,97.417,1.4429,0.0,1.9,0.0,594.0,387.36,0.0,19.9231
bvy,39,path,,UNLABELED,224.87,72.62,228.8,67.4,3.93,5.22,20.5147,5.9152,21.6104,226.835,70.01,0.7529,75,1,0,1,rgb,0,0,0,0,none,,,,0.0,87.2933,2.3123,90.0,0.73,0.0,594.0,387.36,0.0,17.2778
bvy,40,path,,UNLABELED,229.51,72.44,231.66,67.49,2.15,4.95,10.6425,3.9985,14.2,230.585,69.965,0.4343,7,1,0,1,rgb,0,0,0,0,none,,,,0.0,100.5038,10.3055,90.0,4.95,0.0,594.0,387.36,0.0,7.3205
bvy,41,path,,UNLABELED,232.05,72.44,234.75,67.49,2.7,4.95,13.365,6.567,23.38,233.4,69.965,0.5455,13,1,0,1,rgb,0,0,0,0,none,,,,0.0,82.4297,2.6597,90.0,4.95,0.0,594.0,387.36,0.0,13.365
bvy,42,compound,,UNLABELED,234.94,72.7,239.71,67.49,4.77,5.21,24.8518,6.9773,24.0731,237.325,70.095,0.9155,12,2,0,1,rgb,0,0,0,0,none,,,,0.0,89.9572,1.2393,65.3576,5.7321,0.0,594.0,387.36,0.0,12.4259
bvy,43,compound,,UNLABELED,240.13,72.4401,243.26,67.4901,3.13,4.95,15.4936,7.4933,25.2752,241.695,69.9651,0.6323,45,2,0,1,rgb,0,0,0,0,none,,,,0.0,92.1728,3.0637,90.0,4.95,0.0,594.0,387.36,0.0,13.8494
bvy,44,compound,,UNLABELED,243.17,72.7,247.93,67.49,4.76,5.21,24.7997,6.9411,24.073,245.55,70.095,0.9136,12,2,0,1,rgb,0,0,0,0,none,,,,0.0,90.4466,1.2402,65.4485,5.7279,0.0,594.0,387.36,0.0,12.3998
bvy,45,path,,UNLABELED,248.36,72.68,252.67,67.28,4.31,5.4,23.2741,8.6915,29.6734,250.515,69.98,0.7981,9,1,0,1,rgb,0,0,0,0,none,,,,0.0,67.6991,1.7619,132.968,5.3845,0.0,594.0,387.36,0.0,22.3043
bvy,46,path,,UNLABELED,253.27,72.62,257.19,67.4,3.92,5.22,20.4625,5.9192,21.5936,255.23,70.01,0.751,75,1,0,1,rgb,0,0,0,0,none,,,,0.0,87.3019,2.3158,90.0,0.73,0.0,594.0,387.36,0.0,17.2605
bvy,47,path,,UNLABELED,257.9,72.44,260.6,67.49,2.7,4.95,13.3651,6.5671,23.3801,259.25,69.965,0.5455,13,1,0,1,rgb,0,0,0,0,none,,,,0.0,82.4296,2.6596,90.0,4.95,0.0,594.0,387.36,0.0,13.3651
bvy,48,path,,UNLABELED,261.12,72.62,264.28,67.4,3.16,5.22,16.4951,6.291,22.0807,262.7,70.01,0.6054,91,1,0,1,rgb,0,0,0,0,none,,,,0.0,91.7729,3.6065,11.4827,0.6531,0.0,594.0,387.36,0.0,13.8759
bvy,49,path,,UNLABELED,264.98,68.13,265.71,67.4,0.73,0.73,0.5329,0.4108,2.2879,265.345,67.765,1.0,17,1,0,1,rgb,0,0,0,0,none,,,,0.0,89.6797,1.1,11.3211,0.153,0.0,594.0,387.36,0.0,0.4108
bvy,50,compound,,UNLABELED,89.69,63.07,92.82,58.12,3.13,4.95,15.4935,7.4918,25.276,91.255,60.595,0.6323,45,2,0,1,rgb,0,0,0,0,none,,,,0.0,92.1151,3.0636,90.0,4.95,0.0,594.0,387.36,0.0,13.8538
bvy,51,path,,UNLABELED,93.28,63.07,95.97,58.12,2.69,4.95,13.3155,6.5176,23.36,94.625,60.595,0.5434,13,1,0,1,rgb,0,0,0,0,none,,,,0.0,82.485,2.6735,90.0,4.95,0.0,594.0,387.36,0.0,13.3155
bvy,52,compound,,UNLABELED,96.17,63.33,100.93,58.12,4.76,5.21,24.7997,6.9412,24.073,98.55,60.725,0.9136,12,2,0,1,rgb,0,0,0,0,none,,,,0.0,90.4471,1.2402,114.5515,5.7279,0.0,594.0,387.36,0.0,12.3999
bvy,53,compound,,UNLABELED,101.36,63.07,105.21,58.12,3.85,4.95,19.0575,8.113,26.6906,103.285,60.595,0.7778,72,2,0,1,rgb,0,0,0,0,none,,,,0.0,88.789,2.7497,90.0,4.95,0.0,594.0,387.36,0.0,16.4229
bvy,54,compound,,UNLABELED,105.75,63.07,108.59,58.12,2.84,4.95,14.058,7.6198,25.4767,107.17,60.595,0.5737,77,3,0,1,rgb,0,0,0,0,none,,,,0.0,96.1073,4.6713,90.0,4.95,0.0,594.0,387.36,0.0,12.1504
bvy,55,compound,,UNLABELED,108.73,63.33,113.5,58.12,4.77,5.21,24.8518,6.9773,24.0731,111.115,60.725,0.9155,12,2,0,1,rgb,0,0,0,0,none,,,,0.0,90.5765,1.239,114.6424,5.7321,0.0,594.0,387.36,0.0,12.4259
bvy,56,path,,UNLABELED,113.65,63.26,117.57,58.03,3.92,5.23,20.5018,5.9281,21.5996,115.61,60.645,0.7495,75,1,0,1,rgb,0,0,0,0,none,,,,0.0,87.3296,2.3194,90.0,0.73,0.0,594.0,387.36,0.0,17.2714
bvy,57,path,,UNLABELED,118.28,63.0699,121.89,58.12,3.61,4.95,17.8693,7.2126,25.1499,120.085,60.595,0.7293,13,1,0,1,rgb,0,0,0,0,none,,,,0.0,90.7265,2.4383,90.0,4.95,0.0,594.0,387.36,0.0,17.7703
bvy,58,compound,,UNLABELED,123.79,63.26,129.01,58.03,5.22,5.23,27.3005,8.6901,29.1193,126.4,60.645,0.9981,114,2,0,1,rgb,0,0,0,0,none,,,,0.0,89.8185,1.0723,62.7853,0.3936,0.0,594.0,387.36,0.0,21.4625
