airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
cdc,0,path,,UNLABELED,208.43,466.79,332.16,316.15,123.73,150.64,18638.6846,1841.8111,948.4993,270.295,391.47,0.8214,105,1,0,1,rgb,207,207,207,0,none,,,,0.0,65.7742,6.1321,55.8035,132.4121,0.0,594.0,387.36,0.0,10221.5954
cdc,1,compound,,UNLABELED,57.35,321.93,329.75,88.7,272.4,233.23,63531.847,4249.4858,1650.1801,193.55,205.315,1.1679,249,3,0,1,rgb,207,207,207,0,none,,,,0.0,37.881,21.3025,55.7918,93.5429,0.0,594.0,387.36,0.0,24193.059
cdc,2,path,,UNLABELED,329.4,342.09,351.01,318.46,21.61,23.63,510.6448,510.6448,90.48,340.205,330.275,0.9145,5,1,0,0,none,,,,1,rgb,0,0,0,0.39,120.8849,1.4643,90.0,23.63,0.0,594.0,387.36,0.0,510.6448
cdc,3,compound,,UNLABELED,98.09,450.96,101.24,446.11,3.15,4.85,15.2775,5.7196,22.4476,99.665,448.535,0.6495,98,2,0,1,rgb,0,0,0,0,none,,,,0.0,89.9996,2.6316,74.9817,0.4245,0.0,594.0,387.36,0.0,12.1848
cdc,4,path,,UNLABELED,101.97,446.79,102.65,446.11,0.68,0.68,0.4624,0.353,2.1208,102.31,446.45,1.0,17,1,0,1,rgb,0,0,0,0,none,,,,0.0,90.5044,1.0976,12.0943,0.1432,0.0,594.0,387.36,0.0,0.353
cdc,5,path,,UNLABELED,103.96,450.79,105.28,446.19,1.32,4.6,6.072,2.6775,11.6121,104.62,448.49,0.287,7,1,0,1,rgb,0,0,0,0,none,,,,0.0,95.2992,22.6554,90.0,4.6,0.0,594.0,387.36,0.0,4.3339
cdc,6,compound,,UNLABELED,107.05,450.8,109.12,448.73,2.07,2.07,4.2849,2.4007,10.0357,108.085,449.765,1.0,34,2,0,1,rgb,0,0,0,0,none,,,,0.0,90.1309,1.1231,169.4606,0.4374,0.0,594.0,387.36,0.0,3.3588
cdc,7,path,,UNLABELED,111.08,450.96,117.55,446.02,6.47,4.94,31.9618,9.0173,33.0759,114.315,448.49,1.3097,11,1,0,1,rgb,0,0,0,0,none,,,,0.0,153.2431,1.2644,67.9712,5.1457,0.0,594.0,387.36,0.0,22.2296
cdc,8,compound,,UNLABELED,69.33,457.33,73.75,452.5,4.42,4.83,21.3486,5.9721,22.3324,71.54,454.915,0.9151,12,2,0,1,rgb,0,0,0,0,none,,,,0.0,90.2334,1.2379,114.5868,5.3116,0.0,594.0,387.36,0.0,10.6743
cdc,9,path,,UNLABELED,74.14,457.31,78.15,452.31,4.01,5.0,20.05,7.4939,27.532,76.145,454.81,0.802,9,1,0,1,rgb,0,0,0,0,none,,,,0.0,67.4803,1.7555,133.053,4.9951,0.0,594.0,387.36,0.0,19.228
cdc,10,path,,UNLABELED,78.96,457.31,82.96,452.31,4.0,5.0,20.0,7.4636,27.5151,80.96,454.81,0.8,9,1,0,1,rgb,0,0,0,0,none,,,,0.0,67.6247,1.7603,133.053,4.9951,0.0,594.0,387.36,0.0,19.18
cdc,11,path,,UNLABELED,83.68,457.09,87.09,452.41,3.41,4.68,15.9588,6.0911,22.1348,85.385,454.75,0.7286,51,1,0,1,rgb,0,0,0,0,none,,,,0.0,105.5768,1.3766,90.0,2.9,0.0,594.0,387.36,0.0,14.7556
cdc,12,compound,,UNLABELED,87.36,457.33,91.79,452.5,4.43,4.83,21.3969,5.9903,22.3406,89.575,454.915,0.9172,12,2,0,1,rgb,0,0,0,0,none,,,,0.0,90.571,1.2324,114.6848,5.3158,0.0,594.0,387.36,0.0,10.6985
cdc,13,path,,UNLABELED,92.18,457.09,94.18,452.5,2.0,4.59,9.18,3.468,13.18,93.18,454.795,0.4357,7,1,0,1,rgb,0,0,0,0,none,,,,0.0,100.514,10.2443,90.0,4.59,0.0,594.0,387.36,0.0,6.324
cdc,14,compound,,UNLABELED,96.31,457.09,99.21,452.5,2.9,4.59,13.311,6.4551,23.4325,97.76,454.795,0.6318,45,2,0,1,rgb,0,0,0,0,none,,,,0.0,92.0904,3.0604,90.0,4.59,0.0,594.0,387.36,0.0,11.916
cdc,15,compound,,UNLABELED,99.13,457.33,103.56,452.5,4.43,4.83,21.3969,5.9962,22.3465,101.345,454.915,0.9172,12,2,0,1,rgb,0,0,0,0,none,,,,0.0,90.3937,1.2342,114.6848,5.3158,0.0,594.0,387.36,0.0,10.6985
cdc,16,path,,UNLABELED,103.53,457.09,106.32,452.5,2.79,4.59,12.8061,3.8709,14.76,104.925,454.795,0.6078,9,1,0,1,rgb,0,0,0,0,none,,,,0.0,89.376,3.4234,90.0,4.08,0.0,594.0,387.36,0.0,8.3385
cdc,17,path,,UNLABELED,106.74,457.09,109.25,452.5,2.51,4.59,11.5209,5.6457,21.72,107.995,454.795,0.5468,13,1,0,1,rgb,0,0,0,0,none,,,,0.0,82.4011,2.6451,90.0,4.59,0.0,594.0,387.36,0.0,11.5209
cdc,18,compound,,UNLABELED,111.37,457.26,116.22,452.41,4.85,4.85,23.5225,7.4886,27.0414,113.795,454.835,1.0,114,2,0,1,rgb,0,0,0,0,none,,,,0.0,89.8443,1.0721,128.4191,0.3701,0.0,594.0,387.36,0.0,18.5056
cdc,19,path,,UNLABELED,116.78,457.09,119.04,452.5,2.26,4.59,10.3734,4.4217,16.92,117.91,454.795,0.4924,11,1,0,1,rgb,0,0,0,0,none,,,,0.0,71.8964,3.8972,90.0,4.59,0.0,594.0,387.36,0.0,8.3707
