airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
chd,0,path,,UNLABELED,43.17,467.7,236.57,240.27,193.4,227.43,43984.9656,1370.8403,841.5586,139.87,353.985,0.8504,118,1,0,1,rgb,207,207,207,0,none,,,,0.0,127.3747,39.3889,130.3355,158.0811,0.0,594.0,387.36,0.0,10621.5933
chd,1,path,,UNLABELED,293.66,205.05,303.24,195.68,9.58,9.37,89.7644,44.9627,20.5847,298.45,200.365,1.0224,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,138.9603,1.2429,132.5596,7.1412,0.0,594.0,387.36,0.0,44.9627
chd,2,path,,UNLABELED,255.48,207.19,294.36,168.98,38.88,38.21,1485.6047,222.0879,114.7113,274.92,188.085,1.0175,28,1,0,1,rgb,207,207,207,0,none,,,,0.0,42.5532,32.4607,40.605,16.7015,0.0,594.0,387.36,0.0,518.9955
chd,3,path,,UNLABELED,62.71,476.4,72.47,466.65,9.76,9.75,95.16,47.6181,20.9746,67.59,471.525,1.001,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,133.138,1.2804,129.8056,7.4978,0.0,594.0,387.36,0.0,47.6181
chd,4,compound,,UNLABELED,71.41,544.23,322.81,204.53,251.4,339.7,85400.5733,3706.825,1485.6621,197.11,374.38,0.7401,226,3,0,1,rgb,207,207,207,0,none,,,,0.0,125.2215,48.1709,130.3768,83.6046,0.0,594.0,387.36,0.0,23084.2056
chd,5,path,,UNLABELED,332.89,77.7499,335.36,74.84,2.47,2.91,7.1876,2.2932,8.9187,334.125,76.295,0.8488,6,1,0,1,rgb,207,207,207,0,none,,,,0.0,130.4563,4.4534,130.3248,3.8169,0.0,594.0,387.36,0.0,2.9536
chd,6,compound,,UNLABELED,57.73,339.73,326.97,49.05,269.24,290.68,78262.6735,12688.0772,2056.2287,192.35,194.39,0.9262,390,4,0,1,rgb,207,207,207,0,none,,,,0.0,132.6038,23.7314,130.5426,64.5987,0.0,594.0,387.36,0.0,25969.0518
chd,7,path,,UNLABELED,282.16,79.83,306.21,58.37,24.05,21.46,516.1133,129.6974,67.74,294.185,69.1,1.1207,14,1,0,1,rgb,207,207,207,0,none,,,,0.0,41.1308,42.1474,41.0234,24.8793,0.0,594.0,387.36,0.0,136.4483
chd,8,path,,UNLABELED,276.73,85.85,301.2,64.11,24.47,21.74,531.9776,139.9447,70.3071,288.965,74.98,1.1256,16,1,0,1,rgb,207,207,207,0,none,,,,0.0,40.504,33.9934,40.8582,24.6718,0.0,594.0,387.36,0.0,146.9528
chd,9,path,,UNLABELED,271.33,91.91,295.91,70.33,24.58,21.58,530.4358,138.5449,69.2686,283.62,81.12,1.139,16,1,0,1,rgb,207,207,207,0,none,,,,0.0,40.3775,35.0842,40.2799,24.7478,0.0,594.0,387.36,0.0,146.1396
chd,10,path,,UNLABELED,266.36,98.1,290.68,76.23,24.32,21.87,531.8792,141.3704,69.8825,278.52,87.165,1.112,17,1,0,1,rgb,207,207,207,0,none,,,,0.0,40.6053,38.3158,40.3173,24.9451,0.0,594.0,387.36,0.0,149.6819
chd,11,path,,UNLABELED,261.2,104.23,285.45,82.42,24.25,21.81,528.8924,140.6651,68.8656,273.325,93.325,1.1119,15,1,0,1,rgb,207,207,207,0,none,,,,0.0,39.7204,37.4591,40.404,24.8853,0.0,594.0,387.36,0.0,148.0123
chd,12,path,,UNLABELED,255.94,110.35,280.41,88.38,24.47,21.97,537.606,144.3648,65.9574,268.175,99.365,1.1138,15,1,0,1,rgb,207,207,207,0,none,,,,0.0,41.1337,34.6436,40.676,24.947,0.0,594.0,387.36,0.0,151.3188
chd,13,path,,UNLABELED,197.53,166.57,254.39,101.22,56.86,65.35,3715.8004,474.0113,180.5825,225.96,133.895,0.8701,16,1,0,1,rgb,207,207,207,0,none,,,,0.0,130.6741,49.484,130.5879,23.2549,0.0,594.0,387.36,0.0,623.3882
chd,14,path,,UNLABELED,203.44,171.83,260.51,106.69,57.07,65.14,3717.5411,470.9957,174.9727,231.975,139.26,0.8761,16,1,0,1,rgb,207,207,207,0,none,,,,0.0,130.6845,52.9358,130.6066,23.2615,0.0,594.0,387.36,0.0,598.6717
chd,15,path,,UNLABELED,209.78,176.95,266.56,111.74,56.78,65.21,3702.625,494.9712,185.0813,238.17,144.345,0.8707,20,1,0,1,rgb,207,207,207,0,none,,,,0.0,130.4513,32.558,130.5879,23.255,0.0,594.0,387.36,0.0,743.6525
chd,16,path,,UNLABELED,98.28,325.64,336.74,60.01,238.46,265.63,63342.1214,1434.7228,930.6705,217.51,192.825,0.8977,179,1,0,1,rgb,207,207,207,0,none,,,,0.0,130.8436,282.5635,130.4152,63.4254,0.0,594.0,387.36,0.0,5817.5528
chd,17,path,,UNLABELED,98.04,239.67,105.27,224.84,7.23,14.83,107.2207,18.0053,42.4322,101.655,232.255,0.4875,10,1,0,1,rgb,207,207,207,0,none,,,,0.0,102.6639,8.7095,91.5933,14.7457,0.0,594.0,387.36,0.0,60.1369
chd,18,compound,,UNLABELED,248.8,443.67,253.65,440.52,4.85,3.15,15.2776,5.7454,22.4467,251.225,442.095,1.5397,98,2,0,1,rgb,0,0,0,0,none,,,,0.0,179.9888,2.6332,15.0183,0.4245,0.0,594.0,387.36,0.0,12.1968
chd,19,path,,UNLABELED,252.97,445.09,253.65,444.41,0.68,0.68,0.4624,0.3496,2.1104,253.31,444.75,1.0,17,1,0,1,rgb,0,0,0,0,none,,,,0.0,0.0,1.1191,102.9936,0.1334,0.0,594.0,387.36,0.0,0.3496
chd,20,path,,UNLABELED,248.97,447.71,253.56,446.4,4.59,1.31,6.0129,2.6673,11.5721,251.265,447.055,3.5038,7,1,0,1,rgb,0,0,0,0,none,,,,0.0,5.2503,22.9219,0.0,4.59,0.0,594.0,387.36,0.0,4.2993
chd,21,compound,,UNLABELED,248.96,451.56,251.03,449.49,2.07,2.07,4.2849,2.3945,10.0156,249.995,450.525,1.0,34,2,0,1,rgb,0,0,0,0,none,,,,0.0,0.0404,1.1228,169.2178,0.4276,0.0,594.0,387.36,0.0,3.348
chd,22,path,,UNLABELED,248.8,459.98,253.74,453.51,4.94,6.47,31.9618,9.0181,33.0758,251.27,456.745,0.7635,11,1,0,1,rgb,0,0,0,0,none,,,,0.0,63.2204,1.2653,22.0289,5.1457,0.0,594.0,387.36,0.0,22.2296
chd,23,compound,,UNLABELED,242.43,416.19,247.26,411.76,4.83,4.43,21.3969,5.9903,22.3405,244.845,413.975,1.0903,12,2,0,1,rgb,0,0,0,0,none,,,,0.0,0.5715,1.2324,24.6848,5.3158,0.0,594.0,387.36,0.0,10.6984
chd,24,path,,UNLABELED,242.45,420.58,247.45,416.58,5.0,4.0,20.0,7.4644,27.5151,244.95,418.58,1.25,9,1,0,1,rgb,0,0,0,0,none,,,,0.0,157.5826,1.7601,42.969,4.9882,0.0,594.0,387.36,0.0,19.18
chd,25,path,,UNLABELED,242.45,425.39,247.45,421.39,5.0,4.0,20.0,7.4644,27.5151,244.95,423.39,1.25,9,1,0,1,rgb,0,0,0,0,none,,,,0.0,157.5826,1.7601,42.969,4.9882,0.0,594.0,387.36,0.0,19.18
chd,26,path,,UNLABELED,242.67,429.53,247.35,426.12,4.68,3.41,15.9588,6.0809,22.1272,245.01,427.825,1.3724,51,1,0,1,rgb,0,0,0,0,none,,,,0.0,15.4144,1.3736,0.0,2.9,0.0,594.0,387.36,0.0,14.7443
chd,27,compound,,UNLABELED,242.43,434.22,247.26,429.8,4.83,4.42,21.3486,5.978,22.3264,244.845,432.01,1.0928,12,2,0,1,rgb,0,0,0,0,none,,,,0.0,0.26,1.2394,155.4132,5.3116,0.0,594.0,387.36,0.0,10.6743
