airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
cho,0,path,,UNLABELED,193.05,259.66,201.04,255.69,7.99,3.97,31.7203,7.7758,9.3782,197.045,257.675,2.0126,3,1,0,0,none,,,,1,rgb,207,207,207,0.39,22.7451,17.4727,0.2446,4.69,0.0,594.0,387.36,0.0,7.7758
cho,1,path,,UNLABELED,192.58,256.5,193.05,256.31,0.47,0.19,0.0893,0.0,0.507,192.815,256.405,2.4737,2,1,0,0,none,,,,1,rgb,207,207,207,0.39,157.9885,1000000.0,157.9885,0.507,0.0,594.0,387.36,0.0,0.0
cho,2,path,,UNLABELED,186.61,264.28,192.58,256.5,5.97,7.78,46.4466,6.5218,10.161,189.595,260.39,0.7674,3,1,0,0,none,,,,1,rgb,207,207,207,0.39,127.5005,40.7697,112.325,5.0809,0.0,594.0,387.36,0.0,6.5218
cho,3,path,,UNLABELED,186.37,267.02,186.61,264.28,0.24,2.74,0.6576,0.0,2.7505,186.49,265.65,0.0876,2,1,0,0,none,,,,1,rgb,207,207,207,0.39,95.006,1000000.0,95.006,2.7505,0.0,594.0,387.36,0.0,0.0
cho,4,path,,UNLABELED,178.96,267.02,186.37,248.85,7.41,18.17,134.6399,0.0,19.6229,182.665,257.935,0.4078,2,1,0,0,none,,,,1,rgb,207,207,207,0.39,67.8136,1000000.0,67.8136,19.6229,0.0,594.0,387.36,0.0,0.0
cho,5,path,,UNLABELED,178.96,253.29,187.88,248.85,8.92,4.44,39.6048,9.6986,10.4769,183.42,251.07,2.009,3,1,0,0,none,,,,1,rgb,207,207,207,0.39,22.8724,17.5024,45.3089,5.2468,0.0,594.0,387.36,0.0,9.6986
cho,6,path,,UNLABELED,187.88,252.61,193.09,250.49,5.21,2.12,11.0452,0.0,5.6248,190.485,251.55,2.4576,2,1,0,0,none,,,,1,rgb,207,207,207,0.39,157.8582,1000000.0,157.8582,5.6248,0.0,594.0,387.36,0.0,0.0
cho,7,path,,UNLABELED,193.09,250.49,195.43,246.32,2.34,4.17,9.7578,2.0281,4.9964,194.26,248.405,0.5611,3,1,0,0,none,,,,1,rgb,207,207,207,0.39,117.1668,22.0002,137.4331,2.4983,0.0,594.0,387.36,0.0,2.0281
cho,8,path,,UNLABELED,193.5,246.32,195.23,239.02,1.73,7.3,12.6289,0.0,7.5022,194.365,242.67,0.237,2,1,0,0,none,,,,1,rgb,207,207,207,0.39,76.6677,1000000.0,76.6677,7.5022,0.0,594.0,387.36,0.0,0.0
cho,9,path,,UNLABELED,165.89,239.02,193.5,172.01,27.61,67.01,1850.1464,0.0,72.4752,179.695,205.515,0.412,2,1,0,0,none,,,,1,rgb,207,207,207,0.39,67.607,1000000.0,67.607,72.4752,0.0,594.0,387.36,0.0,0.0
cho,10,path,,UNLABELED,159.28,172.01,165.89,158.95,6.61,13.06,86.3266,0.0,14.6375,162.585,165.48,0.5061,2,1,0,0,none,,,,1,rgb,207,207,207,0.39,63.1549,1000000.0,63.1549,14.6375,0.0,594.0,387.36,0.0,0.0
cho,11,path,,UNLABELED,155.62,158.95,159.28,157.29,3.66,1.66,6.0756,1.4934,4.1963,157.45,158.12,2.2048,3,1,0,0,none,,,,1,rgb,207,207,207,0.39,20.5127,19.6098,179.1816,2.1002,0.0,594.0,387.36,0.0,1.4934
cho,12,path,,UNLABELED,149.72,159.98,155.62,157.58,5.9,2.4,14.1599,0.0,6.3695,152.67,158.78,2.4583,2,1,0,0,none,,,,1,rgb,207,207,207,0.39,157.8645,1000000.0,157.8645,6.3695,0.0,594.0,387.36,0.0,0.0
cho,13,path,,UNLABELED,145.52,168.44,149.72,159.98,4.2,8.46,35.5319,8.7371,9.934,147.62,164.21,0.4965,3,1,0,0,none,,,,1,rgb,207,207,207,0.39,112.758,17.4028,90.2306,4.97,0.0,594.0,387.36,0.0,8.7371
cho,14,path,,UNLABELED,139.15,168.44,146.17,151.24,7.02,17.2,120.7442,0.0,18.5774,142.66,159.84,0.4081,2,1,0,0,none,,,,1,rgb,207,207,207,0.39,67.7977,1000000.0,67.7977,18.5774,0.0,594.0,387.36,0.0,0.0
cho,15,path,,UNLABELED,139.15,155.68,148.08,151.24,8.93,4.44,39.6492,9.7357,10.4868,143.615,153.46,2.0113,3,1,0,0,none,,,,1,rgb,207,207,207,0.39,22.7855,17.4075,45.3089,5.2468,0.0,594.0,387.36,0.0,9.7357
cho,16,path,,UNLABELED,148.08,154.99,152.7,153.11,4.62,1.88,8.6856,0.0,4.9879,150.39,154.05,2.4574,2,1,0,0,none,,,,1,rgb,207,207,207,0.39,157.8572,1000000.0,157.8572,4.9879,0.0,594.0,387.36,0.0,0.0
cho,17,path,,UNLABELED,152.7,153.11,155.04,148.41,2.34,4.7,10.998,2.6854,5.5178,153.87,150.76,0.4979,3,1,0,0,none,,,,1,rgb,207,207,207,0.39,112.8403,17.5902,90.415,2.7601,0.0,594.0,387.36,0.0,2.6854
cho,18,path,,UNLABELED,150.62,148.41,154.68,138.47,4.06,9.94,40.3564,0.0,10.7372,152.65,143.44,0.4085,2,1,0,0,none,,,,1,rgb,207,207,207,0.39,67.7824,1000000.0,67.7824,10.7372,0.0,594.0,387.36,0.0,0.0
cho,19,path,,UNLABELED,145.93,138.47,150.62,136.14,4.69,2.33,10.9276,2.6853,5.5078,148.275,137.305,2.0129,3,1,0,0,none,,,,1,rgb,207,207,207,0.39,22.7983,17.4121,45.2937,2.7577,0.0,594.0,387.36,0.0,2.6853
