airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
cid,0,path,,UNLABELED,114.57,531.66,262.84,358.03,148.27,173.63,25744.1197,6455.0993,945.5498,188.705,444.845,0.8539,163,1,0,1,rgb,207,207,207,0,none,,,,0.0,46.5194,5.5691,0.0156,36.84,0.0,594.0,387.36,0.0,14001.3408
cid,1,path,,UNLABELED,86.28,270.54,94.88,258.65,8.6,11.89,102.2538,43.6598,21.2888,90.58,264.595,0.7233,7,1,0,1,rgb,207,207,207,0,none,,,,0.0,73.0164,2.233,135.6452,6.9089,0.0,594.0,387.36,0.0,52.7883
cid,2,path,,UNLABELED,86.42,337.97,94.99,333.84,8.57,4.13,35.3941,23.5198,25.4319,90.705,335.905,2.0751,26,1,0,1,rgb,207,207,207,0,none,,,,0.0,173.8138,3.8245,179.017,4.0806,0.0,594.0,387.36,0.0,27.7663
cid,3,path,,UNLABELED,134.62,461.31,203.25,341.4,68.63,119.91,8229.4241,883.1333,357.5163,168.935,401.355,0.5723,68,1,0,1,rgb,207,207,207,0,none,,,,0.0,72.429,20.5322,89.3098,57.2842,0.0,594.0,387.36,0.0,3411.9431
cid,4,path,,UNLABELED,262.65,531.53,302.52,477.31,39.87,54.22,2161.751,594.1821,196.5081,282.585,504.42,0.7353,45,1,0,1,rgb,207,207,207,0,none,,,,0.0,124.9981,6.2197,89.7241,22.8403,0.0,594.0,387.36,0.0,1232.8849
cid,5,compound,,UNLABELED,75.38,356.82,205.92,65.9,130.54,290.92,37976.7008,5169.8519,1621.1427,140.65,211.36,0.4487,264,8,0,1,rgb,207,207,207,0,none,,,,0.0,104.5652,2.9864,89.0498,85.0217,0.0,594.0,387.36,0.0,21210.3574
cid,6,path,,UNLABELED,211.27,500.13,254.46,497.34,43.19,2.79,120.5001,57.5334,44.1708,232.865,498.735,15.4803,6,1,0,0,none,,,,1,rgb,207,207,207,0.39,1.5357,306.3103,179.3026,26.292,0.0,594.0,387.36,0.0,57.5334
cid,7,path,,UNLABELED,254.46,499.81,262.65,492.0,8.19,7.81,63.9638,2.4173,11.4886,258.555,495.905,1.0487,3,1,0,0,none,,,,1,rgb,207,207,207,0.39,135.3275,862.251,134.1037,10.8483,0.0,594.0,387.36,0.0,2.4173
cid,8,path,,UNLABELED,262.65,503.45,262.71,492.0,0.06,11.45,0.687,0.0,11.4502,262.68,497.725,0.0052,2,1,0,0,none,,,,1,rgb,207,207,207,0.39,89.6998,1000000.0,89.6998,11.4502,0.0,594.0,387.36,0.0,0.0
cid,9,path,,UNLABELED,251.35,508.83,262.71,503.45,11.36,5.38,61.1168,52.6134,24.223,257.03,506.14,2.1115,9,1,0,0,none,,,,1,rgb,207,207,207,0.39,178.7,3.3933,179.6099,10.2802,0.0,594.0,387.36,0.0,52.6134
cid,10,path,,UNLABELED,260.75,508.72,261.31,508.71,0.56,0.01,0.0056,0.0,0.5601,261.03,508.715,55.9878,2,1,0,0,none,,,,1,rgb,207,207,207,0.39,178.9767,1000000.0,178.9767,0.5601,0.0,594.0,387.36,0.0,0.0
cid,11,path,,UNLABELED,261.31,508.71,262.73,508.69,1.42,0.02,0.0284,0.0,1.4202,262.02,508.7,71.0126,2,1,0,0,none,,,,1,rgb,207,207,207,0.39,179.1932,1000000.0,179.1932,1.4202,0.0,594.0,387.36,0.0,0.0
cid,12,path,,UNLABELED,262.73,531.53,262.84,508.69,0.11,22.84,2.5121,0.0,22.8403,262.785,520.11,0.0048,2,1,0,0,none,,,,1,rgb,207,207,207,0.39,89.7241,1000000.0,89.7241,22.8403,0.0,594.0,387.36,0.0,0.0
cid,13,path,,UNLABELED,212.54,531.66,262.84,504.11,50.3,27.55,1385.765,329.6067,77.313,237.69,517.885,1.8258,5,1,0,0,none,,,,1,rgb,207,207,207,0.39,33.4463,3.9235,0.0155,36.84,0.0,594.0,387.36,0.0,684.9534
cid,14,path,,UNLABELED,73.84,269.06,87.47,255.37,13.63,13.69,186.5947,93.3351,28.6089,80.655,262.215,0.9956,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,47.2921,1.0781,134.4959,9.6453,0.0,594.0,387.36,0.0,93.3351
cid,15,path,,UNLABELED,301.82,490.07,314.54,477.5,12.72,12.57,159.8904,80.0136,34.6875,308.18,483.785,1.0119,5,1,0,1,rgb,207,207,207,0,none,,,,0.0,109.8612,1.3939,134.1461,9.4904,0.0,594.0,387.36,0.0,80.0136
cid,16,path,,UNLABELED,64.98,344.17,137.09,268.67,72.11,75.5,5444.3045,505.7725,250.7944,101.035,306.42,0.9551,30,1,0,1,rgb,207,207,207,0,none,,,,0.0,48.3858,3.9564,42.8596,49.7938,0.0,594.0,387.36,0.0,2100.3859
cid,17,path,,UNLABELED,90.1,333.94,114.47,322.24,24.37,11.7,285.1293,105.8643,66.6565,102.285,328.09,2.0829,16,1,0,1,rgb,207,207,207,0,none,,,,0.0,169.8748,10.0283,178.102,10.2656,0.0,594.0,387.36,0.0,181.7683
cid,18,path,,UNLABELED,94.19,387.32,128.55,340.69,34.36,46.63,1602.2065,381.4436,211.6553,111.37,364.005,0.7369,61,1,0,1,rgb,207,207,207,0,none,,,,0.0,87.0438,2.0995,88.6993,20.2652,0.0,594.0,387.36,0.0,924.2156
cid,19,path,,UNLABELED,136.43,232.52,144.26,220.05,7.83,12.47,97.6401,77.1117,37.8601,140.345,226.285,0.6279,8,1,0,1,rgb,0,0,0,0,none,,,,0.0,106.9263,2.3551,89.8654,8.51,0.0,594.0,387.36,0.0,87.3448
cid,20,path,,UNLABELED,119.14,415.05,122.66,410.16,3.52,4.89,17.2128,17.1639,13.29,120.9,412.605,0.7198,4,1,0,1,rgb,0,0,0,0,none,,,,0.0,89.7583,1.9409,89.8828,4.89,0.0,594.0,387.36,0.0,17.1639
