airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
cle,0,path,,UNLABELED,183.23,471.16,238.09,428.57,54.86,42.59,2336.4872,908.9346,229.8705,210.66,449.865,1.2881,77,1,0,1,rgb,207,207,207,0,none,,,,0.0,148.6396,9.5147,147.8727,14.9492,0.0,594.0,387.36,0.0,1074.3951
cle,1,path,,UNLABELED,274.96,417.63,326.82,374.16,51.86,43.47,2254.355,796.7924,185.9258,300.89,395.895,1.193,66,1,0,1,rgb,207,207,207,0,none,,,,0.0,146.8592,6.767,147.8185,18.9635,0.0,594.0,387.36,0.0,1201.4512
cle,2,path,,UNLABELED,235.18,416.69,255.07,396.34,19.89,20.35,404.7616,157.755,84.4443,245.125,406.515,0.9774,40,1,0,1,rgb,207,207,207,0,none,,,,0.0,111.2408,1.4395,88.9131,8.9616,0.0,594.0,387.36,0.0,260.4568
cle,3,path,,UNLABELED,89.2,500.87,210.29,386.47,121.09,114.4,13852.6975,924.7283,420.9864,149.745,443.67,1.0585,154,1,0,1,rgb,207,207,207,0,none,,,,0.0,137.8684,10.2634,130.2839,38.1858,0.0,594.0,387.36,0.0,6070.4488
cle,4,path,,UNLABELED,77.84,279.29,109.65,248.11,31.81,31.18,991.8357,449.6951,92.2616,93.745,263.7,1.0202,35,1,0,1,rgb,207,207,207,0,none,,,,0.0,46.0307,5.9813,39.9988,29.6061,0.0,594.0,387.36,0.0,479.7789
cle,5,path,,UNLABELED,92.16,248.21,118.35,222.23,26.19,25.98,680.4164,133.3439,79.3509,105.255,235.22,1.0081,19,1,0,1,rgb,207,207,207,0,none,,,,0.0,47.7321,17.7825,52.1857,14.924,0.0,594.0,387.36,0.0,226.3524
cle,6,path,,UNLABELED,229.41,391.26,271.51,379.79,42.1,11.47,482.8873,435.1768,106.6168,250.46,385.525,3.6704,24,1,0,1,rgb,207,207,207,0,none,,,,0.0,0.9507,15.862,0.8467,26.3929,0.0,594.0,387.36,0.0,446.5576
cle,7,path,,UNLABELED,250.94,291.64,286.95,275.91,36.01,15.73,566.4368,433.4202,101.4746,268.945,283.775,2.2893,31,1,0,1,rgb,207,207,207,0,none,,,,0.0,3.0709,4.9757,179.2115,16.7116,0.0,594.0,387.36,0.0,483.432
cle,8,path,,UNLABELED,270.24,303.94,287.34,291.41,17.1,12.53,214.2631,207.8109,58.109,278.79,297.675,1.3647,7,1,0,1,rgb,207,207,207,0,none,,,,0.0,164.7042,1.8374,179.2114,16.7116,0.0,594.0,387.36,0.0,208.1773
cle,9,path,,UNLABELED,246.08,413.66,275.25,396.27,29.17,17.39,507.2663,266.662,105.5776,260.665,404.965,1.6774,37,1,0,1,rgb,207,207,207,0,none,,,,0.0,162.2411,3.3399,1.1223,10.7221,0.0,594.0,387.36,0.0,393.6445
