airport,object_id,subpath_index,edge_index,mid_x,mid_y,angle,length
cno,0,0,0,301.695,184.505,135.7921,40.9171
cno,0,0,1,284.145,195.82,45.6381,8.2525
cno,0,0,2,295.925,178.675,135.933,40.8196
cno,1,0,0,90.57,391.7,133.8176,19.8739
cno,1,0,1,80.7,396.025,43.5765,8.2545
cno,1,0,2,84.695,385.905,133.835,20.1708
cno,2,0,0,258.92,195.22,136.4795,3.8338
cno,2,0,1,257.51,196.54,0.0,0.04
cno,2,0,2,255.255,198.775,135.0001,6.3215
cno,2,0,3,252.525,201.71,125.2654,1.7147
cno,2,0,4,252.02,205.835,90.1673,6.85
cno,2,0,5,252.02,210.625,89.5802,2.7301
cno,2,0,6,252.115,212.435,79.1864,0.9061
cno,2,0,7,252.39,213.33,67.109,0.9769
cno,2,0,8,253.265,214.545,48.158,2.0537
cno,2,0,9,254.9,215.695,22.0607,2.0501
cno,2,0,10,256.335,216.11,3.5394,0.9719
cno,2,0,11,257.27,216.07,171.1591,0.9108
cno,2,0,12,251.215,222.37,135.6008,18.209
cno,2,0,13,244.78,228.195,97.319,1.099
cno,2,0,14,244.86,227.445,92.7933,0.4105
cno,2,0,15,244.9,223.72,90.4883,7.0403
cno,2,0,16,244.805,219.68,76.4832,1.0696
cno,2,0,17,244.405,218.64,62.1288,1.1765
cno,2,0,18,243.145,217.305,39.6048,2.5569
cno,2,0,19,240.895,216.3,8.542,2.5584
cno,2,0,20,239.06,216.255,165.7273,1.1763
cno,2,0,21,238.02,216.65,151.9905,1.0647
cno,2,0,22,237.235,217.21,135.4588,0.8839
cno,2,0,23,234.675,219.71,135.7105,6.2725
cno,2,0,24,232.18,222.14,136.1685,0.6931
cno,2,0,25,231.365,223.32,121.0083,2.1935
cno,2,0,26,230.775,224.27,158.2106,0.0539
cno,2,0,27,230.86,213.905,90.6075,20.7512
cno,2,0,28,230.99,203.53,0.0,0.04
cno,2,0,29,231.185,204.01,69.9685,1.0218
cno,2,0,30,231.66,204.96,57.4505,1.1152
cno,2,0,31,232.93,206.135,36.0098,2.3983
cno,2,0,32,235.09,206.985,6.9474,2.3976
cno,2,0,33,236.82,206.99,165.4656,1.1157
cno,2,0,34,237.815,206.62,153.1823,1.0197
cno,2,0,35,239.505,205.205,136.1837,3.4231
cno,2,0,36,242.29,202.485,135.2786,4.3629
cno,2,0,37,244.47,199.595,114.9358,2.9886
cno,2,0,38,245.175,197.71,98.0549,1.0706
cno,2,0,39,245.715,193.45,97.1061,7.5177
cno,2,0,40,246.475,187.34,97.0659,4.7964
cno,2,0,41,246.785,182.19,90.3102,5.5401
cno,2,0,42,247.0,158.715,90.5534,41.4119
cno,2,0,43,246.47,130.91,84.1296,14.2749
cno,2,0,44,245.435,123.16,64.8629,1.436
cno,2,0,45,244.63,121.955,47.9847,1.494
cno,2,0,46,243.485,121.025,30.1734,1.4922
cno,2,0,47,242.145,120.485,13.3548,1.4286
cno,2,0,48,239.27,120.37,178.6864,4.3611
cno,2,0,49,235.28,121.455,150.238,4.17
cno,2,0,50,232.55,124.36,116.1962,4.1681
cno,2,0,51,231.625,126.22,63.4,0.0224
cno,2,0,52,231.69,120.555,90.7092,11.3109
cno,2,0,53,231.765,114.91,63.4349,0.0223
cno,2,0,54,236.7,114.9,179.7677,9.8601
cno,2,0,55,242.295,114.925,3.8711,1.333
cno,2,0,56,245.9,116.61,29.1538,6.733
cno,2,0,57,250.105,121.37,67.9299,6.7334
cno,2,0,58,251.335,126.475,91.01,3.9706
cno,2,0,59,251.17,141.385,90.5763,25.8513
cno,2,0,60,251.955,156.405,66.4065,4.5722
cno,2,0,61,254.89,161.02,51.2846,6.4593
cno,2,0,62,258.1,164.695,44.1452,3.3167
cno,2,0,63,260.01,165.85,0.0,1.44
cno,2,0,64,263.07,165.665,175.4793,4.6946
cno,2,0,65,266.85,166.31,29.9587,3.3242
cno,2,0,66,270.055,168.725,41.9245,4.7445
