airport,object_id,subpath_index,edge_index,mid_x,mid_y,angle,length
cof,0,0,0,254.6165,201.7975,1.0114,1.0772
cof,0,0,1,254.995,198.73,87.0235,6.1623
cof,0,0,2,254.059,195.629,1.7716,1.5527
cof,0,0,3,253.2835,195.431,90.1633,0.348
cof,0,0,4,253.129,195.2555,0.5527,0.31
cof,0,0,5,245.733,195.2515,0.0198,14.482
cof,0,0,6,238.043,195.2355,1.7227,0.8984
cof,0,0,7,237.5985,196.001,89.6695,1.558
cof,0,0,8,237.5975,200.1625,90.093,6.765
cof,0,0,9,237.636,204.801,87.9937,2.5136
cof,0,0,10,245.9075,206.002,179.6169,16.4554
cof,1,0,0,154.908,109.799,70.2528,7.4289
cof,1,0,1,153.5005,105.973,65.1969,0.7271
cof,1,0,2,150.044,102.9435,39.2501,8.5332
cof,1,0,3,146.2875,100.0425,24.0044,0.9907
cof,1,0,4,145.5295,99.7165,22.172,0.6598
cof,1,0,5,141.82,99.8365,175.8915,6.8255
cof,1,0,6,136.795,100.82,155.4922,3.563
cof,1,0,7,134.11,102.048,155.3173,2.342
cof,2,0,0,241.555,284.561,60.0648,9.6309
cof,2,0,1,237.3765,281.41,150.0746,4.0973
cof,2,0,2,234.5875,280.663,60.1905,4.0775
cof,2,0,3,230.2765,280.8475,149.3568,7.6654
cof,2,0,4,228.0365,284.6145,59.7524,4.1986
cof,2,0,5,231.897,291.193,59.5339,11.0566
cof,2,0,6,235.907,297.9085,58.2501,4.5875
cof,2,0,7,240.32,297.937,149.0573,7.476
cof,2,0,8,242.0255,293.375,60.3874,6.0732
cof,2,0,9,240.747,290.6125,151.1105,0.5071
cof,3,0,0,257.079,361.71,6.5634,10.831
cof,3,0,1,251.576,361.001,36.1919,0.3048
cof,3,0,2,251.295,360.731,48.7233,0.479
cof,3,0,3,251.043,360.385,60.4802,0.3815
cof,3,0,4,250.8605,359.9025,74.3776,0.6573
cof,3,0,5,249.966,366.449,96.6982,13.8203
cof,3,0,6,255.1775,373.9945,6.4707,12.1121
cof,4,0,0,174.9315,479.657,68.0994,5.6864
cof,4,0,1,173.602,476.3715,67.44,1.4023
cof,4,0,2,173.0535,475.834,158.5175,0.6007
cof,4,0,3,171.96,473.93,67.993,4.3446
cof,4,0,4,175.5355,470.161,158.2076,9.4547
cof,4,0,5,180.5735,470.1,69.0521,3.6278
cof,4,0,6,181.6025,472.787,69.034,2.1268
cof,4,0,7,183.0355,476.376,67.9309,5.6025
cof,4,0,8,184.2355,479.363,69.3307,0.8358
cof,4,0,9,184.5195,479.698,157.6935,0.2951
cof,4,0,10,186.759,478.774,157.5719,4.5502
cof,4,0,11,189.122,477.799,157.6314,0.5623
cof,4,0,12,192.914,476.3235,158.8208,7.5757
cof,4,0,13,196.2715,474.5445,66.9703,0.8921
cof,4,0,14,195.2645,472.1135,67.6071,4.3706
cof,4,0,15,194.2605,469.629,69.715,0.9894
cof,4,0,16,193.4065,469.4515,157.2285,1.4804
cof,4,0,17,191.61,466.9035,68.5445,6.0911
cof,4,0,18,191.4045,463.712,158.5473,1.9523
cof,4,0,19,192.413,463.5935,67.2528,0.5172
cof,4,0,20,194.431,463.0335,157.3971,4.1552
cof,4,0,21,196.2385,461.987,65.9847,0.543
cof,4,0,22,197.8175,461.0375,157.4512,3.6587
cof,4,0,23,200.6525,463.071,67.2746,5.9304
cof,4,0,24,201.888,466.0485,69.6392,0.5173
cof,4,0,25,201.917,466.5165,105.1362,0.4672
cof,4,0,26,201.7185,466.8825,134.3813,0.3932
cof,4,0,27,201.2275,467.213,151.7425,0.8027
cof,4,0,28,201.741,469.411,66.6467,4.3744
cof,4,0,29,202.848,471.3085,155.2783,0.5284
cof,4,0,30,203.31,471.1805,175.4923,0.4454
cof,4,0,31,203.721,471.2235,17.7509,0.3969
cof,4,0,32,204.0635,471.455,48.0865,0.4596
cof,4,0,33,207.0065,470.501,158.0359,6.0156
cof,4,0,34,208.5765,466.286,68.4629,6.6439
cof,4,0,35,206.3175,460.597,68.2004,5.5983
cof,4,0,36,207.5255,457.076,157.6949,4.8585
cof,4,0,37,215.6005,453.8015,158.0166,12.5689
cof,4,0,38,220.638,449.566,67.2398,4.084
cof,4,0,39,219.687,447.3105,66.6247,0.8116
cof,4,0,40,218.243,443.7905,67.823,6.7979
cof,4,0,41,216.7115,440.316,52.7674,0.8214
cof,4,0,42,216.29,439.777,50.7833,0.5473
cof,4,0,43,215.9035,439.282,52.9688,0.709
cof,4,0,44,213.6625,433.977,68.0149,10.8317
cof,4,0,45,210.984,427.3785,67.5623,3.4112
cof,4,0,46,207.758,426.868,157.5114,5.5739
cof,4,0,47,182.4335,437.241,157.7502,49.1593
cof,4,0,48,157.9555,447.2285,158.5106,3.7153
cof,4,0,49,158.298,452.7645,66.9005,10.5574
cof,4,0,50,165.76,470.911,67.9219,28.6854
cof,5,0,0,170.484,398.017,78.9045,0.1039
cof,5,0,1,169.8115,397.5865,29.805,1.527
cof,5,0,2,167.8915,396.5145,28.8416,2.8711
cof,5,0,3,164.6645,399.5,118.1682,8.3442
cof,5,0,4,164.5345,404.188,28.7696,4.1971
cof,5,0,5,167.7855,402.761,120.0792,5.6325
cof,6,0,0,242.407,351.079,70.4591,5.7343
cof,6,0,1,239.7605,343.7015,70.1543,9.9414
cof,6,0,2,236.841,339.416,162.4344,2.5845
cof,6,0,3,237.1175,344.0165,70.2889,8.9451
cof,6,0,4,239.7705,351.428,70.3258,6.7989
cof,7,0,0,245.816,405.583,96.0371,13.6537
cof,7,0,1,245.245,398.625,7.4693,2.6001
cof,7,0,2,243.209,405.2765,96.2503,13.7226
cof,8,0,0,239.9585,394.5835,68.3208,2.5256
cof,8,0,1,238.6095,393.7935,156.5122,1.9245
cof,8,0,2,238.172,395.3285,68.8709,2.469
cof,9,0,0,134.314,103.128,24.9524,2.7971
cof,9,0,1,133.6425,104.283,71.1279,3.6883
cof,9,0,2,134.3625,106.0735,20.2249,0.2632
cof,10,0,0,167.7755,200.6315,68.8889,2.5737
cof,10,0,1,166.3945,199.769,159.7766,1.9555
cof,10,0,2,162.8615,198.994,23.0515,5.6849
cof,10,0,3,159.892,197.2385,61.1462,1.4671
cof,10,0,4,161.7295,202.5875,69.909,12.7594
cof,10,0,5,163.8155,207.862,81.6291,1.4495
cof,10,0,6,164.784,205.0025,116.6241,4.7932
cof,10,0,7,166.1595,202.6955,151.382,0.6869
cof,11,0,0,200.855,407.3095,27.1456,2.2071
cof,11,0,1,197.4705,405.4075,30.2038,5.5598
cof,11,0,2,193.3925,406.98,119.4209,6.8218
cof,11,0,3,195.3985,412.0235,29.3774,8.4495
cof,12,0,0,212.4445,268.339,70.0598,32.9493
cof,12,0,1,205.1665,248.29,70.0103,9.7089
cof,12,0,2,196.894,225.419,70.1409,38.9334
cof,12,0,3,189.03,207.5835,159.268,2.6752
cof,12,0,4,194.2215,225.8105,70.0549,37.7726
cof,12,0,5,203.933,252.594,70.099,19.207
cof,12,0,6,211.4035,273.1325,69.9439,24.5029
cof,13,0,0,181.4545,196.2515,70.5694,3.6764
cof,13,0,1,179.734,194.9545,158.515,2.3836
cof,13,0,2,179.0595,196.5795,69.9184,2.5308
cof,13,0,3,179.6125,197.745,169.0182,0.2414
cof,13,0,4,180.1015,197.6845,174.2197,0.7448
cof,13,0,5,180.6865,197.6665,5.1946,0.4308
cof,13,0,6,181.1475,197.7345,11.1328,0.5025
cof,14,0,0,218.2535,284.35,70.0563,1.117
cof,14,0,1,216.834,284.2325,161.656,2.5896
cof,14,0,2,216.9735,288.4915,70.439,8.1748
cof,14,0,3,219.5845,291.9155,161.0139,2.628
cof,14,0,4,220.6785,290.9985,73.124,1.0231
cof,14,0,5,220.561,290.31,98.8536,0.4028
cof,14,0,6,220.693,289.863,112.16,0.5356
cof,14,0,7,220.93,289.4565,130.631,0.4177
cof,14,0,8,221.2455,289.14,138.6449,0.4783
cof,14,0,9,222.098,288.6045,150.7107,1.5433
cof,14,0,10,222.213,287.036,64.8962,2.6305
cof,14,0,11,221.3485,285.94,162.7787,0.6418
cof,14,0,12,220.8325,286.041,178.3604,0.4192
cof,14,0,13,220.3985,286.021,6.6063,0.452
cof,14,0,14,219.9595,285.9315,16.4887,0.4474
cof,14,0,15,219.5595,285.7725,27.2416,0.4173
cof,14,0,16,219.126,285.4885,37.2395,0.623
cof,15,0,0,134.4485,369.9575,28.9041,7.2433
cof,15,0,1,129.667,371.104,119.0781,6.6296
cof,15,0,2,131.1605,375.8175,30.3327,7.1938
cof,16,0,0,243.7195,425.214,96.7837,4.6647
cof,16,0,1,244.1905,421.0245,95.9574,3.7673
cof,16,0,2,244.7415,415.7615,95.9874,6.8162
cof,16,0,3,243.7795,412.2345,5.9579,2.6493
cof,16,0,4,242.2145,414.3325,96.3178,4.4983
