airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
cps,0,path,,UNLABELED,182.48,365.3,186.15,362.63,3.67,2.67,9.7989,0.0,4.5385,184.315,363.965,1.3745,2,1,0,0,none,,,,1,rgb,207,207,207,0.39,143.9634,1000000.0,143.9634,4.5385,0.0,594.0,387.36,0.0,0.0
cps,1,path,,UNLABELED,172.1,372.72,175.2,370.48,3.1,2.24,6.944,0.0,3.8246,173.65,371.6,1.3839,2,1,0,0,none,,,,1,rgb,207,207,207,0.39,144.1488,1000000.0,144.1488,3.8246,0.0,594.0,387.36,0.0,0.0
cps,2,path,,UNLABELED,82.52,367.53,90.75,353.77,8.23,13.76,113.2447,45.3021,37.8942,86.635,360.65,0.5981,22,1,0,1,rgb,207,207,207,0,none,,,,0.0,95.2135,1.6129,131.12,8.9867,0.0,594.0,387.36,0.0,69.7282
cps,3,path,,UNLABELED,193.59,323.28,194.12,322.94,0.53,0.34,0.1802,0.0079,1.2613,193.855,323.11,1.5588,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,147.7396,604.1066,147.3197,0.6297,0.0,594.0,387.36,0.0,0.0079
cps,4,path,,UNLABELED,109.7,379.25,327.67,203.24,217.97,176.01,38364.8994,2130.0037,1223.5536,218.685,291.245,1.2384,113,1,0,1,rgb,207,207,207,0,none,,,,0.0,139.0168,10.352,147.8121,64.5394,0.0,594.0,387.36,0.0,13114.1397
cps,5,path,,UNLABELED,100.69,391.02,206.97,340.58,106.28,50.44,5360.7634,856.7128,335.9345,153.83,365.8,2.1071,70,1,0,1,rgb,207,207,207,0,none,,,,0.0,3.2891,4.6391,44.4124,59.3011,0.0,594.0,387.36,0.0,3349.7206
cps,6,path,,UNLABELED,191.05,334.67,197.9,326.46,6.85,8.21,56.2385,24.8655,18.5874,194.475,330.565,0.8343,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,57.5892,5.6076,57.6147,7.6735,0.0,594.0,387.36,0.0,24.8655
cps,7,path,,UNLABELED,251.07,342.53,269.09,320.19,18.02,22.34,402.5665,174.3838,37.6373,260.08,331.36,0.8066,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,58.7683,6.5729,58.776,21.1426,0.0,594.0,387.36,0.0,174.3838
cps,8,path,,UNLABELED,325.67,232.94,339.03,213.72,13.36,19.22,256.7789,50.5579,25.9863,332.35,223.33,0.6951,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,57.7503,79.7167,57.74,21.2267,0.0,594.0,387.36,0.0,50.5579
cps,9,path,,UNLABELED,134.77,389.37,134.86,389.27,0.09,0.1,0.009,0.0015,0.271,134.815,389.32,0.8999,5,1,0,1,rgb,207,207,207,0,none,,,,0.0,48.5033,35.6381,41.6353,0.1204,0.0,594.0,387.36,0.0,0.0017
cps,10,path,,UNLABELED,58.09,443.55,154.23,320.19,96.14,123.36,11859.828,2572.8325,690.1298,106.16,381.87,0.7793,179,1,0,1,rgb,207,207,207,0,none,,,,0.0,58.5481,5.6648,42.8492,54.4502,0.0,594.0,387.36,0.0,4917.1275
