airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
csg,0,path,,UNLABELED,214.97,93.36,221.53,87.02,6.56,6.34,41.5904,20.6602,14.5481,218.25,90.19,1.0347,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,141.8506,1.8369,141.5413,5.3381,0.0,594.0,387.36,0.0,20.6602
csg,1,path,,UNLABELED,201.28,111.23,219.58,95.95,18.3,15.28,279.624,86.5053,43.5421,210.43,103.59,1.1976,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,143.0812,19.553,143.0832,19.562,0.0,594.0,387.36,0.0,86.5053
csg,2,path,,UNLABELED,205.61,117.28,224.12,101.5,18.51,15.78,292.0877,96.6552,43.9909,214.865,109.39,1.173,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,142.8563,15.6263,143.0656,19.554,0.0,594.0,387.36,0.0,96.6552
csg,3,path,,UNLABELED,210.07,123.48,228.37,107.55,18.3,15.93,291.5189,95.4209,43.9522,219.22,115.515,1.1488,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,141.9376,15.9152,142.1429,19.6189,0.0,594.0,387.36,0.0,95.4209
csg,4,path,,UNLABELED,214.83,129.31,233.06,113.89,18.23,15.42,281.107,88.5566,43.1975,223.945,121.6,1.1822,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,142.7256,18.2401,141.8906,19.5086,0.0,594.0,387.36,0.0,88.5566
csg,5,path,,UNLABELED,235.51,110.51,246.32,100.35,10.81,10.16,109.8296,53.171,24.1167,240.915,105.43,1.064,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,142.783,2.4807,142.6794,9.1543,0.0,594.0,387.36,0.0,53.171
csg,6,path,,UNLABELED,233.92,121.96,243.0,111.8,9.08,10.16,92.2529,40.2615,23.404,238.46,116.88,0.8937,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,53.5793,5.1552,54.157,9.5975,0.0,594.0,387.36,0.0,40.2615
csg,7,path,,UNLABELED,217.57,98.62,220.45,95.66,2.88,2.96,8.5248,4.3072,6.4282,219.01,97.14,0.973,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,53.3481,1.4115,52.7249,2.2621,0.0,594.0,387.36,0.0,4.3072
csg,8,path,,UNLABELED,221.89,104.53,224.99,101.36,3.1,3.17,9.827,4.946,7.0847,223.44,102.945,0.9779,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,51.7976,1.7286,52.6045,2.6181,0.0,594.0,387.36,0.0,4.946
csg,9,path,,UNLABELED,226.21,110.58,229.37,107.3,3.16,3.28,10.3648,5.2616,7.1208,227.79,108.94,0.9634,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,55.8995,1.3722,52.8535,2.484,0.0,594.0,387.36,0.0,5.2616
csg,10,path,,UNLABELED,230.91,116.81,234.27,113.46,3.36,3.35,11.2559,5.7205,7.1305,232.59,115.135,1.003,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,140.8985,1.0801,142.3314,2.4382,0.0,594.0,387.36,0.0,5.7205
csg,11,path,,UNLABELED,244.37,123.26,255.54,112.67,11.17,10.59,118.2902,57.6917,24.8672,249.955,117.965,1.0548,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,142.2109,2.2064,142.5173,9.3505,0.0,594.0,387.36,0.0,57.6917
csg,12,path,,UNLABELED,165.83,208.21,176.42,192.51,10.59,15.7,166.2631,59.4818,39.9698,171.125,200.36,0.6745,8,1,0,1,rgb,207,207,207,0,none,,,,0.0,60.0801,16.4739,61.2097,13.4758,0.0,594.0,387.36,0.0,63.3356
csg,13,path,,UNLABELED,160.21,211.67,171.02,196.11,10.81,15.56,168.2035,66.5485,41.0369,165.615,203.89,0.6947,10,1,0,1,rgb,207,207,207,0,none,,,,0.0,58.0667,11.9005,60.4539,13.5869,0.0,594.0,387.36,0.0,70.4998
csg,14,path,,UNLABELED,265.27,296.68,323.82,227.81,58.55,68.87,4032.3374,428.1019,302.1867,294.545,262.245,0.8502,63,1,0,1,rgb,207,207,207,0,none,,,,0.0,56.0846,3.3288,52.703,53.1235,0.0,594.0,387.36,0.0,2067.5925
csg,15,path,,UNLABELED,183.84,89.03,195.59,81.54,11.75,7.49,88.0074,0.0,13.9342,189.715,85.285,1.5688,2,1,0,0,none,,,,1,rgb,207,207,207,0.39,147.4847,1000000.0,147.4847,13.9342,0.0,594.0,387.36,0.0,0.0
csg,16,path,,UNLABELED,183.2,90.83,183.84,89.03,0.64,1.8,1.152,0.3636,1.9993,183.52,89.93,0.3556,3,1,0,0,none,,,,1,rgb,207,207,207,0.39,101.3851,16.1031,124.48,1.0069,0.0,594.0,387.36,0.0,0.3636
