airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
ddc,0,path,,UNLABELED,193.37,175.14,252.86,95.59,59.49,79.55,4732.431,372.9195,225.4219,223.115,135.365,0.7478,28,1,0,1,rgb,207,207,207,0,none,,,,0.0,123.8944,20.0288,116.241,68.8004,0.0,594.0,387.36,0.0,1654.7491
ddc,1,path,,UNLABELED,196.51,345.81,295.19,224.85,98.68,120.96,11936.3326,437.2981,390.4239,245.85,285.33,0.8158,61,1,0,1,rgb,207,207,207,0,none,,,,0.0,56.3804,37.6603,57.6902,83.5926,0.0,594.0,387.36,0.0,3332.1503
ddc,2,compound,,UNLABELED,46.27,489.06,199.63,95.69,153.36,393.37,60327.2227,3426.6448,1517.1831,122.95,292.375,0.3899,299,4,0,1,rgb,207,207,207,0,none,,,,0.0,103.5849,15.3159,116.2342,209.1206,0.0,594.0,387.36,0.0,23145.3068
ddc,3,compound,,UNLABELED,226.84,424.14,229.99,419.28,3.15,4.86,15.309,5.7194,22.4395,228.415,421.71,0.6481,98,2,0,1,rgb,0,0,0,0,none,,,,0.0,90.0039,2.6305,105.0183,0.4245,0.0,594.0,387.36,0.0,12.1787
ddc,4,path,,UNLABELED,230.72,419.96,231.4,419.28,0.68,0.68,0.4624,0.3554,2.1288,231.06,419.62,1.0,17,1,0,1,rgb,0,0,0,0,none,,,,0.0,90.4172,1.1102,12.0943,0.1432,0.0,594.0,387.36,0.0,0.3554
ddc,5,path,,UNLABELED,232.71,423.97,234.03,419.37,1.32,4.6,6.072,2.6775,11.6121,233.37,421.67,0.287,7,1,0,1,rgb,0,0,0,0,none,,,,0.0,95.2992,22.6556,90.0,4.6,0.0,594.0,387.36,0.0,4.3339
ddc,6,compound,,UNLABELED,235.8,423.98,237.87,421.9,2.07,2.08,4.3056,2.4021,10.0207,236.835,422.94,0.9952,34,2,0,1,rgb,0,0,0,0,none,,,,0.0,90.1409,1.1227,10.5396,0.4374,0.0,594.0,387.36,0.0,3.3547
ddc,7,path,,UNLABELED,239.83,424.14,246.3,419.2,6.47,4.94,31.9618,9.0042,33.0946,243.065,421.67,1.3097,11,1,0,1,rgb,0,0,0,0,none,,,,0.0,153.1169,1.2644,67.9711,5.1457,0.0,594.0,387.36,0.0,22.2296
ddc,8,compound,,UNLABELED,198.08,430.5,202.5,425.67,4.42,4.83,21.3486,5.9721,22.3324,200.29,428.085,0.9151,12,2,0,1,rgb,0,0,0,0,none,,,,0.0,90.2333,1.2379,65.4132,5.3116,0.0,594.0,387.36,0.0,10.6743
ddc,9,path,,UNLABELED,202.9,430.49,206.9,425.48,4.0,5.01,20.04,7.4867,27.5523,204.9,427.985,0.7984,9,1,0,1,rgb,0,0,0,0,none,,,,0.0,67.7473,1.7657,133.053,4.9951,0.0,594.0,387.36,0.0,19.22
