airport,object_id,subpath_index,edge_index,mid_x,mid_y,angle,length
dfw,0,0,0,110.545,213.88,90.3081,1.86
dfw,0,0,1,110.435,212.96,175.033,0.2309
dfw,0,0,2,109.605,212.97,0.0,1.43
dfw,0,0,3,108.885,213.81,90.3411,1.68
dfw,0,0,4,109.545,214.665,1.2921,1.3303
dfw,0,0,5,110.24,214.69,18.4502,0.0633
dfw,0,0,6,110.405,214.755,22.1639,0.2915
dfw,0,1,0,109.455,214.27,0.0,0.03
dfw,0,1,1,109.455,214.275,161.5476,0.0316
dfw,0,1,2,109.44,214.275,90.0,0.01
dfw,1,0,0,91.5,339.1,0.102,11.24
dfw,1,0,1,97.215,339.13,11.8866,0.1942
dfw,1,0,2,97.4,339.185,21.2525,0.1931
dfw,1,0,3,97.57,339.26,26.5661,0.1789
dfw,1,0,4,97.725,339.355,36.2537,0.186
dfw,1,0,5,97.865,339.47,42.7072,0.1769
dfw,1,0,6,97.985,339.6,51.8444,0.178
dfw,1,0,7,99.39,339.67,0.0,2.7
dfw,1,0,8,100.745,339.575,93.0134,0.1903
dfw,1,0,9,100.75,339.47,90.0,0.02
dfw,1,0,10,100.78,339.385,111.8014,0.1615
dfw,1,0,11,100.85,339.235,118.074,0.17
dfw,1,0,12,100.9,339.15,134.9891,0.0283
dfw,1,0,13,100.92,339.12,116.5651,0.0447
dfw,1,0,14,100.985,339.03,128.1556,0.178
dfw,1,0,15,101.08,338.915,131.6353,0.1204
dfw,1,0,16,101.135,338.85,126.8734,0.05
dfw,1,0,17,101.24,338.76,142.1252,0.228
dfw,1,0,18,101.435,338.63,150.2529,0.2419
dfw,1,0,19,101.65,338.52,155.5581,0.2417
dfw,1,0,20,101.77,338.47,0.0,0.02
dfw,1,0,21,102.535,338.48,0.7584,1.5101
dfw,1,0,22,103.745,338.485,179.3707,0.9101
dfw,1,0,23,104.185,336.86,89.4695,3.2401
dfw,1,0,24,103.71,335.24,0.0,0.92
dfw,1,0,25,103.23,330.32,89.7671,9.8401
dfw,1,0,26,99.395,325.4,0.0,7.63
dfw,1,0,27,95.51,325.4,0.0,0.14
dfw,1,0,28,95.43,325.695,91.9412,0.5903
dfw,1,0,29,95.42,326.02,90.0,0.06
dfw,1,0,30,91.29,326.05,0.0,8.26
dfw,1,0,31,86.685,326.045,0.6018,0.95
dfw,1,0,32,86.215,328.885,89.8994,5.69
dfw,1,0,33,86.295,331.735,3.8061,0.1503
dfw,1,0,34,86.595,331.745,1.2743,0.4501
dfw,1,0,35,86.815,332.06,90.9242,0.6201
