airport,object_id,subpath_index,edge_index,mid_x,mid_y,angle,length
dlh,0,0,0,177.74,274.63,93.0122,0.7611
dlh,0,0,1,177.59,275.365,110.1135,0.7561
dlh,0,0,2,177.26,276.06,120.4654,0.7889
dlh,0,0,3,176.755,276.705,134.9993,0.8627
dlh,0,0,4,176.07,277.385,135.3798,1.0678
dlh,0,0,5,175.33,277.95,152.1751,0.8141
dlh,0,0,6,174.61,278.265,160.8519,0.7622
dlh,0,0,7,173.875,278.425,174.6696,0.7533
dlh,0,0,8,173.035,278.475,178.1525,0.9305
dlh,0,0,9,168.805,278.66,177.4147,7.5377
dlh,0,0,10,164.5,278.935,168.9954,1.1002
dlh,0,0,11,163.44,279.215,161.3995,1.0973
dlh,0,0,12,162.45,279.585,157.4676,1.0177
dlh,0,0,13,161.48,280.135,144.6256,1.2264
dlh,0,0,14,160.6,280.81,139.8982,0.9936
dlh,0,0,15,159.82,281.52,135.7254,1.1173
dlh,0,0,16,159.08,282.34,128.3341,1.0964
dlh,0,0,17,158.54,283.18,116.0028,0.9124
dlh,0,0,18,158.19,284.0,110.0953,0.8732
dlh,0,0,19,157.95,284.785,103.4952,0.7713
dlh,0,0,20,157.82,285.645,94.7149,0.9733
dlh,0,0,21,158.065,296.595,88.44,20.9378
dlh,0,0,22,158.365,307.87,88.9391,1.6203
dlh,0,0,23,158.375,309.575,90.3199,1.79
dlh,0,0,24,158.345,311.455,91.454,1.9706
dlh,0,0,25,158.24,313.605,93.9284,2.3355
dlh,0,0,26,158.02,316.31,95.1944,3.0927
dlh,0,0,27,157.655,319.355,98.5028,3.0434
dlh,0,0,28,157.155,322.33,100.5962,2.991
dlh,0,0,29,156.64,324.87,102.642,2.1932
dlh,0,0,30,156.105,327.01,105.4134,2.2199
dlh,0,0,31,155.515,329.14,105.5519,2.2006
dlh,0,0,32,154.945,331.04,108.1276,1.7677
dlh,0,0,33,154.195,333.24,109.2524,2.8811
dlh,0,0,34,146.12,355.275,110.1831,44.0552
dlh,0,0,35,137.485,377.95,117.3615,4.5039
dlh,0,0,36,135.65,381.63,115.4634,3.7215
dlh,0,0,37,134.395,384.08,120.5788,1.7888
dlh,0,0,38,133.5,385.32,133.1119,1.2876
dlh,0,0,39,132.685,385.975,153.7416,0.8363
dlh,0,0,40,131.815,386.225,172.5189,0.9985
dlh,0,0,41,130.885,386.2,11.6899,0.8884
dlh,0,0,42,119.65,382.015,20.7651,23.1006
dlh,0,0,43,106.57,384.27,109.7509,13.4938
dlh,0,0,44,104.825,390.84,22.3533,1.1569
dlh,0,0,45,105.485,391.15,35.7528,0.3081
dlh,0,0,46,105.61,391.4,90.0,0.32
dlh,0,0,47,105.3,392.31,112.4568,1.6231
dlh,0,0,48,110.25,395.095,21.1506,11.2799
dlh,0,0,49,117.1,392.805,110.185,9.216
dlh,0,0,50,118.89,388.14,120.4653,0.7889
dlh,0,0,51,119.4,387.46,132.3569,0.9202
dlh,0,0,52,120.015,386.87,140.6595,0.7887
dlh,0,0,53,120.715,386.465,158.5749,0.8486
dlh,0,0,54,121.575,386.24,171.4391,0.9405
dlh,0,0,55,122.415,386.225,8.3439,0.758
dlh,0,0,56,123.13,386.41,20.9252,0.728
dlh,0,0,57,126.68,387.765,20.8877,6.8716
dlh,0,0,58,130.14,389.15,32.6198,0.5936
dlh,0,0,59,130.64,389.58,47.2031,0.7359
dlh,0,0,60,131.085,390.195,60.5242,0.7926
dlh,0,0,61,131.35,390.865,77.845,0.6649
dlh,0,0,62,131.4,391.545,93.2252,0.7111
dlh,0,0,63,131.33,392.19,99.7812,0.5886
dlh,0,0,64,131.175,392.785,108.9976,0.6451
dlh,0,0,65,132.85,393.735,19.9186,3.7865
dlh,0,0,66,145.165,365.725,110.1859,61.0605
dlh,0,0,67,156.395,335.205,110.4381,3.9806
dlh,0,0,68,157.67,331.52,107.6762,3.8204
dlh,0,0,69,158.58,328.41,104.349,2.6631
dlh,0,0,70,159.21,325.78,102.6195,2.7463
dlh,0,0,71,159.73,323.24,100.3889,2.44
dlh,0,0,72,160.175,320.715,99.6375,2.6879
dlh,0,0,73,160.515,318.36,96.3706,2.0728
dlh,0,0,74,160.71,316.305,94.4629,2.0563
dlh,0,0,75,160.905,313.865,94.6463,2.8393
dlh,0,0,76,161.08,311.45,93.4339,2.0036
dlh,0,0,77,160.955,303.94,88.3722,13.0253
dlh,0,0,78,160.775,296.55,90.3259,1.76
dlh,0,0,79,160.86,294.31,93.3665,2.7247
dlh,0,0,80,161.215,289.58,94.665,6.7624
dlh,0,0,81,161.575,285.81,101.997,0.8179
dlh,0,0,82,161.915,285.0,121.8799,0.9657
dlh,0,0,83,162.515,284.285,138.5222,0.921
dlh,0,0,84,163.305,283.785,156.3361,0.9717
dlh,0,0,85,164.27,283.56,176.6982,1.0417
dlh,0,0,86,169.63,283.475,179.349,9.6806
dlh,0,0,87,174.92,283.53,13.7364,0.9265
dlh,0,0,88,175.885,283.965,32.2545,1.2179
dlh,0,0,89,176.83,284.76,47.5449,1.2741
dlh,0,0,90,177.505,285.75,64.7716,1.1496
dlh,0,0,91,177.875,286.72,74.4763,0.9341
dlh,0,0,92,178.105,287.58,75.6356,0.8464
dlh,1,0,0,125.62,447.085,148.1609,1.4596
dlh,1,0,1,126.82,446.25,142.1937,1.4682
dlh,1,0,2,154.25,425.535,142.9564,67.2783
dlh,1,0,3,181.265,405.095,133.3137,0.481
dlh,1,0,4,181.59,404.685,124.2496,0.5686
dlh,1,0,5,181.88,404.22,119.4758,0.5284
dlh,1,0,6,182.075,406.07,88.21,4.162
dlh,1,0,7,182.04,407.995,57.1717,0.3689
dlh,1,0,8,181.82,407.735,41.1841,0.3189
dlh,1,0,9,181.595,407.57,29.7449,0.2419
dlh,1,0,10,181.365,407.505,2.2928,0.2502
dlh,1,0,11,181.12,407.545,159.4452,0.2563
dlh,1,0,12,154.84,427.34,142.9483,65.5563
dlh,1,0,13,127.94,447.615,144.6457,1.8146
dlh,1,0,14,126.72,448.515,142.0012,1.2182
dlh,1,0,15,126.055,449.09,132.7678,0.5449
dlh,1,0,16,125.755,449.5,118.7064,0.4789
dlh,1,0,17,125.585,449.935,103.7364,0.4632
dlh,1,0,18,125.5,450.52,94.7634,0.7225
dlh,1,0,19,125.495,451.115,83.9281,0.4727
dlh,1,0,20,125.575,451.56,75.3235,0.4342
dlh,1,0,21,125.74,452.03,67.068,0.5646
dlh,1,0,22,126.255,452.89,55.9804,1.4478
dlh,1,0,23,126.885,453.695,42.3364,0.6088
dlh,1,0,24,127.345,454.055,33.4088,0.563
dlh,1,0,25,127.75,454.295,26.5651,0.3801
dlh,1,0,26,128.16,454.42,9.4626,0.4866
dlh,1,0,27,128.63,454.47,2.4882,0.4604
dlh,1,0,28,129.05,454.465,175.4863,0.3812
dlh,1,0,29,129.46,454.43,174.8063,0.4418
dlh,1,0,30,129.835,454.385,170.8375,0.314
dlh,1,0,31,127.305,455.985,148.8171,6.2769
dlh,1,0,32,124.925,457.25,130.272,0.9437
dlh,1,0,33,125.345,456.725,124.8747,0.4022
dlh,1,0,34,125.545,456.355,112.5202,0.4438
dlh,1,0,35,125.645,455.98,95.0436,0.3413
dlh,1,0,36,125.645,455.625,85.3635,0.3712
dlh,1,0,37,125.59,455.235,78.9599,0.4177
dlh,1,0,38,124.72,453.64,59.1576,3.2379
dlh,1,0,39,123.77,452.09,53.1297,0.4
dlh,1,0,40,123.49,451.805,37.9988,0.4061
dlh,1,0,41,123.11,451.58,24.4452,0.4833
dlh,1,0,42,122.685,451.45,8.3254,0.4144
dlh,1,0,43,122.265,451.435,176.0093,0.431
dlh,1,0,44,121.85,451.495,167.3181,0.41
dlh,1,0,45,121.455,451.63,155.2257,0.4295
dlh,1,0,46,100.4,464.34,148.8267,48.7608
dlh,1,0,47,79.24,477.18,143.7459,0.744
dlh,1,0,48,78.77,477.625,127.0736,0.564
dlh,1,0,49,78.5,478.065,114.9436,0.4742
dlh,1,0,50,78.31,478.525,110.1705,0.522
dlh,1,0,51,78.195,478.955,97.6966,0.3734
dlh,1,0,52,78.17,479.44,90.0,0.6
dlh,1,0,53,78.205,479.99,82.0296,0.5049
dlh,1,0,54,78.335,480.45,65.6594,0.461
dlh,1,0,55,79.145,481.81,58.1292,2.7083
dlh,1,0,56,80.065,483.13,39.6673,0.5326
dlh,1,0,57,80.525,483.35,11.0937,0.5197
dlh,1,0,58,80.995,483.405,1.3325,0.4301
dlh,1,0,59,81.445,483.385,173.9272,0.4727
dlh,1,0,60,81.96,483.295,166.9303,0.5749
dlh,1,0,61,80.66,484.19,148.7173,3.6976
dlh,1,0,62,78.105,483.51,59.268,3.8159
dlh,1,0,63,76.88,481.42,60.9454,1.0296
dlh,1,0,64,76.53,480.535,77.0531,0.8927
dlh,1,0,65,76.41,479.71,87.0643,0.781
dlh,1,0,66,76.425,478.885,94.6001,0.8728
dlh,1,0,67,76.61,478.005,108.6276,0.9392
dlh,1,0,68,76.965,477.17,117.7285,0.8812
dlh,1,0,69,77.39,476.51,129.1742,0.6966
dlh,1,0,70,77.875,475.99,136.6683,0.7286
dlh,1,0,71,78.505,475.495,146.1287,0.8792
dlh,2,0,0,236.72,291.045,178.2359,5.5226
dlh,2,0,1,239.345,286.63,88.2142,8.6642
dlh,2,0,2,236.43,282.385,178.2489,5.5626
dlh,2,0,3,233.66,282.715,87.6621,0.4904
dlh,2,0,4,233.52,282.96,0.0,0.3
dlh,2,0,5,233.48,286.525,88.2327,7.1334
dlh,2,0,6,233.755,290.085,178.2679,0.3302
dlh,3,0,0,151.11,337.505,82.2833,3.7237
dlh,3,0,1,147.42,334.305,21.4992,7.3945
dlh,3,0,2,143.04,335.57,109.7368,5.567
dlh,3,0,3,135.835,335.78,21.0406,13.4251
dlh,3,0,4,131.82,327.36,110.5247,12.8347
dlh,3,0,5,140.22,323.665,20.6275,13.1426
dlh,3,0,6,145.545,328.26,109.8922,4.8493
dlh,3,0,7,148.07,331.825,20.986,7.176
dlh,3,0,8,153.045,332.615,163.0581,3.3974
