airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
dto,0,path,,UNLABELED,145.39,446.31,187.47,441.85,42.08,4.46,187.6771,103.0942,92.7772,166.43,444.08,9.435,11,1,0,1,rgb,207,207,207,0,none,,,,0.0,179.9557,102.834,179.0122,29.0043,0.0,594.0,387.36,0.0,175.7578
dto,1,path,,UNLABELED,140.18,161.56,182.1,155.55,41.92,6.01,251.9383,105.0972,92.7834,161.14,158.555,6.9751,11,1,0,1,rgb,207,207,207,0,none,,,,0.0,177.6466,104.8312,178.9241,30.3553,0.0,594.0,387.36,0.0,179.6438
dto,2,path,,UNLABELED,248.2,215.18,281.55,200.03,33.35,15.15,505.2532,435.574,124.1835,264.875,207.605,2.2013,65,1,0,1,rgb,207,207,207,0,none,,,,0.0,177.5662,6.0494,179.0026,20.6831,0.0,594.0,387.36,0.0,486.9814
dto,3,path,,UNLABELED,272.04,167.78,286.0,156.3,13.96,11.48,160.2604,146.8672,53.0652,279.02,162.04,1.216,28,1,0,1,rgb,207,207,207,0,none,,,,0.0,151.4276,2.0415,88.9516,10.9318,0.0,594.0,387.36,0.0,155.23
dto,4,path,,UNLABELED,271.33,173.82,278.87,171.38,7.54,2.44,18.3974,15.4755,19.6942,275.1,172.6,3.0902,10,1,0,1,rgb,207,207,207,0,none,,,,0.0,174.9184,6.72,178.9369,4.8508,0.0,594.0,387.36,0.0,16.6033
dto,5,path,,UNLABELED,243.7,164.43,264.51,152.13,20.81,12.3,255.9627,119.2036,159.2278,254.105,158.28,1.6919,176,1,0,1,rgb,207,207,207,0,none,,,,0.0,1.6228,2.362,179.3528,15.0509,0.0,594.0,387.36,0.0,237.1033
dto,6,path,,UNLABELED,266.51,260.6,270.07,257.62,3.56,2.98,10.6088,9.7055,10.0637,268.29,259.11,1.1946,6,1,0,1,rgb,207,207,207,0,none,,,,0.0,153.6424,1.3446,178.1949,3.4917,0.0,594.0,387.36,0.0,9.927
dto,7,path,,UNLABELED,240.55,305.63,266.66,269.61,26.11,36.02,940.4819,598.6397,141.9017,253.605,287.62,0.7249,46,1,0,1,rgb,207,207,207,0,none,,,,0.0,99.2112,5.197,89.0224,31.0645,0.0,594.0,387.36,0.0,792.4795
dto,8,path,,UNLABELED,221.98,216.71,224.7,213.09,2.72,3.62,9.8464,3.7629,10.8788,223.34,214.9,0.7514,12,1,0,1,rgb,207,207,207,0,none,,,,0.0,84.7826,2.4847,81.7581,3.6275,0.0,594.0,387.36,0.0,5.7499
dto,9,path,,UNLABELED,223.24,385.34,234.55,376.9,11.31,8.44,95.4564,31.6149,40.9549,228.895,381.12,1.34,25,1,0,1,rgb,207,207,207,0,none,,,,0.0,146.3562,5.5359,102.7081,5.5458,0.0,594.0,387.36,0.0,64.5091
dto,10,path,,UNLABELED,195.99,448.08,213.24,439.85,17.25,8.23,141.9674,51.8747,56.3911,204.615,443.965,2.096,32,1,0,1,rgb,207,207,207,0,none,,,,0.0,3.7128,8.3664,179.0396,11.9317,0.0,594.0,387.36,0.0,137.7143
dto,11,path,,UNLABELED,189.68,510.42,242.87,106.55,53.19,403.87,21481.8399,1890.8707,1126.7399,216.275,308.485,0.1317,172,1,0,1,rgb,207,207,207,0,none,,,,0.0,86.2307,91.2858,88.972,156.6252,0.0,594.0,387.36,0.0,14928.7628
dto,12,path,,UNLABELED,210.79,422.63,301.67,141.16,90.88,281.47,25579.9951,5350.2647,2223.7641,256.23,281.895,0.3229,619,1,0,1,rgb,207,207,207,0,none,,,,0.0,95.0948,16.9318,81.6741,63.7418,0.0,594.0,387.36,0.0,20183.3901
dto,13,path,,UNLABELED,124.04,64.97,326.95,64.97,202.91,0.0,0.0,0.0,202.91,225.495,64.97,0.0,2,1,0,0,none,,,,1,rgb,0,0,0,0.42,0.0,1000000.0,0.0,202.91,0.0,594.0,387.36,0.0,0.0
dto,14,path,,UNLABELED,123.79,82.49,127.71,77.27,3.92,5.22,20.4625,5.9192,21.5907,125.75,79.88,0.751,75,1,0,1,rgb,0,0,0,0,none,,,,0.0,87.3022,2.3144,90.0,0.73,0.0,594.0,387.36,0.0,17.2569
dto,15,compound,,UNLABELED,127.88,82.57,132.64,77.36,4.76,5.21,24.7997,6.9411,24.073,130.26,79.965,0.9136,12,2,0,1,rgb,0,0,0,0,none,,,,0.0,90.4466,1.2402,65.4485,5.7279,0.0,594.0,387.36,0.0,12.3998
dto,16,path,,UNLABELED,132.98,82.31,136.64,77.27,3.66,5.04,18.4463,7.0211,23.8275,134.81,79.79,0.7262,51,1,0,1,rgb,0,0,0,0,none,,,,0.0,105.3979,1.3765,90.0,3.13,0.0,594.0,387.36,0.0,17.0746
dto,17,path,,UNLABELED,137.04,82.31,140.04,77.36,3.0,4.95,14.85,4.466,15.9,138.54,79.835,0.6061,9,1,0,1,rgb,0,0,0,0,none,,,,0.0,89.3251,3.4473,90.0,4.4,0.0,594.0,387.36,0.0,9.658
dto,18,path,,UNLABELED,140.49,82.31,141.14,77.36,0.65,4.95,3.2175,3.2175,11.2,140.815,79.835,0.1313,5,1,0,1,rgb,0,0,0,0,none,,,,0.0,88.7249,59.7106,90.0,4.95,0.0,594.0,387.36,0.0,3.2175
dto,19,compound,,UNLABELED,141.66,82.49,146.89,77.27,5.23,5.22,27.3004,8.6949,29.1248,144.275,79.88,1.0019,114,2,0,1,rgb,0,0,0,0,none,,,,0.0,90.0282,1.0719,61.5066,0.3983,0.0,594.0,387.36,0.0,21.4721
dto,20,path,,UNLABELED,147.49,82.55,151.8,77.16,4.31,5.39,23.2309,8.6731,29.6561,149.645,79.855,0.7996,9,1,0,1,rgb,0,0,0,0,none,,,,0.0,67.6098,1.7625,133.0407,5.3771,0.0,594.0,387.36,0.0,22.2827
dto,21,path,,UNLABELED,152.77,78.0,153.5,77.27,0.73,0.73,0.5329,0.4063,2.2751,153.135,77.635,1.0,17,1,0,1,rgb,0,0,0,0,none,,,,0.0,90.5703,1.1027,101.3077,0.153,0.0,594.0,387.36,0.0,0.4063
dto,22,path,,UNLABELED,152.77,80.66,153.5,79.9301,0.73,0.73,0.5329,0.4082,2.2808,153.135,80.295,1.0,17,1,0,1,rgb,0,0,0,0,none,,,,0.0,90.5059,1.1139,168.6789,0.153,0.0,594.0,387.36,0.0,0.4082
dto,23,compound,,UNLABELED,156.49,82.31,159.33,77.36,2.84,4.95,14.058,7.6323,25.4635,157.91,79.835,0.5737,77,3,0,1,rgb,0,0,0,0,none,,,,0.0,96.1094,4.6677,90.0,4.95,0.0,594.0,387.36,0.0,12.1667
