airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
dvn,0,path,,UNLABELED,255.38,426.13,352.17,393.1,96.79,33.03,3196.9739,497.5482,375.7974,303.775,409.615,2.9304,115,1,0,1,rgb,207,207,207,0,none,,,,0.0,7.1521,4.6957,0.5992,60.2433,0.0,594.0,387.36,0.0,2234.8517
dvn,1,path,,UNLABELED,327.73,426.22,331.41,421.81,3.68,4.41,16.2287,7.0979,16.6303,329.57,424.015,0.8345,16,1,0,1,rgb,207,207,207,0,none,,,,0.0,99.0405,2.9066,178.3775,3.5314,0.0,594.0,387.36,0.0,13.2832
dvn,2,path,,UNLABELED,308.82,426.16,310.41,424.51,1.59,1.65,2.6235,2.6073,6.46,309.615,425.335,0.9636,5,1,0,1,rgb,207,207,207,0,none,,,,0.0,128.922,1.4137,90.3476,1.65,0.0,594.0,387.36,0.0,2.6073
dvn,3,path,,UNLABELED,313.09,426.17,314.68,424.52,1.59,1.65,2.6235,2.6152,6.47,313.885,425.345,0.9636,5,1,0,1,rgb,207,207,207,0,none,,,,0.0,128.322,1.4209,90.3476,1.65,0.0,594.0,387.36,0.0,2.6152
dvn,4,path,,UNLABELED,317.32,426.18,318.91,424.52,1.59,1.66,2.6394,2.6394,6.5,318.115,425.35,0.9578,5,1,0,1,rgb,207,207,207,0,none,,,,0.0,127.7502,1.4154,90.0,1.66,0.0,594.0,387.36,0.0,2.6394
dvn,5,path,,UNLABELED,321.59,426.2,323.19,424.52,1.6,1.68,2.688,2.6633,6.5301,322.39,425.36,0.9524,5,1,0,1,rgb,207,207,207,0,none,,,,0.0,126.6577,1.4317,90.3414,1.68,0.0,594.0,387.36,0.0,2.6633
dvn,6,path,,UNLABELED,325.79,426.21,327.38,424.52,1.59,1.69,2.6871,2.6871,6.56,326.585,425.365,0.9408,5,1,0,1,rgb,207,207,207,0,none,,,,0.0,124.9432,1.4306,90.0,1.69,0.0,594.0,387.36,0.0,2.6871
dvn,7,path,,UNLABELED,280.52,426.06,282.06,424.52,1.54,1.54,2.3716,2.3716,6.16,281.29,425.29,1.0,5,1,0,1,rgb,207,207,207,0,none,,,,0.0,135.0017,1.4,0.0,1.54,0.0,594.0,387.36,0.0,2.3716
dvn,8,path,,UNLABELED,285.23,426.08,286.77,424.52,1.54,1.56,2.4024,2.3947,6.1901,286.0,425.3,0.9872,5,1,0,1,rgb,207,207,207,0,none,,,,0.0,133.308,1.3931,90.0,1.56,0.0,594.0,387.36,0.0,2.3947
dvn,9,path,,UNLABELED,289.86,426.1,291.45,424.52,1.59,1.58,2.5122,2.4964,6.3201,290.655,425.31,1.0063,5,1,0,1,rgb,207,207,207,0,none,,,,0.0,136.0861,1.4003,0.3601,1.59,0.0,594.0,387.36,0.0,2.4964
dvn,10,path,,UNLABELED,293.78,426.11,296.74,424.52,2.96,1.59,4.7064,4.6768,9.08,295.26,425.315,1.8616,5,1,0,1,rgb,207,207,207,0,none,,,,0.0,173.2742,3.6832,0.1935,2.96,0.0,594.0,387.36,0.0,4.6768
dvn,11,path,,UNLABELED,297.12,415.97,301.22,411.83,4.1,4.14,16.974,6.6541,18.0971,299.17,413.9,0.9903,26,1,0,1,rgb,207,207,207,0,none,,,,0.0,92.876,2.1984,86.3912,2.2244,0.0,594.0,387.36,0.0,14.8871
dvn,12,path,,UNLABELED,318.8,414.06,320.83,412.06,2.03,2.0,4.06,3.0154,7.1427,319.815,413.06,1.015,5,1,0,1,rgb,207,207,207,0,none,,,,0.0,117.204,1.7554,106.0602,2.0604,0.0,594.0,387.36,0.0,3.0154
dvn,13,path,,UNLABELED,314.54,414.06,316.58,412.02,2.04,2.04,4.1616,3.076,7.2252,315.56,413.04,1.0,5,1,0,1,rgb,207,207,207,0,none,,,,0.0,115.8209,1.7936,106.0199,2.1016,0.0,594.0,387.36,0.0,3.076
dvn,14,path,,UNLABELED,310.27,414.06,312.33,411.97,2.06,2.09,4.3054,3.1726,7.347,311.3,413.015,0.9856,5,1,0,1,rgb,207,207,207,0,none,,,,0.0,114.6029,1.8312,105.9087,2.1524,0.0,594.0,387.36,0.0,3.1726
