airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
dvt,0,path,,UNLABELED,216.28,87.02,221.52,79.19,5.24,7.83,41.0291,36.8602,20.3003,218.9,83.105,0.6692,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,94.4608,2.5936,94.165,7.7103,0.0,594.0,387.36,0.0,36.8602
dvt,1,path,,UNLABELED,188.09,487.21,193.43,479.58,5.34,7.63,40.7442,35.6442,19.6997,190.76,483.395,0.6999,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,95.1977,2.3875,93.748,7.496,0.0,594.0,387.36,0.0,35.6442
dvt,2,compound,,UNLABELED,83.31,481.67,188.98,144.39,105.67,337.28,35640.3794,6745.5488,3062.2408,136.145,313.03,0.3133,366,7,0,1,rgb,207,207,207,0,none,,,,0.0,96.1251,7.6992,93.9486,68.252,0.0,594.0,387.36,0.0,25462.5679
dvt,3,path,,UNLABELED,164.39,406.11,206.92,186.31,42.53,219.8,9348.0939,630.0576,640.6353,185.655,296.21,0.1935,106,1,0,1,rgb,207,207,207,0,none,,,,0.0,92.6681,57.791,93.9798,91.0596,0.0,594.0,387.36,0.0,6124.6351
dvt,4,path,,UNLABELED,150.88,145.92,213.27,126.49,62.39,19.43,1212.2372,137.9945,156.1214,182.075,136.205,3.211,23,1,0,1,rgb,207,207,207,0,none,,,,0.0,167.8875,8.4989,4.0199,43.507,0.0,594.0,387.36,0.0,665.823
dvt,5,path,,UNLABELED,235.89,179.68,268.19,135.53,32.3,44.15,1426.0449,811.368,368.5838,252.04,157.605,0.7316,64,1,0,1,rgb,207,207,207,0,none,,,,0.0,84.7895,1.6461,89.9599,28.54,0.0,594.0,387.36,0.0,1207.6437
dvt,6,compound,,UNLABELED,211.97,427.02,267.98,379.61,56.01,47.41,2655.4348,1336.0814,524.6171,239.975,403.315,1.1814,72,3,0,1,rgb,207,207,207,0,none,,,,0.0,146.7443,2.233,3.9967,22.9558,0.0,594.0,387.36,0.0,2037.682
dvt,7,path,,UNLABELED,220.9,382.63,268.18,353.27,47.28,29.36,1388.1408,883.4643,441.3052,244.54,367.95,1.6104,45,1,0,1,rgb,207,207,207,0,none,,,,0.0,13.7527,2.5,3.8991,45.2948,0.0,594.0,387.36,0.0,1230.2594
dvt,8,path,,UNLABELED,193.43,500.75,256.12,370.28,62.69,130.47,8179.1652,515.736,436.9412,224.775,435.515,0.4805,104,1,0,1,rgb,207,207,207,0,none,,,,0.0,94.1551,11.6616,94.0081,49.5011,0.0,594.0,387.36,0.0,4584.608
dvt,9,path,,UNLABELED,207.29,500.92,212.53,465.01,5.24,35.91,188.1686,119.2558,78.0358,209.91,482.965,0.1459,24,1,0,1,rgb,207,207,207,0,none,,,,0.0,92.529,93.6443,92.2947,22.2278,0.0,594.0,387.36,0.0,136.7773
dvt,10,path,,UNLABELED,210.74,465.45,215.01,449.28,4.27,16.17,69.0457,32.1833,37.8467,212.875,457.365,0.2641,13,1,0,1,rgb,207,207,207,0,none,,,,0.0,94.2708,35.7365,96.5819,8.6369,0.0,594.0,387.36,0.0,44.2445
dvt,11,path,,UNLABELED,213.49,403.72,221.98,348.94,8.49,54.78,465.0825,120.295,117.3305,217.735,376.33,0.155,39,1,0,1,rgb,207,207,207,0,none,,,,0.0,95.2545,207.8459,93.9599,21.4312,0.0,594.0,387.36,0.0,243.0907
dvt,12,compound,,UNLABELED,221.89,356.35,268.18,292.5,46.29,63.85,2955.6164,2089.7744,587.2909,245.035,324.425,0.725,90,7,0,1,rgb,207,207,207,0,none,,,,0.0,81.4845,2.3705,3.8991,45.2949,0.0,594.0,387.36,0.0,2686.677
dvt,13,path,,UNLABELED,218.8,348.96,230.69,208.36,11.89,140.6,1671.734,274.8181,290.629,224.745,278.66,0.0846,76,1,0,1,rgb,207,207,207,0,none,,,,0.0,93.9972,699.4926,93.9049,14.6841,0.0,594.0,387.36,0.0,580.3059
dvt,14,compound,,UNLABELED,231.24,232.18,268.22,155.88,36.98,76.3,2821.5732,1405.4231,626.9164,249.73,194.03,0.4847,67,6,0,1,rgb,207,207,207,0,none,,,,0.0,79.4582,3.0726,89.9599,42.85,0.0,594.0,387.36,0.0,2217.5616
dvt,15,compound,,UNLABELED,227.0,293.96,268.16,231.26,41.16,62.7,2580.7327,1462.8382,254.9804,247.58,262.61,0.6565,57,2,0,1,rgb,207,207,207,0,none,,,,0.0,154.3372,1.2154,93.9683,32.3676,0.0,594.0,387.36,0.0,2004.5718
