airport,object_id,subpath_index,edge_index,mid_x,mid_y,angle,length
e26,0,0,0,153.58,164.295,116.9674,5.7334
e26,0,0,1,152.755,154.425,73.8015,15.2348
e26,0,0,2,148.79,147.725,161.5187,3.8801
e26,1,0,0,146.265,166.025,35.0637,5.9009
e26,1,0,1,143.06,161.595,73.8886,5.6936
e26,1,0,2,141.695,157.165,71.2615,3.5798
e26,1,0,3,140.325,154.895,35.877,1.9623
e26,1,0,4,138.415,154.32,0.0,2.23
e26,1,0,5,136.255,154.605,164.7447,2.1663
e26,1,0,6,134.415,155.43,145.8141,1.9221
e26,1,0,7,132.9,156.91,127.4506,2.3681
e26,1,0,8,132.035,159.36,95.4853,3.0339
e26,1,0,9,132.325,162.24,72.3843,2.8748
e26,1,0,10,136.575,176.185,73.1233,26.2819
e26,1,0,11,141.4,188.435,162.162,2.122
e26,1,0,12,143.49,192.035,74.6153,8.1418
e26,1,0,13,143.565,196.32,160.2919,2.1351
e26,1,0,14,143.855,200.68,72.0607,8.4088
e26,1,0,15,148.07,203.78,162.8698,6.1111
e26,1,0,16,153.44,202.09,162.128,5.1485
e26,1,0,17,156.14,201.155,149.8882,0.578
e26,1,0,18,156.825,200.575,135.0,1.2304
e26,1,0,19,157.51,198.735,100.0894,2.8541
e26,1,0,20,159.095,201.765,73.2474,9.2631
e26,1,0,21,159.89,205.55,50.2816,1.6901
e26,1,0,22,158.7,204.36,39.7183,1.6901
e26,1,0,23,157.11,203.82,0.0,1.88
e26,1,0,24,151.095,205.585,160.8232,10.7463
e26,1,0,25,158.015,246.405,72.9266,81.711
e26,1,0,26,170.73,286.325,50.2272,2.2509
e26,1,0,27,172.565,287.62,21.0889,2.3901
e26,1,0,28,169.36,288.88,169.1243,8.798
e26,1,0,29,165.58,289.06,129.7191,1.6901
e26,1,0,30,166.445,287.8,118.0479,1.3824
e26,1,0,31,166.515,285.425,81.7791,3.5666
e26,1,0,32,162.3,270.545,73.1986,27.3996
e26,1,0,33,154.41,258.655,162.6874,8.233
e26,1,0,34,143.6,237.36,73.0118,47.095
e26,1,0,35,133.55,215.96,160.5409,6.7241
e26,1,0,36,130.85,218.735,74.146,3.4409
e26,1,0,37,129.915,220.825,162.7971,2.9416
e26,1,0,38,125.41,210.45,73.9986,22.4914
e26,1,0,39,124.795,198.81,161.5304,5.2399
e26,1,0,40,126.45,195.53,71.2849,5.1735
e26,1,0,41,128.36,192.18,161.8162,5.7681
e26,1,0,42,129.335,185.695,72.4621,11.7145
e26,1,0,43,129.765,179.39,161.8395,4.6201
e26,1,0,44,133.545,184.11,73.7559,11.3324
e26,1,0,45,135.42,189.805,41.326,0.7723
e26,1,0,46,136.465,189.77,158.9883,1.6175
e26,1,0,47,137.295,188.94,97.9075,1.0904
e26,1,0,48,133.3,175.32,72.7158,27.3972
e26,1,0,49,129.01,161.34,76.2636,1.853
e26,1,0,50,129.15,158.53,100.674,3.8873
e26,1,0,51,130.27,155.54,125.1342,2.6412
e26,1,0,52,131.82,153.775,139.0717,2.0912
e26,1,0,53,137.765,151.395,161.7989,10.853
e26,2,0,0,163.635,293.635,9.8086,2.9938
e26,2,0,1,166.265,294.175,13.8605,2.3793
e26,2,0,2,168.355,295.04,31.8121,2.2006
e26,2,0,3,169.94,296.81,61.3561,2.7119
e26,2,0,4,197.355,385.51,72.9937,183.0231
e26,2,0,5,224.915,473.92,48.5446,2.4017
e26,2,0,6,227.04,475.755,35.1076,3.2515
e26,2,0,7,229.815,476.945,10.0081,2.9347
e26,2,0,8,232.23,477.125,175.5784,1.9458
e26,2,0,9,237.635,475.79,164.1399,9.221
e26,2,0,10,240.985,470.82,73.6982,7.7308
e26,2,0,11,238.135,467.65,162.9885,3.6915
e26,2,0,12,236.66,469.885,80.2909,3.4393
e26,2,0,13,236.48,472.265,124.4551,1.6615
e26,2,0,14,234.965,473.455,154.2078,2.3212
e26,2,0,15,232.805,474.1,172.8434,2.2475
e26,2,0,16,230.86,474.1,9.5742,1.6835
e26,2,0,17,228.84,473.31,28.6442,2.7119
e26,2,0,18,227.075,471.615,61.1788,2.3855
e26,2,0,19,216.195,437.03,72.9207,70.1748
e26,2,0,20,205.89,403.125,90.0,0.73
e26,2,0,21,206.145,402.475,131.8203,0.7649
e26,2,0,22,211.445,400.64,162.9212,10.5555
e26,2,0,23,216.92,399.125,4.6538,0.8628
e26,2,0,24,217.745,399.375,28.5594,0.8994
e26,2,0,25,219.04,400.455,43.8641,2.4966
e26,2,0,26,218.355,396.35,72.3118,10.4332
e26,2,0,27,216.77,392.495,90.0,2.23
e26,2,0,28,216.63,394.15,104.5346,1.1157
