airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
edc,0,path,,UNLABELED,193.45,325.72,208.18,310.98,14.73,14.74,217.12,45.3458,46.8853,200.815,318.35,0.9993,26,1,0,1,rgb,207,207,207,0,none,,,,0.0,33.6687,3.2514,48.2318,7.7764,0.0,594.0,387.36,0.0,102.7608
edc,1,path,,UNLABELED,258.49,268.64,273.18,253.83,14.69,14.81,217.5589,46.555,46.7294,265.835,261.235,0.9919,18,1,0,1,rgb,207,207,207,0,none,,,,0.0,52.7946,4.1571,138.6383,8.5803,0.0,594.0,387.36,0.0,103.2486
edc,2,path,,UNLABELED,190.9,304.26,193.37,299.62,2.47,4.64,11.4608,6.3805,10.286,192.135,301.94,0.5323,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,104.001,9.3873,104.0049,4.4214,0.0,594.0,387.36,0.0,6.3805
edc,3,path,,UNLABELED,52.0,380.81,129.23,288.86,77.23,91.95,7101.299,2111.7125,653.2531,90.615,334.835,0.8399,136,1,0,1,rgb,207,207,207,0,none,,,,0.0,65.9309,3.3536,88.5899,31.2895,0.0,594.0,387.36,0.0,4822.5144
edc,4,path,,UNLABELED,66.29,433.91,340.71,192.24,274.42,241.67,66319.0883,1183.9703,763.1382,203.5,313.075,1.1355,36,1,0,1,rgb,207,207,207,0,none,,,,0.0,139.6459,565.9544,138.5633,176.9137,0.0,594.0,387.36,0.0,6386.5083
edc,5,compound,,UNLABELED,192.96,313.42,220.55,222.53,27.59,90.89,2507.6552,207.8728,251.1277,206.755,267.975,0.3036,60,2,0,1,rgb,207,207,207,0,none,,,,0.0,105.6782,136.2173,104.2187,70.0665,0.0,594.0,387.36,0.0,781.8721
edc,6,path,,UNLABELED,51.35,465.46,54.23,465.46,2.88,0.0,0.0,0.0,2.88,52.79,465.46,0.0,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,0.0,1000000.0,0.0,2.88,0.0,594.0,387.36,0.0,0.0
edc,7,path,,UNLABELED,51.35,430.51,54.23,430.51,2.88,0.0,0.0,0.0,2.88,52.79,430.51,0.0,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,0.0,1000000.0,0.0,2.88,0.0,594.0,387.36,0.0,0.0
edc,8,path,,UNLABELED,51.35,395.57,54.23,395.57,2.88,0.0,0.0,0.0,2.88,52.79,395.57,0.0,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,0.0,1000000.0,0.0,2.88,0.0,594.0,387.36,0.0,0.0
edc,9,path,,UNLABELED,51.34,325.68,54.22,325.68,2.88,0.0,0.0,0.0,2.88,52.78,325.68,0.0,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,0.0,1000000.0,0.0,2.88,0.0,594.0,387.36,0.0,0.0
edc,10,path,,UNLABELED,51.34,290.74,54.22,290.74,2.88,0.0,0.0,0.0,2.88,52.78,290.74,0.0,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,0.0,1000000.0,0.0,2.88,0.0,594.0,387.36,0.0,0.0
edc,11,path,,UNLABELED,51.34,255.8,54.22,255.8,2.88,0.0,0.0,0.0,2.88,52.78,255.8,0.0,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,0.0,1000000.0,0.0,2.88,0.0,594.0,387.36,0.0,0.0
edc,12,path,,UNLABELED,51.33,220.86,54.22,220.86,2.89,0.0,0.0,0.0,2.89,52.775,220.86,0.0,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,0.0,1000000.0,0.0,2.89,0.0,594.0,387.36,0.0,0.0
edc,13,path,,UNLABELED,51.33,150.97,54.21,150.97,2.88,0.0,0.0,0.0,2.88,52.77,150.97,0.0,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,0.0,1000000.0,0.0,2.88,0.0,594.0,387.36,0.0,0.0
