airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
enw,0,path,,UNLABELED,128.83,233.36,152.0,199.21,23.17,34.15,791.2553,460.5084,87.0229,140.415,216.285,0.6785,14,1,0,1,rgb,207,207,207,0,none,,,,0.0,88.0197,4.0624,116.0842,29.8391,0.0,594.0,387.36,0.0,460.7794
enw,1,path,,UNLABELED,220.52,266.8,227.29,257.86,6.77,8.94,60.5239,29.4166,19.887,223.905,262.33,0.7573,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,115.5259,5.185,115.0,8.1871,0.0,594.0,387.36,0.0,29.4166
enw,2,path,,UNLABELED,98.71,238.24,119.89,204.66,21.18,33.58,711.2248,232.2246,87.9301,109.3,221.45,0.6307,8,1,0,1,rgb,207,207,207,0,none,,,,0.0,109.9443,9.8643,116.565,25.1334,0.0,594.0,387.36,0.0,320.9944
enw,3,path,,UNLABELED,301.5695,258.7518,301.5695,258.7518,0.0,0.0,0.0,0.0,0.0,301.5695,258.7518,0.0,2,1,0,0,none,,,,1,rgb,207,207,207,0.39,0.0,1000000.0,0.0,0.0,0.0,594.0,387.36,0.0,0.0
enw,4,path,,UNLABELED,294.44,281.49,358.36,232.64,63.92,48.85,3122.4911,426.7047,315.6817,326.4,257.065,1.3085,84,1,0,1,rgb,207,207,207,0,none,,,,0.0,17.07,3.6294,26.481,39.6053,0.0,594.0,387.36,0.0,2037.3336
enw,5,path,,UNLABELED,298.45,241.86,298.88,241.27,0.43,0.59,0.2537,0.0122,1.4623,298.665,241.565,0.7288,5,1,0,1,rgb,207,207,207,0,none,,,,0.0,125.986,630.5171,125.4169,0.5522,0.0,594.0,387.36,0.0,0.0122
enw,6,path,,UNLABELED,231.91,352.87,231.98,352.83,0.07,0.04,0.0028,0.0001,0.1614,231.945,352.85,1.7505,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,29.9597,959.4531,29.7382,0.0806,0.0,594.0,387.36,0.0,0.0001
enw,7,path,,UNLABELED,177.72,416.96,238.68,352.87,60.96,64.09,3906.9256,351.314,195.6664,208.2,384.915,0.9512,24,1,0,1,rgb,207,207,207,0,none,,,,0.0,131.3541,47.2923,126.2996,74.7457,0.0,594.0,387.36,0.0,988.8089
enw,8,path,,UNLABELED,181.49,401.39,181.75,401.02,0.26,0.37,0.0962,0.0058,0.9097,181.62,401.205,0.7027,8,1,0,1,rgb,207,207,207,0,none,,,,0.0,125.4481,664.2288,126.606,0.436,0.0,594.0,387.36,0.0,0.0062
enw,9,path,,UNLABELED,92.99,276.95,111.07,259.66,18.08,17.29,312.6034,44.0746,62.7889,102.03,268.305,1.0457,13,1,0,1,rgb,207,207,207,0,none,,,,0.0,167.4292,1.1771,26.311,20.1695,0.0,594.0,387.36,0.0,149.4331
