airport,object_id,subpath_index,edge_index,mid_x,mid_y,angle,length
enw,0,0,0,138.085,232.86,32.1671,1.8783
enw,0,0,1,136.515,231.765,37.515,1.9541
enw,0,0,2,134.33,229.685,46.484,4.0955
enw,0,0,3,131.805,226.36,58.785,4.3029
enw,0,0,4,129.985,222.435,71.3181,4.4019
enw,0,0,5,129.065,218.155,84.4058,4.411
enw,0,0,6,129.11,213.825,96.9433,4.3016
enw,0,0,7,130.045,209.755,109.2306,4.0987
enw,0,0,8,131.18,206.96,118.1415,1.9506
enw,0,0,9,132.165,205.32,123.9437,1.8805
enw,0,0,10,134.31,201.875,121.2947,6.2375
enw,0,0,11,143.965,202.885,24.5782,17.6711
enw,0,0,12,145.44,219.96,116.0842,29.8391
enw,1,0,0,222.25,261.57,115.0,8.1871
enw,1,0,1,222.105,266.04,25.6172,3.5156
enw,1,0,2,225.49,263.125,116.0953,8.1843
enw,2,0,0,103.825,233.955,117.5459,9.6657
enw,2,0,1,107.285,230.245,25.1447,2.7065
enw,2,0,2,114.2,220.155,118.0809,24.1759
enw,2,0,3,114.49,207.075,24.0953,11.8309
enw,2,0,4,106.82,208.19,122.7433,8.3938
enw,2,0,5,107.25,213.055,26.3097,6.024
enw,2,0,6,104.33,225.63,116.565,25.1334
enw,4,0,0,304.81,260.335,26.0678,7.2138
enw,4,0,1,307.84,261.64,53.1306,0.7
enw,4,0,2,307.55,260.985,77.9572,0.7669
enw,4,0,3,307.555,260.235,102.7722,0.769
enw,4,0,4,307.855,259.58,127.5188,0.706
enw,4,0,5,309.44,257.355,125.1597,4.7581
enw,4,0,6,310.79,255.41,0.0,0.04
enw,4,0,7,311.285,255.065,146.1816,1.2398
enw,4,0,8,312.415,254.79,6.4929,1.2379
enw,4,0,9,313.035,254.845,108.4524,0.0316
enw,4,0,10,330.765,263.66,26.481,39.6053
enw,4,0,11,348.475,272.485,18.4174,0.0316
enw,4,0,12,348.725,272.68,37.0437,0.664
enw,4,0,13,349.175,273.19,59.1704,0.722
enw,4,0,14,349.405,273.86,82.8753,0.7256
enw,4,0,15,349.365,274.545,104.658,0.6719
enw,4,0,16,348.345,276.415,121.1814,3.6118
enw,4,0,17,347.265,278.355,110.158,0.8416
enw,4,0,18,346.82,279.09,131.4228,0.9068
enw,4,0,19,346.11,279.62,155.1362,0.9038
enw,4,0,20,345.28,279.835,176.5944,0.8415
enw,4,0,21,346.64,280.675,24.6015,3.9154
enw,4,0,22,350.545,277.39,117.3974,9.2359
enw,4,0,23,352.755,272.965,104.6555,0.6719
enw,4,0,24,352.795,272.28,82.8753,0.7256
enw,4,0,25,352.565,271.61,59.1737,0.722
enw,4,0,26,352.11,271.095,37.2057,0.678
enw,4,0,27,351.86,270.895,14.0054,0.0412
enw,4,0,28,345.215,267.585,26.4446,14.8878
enw,4,0,29,344.025,253.175,116.2647,24.7447
enw,4,0,30,353.21,242.08,0.0,7.42
enw,4,0,31,356.92,240.565,90.0,3.03
enw,4,0,32,353.21,239.05,0.0,7.42
enw,4,0,33,349.5,237.285,90.0,3.53
enw,4,0,34,353.21,235.52,0.0,7.42
enw,4,0,35,356.92,234.55,90.0,1.94
enw,4,0,36,357.64,233.58,0.0,1.44
enw,4,0,37,358.36,233.11,90.0,0.94
enw,4,0,38,351.985,232.64,0.0,12.75
enw,4,0,39,345.61,237.36,90.0,9.44
enw,4,0,40,346.4,242.08,0.0,1.58
enw,4,0,41,341.93,252.71,116.3274,23.7204
enw,4,0,42,325.54,257.825,26.3588,24.8429
enw,4,0,43,314.045,251.995,40.7944,0.9643
enw,4,0,44,313.53,251.225,71.7549,0.9582
enw,4,0,45,313.23,249.725,81.8318,2.1114
enw,4,0,46,312.695,247.67,69.1332,2.1618
enw,4,0,47,311.71,245.76,56.3106,2.1633
enw,4,0,48,310.34,244.14,43.0773,2.1084
enw,4,0,49,309.575,243.435,71.5476,0.0316
enw,4,0,50,305.62,240.46,37.0547,9.9241
enw,4,0,51,300.27,239.37,126.1885,4.7083
enw,4,0,52,298.89,241.265,153.4699,0.0223
enw,4,0,53,298.73,241.49,126.4694,0.572
enw,4,0,54,298.575,241.71,146.3234,0.036
enw,4,0,55,298.94,241.365,136.2544,0.969
enw,4,0,56,299.785,240.84,159.0008,1.0604
enw,4,0,57,300.805,240.675,2.7273,1.0512
enw,4,0,58,301.77,240.91,25.5128,0.9751
enw,4,0,59,302.22,241.13,45.0437,0.0283
enw,4,0,60,305.215,243.4,37.13,7.4881
enw,4,0,61,308.78,246.68,60.3763,2.3468
enw,4,0,62,309.545,248.855,80.9002,2.3394
enw,4,0,63,304.72,247.52,26.4277,11.1893
enw,4,0,64,299.695,245.04,146.3503,0.0361
enw,4,0,65,299.24,244.75,34.2866,1.065
enw,4,0,66,298.525,243.91,63.0117,1.212
enw,4,0,67,298.24,242.975,88.5506,0.7903
enw,4,0,68,298.34,242.22,106.9909,0.7529
enw,4,0,69,296.445,244.585,126.3449,6.7663
enw,4,0,70,295.11,246.99,154.4708,1.485
enw,4,0,71,296.505,246.855,14.3145,1.4965
enw,4,0,72,301.75,249.315,26.7169,10.1205
enw,4,0,73,306.285,251.58,146.3234,0.036
enw,4,0,74,306.59,251.8,38.4182,0.7403
enw,4,0,75,307.065,252.395,63.1225,0.8184
enw,4,0,76,307.25,253.17,90.0,0.82
enw,4,0,77,307.1,253.915,114.1197,0.7341
enw,4,0,78,306.935,254.255,161.5476,0.0316
enw,4,0,79,305.44,256.205,127.2685,4.8881
enw,4,0,80,303.42,258.495,147.4263,1.2816
enw,4,0,81,302.225,258.795,3.93,1.3131
enw,5,0,0,298.765,241.405,130.4286,0.3547
enw,5,0,1,298.55,241.7,122.0024,0.3774
enw,5,0,2,298.505,241.79,128.1567,0.178
enw,5,0,3,298.72,241.495,125.4169,0.5522
enw,6,0,0,231.965,352.86,33.6968,0.0361
enw,6,0,1,231.93,352.84,26.5476,0.0447
enw,6,0,2,231.945,352.85,29.7382,0.0806
enw,7,0,0,232.25,353.095,39.8057,0.7029
enw,7,0,1,232.69,353.665,63.7674,0.7692
enw,7,0,2,232.86,354.42,90.0,0.82
enw,7,0,3,232.705,355.165,114.8292,0.7382
enw,7,0,4,212.595,382.735,126.2301,67.5262
enw,7,0,5,192.63,409.96,45.0,0.0283
enw,7,0,6,192.375,410.18,136.8078,0.6721
enw,7,0,7,191.785,410.54,159.3535,0.7374
enw,7,0,8,191.075,410.65,3.137,0.7311
enw,7,0,9,190.545,410.57,19.9831,0.3511
enw,7,0,10,190.24,410.425,31.2622,0.3276
enw,7,0,11,190.105,410.335,135.0,0.0142
enw,7,0,12,186.07,407.48,35.2009,9.8882
enw,7,0,13,181.765,404.31,50.371,0.831
enw,7,0,14,181.34,403.56,69.5897,0.9176
enw,7,0,15,181.335,402.26,100.1019,1.7674
enw,7,0,16,179.605,403.88,127.1267,6.2461
enw,7,0,17,184.96,411.665,36.18,17.9393
enw,7,0,18,214.325,386.84,126.2996,74.7457
enw,7,0,19,236.95,356.38,145.784,1.2093
enw,7,0,20,238.06,356.1,5.6173,1.2259
enw,7,0,21,238.675,356.15,116.5651,0.0223
enw,7,0,22,235.33,354.505,26.0152,7.4554
enw,8,0,0,181.62,401.215,126.606,0.436
enw,8,0,1,181.75,401.03,90.0,0.02
enw,8,0,2,181.73,401.04,135.0,0.0566
enw,8,0,3,181.695,401.085,120.9612,0.0583
enw,8,0,4,181.645,401.155,127.879,0.114
enw,8,0,5,181.58,401.245,123.6901,0.1082
enw,8,0,6,181.52,401.34,120.9612,0.1166
enw,9,0,0,109.875,268.1,22.7049,2.5908
enw,9,0,1,106.67,267.225,10.568,4.0894
enw,9,0,2,103.315,268.37,131.5045,4.0593
enw,9,0,3,100.545,272.79,116.1686,6.4624
enw,9,0,4,99.005,276.32,100.3449,1.2808
enw,9,0,5,97.535,276.285,26.1409,3.0188
enw,9,0,6,96.565,275.175,130.8657,1.1768
enw,9,0,7,98.4,271.785,116.2137,6.5652
enw,9,0,8,100.245,266.845,101.1995,4.0674
enw,9,0,9,99.16,263.52,41.9445,3.9796
enw,9,0,10,95.335,260.925,28.3444,5.3289
enw,9,0,11,102.03,264.13,26.311,20.1695
enw,10,0,0,183.23,304.32,21.6155,1.1402
enw,10,0,1,180.67,303.745,10.1928,4.1251
enw,10,0,2,177.31,304.885,131.4679,4.0169
enw,10,0,3,174.55,309.32,116.0148,6.5207
enw,10,0,4,173.005,312.84,101.0294,1.2022
enw,10,0,5,171.515,312.755,26.1469,3.0635
