airport,object_id,subpath_index,edge_index,mid_x,mid_y,angle,length
esc,0,0,0,256.22,222.17,59.4442,1.9277
esc,0,0,1,255.63,220.465,83.4803,1.7614
esc,0,0,2,255.53,217.01,90.0,5.16
esc,0,0,3,255.865,213.18,105.0024,2.5882
esc,0,0,4,256.83,211.355,137.6137,1.7059
esc,0,0,5,258.75,210.38,162.7727,2.7012
esc,0,0,6,254.39,210.07,179.0874,11.3014
esc,0,0,7,249.98,210.505,15.548,2.5742
esc,0,0,8,251.865,211.38,39.4099,1.6696
esc,0,0,9,252.91,213.23,73.1414,2.7585
esc,0,0,10,253.31,215.105,90.0,1.11
esc,0,0,11,253.39,217.25,87.1198,3.184
esc,0,0,12,253.47,219.705,90.0,1.73
esc,0,0,13,253.41,220.93,99.4619,0.7299
esc,0,0,14,253.18,221.77,109.5024,1.0184
esc,0,0,15,252.715,222.66,125.7351,1.0102
esc,0,0,16,254.565,223.035,179.0651,4.2906
esc,1,0,0,193.68,549.11,0.0,351.28
esc,2,0,0,369.32,296.915,90.0,504.39
esc,3,0,0,193.68,44.72,0.0,351.28
esc,4,0,0,18.04,296.915,90.0,504.39
esc,5,0,0,320.23,407.875,179.0716,4.3206
esc,5,0,1,318.085,408.99,89.2043,2.1602
esc,5,0,2,320.265,410.035,179.0739,4.3306
esc,6,0,0,316.87,191.055,179.0716,4.3206
esc,6,0,1,314.695,190.01,89.2043,2.1602
esc,6,0,2,316.84,188.895,179.0716,4.3206
esc,7,0,0,315.975,272.58,89.1154,8.421
esc,8,0,0,302.025,219.81,78.3946,1.1434
esc,8,0,1,302.49,220.88,55.5404,1.2371
esc,8,0,2,303.36,221.72,32.3986,1.2317
esc,8,0,3,304.44,222.15,10.1253,1.1377
esc,8,0,4,303.48,222.275,179.058,3.0404
esc,8,0,5,300.125,222.325,179.2192,3.6703
esc,8,0,6,296.95,222.375,178.9314,2.6805
esc,8,0,7,295.73,222.39,175.2388,0.2408
esc,8,0,8,295.97,222.36,170.5353,0.2433
esc,8,0,9,296.34,222.265,163.3014,0.522
esc,8,0,10,297.04,221.885,145.8706,1.0872
esc,8,0,11,297.78,221.12,122.23,1.0876
esc,8,0,12,298.155,220.165,99.7428,1.0045
esc,8,0,13,298.16,214.53,89.1085,10.2812
esc,8,0,14,298.07,208.85,88.9381,1.0802
esc,8,0,15,298.05,207.87,88.6988,0.8802
esc,8,0,16,297.975,203.285,89.1016,8.291
esc,8,0,17,297.91,198.51,90.0,1.26
esc,8,0,18,297.965,197.57,100.0595,0.6297
esc,8,0,19,298.095,196.95,103.6028,0.6379
esc,8,0,20,298.515,195.78,111.8589,1.8532
esc,8,0,21,299.46,194.16,128.2894,1.9366
esc,8,0,22,300.86,192.845,145.2495,1.9473
esc,8,0,23,302.54,192.0,161.7602,1.8531
esc,8,0,24,309.07,191.625,179.1382,11.3013
esc,8,0,25,314.75,193.54,89.1407,4.0004
esc,8,0,26,314.68,195.27,69.6789,0.5758
esc,8,0,27,314.405,194.77,52.7326,0.578
esc,8,0,28,313.82,194.215,38.4028,1.0464
esc,8,0,29,312.94,193.66,26.0764,1.0465
esc,8,0,30,311.135,193.28,6.4106,2.6868
esc,8,0,31,308.96,193.14,179.3183,1.6801
esc,8,0,32,306.895,193.285,173.7107,2.4648
esc,8,0,33,305.35,193.485,168.5205,0.6531
esc,8,0,34,304.72,193.66,160.4631,0.6579
esc,8,0,35,303.495,194.48,142.1896,2.3163
esc,8,0,36,302.065,196.23,116.3444,2.321
esc,8,0,37,301.635,202.32,89.0358,10.1014
esc,8,0,38,301.725,207.81,89.3483,0.8801
esc,8,0,39,301.74,208.79,88.9397,1.0802
esc,8,0,40,301.83,214.29,89.0759,9.9213
esc,9,0,0,304.84,403.255,72.6061,0.8698
esc,9,0,1,305.255,404.04,52.3953,0.9341
esc,9,0,2,305.945,404.645,30.1227,0.9365
esc,9,0,3,306.78,404.95,9.2462,0.8713
esc,9,0,4,311.425,404.955,179.1166,8.431
esc,9,0,5,316.08,404.795,167.8163,0.9003
esc,9,0,6,316.915,404.43,145.6463,0.9569
esc,9,0,7,317.57,403.755,122.6985,0.9626
esc,9,0,8,317.905,402.91,99.6731,0.8927
esc,9,0,9,318.0,403.66,89.0369,2.3803
esc,9,0,10,318.045,406.255,88.9809,2.8105
esc,9,0,11,312.64,407.745,179.1032,10.8613
esc,9,0,12,306.245,407.66,9.9914,1.9597
esc,9,0,13,304.39,406.925,32.4084,2.1084
esc,9,0,14,302.905,405.485,55.7842,2.1163
esc,9,0,15,302.115,403.655,78.4591,1.9494
esc,9,0,16,300.595,317.235,89.1118,170.9505
esc,9,0,17,299.16,231.23,78.486,1.1022
esc,9,0,18,298.71,230.195,55.5161,1.201
esc,9,0,19,297.865,229.38,32.3613,1.1957
esc,9,0,20,296.815,228.965,9.8881,1.1064
esc,9,0,21,297.745,228.85,179.2236,2.9503
esc,9,0,22,300.195,228.815,179.1177,1.9502
esc,9,0,23,302.46,228.775,178.89,2.5805
esc,9,0,24,303.275,228.85,168.1108,0.9708
esc,9,0,25,302.37,229.245,145.5492,1.0429
esc,9,0,26,301.655,229.98,122.9324,1.0485
esc,9,0,27,301.29,230.895,99.5602,0.9634
esc,9,0,28,301.46,247.415,89.1073,32.0939
esc,9,0,29,301.86,273.355,89.1315,19.7923
esc,9,0,30,302.285,301.015,89.1131,35.5343
esc,9,0,31,302.715,328.655,89.1008,19.7524
esc,9,0,32,303.305,366.795,89.1183,56.5367
esc,9,0,33,304.225,398.95,82.8931,7.8402
esc,10,0,0,303.73,325.43,70.7098,0.8476
esc,10,0,1,304.16,326.18,50.357,0.9091
esc,10,0,2,304.845,326.75,29.116,0.9043
esc,10,0,3,305.655,327.04,9.573,0.8417
esc,10,0,4,310.18,327.045,179.0941,8.221
esc,10,0,5,314.75,326.89,168.9282,0.9374
esc,10,0,6,315.63,326.525,146.7852,1.004
esc,10,0,7,316.325,325.825,122.9059,1.0124
esc,10,0,8,316.69,324.945,101.1883,0.9276
esc,10,0,9,316.825,327.555,89.1589,6.1307
