airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
esn,0,path,,UNLABELED,123.05,266.64,188.83,157.19,65.78,109.45,7199.6225,392.6907,331.2352,155.94,211.915,0.601,72,1,0,1,rgb,207,207,207,0,none,,,,0.0,61.8462,24.9391,59.317,26.5929,0.0,594.0,387.36,0.0,2333.0586
esn,1,path,,UNLABELED,214.56,266.5,245.7,221.56,31.14,44.94,1399.4316,165.0421,122.7321,230.13,244.03,0.6929,33,1,0,1,rgb,207,207,207,0,none,,,,0.0,119.6694,17.6086,132.3547,22.8285,0.0,594.0,387.36,0.0,521.5383
esn,2,compound,,UNLABELED,78.62,461.03,317.87,263.29,239.25,197.74,47309.2948,5387.1212,2358.0612,198.245,362.16,1.2099,944,41,0,1,rgb,207,207,207,0,none,,,,0.0,56.1657,1.9557,59.3037,31.5972,0.0,594.0,387.36,0.0,23870.3079
esn,3,compound,,UNLABELED,299.56,96.62,302.71,91.77,3.15,4.85,15.2775,5.7316,22.441,301.135,94.195,0.6495,98,2,0,1,rgb,0,0,0,0,none,,,,0.0,89.9996,2.6305,74.9837,0.4245,0.0,594.0,387.36,0.0,12.1888
esn,4,path,,UNLABELED,303.44,92.45,304.12,91.77,0.68,0.68,0.4624,0.353,2.1208,303.78,92.11,1.0,17,1,0,1,rgb,0,0,0,0,none,,,,0.0,90.5048,1.0976,12.0931,0.1432,0.0,594.0,387.36,0.0,0.353
esn,5,compound,,UNLABELED,304.87,96.62,308.02,91.77,3.15,4.85,15.2775,5.7396,22.4361,306.445,94.195,0.6495,98,2,0,1,rgb,0,0,0,0,none,,,,0.0,90.0048,2.6336,105.0163,0.4245,0.0,594.0,387.36,0.0,12.1861
esn,6,compound,,UNLABELED,308.52,96.46,310.59,94.39,2.07,2.07,4.2849,2.4087,10.0346,309.555,95.425,1.0,34,2,0,1,rgb,0,0,0,0,none,,,,0.0,90.1175,1.1206,9.2472,0.4357,0.0,594.0,387.36,0.0,3.3638
esn,7,path,,UNLABELED,313.06,96.45,315.56,91.86,2.5,4.59,11.475,5.5998,21.7,314.31,94.155,0.5447,13,1,0,1,rgb,0,0,0,0,none,,,,0.0,82.4694,2.6575,90.0,4.59,0.0,594.0,387.36,0.0,11.475
esn,8,compound,,UNLABELED,269.07,102.99,273.49,98.16,4.42,4.83,21.3486,5.9874,22.3124,271.28,100.575,0.9151,12,2,0,1,rgb,0,0,0,0,none,,,,0.0,90.2259,1.2406,114.5866,5.3116,0.0,594.0,387.36,0.0,10.6743
esn,9,path,,UNLABELED,273.89,102.97,277.89,97.97,4.0,5.0,20.0,7.4636,27.5151,275.89,100.47,0.8,9,1,0,1,rgb,0,0,0,0,none,,,,0.0,67.6248,1.7603,133.0531,4.9951,0.0,594.0,387.36,0.0,19.18
esn,10,path,,UNLABELED,278.7,102.97,282.7,97.97,4.0,5.0,20.0,7.4636,27.5151,280.7,100.47,0.8,9,1,0,1,rgb,0,0,0,0,none,,,,0.0,67.6248,1.7603,133.0531,4.9951,0.0,594.0,387.36,0.0,19.18
esn,11,path,,UNLABELED,283.43,102.75,286.83,98.07,3.4,4.68,15.9119,6.0156,22.1035,285.13,100.41,0.7265,51,1,0,1,rgb,0,0,0,0,none,,,,0.0,105.434,1.3739,90.0,2.9,0.0,594.0,387.36,0.0,14.7083
esn,12,compound,,UNLABELED,287.1,102.99,291.53,98.16,4.43,4.83,21.3969,5.9903,22.3406,289.315,100.575,0.9172,12,2,0,1,rgb,0,0,0,0,none,,,,0.0,90.5714,1.2324,114.6847,5.3158,0.0,594.0,387.36,0.0,10.6985
esn,13,path,,UNLABELED,291.92,102.75,293.92,98.16,2.0,4.59,9.18,3.468,13.18,292.92,100.455,0.4357,7,1,0,1,rgb,0,0,0,0,none,,,,0.0,100.5139,10.2443,90.0,4.59,0.0,594.0,387.36,0.0,6.324
esn,14,compound,,UNLABELED,296.05,102.75,298.96,98.16,2.91,4.59,13.3569,6.4574,23.4511,297.505,100.455,0.634,45,2,0,1,rgb,0,0,0,0,none,,,,0.0,92.1392,3.0498,90.0,4.59,0.0,594.0,387.36,0.0,11.9521
esn,15,compound,,UNLABELED,298.87,102.99,303.3,98.16,4.43,4.83,21.3969,5.9903,22.3406,301.085,100.575,0.9172,12,2,0,1,rgb,0,0,0,0,none,,,,0.0,90.5714,1.2324,114.6847,5.3158,0.0,594.0,387.36,0.0,10.6985
esn,16,path,,UNLABELED,303.27,102.75,306.06,98.16,2.79,4.59,12.8061,3.8709,14.76,304.665,100.455,0.6078,9,1,0,1,rgb,0,0,0,0,none,,,,0.0,89.376,3.4234,90.0,4.08,0.0,594.0,387.36,0.0,8.3385
esn,17,path,,UNLABELED,306.48,102.75,308.99,98.16,2.51,4.59,11.5209,5.6458,21.72,307.735,100.455,0.5468,13,1,0,1,rgb,0,0,0,0,none,,,,0.0,82.3925,2.6473,90.0,4.59,0.0,594.0,387.36,0.0,11.5209
esn,18,compound,,UNLABELED,311.11,102.92,315.96,98.07,4.85,4.85,23.5226,7.499,27.0543,313.535,100.495,1.0,114,2,0,1,rgb,0,0,0,0,none,,,,0.0,89.9929,1.0725,51.5814,0.3701,0.0,594.0,387.36,0.0,18.5254
