airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
evb,0,path,,UNLABELED,247.25,396.62,253.91,385.32,6.66,11.3,75.2581,19.1488,17.4333,250.58,390.97,0.5894,6,1,0,1,rgb,207,207,207,0,none,,,,0.0,116.187,39.6279,116.1096,9.5662,0.0,594.0,387.36,0.0,19.2061
evb,1,path,,UNLABELED,232.12,363.82,238.32,352.05,6.2,11.77,72.9739,19.0921,23.4441,235.22,357.935,0.5268,7,1,0,1,rgb,207,207,207,0,none,,,,0.0,115.3069,30.9227,115.7754,8.7617,0.0,594.0,387.36,0.0,20.0441
evb,2,path,,UNLABELED,236.85,352.78,245.47,337.32,8.62,15.46,133.2652,26.5385,35.1439,241.16,345.05,0.5576,7,1,0,1,rgb,207,207,207,0,none,,,,0.0,116.8915,70.9845,115.9171,8.3053,0.0,594.0,387.36,0.0,26.7619
evb,3,path,,UNLABELED,244.03,338.12,251.13,326.61,7.1,11.51,81.721,45.8011,35.5237,247.58,332.365,0.6169,43,1,0,1,rgb,207,207,207,0,none,,,,0.0,96.1657,10.6325,107.7057,6.7078,0.0,594.0,387.36,0.0,67.8345
evb,4,path,,UNLABELED,248.1,368.1,258.52,337.41,10.42,30.69,319.7893,53.3702,60.7357,253.31,352.755,0.3395,10,1,0,1,rgb,207,207,207,0,none,,,,0.0,74.3266,174.5097,73.5843,12.3848,0.0,594.0,387.36,0.0,57.585
evb,5,path,,UNLABELED,225.75,315.76,237.4,310.63,11.65,5.13,59.7645,20.911,21.0923,231.575,313.195,2.271,6,1,0,1,rgb,207,207,207,0,none,,,,0.0,163.0975,28.5213,163.3099,6.1282,0.0,594.0,387.36,0.0,20.9624
evb,6,path,,UNLABELED,169.58,332.52,207.82,319.48,38.24,13.04,498.65,69.4707,60.3045,188.7,326.0,2.9325,6,1,0,1,rgb,207,207,207,0,none,,,,0.0,163.2532,333.0662,163.1579,22.2964,0.0,594.0,387.36,0.0,70.1306
evb,7,path,,UNLABELED,156.22,347.47,163.36,336.36,7.14,11.11,79.3254,19.9802,18.6348,159.79,341.915,0.6427,6,1,0,1,rgb,207,207,207,0,none,,,,0.0,118.5504,33.6654,118.3617,8.273,0.0,594.0,387.36,0.0,20.2675
evb,8,path,,UNLABELED,240.79,327.18,246.43,313.32,5.64,13.86,78.1703,22.9243,24.4379,243.61,320.25,0.4069,7,1,0,1,rgb,207,207,207,0,none,,,,0.0,72.0648,52.8419,73.1785,7.1875,0.0,594.0,387.36,0.0,23.0894
evb,9,path,,UNLABELED,236.11,307.63,240.52,297.42,4.41,10.21,45.0261,16.2605,15.0385,238.315,302.525,0.4319,5,1,0,1,rgb,207,207,207,0,none,,,,0.0,72.2326,36.2361,73.0958,10.1798,0.0,594.0,387.36,0.0,16.2605
evb,10,path,,UNLABELED,236.96,313.69,244.19,307.01,7.23,6.68,48.2963,23.7062,22.8255,240.575,310.35,1.0823,12,1,0,1,rgb,207,207,207,0,none,,,,0.0,160.8197,1.1503,172.2453,2.5937,0.0,594.0,387.36,0.0,32.8452
evb,11,path,,UNLABELED,232.88,297.89,237.68,287.73,4.8,10.16,48.768,16.9052,22.4252,235.28,292.81,0.4724,9,1,0,1,rgb,207,207,207,0,none,,,,0.0,74.737,19.8139,73.364,4.3313,0.0,594.0,387.36,0.0,19.7788
evb,12,path,,UNLABELED,308.98,261.49,313.54,252.49,4.56,9.0,41.04,22.7377,21.1667,311.26,256.99,0.5067,9,1,0,1,rgb,207,207,207,0,none,,,,0.0,98.7342,3.7023,163.2778,4.7614,0.0,594.0,387.36,0.0,31.167
evb,13,path,,UNLABELED,308.98,253.86,328.01,234.08,19.03,19.78,376.4134,60.1952,53.9206,318.495,243.97,0.9621,28,1,0,1,rgb,207,207,207,0,none,,,,0.0,138.849,12.7225,116.7867,10.4067,0.0,594.0,387.36,0.0,109.3364
evb,14,path,,UNLABELED,326.36,234.83,328.98,232.03,2.62,2.8,7.336,4.1108,5.942,327.67,233.43,0.9357,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,115.3571,1.4571,114.4015,2.2511,0.0,594.0,387.36,0.0,4.1108
evb,15,path,,UNLABELED,326.54,232.85,330.21,229.56,3.67,3.29,12.0744,7.2526,8.0987,328.375,231.205,1.1155,17,1,0,1,rgb,207,207,207,0,none,,,,0.0,107.3439,1.1911,25.8832,1.8784,0.0,594.0,387.36,0.0,7.7058
evb,16,path,,UNLABELED,329.93,226.31,333.37,223.02,3.44,3.29,11.3176,6.8533,7.8303,331.65,224.665,1.0456,18,1,0,1,rgb,207,207,207,0,none,,,,0.0,98.9747,1.38,26.278,1.7844,0.0,594.0,387.36,0.0,7.3232
evb,17,path,,UNLABELED,328.49,230.31,332.16,225.54,3.67,4.77,17.5059,8.2406,8.1789,330.325,227.925,0.7694,6,1,0,1,rgb,207,207,207,0,none,,,,0.0,116.4538,5.3395,117.4221,2.6925,0.0,594.0,387.36,0.0,8.2406
evb,18,path,,UNLABELED,169.02,363.39,219.21,335.24,50.19,28.15,1412.849,93.797,114.0201,194.115,349.315,1.7829,8,1,0,1,rgb,207,207,207,0,none,,,,0.0,28.3872,678.7678,28.5889,23.3009,0.0,594.0,387.36,0.0,94.996
evb,19,path,,UNLABELED,201.9,275.15,230.83,200.17,28.93,74.98,2169.1714,145.4911,162.915,216.365,237.66,0.3858,29,1,0,1,rgb,207,207,207,0,none,,,,0.0,72.5231,221.4655,73.389,24.2416,0.0,594.0,387.36,0.0,352.8418
evb,20,path,,UNLABELED,299.06,290.87,316.37,271.36,17.31,19.51,337.7177,58.8829,54.4635,307.715,281.115,0.8872,29,1,0,1,rgb,207,207,207,0,none,,,,0.0,135.62,12.2539,116.539,9.8476,0.0,594.0,387.36,0.0,100.1888
evb,21,path,,UNLABELED,206.67,412.58,215.02,399.21,8.35,13.37,111.6395,24.6788,31.2178,210.845,405.895,0.6245,7,1,0,1,rgb,207,207,207,0,none,,,,0.0,119.0063,44.8918,117.8751,9.3895,0.0,594.0,387.36,0.0,25.7808
evb,22,path,,UNLABELED,148.25,332.52,162.08,324.04,13.83,8.48,117.2786,24.9063,31.2121,155.165,328.28,1.6309,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,28.2819,76.9047,28.1591,14.7906,0.0,594.0,387.36,0.0,24.9063
evb,23,path,,UNLABELED,161.24,337.15,170.23,330.87,8.99,6.28,56.4572,35.2299,26.9018,165.735,334.01,1.4315,46,1,0,1,rgb,207,207,207,0,none,,,,0.0,175.925,3.4937,163.3998,2.7652,0.0,594.0,387.36,0.0,49.0025
evb,24,path,,UNLABELED,223.62,379.69,229.92,368.63,6.3,11.06,69.678,19.1523,20.0269,226.77,374.16,0.5696,8,1,0,1,rgb,207,207,207,0,none,,,,0.0,114.9131,23.7234,116.1332,8.8998,0.0,594.0,387.36,0.0,23.1938
evb,25,path,,UNLABELED,218.45,368.97,229.25,361.97,10.8,7.0,75.6,19.1144,25.2053,223.85,365.47,1.5429,9,1,0,1,rgb,207,207,207,0,none,,,,0.0,31.8836,33.9378,28.305,9.1318,0.0,594.0,387.36,0.0,20.8644
evb,26,path,,UNLABELED,222.02,382.97,225.07,378.98,3.05,3.99,12.1695,5.8928,6.8739,223.545,380.975,0.7644,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,115.9863,5.0831,116.0724,3.6405,0.0,594.0,387.36,0.0,5.8928
evb,27,path,,UNLABELED,218.38,390.13,223.47,382.25,5.09,7.88,40.1092,13.0489,14.6742,220.925,386.19,0.6459,8,1,0,1,rgb,207,207,207,0,none,,,,0.0,113.4292,10.6161,114.7633,3.4139,0.0,594.0,387.36,0.0,15.3132
evb,28,path,,UNLABELED,213.48,399.99,218.78,392.26,5.3,7.73,40.969,13.5659,14.7693,216.13,396.125,0.6856,8,1,0,1,rgb,207,207,207,0,none,,,,0.0,117.3176,8.9008,117.8394,4.6253,0.0,594.0,387.36,0.0,15.5957
evb,29,path,,UNLABELED,234.86,377.74,245.74,370.43,10.88,7.31,79.5328,17.6101,25.4202,240.3,374.085,1.4884,8,1,0,1,rgb,207,207,207,0,none,,,,0.0,29.9627,37.4322,26.944,7.4373,0.0,594.0,387.36,0.0,18.628
evb,30,path,,UNLABELED,245.01,381.04,251.8,376.3,6.79,4.74,32.1845,11.2874,15.3521,248.405,378.67,1.4325,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,28.5951,17.4663,28.2782,6.8812,0.0,594.0,387.36,0.0,11.2874
evb,31,path,,UNLABELED,312.95,223.93,330.36,214.65,17.41,9.28,161.5648,18.3995,37.4769,321.655,219.29,1.8761,30,1,0,1,rgb,207,207,207,0,none,,,,0.0,26.3875,107.9037,26.2915,3.7477,0.0,594.0,387.36,0.0,18.4905
evb,32,path,,UNLABELED,307.37,219.48,310.89,214.95,3.52,4.53,15.9455,7.185,11.5643,309.13,217.215,0.777,7,1,0,1,rgb,207,207,207,0,none,,,,0.0,120.1889,6.6788,116.3862,4.2978,0.0,594.0,387.36,0.0,7.3302
evb,33,path,,UNLABELED,305.94,222.43,309.58,218.8,3.64,3.63,13.2132,7.6028,10.7763,307.76,220.615,1.0027,19,1,0,1,rgb,207,207,207,0,none,,,,0.0,119.1948,1.6551,116.1271,2.339,0.0,594.0,387.36,0.0,8.0946
evb,34,path,,UNLABELED,309.09,230.54,327.11,220.83,18.02,9.71,174.9739,21.9957,38.4807,318.1,225.685,1.8558,18,1,0,1,rgb,207,207,207,0,none,,,,0.0,26.4814,279.2339,26.4993,19.4985,0.0,594.0,387.36,0.0,22.0771
evb,35,path,,UNLABELED,275.1,271.91,284.31,257.82,9.21,14.09,129.7687,30.5536,31.6707,279.705,264.865,0.6537,8,1,0,1,rgb,207,207,207,0,none,,,,0.0,118.768,27.4768,115.8646,9.1462,0.0,594.0,387.36,0.0,32.6057
