airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
eyw,0,path,,UNLABELED,219.02,438.17,226.56,428.35,7.54,9.82,74.0428,72.5998,32.1117,222.79,433.26,0.7678,9,1,0,1,rgb,207,207,207,0,none,,,,0.0,92.8669,1.2652,0.6987,7.3806,0.0,594.0,387.36,0.0,72.8084
eyw,1,path,,UNLABELED,211.43,164.66,217.95,146.55,6.52,18.11,118.0774,89.8337,44.0134,214.69,155.605,0.36,24,1,0,1,rgb,207,207,207,0,none,,,,0.0,91.8556,8.6037,90.3646,11.0002,0.0,594.0,387.36,0.0,95.3977
eyw,2,path,,UNLABELED,198.18,160.94,211.5,146.42,13.32,14.52,193.4068,138.2798,53.3932,204.84,153.68,0.9174,16,1,0,1,rgb,207,207,207,0,none,,,,0.0,161.0108,1.8231,90.5919,14.5208,0.0,594.0,387.36,0.0,168.3805
eyw,3,path,,UNLABELED,213.68,224.89,217.09,222.83,3.41,2.06,7.0246,6.5936,7.4503,215.385,223.86,1.6553,6,1,0,1,rgb,207,207,207,0,none,,,,0.0,179.1675,2.8918,179.8308,3.39,0.0,594.0,387.36,0.0,6.7475
eyw,4,path,,UNLABELED,213.29,234.02,217.02,231.73,3.73,2.29,8.5417,7.8669,8.0027,215.155,232.875,1.6288,6,1,0,1,rgb,207,207,207,0,none,,,,0.0,176.1207,2.8236,178.7056,3.5409,0.0,594.0,387.36,0.0,8.0504
eyw,5,path,,UNLABELED,213.77,216.95,218.41,214.95,4.64,2.0,9.28,8.3752,8.5611,216.09,215.95,2.32,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,176.8173,5.1933,179.5038,4.6202,0.0,594.0,387.36,0.0,8.3752
eyw,6,path,,UNLABELED,212.4,242.74,216.93,240.26,4.53,2.48,11.2344,9.4999,8.7331,214.665,241.5,1.8266,6,1,0,1,rgb,207,207,207,0,none,,,,0.0,176.6935,4.0314,178.2644,3.9618,0.0,594.0,387.36,0.0,9.6826
eyw,7,path,,UNLABELED,218.21,222.33,221.02,217.33,2.81,5.0,14.05,11.5496,14.0956,219.615,219.83,0.562,7,1,0,1,rgb,207,207,207,0,none,,,,0.0,93.8348,2.9688,90.6875,5.0004,0.0,594.0,387.36,0.0,12.0537
eyw,8,path,,UNLABELED,218.11,231.09,221.34,225.82,3.23,5.27,17.0221,13.0201,14.8718,219.725,228.455,0.6129,8,1,0,1,rgb,207,207,207,0,none,,,,0.0,84.2003,2.8823,85.3353,5.2875,0.0,594.0,387.36,0.0,13.5778
eyw,9,path,,UNLABELED,218.01,239.72,221.36,234.34,3.35,5.38,18.023,14.3476,15.541,219.685,237.03,0.6227,10,1,0,1,rgb,207,207,207,0,none,,,,0.0,97.9724,2.7888,91.2777,5.3813,0.0,594.0,387.36,0.0,15.1114
eyw,10,path,,UNLABELED,219.03,215.13,221.11,207.02,2.08,8.11,16.8688,14.7571,16.9679,220.07,211.075,0.2565,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,90.8105,14.1525,90.6358,8.1105,0.0,594.0,387.36,0.0,14.7571
eyw,11,path,,UNLABELED,213.7,222.84,218.25,216.85,4.55,5.99,27.2546,25.1946,17.0313,215.975,219.845,0.7596,11,1,0,1,rgb,207,207,207,0,none,,,,0.0,101.8581,1.5325,178.5959,4.0812,0.0,594.0,387.36,0.0,25.7815
eyw,12,path,,UNLABELED,213.4,231.81,218.15,224.81,4.75,7.0,33.25,28.83,18.4514,215.775,228.31,0.6786,10,1,0,1,rgb,207,207,207,0,none,,,,0.0,89.0103,2.247,92.846,5.2364,0.0,594.0,387.36,0.0,29.9418
eyw,13,path,,UNLABELED,212.97,240.38,218.05,233.95,5.08,6.43,32.6644,29.0111,17.607,215.51,237.165,0.79,12,1,0,1,rgb,207,207,207,0,none,,,,0.0,89.1361,2.5754,92.8804,6.368,0.0,594.0,387.36,0.0,29.6951
eyw,14,path,,UNLABELED,213.79,214.99,219.13,205.39,5.34,9.6,51.264,47.7158,24.6762,216.46,210.19,0.5562,8,1,0,1,rgb,207,207,207,0,none,,,,0.0,86.1928,3.9779,90.6565,9.6006,0.0,594.0,387.36,0.0,48.6415
