airport,object_id,subpath_index,edge_index,mid_x,mid_y,angle,length
ezm,0,0,0,194.345,190.63,63.4349,0.0223
ezm,1,0,0,151.435,124.655,164.6744,5.7132
ezm,1,0,1,153.43,121.13,74.6575,5.7447
ezm,1,0,2,149.915,119.115,164.6747,5.7132
ezm,2,0,0,250.88,486.885,163.8556,5.934
ezm,2,0,1,248.84,490.5,73.8108,5.8104
ezm,2,0,2,252.5,492.465,163.8556,5.934
ezm,3,0,0,195.85,135.58,75.0158,18.1781
ezm,3,0,1,198.25,144.62,79.1136,0.5295
ezm,3,0,2,198.31,145.15,87.8785,0.5404
ezm,3,0,3,198.285,145.62,99.9274,0.4061
ezm,3,0,4,198.15,146.005,118.391,0.4206
ezm,3,0,5,197.9,146.325,138.0142,0.4036
ezm,3,0,6,197.555,146.54,157.6933,0.4215
ezm,3,0,7,197.13,146.65,172.569,0.4639
ezm,3,0,8,196.72,146.635,14.0357,0.3711
ezm,3,0,9,196.36,146.42,43.3631,0.4952
ezm,3,0,10,196.075,145.995,67.6211,0.5515
ezm,3,0,11,193.715,137.27,75.0918,17.5301
ezm,3,0,12,191.415,128.61,76.674,0.3905
ezm,3,0,13,191.365,128.275,88.0262,0.2902
ezm,3,0,14,191.41,127.915,103.0929,0.4415
ezm,3,0,15,191.6,127.555,133.9939,0.4031
ezm,3,0,16,191.875,127.345,154.2936,0.2996
ezm,3,0,17,192.755,127.04,162.1435,1.5654
ezm,4,0,0,154.97,126.735,74.6168,5.8807
ezm,4,0,1,155.745,129.135,89.3418,0.8701
ezm,4,0,2,155.8,128.335,99.3349,0.7398
ezm,4,0,3,156.015,127.665,116.9387,0.6843
ezm,4,0,4,156.355,127.08,123.4542,0.6712
ezm,4,0,5,156.845,126.495,135.0007,0.8627
ezm,4,0,6,157.485,126.005,151.0911,0.7654
ezm,4,0,7,163.8,124.135,164.2635,12.4257
ezm,4,0,8,170.175,122.36,167.165,0.8103
ezm,4,0,9,170.88,122.3,5.5274,0.6229
ezm,4,0,10,171.555,122.51,26.2514,0.8139
ezm,4,0,11,172.26,122.94,36.3265,0.844
ezm,4,0,12,172.845,123.495,51.2257,0.7824
ezm,4,0,13,173.275,124.105,58.7607,0.7135
ezm,4,0,14,173.58,124.81,73.3012,0.8352
ezm,4,0,15,181.48,153.665,74.7082,58.9988
ezm,4,0,16,189.295,182.395,82.7475,0.5544
ezm,4,0,17,189.235,183.07,103.3601,0.8223
ezm,4,0,18,188.985,183.84,112.7298,0.8023
ezm,4,0,19,188.62,184.455,130.6017,0.6454
ezm,4,0,20,188.1,184.85,154.1775,0.6888
ezm,4,0,21,181.385,186.87,163.7244,13.3448
ezm,4,0,22,174.735,188.805,165.141,0.507
ezm,4,0,23,174.245,188.87,0.0,0.49
ezm,4,0,24,173.695,188.805,12.031,0.6237
ezm,4,0,25,173.08,188.62,21.1606,0.6648
ezm,4,0,26,172.465,188.315,31.2389,0.7134
ezm,4,0,27,171.835,187.8,45.4378,0.9263
ezm,4,0,28,172.48,190.99,74.5936,7.3024
ezm,4,0,29,173.51,194.11,98.5313,0.809
ezm,4,0,30,173.66,193.31,102.6801,0.82
ezm,4,0,31,173.935,192.665,127.055,0.614
ezm,4,0,32,174.43,192.145,138.425,0.8288
ezm,4,0,33,174.95,191.72,144.4633,0.5161
ezm,4,0,34,175.5,191.445,159.814,0.7245
ezm,4,0,35,182.0,189.635,164.7016,12.7726
ezm,4,0,36,188.495,187.92,174.8803,0.6727
ezm,4,0,37,189.17,187.95,10.01,0.6905
ezm,4,0,38,189.845,188.16,24.1202,0.7341
ezm,4,0,39,190.46,188.56,41.7604,0.7507
ezm,4,0,40,190.95,189.145,57.9173,0.7907
ezm,4,0,41,191.255,189.725,68.8065,0.5256
ezm,4,0,42,199.345,218.2,74.1874,58.6806
ezm,4,0,43,207.495,246.89,71.3782,0.9708
ezm,4,0,44,207.68,247.655,84.3814,0.613
ezm,4,0,45,207.71,248.36,90.0,0.8
ezm,4,0,46,207.645,249.095,100.9813,0.6825
ezm,4,0,47,207.335,249.8,123.5117,0.8875
ezm,4,0,48,206.845,250.355,142.9433,0.614
ezm,4,0,49,206.295,250.69,153.8105,0.6798
ezm,4,0,50,199.215,252.71,164.5698,14.0567
ezm,4,0,51,192.105,254.58,0.0,0.67
ezm,4,0,52,191.425,254.47,17.6844,0.7242
ezm,4,0,53,190.72,254.08,37.8748,0.9121
ezm,4,0,54,190.125,253.535,48.4335,0.7084
ezm,4,0,55,189.64,252.845,59.5346,0.9862
ezm,4,0,56,190.585,256.76,74.6053,9.003
ezm,4,0,57,191.745,260.54,86.4241,1.1222
