airport,object_id,subpath_index,edge_index,mid_x,mid_y,angle,length
faf,0,0,0,144.315,329.6845,94.6072,2.465
faf,0,0,1,145.562,329.875,142.3617,3.3995
faf,0,0,2,146.945,327.628,91.7527,2.4191
faf,0,0,3,146.2015,325.7335,41.2925,2.0776
faf,0,0,4,147.638,323.207,140.2936,5.7635
faf,0,0,5,150.135,321.6885,49.0338,0.8542
faf,0,0,6,154.8645,318.3705,140.7105,11.498
faf,0,0,7,159.397,314.7175,171.4376,0.1679
faf,0,0,8,159.555,314.722,12.7692,0.1538
faf,0,0,9,159.713,314.8675,57.1429,0.306
faf,0,0,10,160.0405,315.4155,59.7646,0.9711
faf,0,0,11,160.8665,315.349,140.1125,1.5157
faf,0,0,12,161.307,314.855,3.2518,0.2825
faf,0,0,13,161.1035,314.8385,7.7439,0.1262
faf,0,0,14,160.983,314.747,55.0525,0.2025
faf,0,0,15,160.7005,314.427,46.5511,0.6529
faf,0,0,16,160.4595,314.1445,70.0655,0.0968
faf,0,0,17,160.4595,314.016,101.2441,0.1693
faf,0,0,18,160.5385,313.883,141.347,0.1601
faf,0,0,19,160.655,313.796,145.5802,0.1309
faf,0,0,20,168.455,307.5715,141.3822,19.8278
faf,0,0,21,173.3805,297.476,54.1811,9.639
faf,0,0,22,154.252,306.538,141.5042,41.6736
faf,0,0,23,141.039,323.1535,49.6689,9.5642
faf,0,0,24,144.277,326.934,43.3542,0.3933
faf,1,0,0,144.688,317.6855,141.4109,0.8802
faf,1,0,1,146.36,319.06,51.1544,4.2345
faf,1,0,2,147.3375,320.989,141.3798,0.8972
faf,1,0,3,145.6655,319.6145,51.3844,4.235
faf,1,1,0,147.1945,320.501,141.3417,0.1857
faf,1,1,1,146.239,319.156,51.3837,3.2943
faf,1,1,2,145.1385,317.927,141.3417,0.1857
faf,1,1,3,146.094,319.272,51.3837,3.2943
faf,2,0,0,149.985,318.8755,141.3869,0.5785
faf,2,0,1,149.0915,316.742,73.9091,4.8167
faf,2,0,2,150.5315,315.592,28.9125,4.8152
faf,2,0,3,152.4125,316.937,141.3703,0.5799
faf,2,0,4,150.721,316.2935,29.3709,3.3622
faf,3,0,0,154.514,310.54,75.3388,1.2011
faf,3,0,1,154.5855,309.7805,141.3855,0.5721
faf,3,0,2,155.402,311.9785,75.9895,4.8988
faf,3,0,3,153.8085,313.251,26.79,4.8988
faf,3,0,4,151.8455,311.969,141.4668,0.5714
faf,3,0,5,152.602,312.0675,27.4178,1.2009
faf,3,0,6,153.9005,311.7325,141.3816,1.9595
faf,3,1,0,154.194,312.1,141.3639,1.5183
faf,3,1,1,154.435,313.01,27.6,1.8822
faf,3,1,2,155.028,312.536,75.1668,1.8827
faf,4,0,0,156.972,310.1825,141.3682,0.3124
faf,4,0,1,157.7625,311.107,56.8112,2.4424
faf,4,0,2,158.1845,312.326,141.3675,0.6311
faf,4,0,3,156.6165,310.8685,51.3848,4.235
faf,4,0,4,155.5095,309.0425,141.3566,0.5492
faf,4,0,5,156.287,309.5755,51.3697,1.8037
faf,4,1,0,158.1305,311.767,141.4574,0.1445
faf,4,1,1,157.7335,311.131,52.4985,1.4899
faf,4,1,2,157.212,310.594,141.543,0.1737
faf,4,1,3,157.609,311.2305,51.3999,1.4907
faf,5,0,0,159.9945,307.87,153.9955,0.2281
faf,5,0,1,160.471,309.0105,72.5598,2.4957
faf,5,0,2,160.5855,310.4085,141.3529,0.6645
faf,5,0,3,159.0045,308.9615,51.3847,4.235
faf,5,0,4,157.8975,307.1355,141.3576,0.5493
faf,5,0,5,158.675,307.6685,51.3701,1.8036
faf,5,0,6,159.326,308.3025,141.3039,0.2255
faf,5,0,7,159.3485,307.1305,86.597,2.2069
faf,5,0,8,159.528,305.8335,141.4095,0.6269
faf,5,0,9,159.8325,306.779,87.0148,2.2851
faf,5,1,0,160.5185,309.86,141.4631,0.1445
faf,5,1,1,160.121,309.224,52.4682,1.4905
faf,5,1,2,159.5995,308.687,141.3386,0.1729
faf,5,1,3,159.997,309.323,51.3753,1.4899
faf,6,0,0,164.4345,307.5285,144.4005,0.2251
faf,6,0,1,164.2475,307.6495,149.8379,0.2209
faf,6,0,2,162.859,305.9125,54.1954,4.4204
faf,6,0,3,161.6515,304.045,138.7392,0.2275
faf,6,0,4,161.8285,303.9035,143.9919,0.2262
faf,6,0,5,163.3825,305.494,48.5677,4.4202
faf,6,0,6,164.77,307.232,132.7931,0.2208
faf,6,0,7,164.611,307.388,138.2407,0.2252
faf,6,1,0,161.966,304.3935,138.5578,0.1707
faf,6,1,1,161.846,304.512,132.0907,0.1671
faf,6,1,2,162.9365,305.888,48.8947,3.4877
faf,6,1,3,164.1575,307.1485,144.3083,0.1834
faf,6,1,4,164.3005,307.0345,138.55,0.1828
faf,6,1,5,163.341,305.565,53.8856,3.4883
faf,6,1,6,162.24,304.197,150.6787,0.1674
faf,6,1,7,162.0985,304.2875,144.1491,0.169
faf,7,0,0,164.3555,301.9775,141.3576,0.5493
faf,7,0,1,165.566,303.053,51.3849,3.1919
faf,7,0,2,166.737,302.006,94.3623,4.6013
faf,7,0,3,168.288,301.435,51.389,4.41
faf,7,0,4,169.4495,303.329,141.4372,0.5486
faf,7,0,5,168.2705,302.2925,51.3837,3.0908
faf,7,0,6,167.1085,303.351,94.9811,4.5492
faf,8,0,0,179.082,327.6375,13.622,1.0063
faf,8,0,1,179.9125,327.5075,143.9571,0.8447
faf,8,0,2,180.157,326.771,78.7576,0.9951
faf,8,0,3,179.6725,326.1385,20.4509,0.8271
faf,8,0,4,178.8485,326.294,145.4996,1.0593
faf,8,0,5,178.5025,327.0565,78.9284,0.9425
faf,9,0,0,186.5965,258.1055,160.5293,1.1551
faf,9,0,1,187.7055,257.9045,179.1374,1.1291
faf,9,0,2,188.811,258.325,38.4136,1.3809
faf,9,0,3,195.5345,266.519,51.4732,19.8513
faf,9,0,4,203.188,273.159,142.5918,3.7038
faf,9,0,5,205.5105,271.362,141.7198,2.1695
faf,9,0,6,205.789,270.769,172.1506,1.1568
faf,9,0,7,204.8695,270.807,6.7483,0.6978
faf,9,0,8,204.193,270.6725,15.8176,0.686
faf,9,0,9,203.5775,270.4745,20.1052,0.6081
faf,9,0,10,202.627,269.6245,48.2663,1.998
faf,9,0,11,198.6475,264.6485,51.9221,10.7486
faf,9,0,12,193.8925,258.5715,52.0412,4.6838
faf,9,0,13,192.1965,256.2505,61.7,1.0778
faf,9,0,14,192.015,255.2175,97.5473,1.1268
faf,9,0,15,192.239,254.189,107.7006,0.9867
faf,9,0,16,192.54,253.357,112.6425,0.7845
faf,10,0,0,203.188,273.159,142.5918,3.7038
faf,10,0,1,207.0755,281.237,52.3795,17.5565
faf,10,0,2,219.789,297.2755,51.0087,23.3788
faf,10,0,3,227.626,307.087,56.4191,1.7429
faf,10,0,4,228.4195,308.4415,63.6362,1.4029
faf,10,0,5,228.9115,309.564,69.9284,1.0519
faf,10,0,6,229.1885,310.679,81.1668,1.2569
faf,10,0,7,229.0785,311.893,109.2,1.2559
faf,10,0,8,231.352,310.671,143.8013,6.1464
faf,10,0,9,232.6105,307.3355,51.223,3.9008
faf,10,0,10,228.8665,302.6855,51.1298,8.0391
faf,10,0,11,226.125,299.2255,56.4705,0.793
faf,10,0,12,220.7275,292.3365,51.7059,16.713
faf,10,0,13,213.6785,283.3715,52.1431,6.0959
faf,11,0,0,222.7285,272.4435,142.031,27.7049
faf,11,0,1,229.997,259.318,51.5716,11.7515
faf,11,0,2,216.353,262.703,141.3598,25.585
faf,11,0,3,205.51,271.363,141.7033,2.1687
faf,12,0,0,229.997,259.3175,51.5747,11.7523
faf,12,0,1,236.4275,267.316,50.7029,8.7741
faf,12,0,2,239.3475,271.1605,72.5258,0.9425
faf,12,0,3,239.523,272.168,86.5127,1.1181
faf,12,0,4,239.2165,273.2985,120.742,1.3322
faf,12,0,5,238.288,274.317,142.8198,1.476
faf,12,0,6,240.6445,278.494,51.7194,9.5059
faf,12,0,7,243.9935,281.7985,133.4833,1.1756
faf,12,0,8,244.93,281.2365,165.711,1.098
faf,12,0,9,245.7675,281.3475,38.9002,0.7851
faf,12,0,10,248.1095,280.051,142.8498,5.1101
