airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
fay,0,path,,UNLABELED,139.31,353.98,165.33,318.32,26.02,35.66,927.8734,355.6487,91.7051,152.32,336.15,0.7297,12,1,0,0,none,,,,1,rgb,207,207,207,0.39,58.1061,24.5564,57.6955,34.5235,0.0,594.0,387.36,0.0,355.6487
fay,1,path,,UNLABELED,116.18,365.01,123.82,357.87,7.64,7.14,54.5496,20.7763,20.9522,120.0,361.44,1.07,5,1,0,0,none,,,,1,rgb,207,207,207,0.39,135.1603,8.8647,138.6652,7.9642,0.0,594.0,387.36,0.0,20.7763
fay,2,path,,UNLABELED,70.76,237.16,103.4,179.87,32.64,57.29,1869.9458,433.5652,230.0048,87.08,208.515,0.5697,59,1,0,1,rgb,207,207,207,0,none,,,,0.0,83.1657,3.9778,119.7053,19.7563,0.0,594.0,387.36,0.0,1446.5468
fay,3,compound,,UNLABELED,36.35,531.17,296.11,246.29,259.76,284.88,74000.4299,6139.185,1625.1253,166.23,388.73,0.9118,238,5,0,1,rgb,207,207,207,0,none,,,,0.0,50.5554,20.2303,57.9159,199.0158,0.0,594.0,387.36,0.0,21176.5667
fay,4,path,,UNLABELED,156.43,290.35,324.21,241.22,167.78,49.13,8243.0322,1036.1844,447.3776,240.32,265.785,3.415,76,1,0,1,rgb,207,207,207,0,none,,,,0.0,172.1739,29.7448,177.5076,120.9544,0.0,594.0,387.36,0.0,4863.6347
fay,5,compound,,UNLABELED,106.77,235.37,217.35,165.63,110.58,69.74,7711.8516,1410.7266,754.5916,162.06,200.5,1.5856,158,5,0,1,rgb,207,207,207,0,none,,,,0.0,22.5476,1.8751,178.504,48.6466,0.0,594.0,387.36,0.0,5436.1114
fay,6,path,,UNLABELED,159.61,268.98,181.23,245.35,21.62,23.63,510.8806,510.8806,90.5,170.42,257.165,0.9149,5,1,0,0,none,,,,1,rgb,0,0,0,0.39,120.9468,1.4637,90.0,23.63,0.0,594.0,387.36,0.0,510.8806
fay,7,compound,,UNLABELED,313.82,363.25,316.97,358.4,3.15,4.85,15.2775,5.7241,22.4433,315.395,360.825,0.6495,98,2,0,1,rgb,0,0,0,0,none,,,,0.0,90.0119,2.6302,105.0163,0.4245,0.0,594.0,387.36,0.0,12.1864
fay,8,path,,UNLABELED,317.92,359.08,318.6,358.4,0.68,0.68,0.4624,0.353,2.1208,318.26,358.74,1.0,17,1,0,1,rgb,0,0,0,0,none,,,,0.0,90.0,1.1405,102.0943,0.1432,0.0,594.0,387.36,0.0,0.353
fay,9,compound,,UNLABELED,319.57,363.25,322.72,358.4,3.15,4.85,15.2775,5.7315,22.4393,321.145,360.825,0.6495,98,2,0,1,rgb,0,0,0,0,none,,,,0.0,90.0208,2.633,105.0163,0.4245,0.0,594.0,387.36,0.0,12.1846
fay,10,compound,,UNLABELED,323.43,363.09,325.5,361.01,2.07,2.08,4.3056,2.408,10.0238,324.465,362.05,0.9952,34,2,0,1,rgb,0,0,0,0,none,,,,0.0,90.0808,1.1197,10.7842,0.4276,0.0,594.0,387.36,0.0,3.3596
fay,11,path,,UNLABELED,327.89,363.25,334.36,358.31,6.47,4.94,31.9618,9.0333,33.0822,331.125,360.78,1.3097,11,1,0,1,rgb,0,0,0,0,none,,,,0.0,153.1343,1.2617,67.9712,5.1457,0.0,594.0,387.36,0.0,22.2296
fay,12,compound,,UNLABELED,283.43,369.62,287.86,364.78,4.43,4.84,21.4411,6.0206,22.3405,285.645,367.2,0.9153,12,2,0,1,rgb,0,0,0,0,none,,,,0.0,89.8661,1.237,65.3601,5.3248,0.0,594.0,387.36,0.0,10.7206
fay,13,path,,UNLABELED,288.47,369.6,292.47,364.59,4.0,5.01,20.04,7.4874,27.5525,290.47,367.095,0.7984,9,1,0,1,rgb,0,0,0,0,none,,,,0.0,67.7082,1.7662,132.8908,4.9956,0.0,594.0,387.36,0.0,19.22
fay,14,path,,UNLABELED,293.5,369.6,297.5,364.59,4.0,5.01,20.04,7.503,27.5556,295.5,367.095,0.7984,9,1,0,1,rgb,0,0,0,0,none,,,,0.0,67.8144,1.7685,132.8908,4.9956,0.0,594.0,387.36,0.0,19.22
fay,15,path,,UNLABELED,298.44,369.38,301.85,364.7,3.41,4.68,15.9588,6.1038,22.1391,300.145,367.04,0.7286,51,1,0,1,rgb,0,0,0,0,none,,,,0.0,105.4262,1.3749,90.0,2.91,0.0,594.0,387.36,0.0,14.7662
fay,16,compound,,UNLABELED,302.33,369.62,306.76,364.78,4.43,4.84,21.4411,6.0206,22.3405,304.545,367.2,0.9153,12,2,0,1,rgb,0,0,0,0,none,,,,0.0,89.8661,1.237,65.3601,5.3248,0.0,594.0,387.36,0.0,10.7206
fay,17,path,,UNLABELED,307.37,369.38,309.37,364.78,2.0,4.6,9.2,3.474,13.2,308.37,367.08,0.4348,7,1,0,1,rgb,0,0,0,0,none,,,,0.0,100.4862,10.2887,90.0,4.6,0.0,594.0,387.36,0.0,6.337
fay,18,compound,,UNLABELED,311.93,369.38,314.84,364.78,2.91,4.6,13.386,6.4564,23.5012,313.385,367.08,0.6326,45,2,0,1,rgb,0,0,0,0,none,,,,0.0,92.1222,3.0621,90.0,4.6,0.0,594.0,387.36,0.0,11.9723
fay,19,compound,,UNLABELED,314.97,369.62,319.39,364.78,4.42,4.84,21.3927,6.0176,22.3122,317.18,367.2,0.9132,12,2,0,1,rgb,0,0,0,0,none,,,,0.0,90.1992,1.2449,114.5419,5.3207,0.0,594.0,387.36,0.0,10.6964
