airport,object_id,subpath_index,edge_index,mid_x,mid_y,angle,length
fdk,0,0,0,337.23,343.11,159.6464,1.3226
fdk,0,0,1,338.535,342.76,170.064,1.3909
fdk,0,0,2,340.67,342.825,7.2707,2.9235
fdk,0,0,3,343.375,343.755,30.6947,2.9189
fdk,0,0,4,345.095,345.02,48.195,1.3952
fdk,0,0,5,345.905,346.105,58.591,1.324
fdk,0,0,6,348.47,351.23,64.0414,10.1434
fdk,0,0,7,349.36,356.44,153.954,2.9607
fdk,0,0,8,346.41,357.875,154.1467,3.6004
fdk,0,0,9,345.33,358.255,143.1301,1.35
fdk,0,0,10,346.245,357.225,120.9638,1.4577
fdk,0,0,11,346.715,355.875,97.4653,1.4624
fdk,0,0,12,346.63,354.5,74.5207,1.3489
fdk,0,0,13,345.705,352.31,64.184,3.4215
fdk,0,0,14,344.175,349.27,62.3753,3.386
fdk,0,0,15,342.955,347.205,52.4068,1.4261
fdk,0,0,16,341.86,346.25,30.579,1.5332
fdk,0,0,17,340.445,345.75,8.2894,1.526
fdk,0,0,18,338.995,345.8,167.0357,1.4263
fdk,0,0,19,335.69,347.095,156.4974,5.6922
fdk,0,0,20,327.615,350.89,154.0462,12.156
fdk,0,0,21,321.835,353.745,148.2408,0.7409
fdk,0,0,22,321.23,354.225,135.4995,0.8132
fdk,0,0,23,320.57,355.28,115.6648,1.7086
fdk,0,0,24,320.23,356.91,88.0022,1.721
fdk,0,0,25,320.41,358.145,68.1974,0.8078
fdk,0,0,26,320.66,358.68,57.9976,0.3774
fdk,0,0,27,320.815,358.915,53.7411,0.186
fdk,0,0,28,320.93,359.06,49.3997,0.1844
fdk,0,0,29,319.475,357.36,49.4387,4.6597
fdk,0,0,30,317.005,354.47,49.5465,2.9438
fdk,0,0,31,315.145,352.29,49.5101,2.7876
fdk,0,0,32,314.68,351.605,40.4399,1.1562
fdk,0,0,33,315.685,352.2,21.275,1.2126
fdk,0,0,34,316.855,352.44,1.8931,1.2107
fdk,0,0,35,318.01,352.295,163.3008,1.1484
fdk,0,0,36,327.585,347.735,154.0348,20.0765
fdk,1,0,0,77.215,220.435,175.3484,3.8226
fdk,1,0,1,75.25,218.645,88.233,3.8918
fdk,1,0,2,77.115,216.55,175.5441,3.8617
fdk,1,0,3,79.08,218.34,88.8188,3.8808
fdk,2,0,0,77.84,226.0,176.8361,3.9861
fdk,2,0,1,75.715,224.79,84.1606,2.6538
fdk,2,0,2,77.56,223.305,175.2366,3.9737
fdk,2,0,3,79.685,224.515,83.9801,2.7652
fdk,3,0,0,54.085,58.655,49.7111,2.5826
fdk,3,0,1,55.115,59.86,48.4473,0.588
fdk,3,0,2,69.445,76.635,49.5086,43.537
fdk,3,0,3,68.41,75.435,49.4892,46.7063
fdk,3,0,4,53.245,57.675,134.9672,0.0141
fdk,4,0,0,52.62,56.935,49.3982,1.9361
fdk,4,0,1,54.975,53.65,139.4935,7.8518
fdk,4,0,2,58.585,51.84,49.8154,1.9372
fdk,4,0,3,56.23,55.125,139.5016,7.8377
fdk,5,0,0,118.265,327.94,18.036,0.4522
fdk,5,0,1,118.58,328.205,62.8497,0.4383
fdk,5,0,2,119.025,332.565,85.2648,8.3585
fdk,5,0,3,124.055,336.455,176.6408,9.3861
fdk,5,0,4,127.01,315.5,85.218,41.5045
fdk,5,0,5,125.38,294.62,116.5633,0.4472
fdk,5,0,6,125.7,294.415,178.7008,0.4401
fdk,5,0,7,126.585,295.005,41.8204,1.7847
fdk,5,0,8,127.595,296.42,67.1817,1.7792
fdk,5,0,9,129.415,314.89,85.2229,35.4231
fdk,5,0,10,130.845,333.47,92.7701,1.8622
fdk,5,0,11,130.42,335.25,114.0871,1.8622
fdk,5,0,12,132.66,335.945,176.6143,5.2492
fdk,5,0,13,134.53,334.045,66.7421,3.7987
fdk,5,0,14,132.245,313.89,85.2338,36.9478
fdk,5,0,15,130.925,295.46,174.6883,0.4318
fdk,5,0,16,131.115,295.125,85.462,0.632
fdk,5,0,17,131.255,294.285,107.4475,1.1006
fdk,5,0,18,131.91,293.505,152.507,1.1048
fdk,5,0,19,135.71,292.97,175.1648,6.6436
fdk,5,0,20,139.545,292.855,17.4465,1.1006
fdk,5,0,21,140.325,293.51,62.5077,1.1048
fdk,5,0,22,140.605,294.315,85.462,0.632
fdk,5,0,23,140.845,294.61,174.6842,0.4318
fdk,5,0,24,142.41,310.42,85.1255,31.7749
fdk,5,0,25,143.435,326.64,129.806,1.0153
fdk,5,0,26,141.415,327.175,175.1104,3.4024
fdk,5,0,27,140.07,331.075,84.6749,7.5425
fdk,5,0,28,140.37,335.165,98.488,0.6774
fdk,5,0,29,146.165,335.155,176.622,11.7103
fdk,5,0,30,149.71,307.66,85.1578,54.4945
fdk,5,0,31,143.65,280.69,177.2593,7.5286
fdk,5,0,32,140.135,283.78,85.1874,5.8406
fdk,5,0,33,140.165,286.705,176.0093,0.4311
fdk,5,0,34,139.98,287.035,84.5586,0.6329
fdk,5,0,35,139.84,287.875,107.9432,1.1037
fdk,5,0,36,139.44,288.58,141.9512,0.5841
fdk,5,0,37,138.95,288.835,163.9099,0.5412
fdk,5,0,38,135.385,289.19,175.1575,6.6337
fdk,5,0,39,131.555,289.305,17.448,1.1006
fdk,5,0,40,130.775,288.65,62.5069,1.1047
fdk,5,0,41,130.49,287.845,84.5599,0.6329
fdk,5,0,42,130.255,287.55,174.4267,0.412
fdk,5,0,43,129.79,284.47,85.2057,6.2218
fdk,5,0,44,118.0,281.93,177.2194,23.0872
fdk,5,0,45,106.66,284.675,85.0302,4.3865
fdk,5,0,46,107.06,286.845,175.9145,0.4211
fdk,5,0,47,107.38,288.06,84.8895,2.4698
fdk,5,0,48,106.73,289.355,175.1114,1.5256
fdk,5,0,49,105.98,289.535,85.0294,0.2309
fdk,5,0,50,105.565,289.685,175.2917,0.8529
fdk,5,0,51,105.315,291.73,85.024,4.0352
fdk,5,0,52,105.905,293.705,175.1787,0.8329
fdk,5,0,53,106.36,294.105,84.7465,0.8737
fdk,5,0,54,106.15,294.56,175.4251,0.5016
fdk,5,0,55,106.75,304.36,85.0328,19.6337
fdk,5,0,56,107.93,314.11,174.8058,0.6627
fdk,5,0,57,108.245,313.885,85.6013,0.3911
fdk,5,0,58,108.565,313.66,174.8829,0.6727
fdk,5,0,59,109.41,319.495,85.0302,11.7742
fdk,5,0,60,109.585,325.385,175.7306,0.6719
fdk,5,0,61,109.235,325.235,85.1012,0.3513
fdk,5,0,62,105.035,325.425,175.0154,8.4018
fdk,5,0,63,100.375,320.3,85.055,11.021
fdk,5,0,64,101.01,314.715,175.1082,2.2281
fdk,5,0,65,101.23,304.405,85.0206,20.5074
fdk,5,0,66,99.965,294.225,174.6673,0.7533
fdk,5,0,67,99.675,295.22,84.9401,1.9275
fdk,5,0,68,96.0,296.505,175.0599,7.548
fdk,5,0,69,93.675,313.35,85.0355,33.1644
fdk,5,0,70,106.58,328.87,175.0173,23.027
fdk,6,0,0,143.83,410.505,160.7878,0.6989
fdk,6,0,1,144.505,410.33,170.1334,0.7004
fdk,6,0,2,147.515,410.02,174.6408,5.3534
fdk,6,0,3,150.99,409.85,5.6406,1.6279
fdk,6,0,4,152.57,410.34,28.0342,1.7447
fdk,6,0,5,153.89,411.435,51.2381,1.757
fdk,6,0,6,154.665,412.9,73.9093,1.6236
fdk,6,0,7,155.485,420.12,84.7213,12.9349
fdk,6,0,8,156.03,427.515,92.9972,1.9126
fdk,6,0,9,155.63,429.405,110.5224,1.9967
fdk,6,0,10,154.66,431.125,128.302,2.0006
fdk,6,0,11,153.25,432.45,145.6458,1.9138
fdk,6,0,12,154.475,432.01,154.064,4.4813
fdk,6,0,13,158.25,430.175,154.0896,3.9134
fdk,6,0,14,162.655,428.03,154.0009,5.8856
fdk,6,0,15,165.205,426.785,154.655,0.2102
fdk,6,0,16,165.01,426.87,158.1941,0.2154
fdk,6,0,17,164.695,426.975,163.1801,0.4492
fdk,6,0,18,164.005,427.095,173.3951,0.9563
fdk,6,0,19,162.535,426.885,14.9135,2.0594
fdk,6,0,20,160.805,425.905,44.2096,2.0508
fdk,6,0,21,159.875,424.75,66.0973,0.9626
fdk,6,0,22,159.6,423.88,79.4616,0.8748
fdk,6,0,23,155.765,379.13,85.1572,88.9576
fdk,6,0,24,146.165,335.155,176.622,11.7103
fdk,6,0,25,140.29,335.57,113.2054,0.1523
fdk,6,0,26,140.22,335.705,121.6071,0.1526
fdk,6,0,27,139.835,336.28,124.077,1.2314
fdk,6,0,28,138.87,337.03,158.8384,1.3297
fdk,6,0,29,137.55,337.09,14.4203,1.4455
fdk,6,0,30,137.045,339.055,84.8056,4.3077
fdk,6,0,31,140.975,340.88,175.1031,7.4974
fdk,6,0,32,144.885,342.615,85.1327,4.1249
fdk,6,0,33,141.335,344.99,175.09,7.4774
fdk,6,0,34,137.875,348.255,84.8582,5.9138
fdk,6,0,35,141.855,350.885,175.1534,7.4567
fdk,6,0,36,145.745,352.62,85.1209,4.1149
fdk,6,0,37,142.215,354.99,175.0636,7.4376
fdk,6,0,38,138.78,358.325,84.8826,6.0541
fdk,6,0,39,142.745,361.025,175.1273,7.4168
fdk,6,0,40,146.615,362.76,85.1209,4.1149
fdk,6,0,41,143.105,365.125,175.1141,7.3969
fdk,6,0,42,139.69,368.4,84.788,5.9446
fdk,6,0,43,143.63,371.045,175.0942,7.367
fdk,6,0,44,147.475,372.78,85.1208,4.1149
fdk,6,0,45,143.99,375.145,175.0809,7.3471
fdk,6,0,46,140.595,378.425,84.8927,5.9536
fdk,6,0,47,144.51,381.08,175.1454,7.3263
fdk,6,0,48,148.335,382.82,85.1209,4.1149
fdk,6,0,49,144.87,385.185,175.054,7.3072
fdk,6,0,50,141.495,388.45,84.8669,5.9238
fdk,6,0,51,145.39,391.085,175.0404,7.2873
fdk,6,0,52,149.195,392.825,85.1327,4.1249
fdk,6,0,53,145.75,395.19,175.1053,7.2665
fdk,6,0,54,142.41,398.605,84.8472,6.2352
fdk,6,0,55,146.3,401.4,175.0919,7.2466
fdk,6,0,56,150.115,403.49,85.1178,4.8175
fdk,6,0,57,146.725,406.2,175.0716,7.2167
fdk,6,0,58,143.315,408.565,84.8559,4.1266
fdk,7,0,0,136.425,336.66,30.0419,0.9588
fdk,7,0,1,135.645,336.105,40.7937,0.9642
fdk,7,0,2,132.66,335.945,176.6143,5.2492
fdk,7,0,3,129.435,336.715,134.5306,1.7254
fdk,7,0,4,128.785,336.755,85.5245,1.1535
fdk,7,0,5,124.055,336.455,176.6408,9.3861
fdk,7,0,6,119.435,337.46,84.9116,1.4658
fdk,7,0,7,119.63,339.7,85.0795,3.0312
fdk,7,0,8,120.435,341.15,174.9206,1.3553
fdk,7,0,9,121.32,341.155,17.1992,0.4397
fdk,7,0,10,121.63,341.415,62.8506,0.4383
fdk,7,0,11,124.64,375.505,85.093,68.0394
fdk,7,0,12,128.58,410.54,47.9018,3.0728
fdk,7,0,13,131.285,411.525,174.7131,3.3643
fdk,7,0,14,133.775,411.45,5.6063,1.6378
fdk,7,0,15,135.365,411.95,28.4547,1.763
fdk,7,0,16,136.69,413.065,51.6433,1.7726
fdk,7,0,17,137.455,414.545,74.6828,1.6278
fdk,7,0,18,137.72,415.99,85.6681,1.3238
fdk,7,0,19,137.88,416.645,177.3949,0.2202
fdk,7,0,20,138.725,425.945,85.4836,18.668
fdk,7,0,21,139.405,436.09,93.7462,1.6836
fdk,7,0,22,139.035,437.75,111.0138,1.7568
fdk,7,0,23,138.175,439.255,128.5066,1.7507
fdk,7,0,24,136.935,440.415,145.6497,1.6836
fdk,7,0,25,138.01,440.03,154.086,3.9357
fdk,7,0,26,141.16,438.5,154.1031,3.0681
fdk,7,0,27,145.39,436.44,154.0006,6.3418
fdk,7,0,28,148.03,435.14,156.8004,0.4569
fdk,7,0,29,147.585,435.3,163.4128,0.4904
fdk,7,0,30,146.84,435.43,173.2904,1.027
fdk,7,0,31,145.265,435.205,14.9818,2.205
fdk,7,0,32,143.415,434.145,44.6324,2.2062
fdk,7,0,33,142.42,432.9,65.9247,1.0296
fdk,7,0,34,142.125,431.965,79.641,0.9454
fdk,7,0,35,141.44,423.955,85.4533,15.1376
fdk,7,0,36,140.945,416.4,174.5546,0.211
fdk,7,0,37,140.995,415.65,85.7493,1.4841
fdk,7,0,38,141.235,413.635,103.0273,2.6174
fdk,7,0,39,142.515,411.49,138.5477,2.6284
fdk,7,0,40,143.315,408.565,84.8557,4.1266
fdk,7,0,41,138.265,406.925,175.1243,9.7653
fdk,7,0,42,133.195,404.945,85.1077,4.8075
fdk,7,0,43,137.84,402.13,175.0507,9.7363
fdk,7,0,44,142.41,398.605,84.847,6.2352
fdk,7,0,45,135.09,396.105,175.0882,14.1319
fdk,7,0,46,127.87,394.655,84.9941,4.1257
fdk,7,0,47,134.725,392.0,175.1252,14.1211
fdk,7,0,48,141.495,388.45,84.8669,5.9238
fdk,7,0,49,134.21,386.1,175.1148,14.0912
fdk,7,0,50,127.01,384.65,84.982,4.1158
fdk,7,0,51,133.845,381.995,175.0708,14.0821
fdk,7,0,52,140.595,378.425,84.8927,5.9536
fdk,7,0,53,133.325,376.06,175.1044,14.0613
fdk,7,0,54,126.145,374.61,85.1207,4.1149
fdk,7,0,55,132.965,371.96,175.0974,14.0414
fdk,7,0,56,139.69,368.4,84.7882,5.9446
fdk,7,0,57,132.44,366.04,175.087,14.0115
fdk,7,0,58,125.285,364.59,85.1208,4.1149
fdk,7,0,59,132.08,361.94,175.0799,13.9916
fdk,7,0,60,138.78,358.325,84.8826,6.0541
fdk,7,0,61,131.55,355.905,175.1137,13.9708
fdk,7,0,62,124.415,354.45,85.1208,4.1149
fdk,7,0,63,131.19,351.8,175.0658,13.9517
fdk,7,0,64,137.875,348.255,84.8582,5.9138
fdk,7,0,65,130.67,345.905,175.0997,13.9309
fdk,7,0,66,123.555,344.445,85.1326,4.1249
fdk,7,0,67,128.3,341.97,175.1207,9.8758
fdk,7,0,68,133.2,341.305,85.3321,0.4916
fdk,7,0,69,134.81,340.92,175.091,3.272
fdk,7,0,70,136.465,341.025,84.175,0.4925
fdk,7,0,71,136.865,341.235,174.6684,0.7533
fdk,7,0,72,137.045,339.055,84.8056,4.3077
fdk,7,0,73,136.845,336.905,45.0437,0.0141
fdk,8,0,0,120.01,232.69,107.1025,0.272
fdk,8,0,1,120.175,232.495,152.5247,0.2818
fdk,8,0,2,124.945,232.035,175.1395,9.3235
fdk,8,0,3,128.345,230.185,49.4474,3.8299
fdk,8,0,4,123.565,229.035,175.0688,7.0963
fdk,8,0,5,119.835,229.175,40.2353,0.5109
fdk,8,0,6,119.485,227.225,85.0372,3.5834
fdk,8,0,7,107.69,226.78,173.433,23.4338
fdk,8,0,8,96.265,230.765,85.3529,5.3075
fdk,8,0,9,95.22,233.51,175.462,2.5279
fdk,8,0,10,93.75,231.01,85.3823,5.2169
fdk,8,0,11,90.685,228.735,173.5057,5.7469
fdk,8,0,12,88.035,231.57,85.3308,5.0367
fdk,8,0,13,86.93,234.185,175.4176,2.6284
fdk,8,0,14,85.42,231.825,85.3614,4.9462
fdk,8,0,15,83.91,229.51,173.4681,2.6371
fdk,8,0,16,83.1,235.815,85.3558,12.3505
fdk,8,0,17,86.01,241.74,174.5485,4.8419
fdk,8,0,18,88.42,240.895,90.0,1.23
fdk,8,0,19,88.905,240.28,0.0,0.97
fdk,8,0,20,89.39,240.85,90.0,1.14
fdk,8,0,21,90.605,241.305,174.5928,2.4409
fdk,8,0,22,91.74,240.185,85.4489,2.0164
fdk,8,0,23,92.615,239.11,175.8083,1.9151
fdk,8,0,24,93.605,239.5,85.649,0.9227
fdk,8,0,25,95.415,239.825,175.6504,3.5603
fdk,8,0,26,97.37,242.075,85.684,4.7836
fdk,8,0,27,97.375,244.475,175.1012,0.3513
fdk,8,0,28,97.265,245.295,85.3834,1.6152
fdk,8,0,29,94.29,246.335,175.5797,6.0981
fdk,8,0,30,91.2,245.945,85.4261,1.254
fdk,8,0,31,90.36,245.36,177.1019,1.582
fdk,8,0,32,89.575,245.94,89.4694,1.0801
fdk,8,0,33,89.12,246.48,0.0,0.92
fdk,8,0,34,88.655,245.96,89.449,1.0401
fdk,8,0,35,86.275,245.56,177.1076,4.7561
fdk,8,0,36,84.0,246.91,85.352,2.4681
fdk,8,0,37,90.92,247.59,175.3893,13.6843
fdk,8,0,38,97.93,249.35,85.298,4.6356
fdk,8,0,39,109.735,250.175,172.7141,23.4191
fdk,8,0,40,120.66,240.755,85.0303,15.9299
fdk,9,0,0,87.055,219.555,85.3386,19.0731
fdk,9,0,1,90.685,228.735,173.5054,5.7469
fdk,9,0,2,93.305,225.51,85.3672,5.819
fdk,9,0,3,94.33,222.505,175.2365,2.5287
fdk,9,0,4,95.82,225.26,85.4021,5.7385
fdk,9,0,5,107.69,226.78,173.433,23.4338
fdk,9,0,6,118.525,216.185,85.0289,18.5799
fdk,9,0,7,106.12,208.085,174.3139,23.3147
fdk,9,0,8,94.9,213.88,85.3181,9.3111
fdk,9,0,9,94.185,218.61,175.3015,2.1974
fdk,9,0,10,92.715,214.075,85.3645,9.2804
fdk,10,0,0,81.675,219.605,107.7837,0.5566
fdk,10,0,1,81.345,219.995,152.9694,0.5501
fdk,10,0,2,77.635,220.4,175.3801,6.9526
fdk,10,0,3,74.285,222.12,85.4339,2.8892
fdk,10,0,4,77.87,223.28,175.3867,6.9626
fdk,10,0,5,81.725,223.33,40.6016,1.0141
fdk,10,0,6,82.355,226.66,85.3312,6.02
fdk,10,0,7,83.91,229.51,173.4675,2.6371
fdk,10,0,8,84.445,219.835,85.3484,19.1129
fdk,10,0,9,82.36,210.44,174.3325,2.6329
fdk,10,0,10,81.405,214.955,85.3716,8.7987
fdk,11,0,0,117.285,203.065,76.4877,1.3267
fdk,11,0,1,116.785,201.86,58.3638,1.3155
fdk,11,0,2,114.325,198.79,49.8814,6.5645
fdk,11,0,3,111.705,195.035,67.9217,2.6871
fdk,11,0,4,111.01,191.03,86.0619,5.5331
fdk,11,0,5,106.845,188.545,176.0425,7.969
fdk,11,0,6,103.07,191.685,86.0068,5.744
fdk,11,0,7,103.18,194.81,109.0939,0.5503
fdk,11,0,8,102.845,195.19,153.9025,0.5456
fdk,11,0,9,102.35,195.33,175.4251,0.5016
fdk,11,0,10,101.345,195.255,7.1718,1.5219
fdk,11,0,11,99.87,194.755,29.3576,1.6522
fdk,11,0,12,98.655,193.685,53.3379,1.658
fdk,11,0,13,97.98,192.28,76.3288,1.5232
fdk,11,0,14,97.615,188.105,86.9172,6.88
fdk,11,0,15,97.67,184.37,128.6597,0.7684
fdk,11,0,16,98.715,183.945,171.1736,1.6293
fdk,11,0,17,99.52,182.605,90.0,2.43
fdk,11,0,18,94.135,182.215,171.2899,10.8957
fdk,11,0,19,88.425,182.965,12.9942,0.6671
fdk,11,0,20,87.93,182.605,59.1843,0.6637
fdk,11,0,21,87.62,181.41,81.2538,1.8414
fdk,11,0,22,84.98,180.885,171.2453,5.0589
fdk,11,0,23,83.05,184.975,81.2538,7.4972
fdk,11,0,24,83.79,189.17,70.8663,1.0373
fdk,11,0,25,85.465,189.195,162.83,3.1504
fdk,11,0,26,86.98,188.79,80.5377,0.1217
fdk,11,0,27,88.75,188.58,171.2782,3.5612
fdk,11,0,28,90.32,187.08,81.2189,2.4892
fdk,11,0,29,93.1,185.37,170.8192,6.0171
fdk,11,0,30,96.075,184.915,78.6917,0.051
fdk,11,0,31,96.085,184.965,78.685,0.051
fdk,11,0,32,96.36,190.035,86.9365,10.1044
fdk,11,0,33,96.4,195.805,107.6013,1.5212
fdk,11,0,34,95.52,196.925,148.7139,1.5212
fdk,11,0,35,94.265,197.435,169.237,1.2317
fdk,11,0,36,89.915,197.98,173.4499,7.5392
fdk,11,0,37,86.39,201.135,85.3843,5.4677
fdk,11,0,38,86.2,203.89,175.8153,0.8222
fdk,11,0,39,86.035,206.985,85.4298,6.1496
fdk,11,0,40,89.31,209.75,174.3455,6.0896
fdk,11,0,41,92.165,207.305,85.3358,4.3042
fdk,11,0,42,91.825,205.175,174.8058,0.3314
fdk,11,0,43,91.515,203.435,85.2769,3.522
fdk,11,0,44,92.8,201.56,175.2034,2.8701
fdk,11,0,45,94.375,203.2,85.2902,3.5319
fdk,11,0,46,94.35,204.975,174.9578,0.3413
fdk,11,0,47,94.35,207.115,85.426,4.2636
fdk,11,0,48,106.12,208.085,174.3139,23.3147
fdk,11,0,49,117.58,205.32,85.0303,3.2322
fdk,12,0,0,82.36,210.44,174.3325,2.6329
fdk,12,0,1,83.26,205.23,85.3857,10.193
fdk,12,0,2,81.535,200.255,175.4343,2.6384
fdk,13,0,0,97.67,184.37,128.6597,0.7684
fdk,13,0,1,97.43,184.725,90.0,0.11
fdk,13,0,2,106.23,183.405,171.1193,17.8136
fdk,13,0,3,117.665,181.835,175.7678,5.2844
fdk,13,0,4,116.88,177.025,53.4593,11.4882
fdk,13,0,5,114.25,174.105,65.011,3.7401
fdk,13,0,6,114.745,176.945,104.4476,2.3648
fdk,13,0,7,112.705,178.845,156.6034,3.8027
fdk,13,0,8,105.24,180.495,171.1071,11.5792
fdk,13,0,9,99.52,182.605,90.0,2.43
fdk,13,0,10,98.715,183.945,171.1736,1.6293
fdk,14,0,0,148.5,258.965,169.3559,2.8694
fdk,14,0,1,146.25,258.065,54.2072,2.8725
fdk,14,0,2,145.065,251.295,86.4778,11.2312
fdk,14,0,3,143.05,245.905,172.6636,3.3676
fdk,14,0,4,141.57,248.18,84.7303,4.1375
fdk,14,0,5,141.92,252.96,86.6336,5.4494
fdk,14,0,6,141.56,258.245,101.4602,5.2343
fdk,14,0,7,137.165,262.355,158.2622,8.3433
fdk,14,0,8,128.02,264.34,175.2275,10.5767
fdk,14,0,9,122.05,256.735,85.0272,16.1508
fdk,14,0,10,109.735,250.175,172.7141,23.4191
fdk,14,0,11,98.325,254.2,85.3858,5.0965
fdk,14,0,12,101.36,256.51,175.3534,5.6787
fdk,14,0,13,105.33,269.385,85.0284,26.309
fdk,14,0,14,118.0,281.93,177.2194,23.0872
fdk,14,0,15,129.14,276.715,85.2109,9.3426
fdk,14,0,16,128.85,271.175,96.4472,1.7813
fdk,14,0,17,129.435,269.45,120.0011,1.9399
fdk,14,0,18,130.71,268.045,144.4279,1.9425
fdk,14,0,19,132.375,267.295,168.062,1.7887
fdk,14,0,20,134.935,267.085,179.1497,3.3704
fdk,14,0,21,139.195,267.655,13.0109,5.2857
fdk,14,0,22,142.845,271.06,69.0652,6.0172
fdk,14,0,23,144.065,274.89,81.9089,2.0605
fdk,14,0,24,141.855,276.095,175.5083,4.7245
fdk,14,0,25,139.695,278.575,85.1434,4.6066
fdk,14,0,26,143.65,280.69,177.2591,7.5286
fdk,14,0,27,147.24,278.515,85.1295,4.0044
fdk,14,0,28,147.505,275.325,110.0021,2.5434
fdk,14,0,29,147.865,271.23,88.5186,5.8019
fdk,14,0,30,148.035,266.985,100.3234,2.7343
fdk,14,0,31,149.295,264.275,126.634,3.402
fdk,14,0,32,154.08,259.19,135.3825,10.5927
