airport,object_id,subpath_index,edge_index,mid_x,mid_y,angle,length
fll,0,0,0,139.755,428.685,0.9306,4.3106
fll,0,0,1,141.99,428.355,102.3626,0.7473
fll,0,0,2,142.135,427.97,162.9006,0.136
fll,0,0,3,143.895,427.41,162.3289,3.5579
fll,0,0,4,145.595,424.735,90.1341,4.27
fll,0,0,5,145.6,422.49,90.0,0.22
fll,0,0,6,144.745,422.385,179.6646,1.71
fll,0,0,7,143.295,422.15,21.9679,1.2832
fll,0,0,8,142.28,421.475,46.0045,1.2093
fll,0,0,9,139.705,420.96,2.1261,4.313
fll,1,0,0,286.475,314.23,21.3182,0.4401
fll,1,0,1,286.87,314.41,27.7561,0.4294
fll,1,0,2,287.07,314.515,26.6,0.0224
fll,1,0,3,287.27,314.66,36.3839,0.472
fll,1,0,4,287.46,314.805,90.0,0.01
fll,1,0,5,287.64,314.99,45.0,0.5091
fll,1,0,6,287.97,315.375,53.8054,0.508
fll,1,0,7,288.23,315.8,63.4349,0.4919
fll,1,0,8,290.125,316.09,2.246,3.5728
fll,1,0,9,291.88,311.645,89.6191,9.0302
fll,1,0,10,290.06,307.135,179.8403,3.58
fll,1,0,11,288.205,307.33,108.8865,0.4016
fll,1,0,12,288.045,307.7,117.8234,0.4071
fll,1,0,13,287.825,308.045,127.1478,0.414
fll,1,0,14,287.55,308.355,135.969,0.4173
fll,1,0,15,287.22,308.62,146.3122,0.4327
fll,1,0,16,286.85,308.835,153.4331,0.4248
fll,1,0,17,286.45,309.0,161.5638,0.4427
fll,2,0,0,279.21,209.735,0.8508,2.0202
fll,2,0,1,280.225,209.69,94.7685,0.1204
fll,2,0,2,280.3,209.39,106.2615,0.5
fll,2,0,3,280.49,208.93,118.6093,0.5012
fll,2,0,4,280.765,208.515,128.4811,0.4982
fll,2,0,5,281.11,208.165,140.7934,0.4904
fll,2,0,6,281.52,207.89,151.3876,0.5012
fll,2,0,7,281.845,207.735,161.57,0.2213
fll,2,0,8,283.025,207.735,1.8642,2.1511
fll,2,0,9,284.1,207.665,90.0,0.21
fll,2,0,10,284.125,206.64,91.5571,1.8407
fll,2,0,11,284.15,205.635,90.0,0.17
fll,2,0,12,283.24,205.56,179.3698,1.8201
fll,2,0,13,282.085,205.48,20.1703,0.522
fll,2,0,14,281.615,205.26,30.0186,0.5197
fll,2,0,15,281.195,204.97,39.3689,0.5045
fll,2,0,16,280.835,204.625,48.2713,0.4958
fll,2,0,17,280.545,204.23,59.2381,0.4888
fll,2,0,18,280.335,203.795,69.3023,0.481
fll,2,0,19,280.21,203.33,80.5394,0.4866
fll,2,0,20,280.13,202.54,85.8411,1.1029
fll,2,0,21,279.165,201.99,0.0,1.85
fll,2,0,22,278.235,202.095,92.7287,0.2103
fll,2,0,23,278.23,202.845,90.0,1.29
fll,2,0,24,278.15,203.675,113.3843,0.4031
fll,2,0,25,277.965,204.04,120.2564,0.4168
fll,2,0,26,277.735,204.38,127.9981,0.4061
fll,2,0,27,277.435,204.71,135.8311,0.488
fll,2,0,28,277.055,205.02,145.6701,0.4965
fll,2,0,29,276.625,205.265,154.9831,0.4966
fll,2,0,30,276.155,205.44,164.0537,0.5096
fll,2,0,31,275.655,205.54,173.2902,0.5135
fll,2,0,32,275.4,205.675,90.0,0.21
fll,2,0,33,275.39,206.605,90.6951,1.6501
fll,2,0,34,275.74,207.435,0.7965,0.7201
fll,2,0,35,276.33,207.525,20.2844,0.4904
fll,2,0,36,276.775,207.725,28.1383,0.4877
fll,2,0,37,277.175,207.985,38.09,0.4701
fll,2,0,38,277.52,208.3,46.7347,0.4669
fll,2,0,39,277.805,208.665,57.3401,0.4633
fll,2,0,40,278.02,209.07,66.8014,0.4569
fll,3,0,0,258.695,209.54,94.5137,0.3812
fll,3,0,1,258.76,209.165,105.1251,0.3833
fll,3,0,2,258.89,208.805,114.5673,0.3848
fll,3,0,3,259.08,208.465,123.6913,0.3966
fll,3,0,4,259.325,208.155,132.9526,0.3962
fll,3,0,5,259.615,207.885,141.1153,0.3982
fll,3,0,6,259.95,207.655,149.7457,0.4168
fll,3,0,7,267.755,207.49,179.5492,15.2505
fll,3,0,8,275.39,206.605,90.6941,1.6501
fll,3,0,9,275.4,205.675,90.0,0.21
fll,3,0,10,270.99,205.625,179.2854,8.8207
fll,3,0,11,263.36,205.7,179.6443,6.4401
fll,3,0,12,259.93,205.59,31.7585,0.4939
fll,3,0,13,259.54,205.3,41.6329,0.4817
fll,3,0,14,259.21,204.96,50.1968,0.4686
fll,3,0,15,258.945,204.575,60.7059,0.4701
fll,3,0,16,258.755,204.155,70.771,0.4554
fll,3,0,17,258.64,203.715,79.9207,0.457
fll,3,0,18,258.61,204.385,89.3602,1.7901
fll,3,0,19,258.64,206.825,89.2582,3.0903
fll,3,0,20,258.67,209.05,89.1579,1.3601
fll,4,0,0,279.275,220.735,10.7436,1.9848
fll,4,0,1,280.22,215.52,89.6817,10.8002
fll,4,0,2,280.205,209.935,94.6353,0.3712
fll,4,0,3,279.21,209.735,0.8508,2.0202
fll,4,0,4,278.22,209.94,84.8041,0.4418
fll,5,0,0,256.145,266.205,164.1677,0.6964
fll,5,0,1,256.83,266.08,175.101,0.7025
fll,5,0,2,260.045,266.07,0.4,5.7302
fll,5,0,3,264.17,265.955,173.884,2.5344
fll,5,0,4,265.74,265.845,4.6124,0.622
fll,5,0,5,266.02,264.04,89.0608,3.6605
fll,5,0,6,265.535,262.08,15.9459,0.9464
fll,5,0,7,264.655,261.74,26.2945,0.9481
fll,5,0,8,263.85,261.25,36.3839,0.944
fll,5,0,9,263.145,260.62,47.1219,0.9553
fll,5,0,10,262.565,259.875,57.1547,0.9403
fll,5,0,11,260.325,259.625,175.822,3.9806
fll,5,0,12,258.305,259.985,99.2472,0.4357
fll,5,0,13,258.195,260.405,110.0943,0.4366
fll,5,0,14,258.01,260.8,120.0684,0.4391
fll,5,0,15,257.755,261.16,130.4634,0.4469
fll,5,0,16,257.43,261.48,140.1944,0.4686
fll,5,0,17,257.05,261.745,150.0995,0.4614
fll,5,0,18,256.63,261.945,158.8739,0.4717
fll,5,0,19,256.085,262.05,176.4805,0.6512
fll,5,0,20,255.765,262.145,86.1828,0.1504
fll,5,0,21,255.79,264.26,89.4384,4.0802
fll,6,0,0,220.12,269.765,0.6094,4.7003
fll,6,0,1,217.905,270.3,76.446,1.1521
fll,6,0,2,218.13,271.775,84.3826,1.8388
fll,6,0,3,218.235,274.74,89.5808,4.1001
fll,6,0,4,218.07,278.56,95.8067,3.5583
fll,6,0,5,220.305,280.655,7.6645,4.8735
fll,6,0,6,222.36,279.61,75.277,2.833
fll,6,0,7,222.075,276.21,92.1158,4.0628
fll,7,0,0,251.04,279.555,3.4648,5.1294
fll,7,0,1,253.495,274.765,88.7836,9.8922
fll,7,0,2,250.915,269.765,1.2732,4.9512
fll,7,0,3,248.625,271.62,84.4677,3.8379
fll,7,0,4,248.82,274.68,89.5017,2.3001
fll,8,0,0,256.78,286.26,90.4736,4.8402
fll,8,0,1,256.975,288.785,26.0275,0.4786
fll,8,0,2,257.385,289.035,36.636,0.486
fll,8,0,3,257.74,289.35,46.7347,0.4669
fll,8,0,4,258.03,289.72,56.9778,0.4771
fll,8,0,5,258.25,290.145,68.1966,0.4847
fll,8,0,6,258.39,290.6,77.7343,0.4707
fll,8,0,7,258.49,291.31,84.0547,0.9652
fll,8,0,8,260.945,291.79,0.0,4.81
fll,8,0,9,263.31,291.555,80.3417,0.4768
fll,8,0,10,263.275,291.085,91.2201,0.4701
fll,8,0,11,263.325,290.62,101.0692,0.4687
fll,8,0,12,263.455,290.17,111.1227,0.4717
fll,8,0,13,263.665,289.745,121.3747,0.4802
fll,8,0,14,263.95,289.365,132.4364,0.4742
fll,8,0,15,264.295,289.045,141.91,0.4701
fll,8,0,16,264.69,288.79,152.3546,0.4741
fll,8,0,17,265.125,288.61,162.7197,0.4713
fll,8,0,18,265.46,288.525,172.2352,0.222
fll,8,0,19,265.59,286.605,90.6016,3.8102
fll,8,0,20,265.195,284.7,0.0,0.83
fll,8,0,21,261.16,284.31,6.149,7.2819
fll,9,0,0,177.855,250.24,170.998,1.0226
fll,9,0,1,178.45,250.16,0.0,0.18
fll,9,0,2,178.63,250.18,12.5319,0.1844
fll,9,0,3,178.8,250.24,26.5607,0.1789
fll,9,0,4,178.955,250.33,33.6928,0.1803
fll,9,0,5,179.095,250.445,45.0,0.1839
fll,9,0,6,179.21,250.585,56.3072,0.1803
fll,9,0,7,179.29,250.745,70.5621,0.1803
