airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
fok,0,path,,UNLABELED,228.15,224.17,257.06,197.04,28.91,27.13,784.3281,183.6988,79.327,242.605,210.605,1.0656,5,1,0,1,rgb,207,207,207,0,none,,,,0.0,135.9599,42.2845,137.4803,34.3127,0.0,594.0,387.36,0.0,183.6988
fok,1,path,,UNLABELED,127.28,222.71,228.15,174.06,100.87,48.65,4907.325,400.6292,380.3871,177.715,198.385,2.0734,140,1,0,1,rgb,207,207,207,0,none,,,,0.0,16.7012,11.5303,46.9455,27.494,0.0,594.0,387.36,0.0,2602.1241
fok,2,path,,UNLABELED,210.85,334.71,253.89,224.17,43.04,110.54,4757.6412,455.051,426.411,232.37,279.44,0.3894,171,1,0,1,rgb,207,207,207,0,none,,,,0.0,91.5709,17.1779,92.448,21.5397,0.0,594.0,387.36,0.0,2978.8007
fok,3,path,,UNLABELED,123.35,276.71,168.78,269.9,45.43,6.81,309.3782,87.4727,103.0731,146.065,273.305,6.6711,32,1,0,1,rgb,207,207,207,0,none,,,,0.0,3.4155,129.6262,2.1368,40.4982,0.0,594.0,387.36,0.0,229.3622
fok,4,path,,UNLABELED,119.62,452.3,319.64,331.7,200.02,120.6,24122.4107,912.63,816.6171,219.63,392.0,1.6585,219,1,0,1,rgb,207,207,207,0,none,,,,0.0,24.643,10.8715,47.6851,129.0543,0.0,594.0,387.36,0.0,9865.2269
fok,5,path,,UNLABELED,319.64,465.58,347.61,435.76,27.97,29.82,834.0656,190.4424,81.8045,333.625,450.67,0.938,5,1,0,1,rgb,207,207,207,0,none,,,,0.0,48.957,45.3254,47.4856,35.5444,0.0,594.0,387.36,0.0,190.4424
fok,6,compound,,UNLABELED,35.78,369.04,122.06,170.59,86.28,198.45,17122.2668,3319.5422,1021.0454,78.92,269.815,0.4348,301,5,0,1,rgb,207,207,207,0,none,,,,0.0,83.0903,10.203,22.8435,42.3734,0.0,594.0,387.36,0.0,13065.4174
fok,7,path,,UNLABELED,75.84,334.8,78.15,332.42,2.31,2.38,5.4978,2.256,5.6732,76.995,333.61,0.9706,4,1,0,1,rgb,0,0,0,0,none,,,,0.0,46.8007,6.1237,46.539,2.3697,0.0,594.0,387.36,0.0,2.256
fok,8,path,,UNLABELED,76.55,334.2,79.74,330.44,3.19,3.76,11.9943,6.5862,9.6629,78.145,332.32,0.8484,27,1,0,1,rgb,0,0,0,0,none,,,,0.0,54.6533,1.6553,46.8366,2.4266,0.0,594.0,387.36,0.0,7.2162
fok,9,path,,UNLABELED,58.93,347.57,69.32,336.97,10.39,10.6,110.1341,45.1457,22.2356,64.125,342.27,0.9802,9,1,0,1,rgb,0,0,0,0,none,,,,0.0,140.8423,2.2977,137.8532,8.8073,0.0,594.0,387.36,0.0,50.4482
fok,10,path,,UNLABELED,66.12,341.03,75.51,331.97,9.39,9.06,85.0734,38.9281,21.5429,70.815,336.5,1.0364,4,1,0,1,rgb,0,0,0,0,none,,,,0.0,137.5919,3.3462,137.4236,8.5283,0.0,594.0,387.36,0.0,38.9281
fok,11,path,,UNLABELED,73.09,335.72,77.24,331.69,4.15,4.03,16.7246,7.0649,9.5348,75.165,333.705,1.0298,5,1,0,1,rgb,0,0,0,0,none,,,,0.0,43.9017,4.6957,44.0123,4.1018,0.0,594.0,387.36,0.0,7.0649
fok,12,path,,UNLABELED,294.7,479.89,316.32,456.26,21.62,23.63,510.8806,510.8806,90.5,305.51,468.075,0.9149,5,1,0,0,none,,,,1,rgb,0,0,0,0.39,120.9468,1.4637,90.0,23.63,0.0,594.0,387.36,0.0,510.8806
fok,13,path,,UNLABELED,55.17,339.17,61.83,333.83,6.66,5.34,35.5644,0.0,8.5365,58.5,336.5,1.2472,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,38.7227,1000000.0,38.7227,8.5365,0.0,594.0,387.36,0.0,0.0
fok,14,compound,,UNLABELED,91.44,406.47,94.59,401.62,3.15,4.85,15.2775,5.7241,22.4417,93.015,404.045,0.6495,98,2,0,1,rgb,0,0,0,0,none,,,,0.0,90.0099,2.633,105.0183,0.4245,0.0,594.0,387.36,0.0,12.1809
fok,15,path,,UNLABELED,95.54,402.3,96.22,401.62,0.68,0.68,0.4624,0.3554,2.1288,95.88,401.96,1.0,17,1,0,1,rgb,0,0,0,0,none,,,,0.0,89.5313,1.112,12.0943,0.1432,0.0,594.0,387.36,0.0,0.3554
fok,16,path,,UNLABELED,97.74,406.3,99.06,401.7,1.32,4.6,6.072,2.6775,11.6121,98.4,404.0,0.287,7,1,0,1,rgb,0,0,0,0,none,,,,0.0,95.2992,22.6554,90.0,4.6,0.0,594.0,387.36,0.0,4.3339
fok,17,compound,,UNLABELED,101.05,406.31,103.12,404.24,2.07,2.07,4.2849,2.4016,10.0189,102.085,405.275,1.0,34,2,0,1,rgb,0,0,0,0,none,,,,0.0,90.052,1.1281,79.2158,0.4276,0.0,594.0,387.36,0.0,3.3534
fok,18,path,,UNLABELED,106.02,406.3,108.52,401.7,2.5,4.6,11.5,5.6057,21.72,107.27,404.0,0.5435,13,1,0,1,rgb,0,0,0,0,none,,,,0.0,82.5058,2.6707,90.0,4.6,0.0,594.0,387.36,0.0,11.5
fok,19,compound,,UNLABELED,59.32,412.84,63.75,408.0,4.43,4.84,21.4412,5.9858,22.377,61.535,410.42,0.9153,12,2,0,1,rgb,0,0,0,0,none,,,,0.0,89.8152,1.2385,65.3601,5.3248,0.0,594.0,387.36,0.0,10.7206
fok,20,path,,UNLABELED,64.36,412.82,68.36,407.81,4.0,5.01,20.04,7.503,27.5556,66.36,410.315,0.7984,9,1,0,1,rgb,0,0,0,0,none,,,,0.0,67.8143,1.7685,132.8909,4.9956,0.0,594.0,387.36,0.0,19.22
