airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
fsd,0,path,,UNLABELED,287.03,170.74,295.59,162.23,8.56,8.51,72.8457,41.1014,19.208,291.31,166.485,1.0059,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,26.4899,1.0377,25.5011,6.5036,0.0,594.0,387.36,0.0,41.1014
fsd,1,path,,UNLABELED,136.04,491.77,147.76,479.81,11.72,11.96,140.1712,78.0269,29.0535,141.9,485.79,0.9799,6,1,0,1,rgb,207,207,207,0,none,,,,0.0,95.2479,1.0804,114.9439,9.0105,0.0,594.0,387.36,0.0,78.6968
fsd,2,path,,UNLABELED,50.05,161.47,59.12,152.36,9.07,9.11,82.6278,42.5139,19.525,54.585,156.915,0.9956,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,60.8853,1.0235,55.3929,6.5851,0.0,594.0,387.36,0.0,42.5139
fsd,3,path,,UNLABELED,275.79,485.59,284.99,476.05,9.2,9.54,87.7681,45.0562,20.37,280.39,480.82,0.9644,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,61.4894,1.1963,54.4809,7.126,0.0,594.0,387.36,0.0,45.0562
fsd,4,path,,UNLABELED,137.14,337.85,237.77,239.88,100.63,97.97,9858.7202,758.4366,430.2265,187.455,288.865,1.0272,87,1,0,1,rgb,207,207,207,0,none,,,,0.0,38.8869,2.7077,53.7065,35.7818,0.0,594.0,387.36,0.0,5250.1544
fsd,5,path,,UNLABELED,144.09,366.19,174.82,332.86,30.73,33.33,1024.2308,199.3681,111.2315,159.455,349.525,0.922,27,1,0,1,rgb,207,207,207,0,none,,,,0.0,125.7814,4.5026,140.7538,26.0964,0.0,594.0,387.36,0.0,436.0289
fsd,6,path,,UNLABELED,249.68,373.5,260.43,368.14,10.75,5.36,57.62,37.4908,31.3879,255.055,370.82,2.0056,20,1,0,1,rgb,207,207,207,0,none,,,,0.0,178.198,7.5805,0.0,8.31,0.0,594.0,387.36,0.0,48.6545
fsd,7,path,,UNLABELED,124.6396,251.6193,124.6396,251.6193,0.0,0.0,0.0,0.0,0.0,124.6396,251.6193,0.0,2,1,0,0,none,,,,1,rgb,207,207,207,0.39,0.0,1000000.0,0.0,0.0,0.0,594.0,387.36,0.0,0.0
fsd,8,path,,UNLABELED,117.99,251.62,127.35,242.08,9.36,9.54,89.2945,33.8432,31.8184,122.67,246.85,0.9811,12,1,0,1,rgb,207,207,207,0,none,,,,0.0,65.3144,2.8177,55.0928,11.6208,0.0,594.0,387.36,0.0,47.7481
fsd,9,path,,UNLABELED,214.93,484.02,231.19,451.71,16.26,32.31,525.361,68.6638,89.0976,223.06,467.865,0.5032,17,1,0,1,rgb,207,207,207,0,none,,,,0.0,99.1377,2.8282,60.8796,19.4597,0.0,594.0,387.36,0.0,283.6038
