airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
fsm,0,path,,UNLABELED,101.32,362.63,215.37,306.61,114.05,56.02,6389.0812,487.9179,286.052,158.345,334.62,2.0359,84,1,0,1,rgb,207,207,207,0,none,,,,0.0,157.2458,121.4425,158.7557,57.4866,0.0,594.0,387.36,0.0,1414.3831
fsm,1,path,,UNLABELED,143.31,331.29,158.47,303.69,15.16,27.6,418.4162,66.4482,61.1845,150.89,317.49,0.5493,26,1,0,1,rgb,207,207,207,0,none,,,,0.0,68.5228,26.3186,68.7757,22.6783,0.0,594.0,387.36,0.0,146.7303
fsm,2,path,,UNLABELED,142.02,318.58,192.76,267.8,50.74,50.78,2576.5774,698.2611,312.4564,167.39,293.19,0.9992,143,1,0,1,rgb,207,207,207,0,none,,,,0.0,54.1618,1.9231,159.0929,20.8208,0.0,594.0,387.36,0.0,1832.7785
fsm,3,path,,UNLABELED,210.22,316.5,296.92,86.44,86.7,230.06,19946.1976,4459.2991,965.5241,253.57,201.47,0.3769,382,1,0,1,rgb,207,207,207,0,none,,,,0.0,100.1827,12.8565,99.3441,70.09,0.0,594.0,387.36,0.0,9832.8823
fsm,4,path,,UNLABELED,269.71,286.01,307.3,255.33,37.59,30.68,1153.2608,120.3455,102.2817,288.505,270.67,1.2252,41,1,0,1,rgb,207,207,207,0,none,,,,0.0,33.3697,38.7332,26.8619,21.5783,0.0,594.0,387.36,0.0,379.8044
fsm,5,path,,UNLABELED,172.46,449.7,223.77,393.43,51.31,56.27,2887.213,1228.701,311.0777,198.115,421.565,0.9119,176,1,0,1,rgb,207,207,207,0,none,,,,0.0,44.1496,2.4528,8.2849,18.3212,0.0,594.0,387.36,0.0,2207.8551
fsm,6,path,,UNLABELED,201.44,476.55,246.71,314.06,45.27,162.49,7355.9208,965.1963,465.3246,224.075,395.305,0.2786,183,1,0,1,rgb,207,207,207,0,none,,,,0.0,97.7407,53.8067,98.7976,56.6869,0.0,594.0,387.36,0.0,4687.2259
fsm,7,path,,UNLABELED,251.1,382.86,291.53,357.37,40.43,25.49,1030.5607,261.1346,147.4608,271.315,370.115,1.5861,78,1,0,1,rgb,207,207,207,0,none,,,,0.0,165.1207,5.5712,98.1389,18.2236,0.0,594.0,387.36,0.0,728.38
fsm,8,path,,UNLABELED,288.27,383.35,309.75,360.04,21.48,23.31,500.6983,260.2898,130.9203,299.01,371.695,0.9215,16,1,0,1,rgb,207,207,207,0,none,,,,0.0,7.8058,1.5086,8.6627,19.3204,0.0,594.0,387.36,0.0,367.8625
fsm,9,path,,UNLABELED,245.63,174.56,259.55,144.44,13.92,30.12,419.2703,83.5544,104.6222,252.59,159.5,0.4622,80,1,0,1,rgb,207,207,207,0,none,,,,0.0,74.3837,3.8912,88.2141,8.9844,0.0,594.0,387.36,0.0,297.2059
fsm,10,path,,UNLABELED,230.94,156.55,245.77,141.19,14.83,15.36,227.7888,65.3957,73.9097,238.355,148.87,0.9655,53,1,0,1,rgb,207,207,207,0,none,,,,0.0,169.918,2.2583,88.2447,6.2029,0.0,594.0,387.36,0.0,170.0514
fsm,11,path,,UNLABELED,221.02,176.72,246.11,149.97,25.09,26.75,671.1574,180.3125,124.3907,233.565,163.345,0.9379,56,1,0,1,rgb,207,207,207,0,none,,,,0.0,142.4834,6.7748,176.7014,9.9064,0.0,594.0,387.36,0.0,437.8558
fsm,12,path,,UNLABELED,224.0,177.06,230.88,168.89,6.88,8.17,56.2097,35.3079,30.6441,227.44,172.975,0.8421,32,1,0,1,rgb,207,207,207,0,none,,,,0.0,37.849,1.1313,179.5004,6.8803,0.0,594.0,387.36,0.0,46.9119
fsm,13,path,,UNLABELED,223.98,165.72,230.85,164.31,6.87,1.41,9.6867,8.6562,9.3902,227.415,165.015,4.8723,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,178.7054,29.607,179.4994,6.8703,0.0,594.0,387.36,0.0,8.6562
fsm,14,path,,UNLABELED,230.85,172.41,234.7,164.19,3.85,8.22,31.6469,26.2848,20.5625,232.775,168.3,0.4684,16,1,0,1,rgb,207,207,207,0,none,,,,0.0,101.0343,4.5051,90.0,3.52,0.0,594.0,387.36,0.0,28.6531
fsm,15,path,,UNLABELED,234.02,171.72,239.77,164.01,5.75,7.71,44.3325,26.638,31.6119,236.895,167.865,0.7458,18,1,0,1,rgb,207,207,207,0,none,,,,0.0,121.1373,1.746,177.9747,5.0932,0.0,594.0,387.36,0.0,40.7187
fsm,16,path,,UNLABELED,239.07,171.54,246.69,163.76,7.62,7.78,59.2837,43.4628,38.6961,242.88,167.65,0.9794,12,1,0,1,rgb,207,207,207,0,none,,,,0.0,1.2631,1.1006,177.8204,7.6255,0.0,594.0,387.36,0.0,54.8776
fsm,17,path,,UNLABELED,235.32,194.86,245.65,187.3,10.33,7.56,78.0947,27.3891,23.9774,240.485,191.08,1.3664,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,150.7935,12.8895,153.6796,11.5248,0.0,594.0,387.36,0.0,27.3891
fsm,18,path,,UNLABELED,229.83,190.04,244.48,178.37,14.65,11.67,170.9658,75.0805,40.0629,237.155,184.205,1.2554,11,1,0,1,rgb,207,207,207,0,none,,,,0.0,157.0646,3.8255,153.7016,11.5338,0.0,594.0,387.36,0.0,89.5704
fsm,19,path,,UNLABELED,228.05,204.94,234.74,201.35,6.69,3.59,24.0171,16.7477,16.6799,231.395,203.145,1.8635,5,1,0,1,rgb,207,207,207,0,none,,,,0.0,174.0902,2.2733,0.0,6.24,0.0,594.0,387.36,0.0,16.7477
fsm,20,path,,UNLABELED,235.74,210.04,240.3,204.94,4.56,5.1,23.2561,11.614,10.6532,238.02,207.49,0.8941,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,118.2804,1.4841,131.0724,4.7488,0.0,594.0,387.36,0.0,11.614
fsm,21,path,,UNLABELED,223.26,216.83,238.47,211.48,15.21,5.35,81.3735,46.5989,35.8361,230.865,214.155,2.843,9,1,0,1,rgb,207,207,207,0,none,,,,0.0,176.5054,6.1157,4.7069,13.4052,0.0,594.0,387.36,0.0,48.518
fsm,22,path,,UNLABELED,225.48,225.35,238.26,218.08,12.78,7.27,92.9105,45.7825,34.3405,231.87,221.715,1.7579,7,1,0,1,rgb,207,207,207,0,none,,,,0.0,171.6358,7.9103,167.1299,13.1093,0.0,594.0,387.36,0.0,51.1539
fsm,23,path,,UNLABELED,226.89,233.51,235.55,229.05,8.66,4.46,38.6235,32.0427,16.1575,231.22,231.28,1.9417,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,172.9043,4.0941,0.0,7.97,0.0,594.0,387.36,0.0,32.0427
fsm,24,path,,UNLABELED,225.61,241.76,233.74,236.9,8.13,4.86,39.5116,33.0871,16.3434,229.675,239.33,1.6728,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,0.4992,2.8179,7.0387,7.426,0.0,594.0,387.36,0.0,33.0871
