airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
fwa,0,path,,UNLABELED,301.09,299.66,324.22,275.71,23.13,23.95,553.9632,66.1169,73.7074,312.655,287.685,0.9658,31,1,0,1,rgb,207,207,207,0,none,,,,0.0,49.5572,25.8383,45.2408,25.2369,0.0,594.0,387.36,0.0,164.0361
fwa,1,path,,UNLABELED,156.6,273.43,250.78,193.43,94.18,80.0,7534.4006,315.8339,302.2286,203.69,233.43,1.1773,64,1,0,1,rgb,207,207,207,0,none,,,,0.0,42.9206,56.7956,45.7635,93.3888,0.0,594.0,387.36,0.0,1496.5082
fwa,2,path,,UNLABELED,293.1,378.18,352.23,297.65,59.13,80.53,4761.7392,1759.6735,329.9837,322.665,337.915,0.7343,102,1,0,1,rgb,207,207,207,0,none,,,,0.0,93.6808,1.8719,45.732,36.5321,0.0,594.0,387.36,0.0,3093.9179
fwa,3,compound,,UNLABELED,23.42,273.57,209.2,142.97,185.78,130.6,24262.87,1757.0454,798.0108,116.31,208.27,1.4225,138,2,0,1,rgb,207,207,207,0,none,,,,0.0,27.1244,6.9024,135.7351,103.0693,0.0,594.0,387.36,0.0,9870.6027
fwa,4,path,,UNLABELED,163.54,457.72,169.43,451.83,5.89,5.89,34.6921,17.3462,12.4946,166.485,454.775,1.0,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,44.9998,1.0,45.1943,4.172,0.0,594.0,387.36,0.0,17.3462
fwa,5,path,,UNLABELED,328.88,385.49,336.72,377.66,7.84,7.83,61.3872,30.6991,16.6186,332.8,381.575,1.0013,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,22.8839,1.0036,45.7308,5.5442,0.0,594.0,387.36,0.0,30.6991
fwa,6,path,,UNLABELED,324.22,298.42,334.95,287.74,10.73,10.68,114.5968,45.6835,19.2972,329.585,293.08,1.0047,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,135.2824,6.9594,135.2954,10.9745,0.0,594.0,387.36,0.0,45.6835
fwa,7,path,,UNLABELED,93.29,142.97,100.21,136.02,6.92,6.95,48.0941,23.5103,13.9806,96.75,139.495,0.9957,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,45.7851,1.8302,45.7181,5.6432,0.0,594.0,387.36,0.0,23.5103
fwa,8,path,,UNLABELED,244.4,388.49,256.57,377.1,12.17,11.39,138.6164,36.7267,39.4442,250.485,382.795,1.0685,9,1,0,1,rgb,207,207,207,0,none,,,,0.0,117.671,1.1971,135.259,12.5159,0.0,594.0,387.36,0.0,69.2648
fwa,9,compound,,UNLABELED,169.43,461.89,329.33,340.7,159.9,121.19,19378.2825,1710.683,717.4913,249.38,401.295,1.3194,265,3,0,1,rgb,207,207,207,0,none,,,,0.0,147.4739,11.2161,135.2542,52.588,0.0,594.0,387.36,0.0,6739.6149
fwa,10,path,,UNLABELED,212.49,319.01,216.29,314.9,3.8,4.11,15.618,11.0478,17.1229,214.39,316.955,0.9246,19,1,0,1,rgb,207,207,207,0,none,,,,0.0,48.5334,1.7146,0.0,3.4,0.0,594.0,387.36,0.0,13.876
fwa,11,path,,UNLABELED,247.81,319.39,253.52,313.13,5.71,6.26,35.7447,0.9921,16.9635,250.665,316.26,0.9121,5,1,0,1,rgb,207,207,207,0,none,,,,0.0,46.9033,1665.6348,47.6308,8.473,0.0,594.0,387.36,0.0,1.0167
fwa,12,path,,UNLABELED,253.52,339.18,278.77,319.39,25.25,19.79,499.698,67.3935,83.7262,266.145,329.285,1.2759,24,1,0,1,rgb,207,207,207,0,none,,,,0.0,32.4282,3.1253,45.7252,15.0838,0.0,594.0,387.36,0.0,223.284
fwa,13,path,,UNLABELED,243.53,313.13,247.81,308.78,4.28,4.35,18.618,0.4981,12.2155,245.67,310.955,0.9839,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,46.0169,1652.6425,45.4648,6.1025,0.0,594.0,387.36,0.0,0.4981
fwa,14,path,,UNLABELED,247.06,317.51,252.13,312.5,5.07,5.01,25.4008,0.0,7.1278,249.595,315.005,1.012,2,1,0,0,none,,,,1,rgb,207,207,207,0.39,44.659,1000000.0,44.659,7.1278,0.0,594.0,387.36,0.0,0.0
fwa,15,compound,,UNLABELED,199.16,377.47,278.89,276.04,79.73,101.43,8087.0144,1204.312,667.8068,239.025,326.755,0.7861,177,2,0,1,rgb,207,207,207,0,none,,,,0.0,62.2553,2.4516,135.4312,26.3051,0.0,594.0,387.36,0.0,4261.9283
