airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
fyv,0,path,,UNLABELED,248.41,433.75,285.08,390.3,36.67,43.45,1593.3113,1561.7362,122.4261,266.745,412.025,0.844,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,89.422,1.4138,89.4282,43.0921,0.0,594.0,387.36,0.0,1561.7362
fyv,1,path,,UNLABELED,186.51,393.97,250.42,374.52,63.91,19.45,1243.0494,184.8595,133.55,218.465,384.245,3.2859,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,14.8166,534.1366,14.8207,65.3646,0.0,594.0,387.36,0.0,184.8595
fyv,2,path,,UNLABELED,234.86,395.63,242.5,389.43,7.64,6.2,47.368,46.5276,21.4832,238.68,392.53,1.2323,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,177.7395,1.5751,178.3506,7.6432,0.0,594.0,387.36,0.0,46.5276
fyv,3,path,,UNLABELED,157.04,376.1,183.34,367.24,26.3,8.86,233.018,91.6368,56.5266,170.19,371.67,2.9684,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,11.8796,58.3992,11.947,26.8107,0.0,594.0,387.36,0.0,91.6368
fyv,4,path,,UNLABELED,199.34,213.04,215.19,206.77,15.85,6.27,99.3798,48.5927,34.2241,207.265,209.905,2.5279,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,11.9201,24.9124,11.7279,15.5956,0.0,594.0,387.36,0.0,48.5927
fyv,5,path,,UNLABELED,166.48,483.88,203.16,379.49,36.68,104.39,3829.0244,361.9176,241.1531,184.82,431.685,0.3514,21,1,0,1,rgb,207,207,207,0,none,,,,0.0,103.8805,46.3924,101.1122,98.3234,0.0,594.0,387.36,0.0,1050.1527
fyv,6,path,,UNLABELED,272.62,390.44,283.81,381.87,11.19,8.57,95.8982,40.7625,33.0119,278.215,386.155,1.3057,17,1,0,1,rgb,207,207,207,0,none,,,,0.0,28.9949,3.5533,16.1316,8.026,0.0,594.0,387.36,0.0,53.2721
fyv,7,path,,UNLABELED,199.7,212.1,203.15,204.77,3.45,7.33,25.2884,11.047,17.5929,201.425,208.435,0.4707,13,1,0,1,rgb,207,207,207,0,none,,,,0.0,105.1665,7.6978,111.7751,4.0166,0.0,594.0,387.36,0.0,13.5576
fyv,8,path,,UNLABELED,179.95,292.59,183.34,284.82,3.39,7.77,26.3403,13.538,18.5365,181.645,288.705,0.4363,12,1,0,1,rgb,207,207,207,0,none,,,,0.0,100.6413,7.4897,115.7008,4.1506,0.0,594.0,387.36,0.0,16.0168
fyv,9,path,,UNLABELED,182.48,291.08,182.5,291.04,0.02,0.04,0.0008,0.0005,0.1002,182.49,291.06,0.5,5,1,0,1,rgb,207,207,207,0,none,,,,0.0,96.3904,3.9227,90.0,0.04,0.0,594.0,387.36,0.0,0.0005
