airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
gdv,0,path,,UNLABELED,92.06,447.14,137.58,361.66,45.52,85.48,3891.0505,211.2922,211.1367,114.82,404.4,0.5325,31,1,0,1,rgb,207,207,207,0,none,,,,0.0,116.6627,38.7698,122.4578,75.7064,0.0,594.0,387.36,0.0,1190.3752
gdv,1,path,,UNLABELED,135.23,364.64,333.65,194.99,198.42,169.65,33661.9575,1534.0113,870.9513,234.44,279.815,1.1696,193,1,0,1,rgb,207,207,207,0,none,,,,0.0,141.8692,66.1865,139.9779,132.829,0.0,594.0,387.36,0.0,9969.4019
gdv,2,path,,UNLABELED,343.25,543.94,364.87,520.3,21.62,23.64,511.0967,511.0967,90.52,354.06,532.12,0.9146,5,1,0,0,none,,,,1,rgb,0,0,0,0.39,120.8901,1.4643,90.0,23.64,0.0,594.0,387.36,0.0,511.0967
gdv,3,compound,,UNLABELED,231.09,109.19,234.24,104.34,3.15,4.85,15.2776,5.7365,22.4416,232.665,106.765,0.6495,98,2,0,1,rgb,0,0,0,0,none,,,,0.0,89.9959,2.635,74.9817,0.4245,0.0,594.0,387.36,0.0,12.1911
gdv,4,path,,UNLABELED,234.97,105.02,235.65,104.34,0.68,0.68,0.4624,0.352,2.1179,235.31,104.68,1.0,17,1,0,1,rgb,0,0,0,0,none,,,,0.0,90.2385,1.1038,53.9684,0.136,0.0,594.0,387.36,0.0,0.352
gdv,5,path,,UNLABELED,236.96,109.02,238.28,104.43,1.32,4.59,6.0588,2.7132,11.5921,237.62,106.725,0.2876,7,1,0,1,rgb,0,0,0,0,none,,,,0.0,95.2885,22.5558,90.0,4.59,0.0,594.0,387.36,0.0,4.3452
gdv,6,compound,,UNLABELED,240.05,109.03,242.12,106.96,2.07,2.07,4.2849,2.4058,10.0317,241.085,107.995,1.0,34,2,0,1,rgb,0,0,0,0,none,,,,0.0,90.0929,1.1152,10.7826,0.4275,0.0,594.0,387.36,0.0,3.3609
gdv,7,path,,UNLABELED,244.08,109.19,250.55,104.25,6.47,4.94,31.9618,9.0172,33.0759,247.315,106.72,1.3097,11,1,0,1,rgb,0,0,0,0,none,,,,0.0,153.2437,1.2644,67.971,5.1457,0.0,594.0,387.36,0.0,22.2296
gdv,8,compound,,UNLABELED,202.32,115.56,206.75,110.73,4.43,4.83,21.3969,5.9903,22.3405,204.535,113.145,0.9172,12,2,0,1,rgb,0,0,0,0,none,,,,0.0,89.8879,1.2328,65.3153,5.3158,0.0,594.0,387.36,0.0,10.6985
gdv,9,path,,UNLABELED,207.14,115.54,211.15,110.54,4.01,5.0,20.05,7.4939,27.5319,209.145,113.04,0.802,9,1,0,1,rgb,0,0,0,0,none,,,,0.0,67.4805,1.7555,133.053,4.995,0.0,594.0,387.36,0.0,19.2279
gdv,10,path,,UNLABELED,211.96,115.54,215.96,110.54,4.0,5.0,20.0,7.4636,27.5151,213.96,113.04,0.8,9,1,0,1,rgb,0,0,0,0,none,,,,0.0,67.6248,1.7603,133.0531,4.9951,0.0,594.0,387.36,0.0,19.18
gdv,11,path,,UNLABELED,216.68,115.32,220.09,110.64,3.41,4.68,15.9588,6.0838,22.1288,218.385,112.98,0.7286,51,1,0,1,rgb,0,0,0,0,none,,,,0.0,105.6142,1.3751,90.0,2.9,0.0,594.0,387.36,0.0,14.7471
gdv,12,compound,,UNLABELED,220.36,115.56,224.79,110.73,4.43,4.83,21.3969,5.9963,22.3465,222.575,113.145,0.9172,12,2,0,1,rgb,0,0,0,0,none,,,,0.0,90.3942,1.2342,114.6847,5.3158,0.0,594.0,387.36,0.0,10.6985
gdv,13,path,,UNLABELED,225.18,115.32,227.18,110.73,2.0,4.59,9.18,3.468,13.18,226.18,113.025,0.4357,7,1,0,1,rgb,0,0,0,0,none,,,,0.0,100.5139,10.2443,90.0,4.59,0.0,594.0,387.36,0.0,6.324
gdv,14,compound,,UNLABELED,229.31,115.32,232.21,110.73,2.9,4.59,13.311,6.453,23.4204,230.76,113.025,0.6318,45,2,0,1,rgb,0,0,0,0,none,,,,0.0,92.1342,3.0624,90.0,4.59,0.0,594.0,387.36,0.0,11.914
gdv,15,compound,,UNLABELED,232.13,115.56,236.55,110.73,4.42,4.83,21.3487,5.9721,22.3323,234.34,113.145,0.9151,12,2,0,1,rgb,0,0,0,0,none,,,,0.0,90.2186,1.2367,114.5868,5.3116,0.0,594.0,387.36,0.0,10.6743
gdv,16,path,,UNLABELED,236.53,115.32,239.32,110.73,2.79,4.59,12.8061,3.8301,14.76,237.925,113.025,0.6078,9,1,0,1,rgb,0,0,0,0,none,,,,0.0,89.3276,3.4302,90.0,4.08,0.0,594.0,387.36,0.0,8.3181
gdv,17,path,,UNLABELED,239.74,115.32,242.25,110.73,2.51,4.59,11.5209,5.6642,21.7199,240.995,113.025,0.5468,13,1,0,1,rgb,0,0,0,0,none,,,,0.0,82.3999,2.6469,90.0,4.59,0.0,594.0,387.36,0.0,11.5209
gdv,18,compound,,UNLABELED,244.37,115.49,249.22,110.64,4.85,4.85,23.5225,7.4956,27.0502,246.795,113.065,1.0,114,2,0,1,rgb,0,0,0,0,none,,,,0.0,90.0973,1.0731,51.5814,0.3701,0.0,594.0,387.36,0.0,18.5183
gdv,19,path,,UNLABELED,249.78,115.32,252.04,110.73,2.26,4.59,10.3734,4.4378,16.92,250.91,113.025,0.4924,11,1,0,1,rgb,0,0,0,0,none,,,,0.0,71.8873,3.8983,90.0,4.59,0.0,594.0,387.36,0.0,8.3707
gdv,20,path,,UNLABELED,254.2,115.49,257.85,110.64,3.65,4.85,17.7024,5.1164,20.0716,256.025,113.065,0.7526,75,1,0,1,rgb,0,0,0,0,none,,,,0.0,87.3296,2.3185,90.0,0.68,0.0,594.0,387.36,0.0,14.8999
gdv,21,path,,UNLABELED,258.51,115.32,261.83,110.73,3.32,4.59,15.2388,6.5484,23.98,260.17,113.025,0.7233,13,1,0,1,rgb,0,0,0,0,none,,,,0.0,90.9619,2.0159,90.0,4.59,0.0,594.0,387.36,0.0,15.2388
gdv,22,compound,,UNLABELED,262.14,115.56,266.57,110.73,4.43,4.83,21.3969,5.9962,22.3466,264.355,113.145,0.9172,12,2,0,1,rgb,0,0,0,0,none,,,,0.0,90.3939,1.2342,114.6847,5.3158,0.0,594.0,387.36,0.0,10.6985
gdv,23,path,,UNLABELED,266.96,115.54,270.96,110.54,4.0,5.0,20.0,7.48,27.5182,268.96,113.04,0.8,9,1,0,1,rgb,0,0,0,0,none,,,,0.0,67.6896,1.7624,132.9691,4.9882,0.0,594.0,387.36,0.0,19.18
gdv,24,path,,UNLABELED,271.52,115.49,275.94,110.64,4.42,4.85,21.4371,7.0457,26.8505,273.73,113.065,0.9113,100,1,0,1,rgb,0,0,0,0,none,,,,0.0,97.4252,1.4433,0.0,1.76,0.0,594.0,387.36,0.0,17.1788
gdv,25,path,,UNLABELED,276.55,115.32,279.06,110.73,2.51,4.59,11.5209,5.6642,21.72,277.805,113.025,0.5468,13,1,0,1,rgb,0,0,0,0,none,,,,0.0,82.3998,2.6468,90.0,4.59,0.0,594.0,387.36,0.0,11.5209
gdv,26,path,,UNLABELED,219.5,121.62,221.49,116.94,1.99,4.68,9.3131,3.1987,12.3167,220.495,119.28,0.4252,31,1,0,1,rgb,0,0,0,0,none,,,,0.0,77.0982,7.8648,90.0,2.91,0.0,594.0,387.36,0.0,5.769
gdv,27,compound,,UNLABELED,221.75,121.86,226.18,117.03,4.43,4.83,21.3969,5.9903,22.3405,223.965,119.445,0.9172,12,2,0,1,rgb,0,0,0,0,none,,,,0.0,89.8879,1.2328,65.3153,5.3158,0.0,594.0,387.36,0.0,10.6985
gdv,28,path,,UNLABELED,226.57,121.85,230.57,116.84,4.0,5.01,20.04,7.4814,27.5324,228.57,119.345,0.7984,9,1,0,1,rgb,0,0,0,0,none,,,,0.0,67.6804,1.7601,132.9691,4.9882,0.0,594.0,387.36,0.0,19.2
gdv,29,path,,UNLABELED,231.3,121.62,234.71,116.94,3.41,4.68,15.9588,6.0821,22.1187,233.005,119.28,0.7286,51,1,0,1,rgb,0,0,0,0,none,,,,0.0,105.4026,1.3712,90.0,2.9,0.0,594.0,387.36,0.0,14.7401
