airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
gky,0,path,,UNLABELED,168.32,472.9,273.37,353.24,105.05,119.66,12570.2819,908.1475,518.6294,220.845,413.07,0.8779,58,1,0,1,rgb,207,207,207,0,none,,,,0.0,115.9877,3.2025,101.8383,100.1706,0.0,594.0,387.36,0.0,6801.7797
gky,1,path,,UNLABELED,203.02,367.93,255.99,293.5,52.97,74.43,3942.5557,1889.2628,262.0951,229.505,330.715,0.7117,28,1,0,1,rgb,207,207,207,0,none,,,,0.0,59.4324,3.745,102.1539,43.2699,0.0,594.0,387.36,0.0,2844.3989
gky,2,path,,UNLABELED,246.19,363.95,262.53,346.06,16.34,17.89,292.3225,218.5512,51.1209,254.36,355.005,0.9134,7,1,0,1,rgb,207,207,207,0,none,,,,0.0,123.2181,1.9922,87.334,17.6291,0.0,594.0,387.36,0.0,232.5258
gky,3,path,,UNLABELED,217.42,240.77,271.3,187.38,53.88,53.39,2876.6534,860.086,253.8846,244.36,214.075,1.0092,33,1,0,1,rgb,207,207,207,0,none,,,,0.0,123.6192,6.924,102.0404,44.1513,0.0,594.0,387.36,0.0,1644.2533
gky,4,path,,UNLABELED,222.63,300.35,269.62,226.04,46.99,74.31,3491.8283,2441.5308,200.0415,246.125,263.195,0.6324,16,1,0,1,rgb,207,207,207,0,none,,,,0.0,87.7041,4.0926,101.8043,53.8692,0.0,594.0,387.36,0.0,2660.7277
gky,5,compound,,UNLABELED,93.62,467.3,225.7,165.33,132.08,301.97,39884.1976,4789.6664,1121.8491,159.66,316.315,0.4374,127,3,0,1,rgb,207,207,207,0,none,,,,0.0,103.8242,27.1656,101.9024,107.1538,0.0,594.0,387.36,0.0,18971.6763
gky,6,path,,UNLABELED,229.39,194.12,277.18,160.82,47.79,33.3,1591.4077,775.7697,197.3119,253.285,177.47,1.4351,46,1,0,1,rgb,207,207,207,0,none,,,,0.0,13.5642,1.9507,102.0546,27.9156,0.0,594.0,387.36,0.0,1091.4886
gky,7,path,,UNLABELED,244.68,166.82,283.07,101.14,38.39,65.68,2521.4549,931.5001,265.2441,263.875,133.98,0.5845,35,1,0,1,rgb,207,207,207,0,none,,,,0.0,77.9603,3.66,102.3173,50.5332,0.0,594.0,387.36,0.0,1816.8543
gky,8,path,,UNLABELED,261.49,123.99,268.79,109.54,7.3,14.45,105.4849,55.5202,34.6709,265.14,116.765,0.5052,6,1,0,1,rgb,207,207,207,0,none,,,,0.0,96.6066,4.9687,101.31,14.7362,0.0,594.0,387.36,0.0,55.5202
gky,9,path,,UNLABELED,263.44,146.69,311.45,127.05,48.01,19.64,942.9158,248.6222,174.1813,287.445,136.87,2.4445,16,1,0,1,rgb,207,207,207,0,none,,,,0.0,14.0146,15.7699,11.3288,29.6783,0.0,594.0,387.36,0.0,483.2259
gky,10,path,,UNLABELED,265.18,185.24,275.25,174.87,10.07,10.37,104.4259,70.8478,25.4614,270.215,180.055,0.9711,4,1,0,1,rgb,0,0,0,0,none,,,,0.0,104.0816,1.1029,104.1488,8.6319,0.0,594.0,387.36,0.0,70.8478
gky,11,compound,,UNLABELED,307.36,423.85,310.51,419.0,3.15,4.85,15.2775,5.7384,22.4416,308.935,421.425,0.6495,98,2,0,1,rgb,0,0,0,0,none,,,,0.0,89.9985,2.6285,74.9837,0.4245,0.0,594.0,387.36,0.0,12.1951
gky,12,path,,UNLABELED,311.24,419.68,311.92,419.0,0.68,0.68,0.4624,0.353,2.1208,311.58,419.34,1.0,17,1,0,1,rgb,0,0,0,0,none,,,,0.0,90.5048,1.0976,12.0931,0.1432,0.0,594.0,387.36,0.0,0.353
gky,13,path,,UNLABELED,313.23,423.68,314.55,419.09,1.32,4.59,6.0588,2.6724,11.5921,313.89,421.385,0.2876,7,1,0,1,rgb,0,0,0,0,none,,,,0.0,95.3114,22.5512,90.0,4.59,0.0,594.0,387.36,0.0,4.3248
