airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
gsp,0,path,,UNLABELED,246.19,359.32,252.53,352.53,6.34,6.79,43.0485,17.7385,17.7859,249.36,355.925,0.9337,7,1,0,1,rgb,207,207,207,0,none,,,,0.0,56.8481,2.779,57.8925,7.7327,0.0,594.0,387.36,0.0,22.1219
gsp,1,path,,UNLABELED,243.58,368.74,283.12,327.6,39.54,41.14,1626.6741,888.4482,114.2733,263.35,348.17,0.9611,17,1,0,1,rgb,207,207,207,0,none,,,,0.0,118.3653,1.6129,148.1887,25.9711,0.0,594.0,387.36,0.0,929.1827
gsp,2,compound,,UNLABELED,68.49,410.2,303.9,109.43,235.41,300.77,70804.2596,4701.6132,1707.2754,186.195,259.815,0.7827,370,10,0,1,rgb,207,207,207,0,none,,,,0.0,56.8438,62.4404,57.8817,96.2629,0.0,594.0,387.36,0.0,17135.7904
gsp,3,path,,UNLABELED,114.53,510.99,326.73,510.99,212.2,0.0,0.0,0.0,212.2,220.63,510.99,0.0,2,1,0,0,none,,,,1,rgb,0,0,0,0.42,0.0,1000000.0,0.0,212.2,0.0,594.0,387.36,0.0,0.0
gsp,4,path,,UNLABELED,114.64,525.57,118.56,520.34,3.92,5.23,20.5016,5.9283,21.5977,116.6,522.955,0.7495,75,1,0,1,rgb,0,0,0,0,none,,,,0.0,87.3174,2.3165,90.0,0.73,0.0,594.0,387.36,0.0,17.2695
gsp,5,compound,,UNLABELED,118.94,525.64,123.71,520.43,4.77,5.21,24.8517,6.9773,24.073,121.325,523.035,0.9155,12,2,0,1,rgb,0,0,0,0,none,,,,0.0,89.9571,1.2393,65.3575,5.732,0.0,594.0,387.36,0.0,12.4258
gsp,6,path,,UNLABELED,124.26,525.38,127.93,520.34,3.67,5.04,18.4968,7.0536,23.8354,126.095,522.86,0.7282,51,1,0,1,rgb,0,0,0,0,none,,,,0.0,105.3955,1.3758,90.0,3.13,0.0,594.0,387.36,0.0,17.1038
gsp,7,path,,UNLABELED,128.53,525.38,131.54,520.43,3.01,4.95,14.8995,4.4715,15.92,130.035,522.905,0.6081,9,1,0,1,rgb,0,0,0,0,none,,,,0.0,89.3792,3.4249,90.0,4.4,0.0,594.0,387.36,0.0,9.6855
gsp,8,path,,UNLABELED,132.21,525.38,132.85,520.43,0.64,4.95,3.168,3.168,11.18,132.53,522.905,0.1293,5,1,0,1,rgb,0,0,0,0,none,,,,0.0,88.7452,61.5879,90.0,4.95,0.0,594.0,387.36,0.0,3.168
gsp,9,compound,,UNLABELED,133.59,525.57,138.81,520.34,5.22,5.23,27.3006,8.6835,29.1242,136.2,522.955,0.9981,114,2,0,1,rgb,0,0,0,0,none,,,,0.0,90.1209,1.0723,61.5039,0.3982,0.0,594.0,387.36,0.0,21.4642
gsp,10,path,,UNLABELED,139.64,525.62,143.95,520.23,4.31,5.39,23.2309,8.673,29.6561,141.795,522.925,0.7996,9,1,0,1,rgb,0,0,0,0,none,,,,0.0,67.6099,1.7625,133.0406,5.3772,0.0,594.0,387.36,0.0,22.2827
gsp,11,path,,UNLABELED,145.13,521.07,145.86,520.34,0.73,0.73,0.5329,0.4055,2.2727,145.495,520.705,1.0,17,1,0,1,rgb,0,0,0,0,none,,,,0.0,89.3154,1.118,101.3094,0.153,0.0,594.0,387.36,0.0,0.4055
gsp,12,path,,UNLABELED,145.13,523.73,145.86,523.0,0.73,0.73,0.5329,0.4044,2.2696,145.495,523.365,1.0,17,1,0,1,rgb,0,0,0,0,none,,,,0.0,89.28,1.1135,101.3094,0.153,0.0,594.0,387.36,0.0,0.4044
gsp,13,compound,,UNLABELED,149.28,525.38,152.13,520.43,2.85,4.95,14.1075,7.6614,25.4619,150.705,522.905,0.5758,77,3,0,1,rgb,0,0,0,0,none,,,,0.0,96.1209,4.6729,90.0,4.95,0.0,594.0,387.36,0.0,12.1891
gsp,14,path,,UNLABELED,153.03,525.38,155.73,520.43,2.7,4.95,13.365,6.534,23.42,154.38,522.905,0.5455,13,1,0,1,rgb,0,0,0,0,none,,,,0.0,82.4239,2.6518,90.0,4.95,0.0,594.0,387.36,0.0,13.365
gsp,15,compound,,UNLABELED,158.26,525.64,163.03,520.43,4.77,5.21,24.8517,6.9774,24.073,160.645,523.035,0.9155,12,2,0,1,rgb,0,0,0,0,none,,,,0.0,89.9573,1.2393,65.3575,5.732,0.0,594.0,387.36,0.0,12.4259
gsp,16,path,,UNLABELED,163.67,525.38,165.82,520.43,2.15,4.95,10.6425,3.9985,14.2,164.745,522.905,0.4343,7,1,0,1,rgb,0,0,0,0,none,,,,0.0,100.5038,10.3054,90.0,4.95,0.0,594.0,387.36,0.0,7.3205
gsp,17,path,,UNLABELED,166.43,525.38,169.12,520.43,2.69,4.95,13.3155,6.5175,23.36,167.775,522.905,0.5434,13,1,0,1,rgb,0,0,0,0,none,,,,0.0,82.4848,2.6734,90.0,4.95,0.0,594.0,387.36,0.0,13.3155
gsp,18,compound,,UNLABELED,170.08,525.38,173.21,520.43,3.13,4.95,15.4935,7.4536,25.2883,171.645,522.905,0.6323,45,2,0,1,rgb,0,0,0,0,none,,,,0.0,92.1302,3.0553,90.0,4.95,0.0,594.0,387.36,0.0,13.8513
gsp,19,path,,UNLABELED,173.43,525.38,176.44,520.43,3.01,4.95,14.8995,4.4715,15.92,174.935,522.905,0.6081,9,1,0,1,rgb,0,0,0,0,none,,,,0.0,89.3792,3.4249,90.0,4.4,0.0,594.0,387.36,0.0,9.6855
gsp,20,path,,UNLABELED,178.78,525.38,181.79,520.43,3.01,4.95,14.8995,4.4715,15.92,180.285,522.905,0.6081,9,1,0,1,rgb,0,0,0,0,none,,,,0.0,89.3792,3.4249,90.0,4.4,0.0,594.0,387.36,0.0,9.6855
gsp,21,compound,,UNLABELED,182.09,525.57,187.32,520.34,5.23,5.23,27.3529,8.6761,29.1256,184.705,522.955,1.0,114,2,0,1,rgb,0,0,0,0,none,,,,0.0,90.0482,1.0721,118.4961,0.3982,0.0,594.0,387.36,0.0,21.4617
gsp,22,compound,,UNLABELED,190.26,525.38,193.39,520.43,3.13,4.95,15.4935,7.492,25.2822,191.825,522.905,0.6323,45,2,0,1,rgb,0,0,0,0,none,,,,0.0,92.1038,3.0636,90.0,4.95,0.0,594.0,387.36,0.0,13.8734
gsp,23,path,,UNLABELED,193.97,525.38,197.64,520.34,3.67,5.04,18.4968,7.0538,23.8342,195.805,522.86,0.7282,51,1,0,1,rgb,0,0,0,0,none,,,,0.0,105.4553,1.376,90.0,3.13,0.0,594.0,387.36,0.0,17.1036
gsp,24,path,,UNLABELED,198.7,525.62,203.01,520.23,4.31,5.39,23.2309,8.673,29.6561,200.855,522.925,0.7996,9,1,0,1,rgb,0,0,0,0,none,,,,0.0,67.6099,1.7625,133.0406,5.3772,0.0,594.0,387.36,0.0,22.2827
gsp,25,path,,UNLABELED,203.55,525.57,210.52,520.25,6.97,5.32,37.0804,10.453,35.6087,207.035,522.91,1.3102,11,1,0,1,rgb,0,0,0,0,none,,,,0.0,153.4264,1.2659,67.9295,5.5356,0.0,594.0,387.36,0.0,25.7735
gsp,26,compound,,UNLABELED,210.54,525.64,215.31,520.43,4.77,5.21,24.8517,6.9774,24.073,212.925,523.035,0.9155,12,2,0,1,rgb,0,0,0,0,none,,,,0.0,89.9573,1.2393,65.3575,5.732,0.0,594.0,387.36,0.0,12.4259
gsp,27,path,,UNLABELED,215.43,525.38,219.32,520.43,3.89,4.95,19.2555,5.0906,17.6742,217.375,522.905,0.7859,10,1,0,1,rgb,0,0,0,0,none,,,,0.0,89.3956,3.1641,59.3435,3.1968,0.0,594.0,387.36,0.0,11.2117
gsp,28,path,,UNLABELED,221.8,525.57,225.72,520.34,3.92,5.23,20.5016,5.9267,21.5976,223.76,522.955,0.7495,75,1,0,1,rgb,0,0,0,0,none,,,,0.0,87.338,2.3173,90.0,0.73,0.0,594.0,387.36,0.0,17.2687
gsp,29,compound,,UNLABELED,226.65,525.38,229.78,520.43,3.13,4.95,15.4935,7.4536,25.2883,228.215,522.905,0.6323,45,2,0,1,rgb,0,0,0,0,none,,,,0.0,92.1302,3.0553,90.0,4.95,0.0,594.0,387.36,0.0,13.8513
gsp,30,compound,,UNLABELED,230.09,525.57,235.31,520.34,5.22,5.23,27.3006,8.6852,29.1227,232.7,522.955,0.9981,114,2,0,1,rgb,0,0,0,0,none,,,,0.0,89.9728,1.0725,62.7828,0.3936,0.0,594.0,387.36,0.0,21.4627
gsp,31,path,,UNLABELED,235.91,525.57,239.07,520.34,3.16,5.23,16.5268,6.2833,22.0891,237.49,522.955,0.6042,91,1,0,1,rgb,0,0,0,0,none,,,,0.0,91.7677,3.6146,12.339,0.6551,0.0,594.0,387.36,0.0,13.8755
