airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
hfd,0,path,,UNLABELED,218.33,471.76,277.99,110.04,59.66,361.72,21580.2166,1091.9981,734.407,248.16,290.9,0.1649,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,81.0801,15000.8602,81.0793,365.7137,0.0,594.0,387.36,0.0,1091.9981
hfd,1,path,,UNLABELED,213.14,128.27,221.36,112.42,8.22,15.85,130.2871,89.329,26.9275,217.25,120.345,0.5186,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,80.9391,6.5215,80.9307,15.0988,0.0,594.0,387.36,0.0,89.329
hfd,2,path,,UNLABELED,213.79,345.8,245.86,162.57,32.07,183.23,5876.1845,688.3711,373.4301,229.825,254.185,0.175,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,81.1655,2464.1185,81.1655,184.8531,0.0,594.0,387.36,0.0,688.3711
hfd,3,path,,UNLABELED,68.13,187.99,228.64,159.61,160.51,28.38,4555.2742,549.4165,327.203,148.385,173.8,5.6557,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,171.1073,2276.8718,171.0989,161.9605,0.0,594.0,387.36,0.0,549.4165
hfd,4,path,,UNLABELED,60.78,188.09,68.6,177.5,7.82,10.59,82.8138,40.8541,30.4251,64.69,182.795,0.7384,13,1,0,1,rgb,207,207,207,0,none,,,,0.0,57.8807,4.8275,81.065,5.5372,0.0,594.0,387.36,0.0,49.5888
hfd,5,path,,UNLABELED,229.07,176.69,251.98,153.78,22.91,22.91,524.8679,86.9337,61.8506,240.525,165.235,1.0,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,134.9937,99.4981,134.9862,29.451,0.0,594.0,387.36,0.0,86.9337
hfd,6,path,,UNLABELED,240.67,453.6,250.18,437.75,9.51,15.85,150.7335,108.9073,37.1781,245.425,445.675,0.6,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,81.0225,4.2104,81.1111,14.9496,0.0,594.0,387.36,0.0,108.9073
hfd,7,path,,UNLABELED,179.78,374.48,234.76,248.53,54.98,125.95,6924.7303,3956.6684,292.2637,207.27,311.505,0.4365,11,1,0,1,rgb,207,207,207,0,none,,,,0.0,77.0248,11.6683,81.1233,111.1412,0.0,594.0,387.36,0.0,4287.0545
hfd,8,path,,UNLABELED,143.18,173.09,153.77,164.08,10.59,9.01,95.4156,37.2033,31.5324,148.475,168.585,1.1754,20,1,0,1,rgb,207,207,207,0,none,,,,0.0,12.1911,1.0799,171.8779,10.2629,0.0,594.0,387.36,0.0,70.5823
hfd,9,path,,UNLABELED,212.78,166.46,219.13,163.5,6.35,2.96,18.796,13.5488,13.7851,215.955,164.98,2.1453,5,1,0,1,rgb,207,207,207,0,none,,,,0.0,0.4242,4.8296,4.9322,5.932,0.0,594.0,387.36,0.0,13.5488
hfd,10,path,,UNLABELED,221.65,147.36,229.0,143.62,7.35,3.74,27.489,13.5498,17.7853,225.325,145.49,1.9652,14,1,0,1,rgb,207,207,207,0,none,,,,0.0,169.1426,7.6146,171.1075,7.4394,0.0,594.0,387.36,0.0,15.2489
hfd,11,path,,UNLABELED,244.99,162.93,248.16,151.9,3.17,11.03,34.9651,16.4662,23.8128,246.575,157.415,0.2874,11,1,0,1,rgb,207,207,207,0,none,,,,0.0,84.5139,19.9318,82.0976,9.9646,0.0,594.0,387.36,0.0,19.0636
hfd,12,path,,UNLABELED,229.86,178.71,234.26,170.49,4.4,8.22,36.1681,17.3227,20.7921,232.06,174.6,0.5353,15,1,0,1,rgb,207,207,207,0,none,,,,0.0,83.6766,6.5165,77.6484,8.4148,0.0,594.0,387.36,0.0,18.9705
hfd,13,path,,UNLABELED,234.4,104.49,240.81,99.08,6.41,5.41,34.6781,19.245,13.8422,237.605,101.785,1.1848,8,1,0,1,rgb,207,207,207,0,none,,,,0.0,150.0713,2.1107,162.2596,5.2181,0.0,594.0,387.36,0.0,21.4158
hfd,14,path,,UNLABELED,221.58,292.55,268.48,274.83,46.9,17.72,831.0682,276.2239,124.8129,245.03,283.69,2.6467,65,1,0,1,rgb,207,207,207,0,none,,,,0.0,172.2191,13.634,76.5689,8.9549,0.0,594.0,387.36,0.0,529.0996
hfd,15,path,,UNLABELED,231.52,353.15,277.85,332.33,46.33,20.82,964.5907,365.2886,126.5012,254.685,342.74,2.2253,53,1,0,1,rgb,207,207,207,0,none,,,,0.0,174.7842,7.9872,170.0247,11.1993,0.0,594.0,387.36,0.0,637.5973
hfd,16,path,,UNLABELED,290.53,465.34,296.37,457.27,5.84,8.07,47.1288,16.4218,22.0982,293.45,461.305,0.7237,8,1,0,1,rgb,207,207,207,0,none,,,,0.0,101.3251,3.8329,177.2674,4.405,0.0,594.0,387.36,0.0,23.8301
hfd,17,path,,UNLABELED,271.51,468.37,281.02,462.68,9.51,5.69,54.112,24.3024,22.52,276.265,465.525,1.6714,10,1,0,1,rgb,207,207,207,0,none,,,,0.0,19.9062,6.9875,15.0532,9.7029,0.0,594.0,387.36,0.0,28.7082
hfd,18,path,,UNLABELED,219.92,115.37,226.04,108.67,6.12,6.7,41.0039,20.9786,15.2023,222.98,112.02,0.9134,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,124.6356,3.5439,127.3013,7.9702,0.0,594.0,387.36,0.0,20.9786
hfd,19,path,,UNLABELED,221.79,165.09,230.22,151.33,8.43,13.76,115.9967,49.5643,33.964,226.005,158.21,0.6126,25,1,0,1,rgb,207,207,207,0,none,,,,0.0,102.2248,4.3,97.3103,9.5879,0.0,594.0,387.36,0.0,78.0515
