airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
hff,0,path,,UNLABELED,72.131,205.736,128.916,171.308,56.785,34.428,1954.9946,959.1098,139.0598,100.5235,188.522,1.6494,14,1,0,1,rgb,230,230,230,0,none,,,,0.0,161.3251,9.0842,160.727,40.7551,0.0,593.0,387.0,0.0,969.77
hff,1,path,,UNLABELED,338.976,238.237,347.437,227.341,8.461,10.896,92.191,56.1075,27.3878,343.2065,232.789,0.7765,8,1,0,1,rgb,230,230,230,0,none,,,,0.0,105.7446,3.3848,106.855,9.6223,0.0,593.0,387.0,0.0,56.3034
hff,2,path,,UNLABELED,218.605,488.505,229.129,471.93,10.524,16.575,174.4353,92.3815,37.1342,223.867,480.2175,0.6349,5,1,0,1,rgb,230,230,230,0,none,,,,0.0,108.3382,8.1018,108.6824,15.525,0.0,593.0,387.0,0.0,92.5559
hff,3,path,,UNLABELED,308.992,169.863,327.566,153.567,18.574,16.296,302.6824,124.7758,35.0091,318.279,161.715,1.1398,8,1,0,1,rgb,230,230,230,0,none,,,,0.0,139.8061,2.4736,106.822,14.9309,0.0,593.0,387.0,0.0,145.1012
hff,4,path,,UNLABELED,125.859,217.743,146.95,207.37,21.091,10.373,218.7767,62.7911,48.7606,136.4045,212.5565,2.0333,15,1,0,1,rgb,230,230,230,0,none,,,,0.0,161.9922,9.7543,160.8453,22.3271,0.0,593.0,387.0,0.0,87.0446
hff,5,path,,UNLABELED,308.533,149.599,331.492,134.08,22.959,15.519,356.3008,89.6989,38.4349,320.0125,141.8395,1.4794,12,1,0,1,rgb,230,230,230,0,none,,,,0.0,29.1719,6.404,159.9597,12.0783,0.0,593.0,387.0,0.0,144.2678
hff,6,path,,UNLABELED,126.861,209.186,136.577,194.79,9.716,14.396,139.8715,64.9595,32.1539,131.719,201.988,0.6749,6,1,0,1,rgb,230,230,230,0,none,,,,0.0,68.8238,5.8566,70.0334,12.2206,0.0,593.0,387.0,0.0,70.5491
hff,7,path,,UNLABELED,116.223,196.516,137.764,181.905,21.541,14.611,314.7355,108.4629,60.6148,126.9935,189.2105,1.4743,19,1,0,1,rgb,230,230,230,0,none,,,,0.0,149.9059,3.2611,159.5187,13.5495,0.0,593.0,387.0,0.0,180.6843
hff,8,path,,UNLABELED,54.091,229.855,63.866,214.035,9.775,15.82,154.6405,50.2461,35.3048,58.9785,221.945,0.6179,4,1,0,1,rgb,230,230,230,0,none,,,,0.0,115.6384,26.3624,115.8052,16.085,0.0,593.0,387.0,0.0,50.2461
hff,9,path,,UNLABELED,42.111,256.109,56.864,228.52,14.753,27.589,407.0203,141.352,70.3253,49.4875,242.3145,0.5347,15,1,0,1,rgb,230,230,230,0,none,,,,0.0,113.4374,11.8005,114.9007,19.8624,0.0,593.0,387.0,0.0,201.1775
hff,10,path,,UNLABELED,305.845,226.0,318.985,217.929,13.14,8.071,106.0532,26.173,29.4154,312.415,221.9645,1.628,12,1,0,1,rgb,230,230,230,0,none,,,,0.0,18.3477,4.5503,17.4696,9.497,0.0,593.0,387.0,0.0,55.2998
hff,11,path,,UNLABELED,308.674,197.178,321.957,168.561,13.283,28.617,380.1194,144.6925,62.7719,315.3155,182.8695,0.4642,9,1,0,1,rgb,230,230,230,0,none,,,,0.0,106.8964,18.2065,106.4421,13.132,0.0,593.0,387.0,0.0,153.9518
hff,12,path,,UNLABELED,60.983,215.374,69.166,206.191,8.183,9.183,75.1443,29.8057,22.787,65.0745,210.7825,0.8911,11,1,0,1,rgb,230,230,230,0,none,,,,0.0,130.9029,4.5277,24.9122,3.1788,0.0,593.0,387.0,0.0,33.9524
hff,13,path,,UNLABELED,136.551,184.654,291.115,128.521,154.564,56.133,8676.1401,475.8737,328.0336,213.833,156.5875,2.7535,4,1,0,1,rgb,230,230,230,0,none,,,,0.0,160.8152,3078.6126,160.838,162.637,0.0,593.0,387.0,0.0,475.8737
hff,14,path,,UNLABELED,38.851,263.846,46.217,255.506,7.366,8.34,61.4324,25.2762,20.616,42.534,259.676,0.8832,8,1,0,1,rgb,230,230,230,0,none,,,,0.0,135.9202,6.0605,144.5316,9.0443,0.0,593.0,387.0,0.0,26.5499
hff,15,path,,UNLABELED,54.554,248.432,60.608,241.107,6.054,7.325,44.3456,26.6461,16.7416,57.581,244.7695,0.8265,5,1,0,1,rgb,230,230,230,0,none,,,,0.0,66.8534,1.7766,70.6111,6.154,0.0,593.0,387.0,0.0,26.6461
hff,16,path,,UNLABELED,329.149,210.02,347.488,151.41,18.339,58.61,1074.8485,3.2118,124.4924,338.3185,180.715,0.3129,15,1,0,1,rgb,230,230,230,0,none,,,,0.0,87.5155,44.36,89.3566,48.088,0.0,593.0,387.0,0.0,453.243
hff,17,path,,UNLABELED,210.413,504.112,224.156,486.707,13.743,17.405,239.1968,106.1238,46.6715,217.2845,495.4095,0.7896,7,1,0,1,rgb,230,230,230,0,none,,,,0.0,85.5201,1.4607,106.7955,16.3035,0.0,593.0,387.0,0.0,120.7047
