airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
hhr,0,path,,UNLABELED,186.15,110.49,192.69,104.57,6.54,5.92,38.7168,19.8781,26.9162,189.42,107.53,1.1047,24,1,0,1,rgb,207,207,207,0,none,,,,0.0,15.0274,1.4862,93.2664,4.0366,0.0,594.0,387.36,0.0,35.6148
hhr,1,path,,UNLABELED,184.76,134.83,191.37,127.44,6.61,7.39,48.848,22.8371,31.1329,188.065,131.135,0.8945,37,1,0,1,rgb,207,207,207,0,none,,,,0.0,138.9593,1.7321,93.3557,3.0753,0.0,594.0,387.36,0.0,44.1014
hhr,2,path,,UNLABELED,182.02,182.93,188.62,175.85,6.6,7.08,46.728,20.6801,30.2529,185.32,179.39,0.9322,31,1,0,1,rgb,207,207,207,0,none,,,,0.0,154.879,1.593,93.3665,2.7247,0.0,594.0,387.36,0.0,41.6451
hhr,3,path,,UNLABELED,178.73,240.63,185.35,233.49,6.62,7.14,47.2669,20.8463,30.3828,182.04,237.06,0.9272,34,1,0,1,rgb,207,207,207,0,none,,,,0.0,44.1778,1.3411,93.3299,2.7547,0.0,594.0,387.36,0.0,41.9801
hhr,4,path,,UNLABELED,174.53,314.37,181.17,307.02,6.64,7.35,48.804,21.1547,31.045,177.85,310.695,0.9034,26,1,0,1,rgb,207,207,207,0,none,,,,0.0,8.4471,1.298,93.3786,2.7147,0.0,594.0,387.36,0.0,43.2722
hhr,5,path,,UNLABELED,192.7,104.8,200.9,97.83,8.2,6.97,57.154,51.2623,20.8935,196.8,101.315,1.1765,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,3.0623,1.4358,3.1554,7.8118,0.0,594.0,387.36,0.0,51.2623
hhr,6,path,,UNLABELED,168.85,494.45,178.84,487.52,9.99,6.93,69.2307,62.2564,24.3508,173.845,490.985,1.4416,5,1,0,1,rgb,207,207,207,0,none,,,,0.0,11.7645,2.1284,3.0686,9.7139,0.0,594.0,387.36,0.0,62.2564
hhr,7,path,,UNLABELED,163.77,394.07,192.02,93.21,28.25,300.86,8499.2946,2964.0904,695.4869,177.895,243.64,0.0939,87,1,0,1,rgb,207,207,207,0,none,,,,0.0,91.4496,220.0502,93.2499,66.6772,0.0,594.0,387.36,0.0,5421.2517
hhr,8,path,,UNLABELED,199.99,114.75,206.87,104.8,6.88,9.95,68.456,41.8494,33.8815,203.43,109.775,0.6915,21,1,0,1,rgb,207,207,207,0,none,,,,0.0,22.6764,1.3651,3.0794,6.3291,0.0,594.0,387.36,0.0,56.2835
hhr,9,path,,UNLABELED,198.63,138.78,205.61,127.11,6.98,11.67,81.4568,43.3732,40.0923,202.12,132.945,0.5981,43,1,0,1,rgb,207,207,207,0,none,,,,0.0,110.3144,3.79,93.2453,5.8294,0.0,594.0,387.36,0.0,68.7936
hhr,10,path,,UNLABELED,196.1,183.97,202.79,176.96,6.69,7.01,46.8969,20.4748,30.5337,199.445,180.465,0.9543,33,1,0,1,rgb,207,207,207,0,none,,,,0.0,163.4863,1.5319,93.2518,2.6442,0.0,594.0,387.36,0.0,42.2241
hhr,11,path,,UNLABELED,192.84,241.35,199.5,234.68,6.66,6.67,44.4223,20.134,29.5496,196.17,238.015,0.9985,27,1,0,1,rgb,207,207,207,0,none,,,,0.0,9.3388,1.7285,2.9789,2.6936,0.0,594.0,387.36,0.0,40.3046
hhr,12,path,,UNLABELED,188.56,316.9,195.4,306.65,6.84,10.25,70.11,40.1821,36.4785,191.98,311.775,0.6673,34,1,0,1,rgb,207,207,207,0,none,,,,0.0,103.757,2.02,93.2619,5.7994,0.0,594.0,387.36,0.0,61.3867
hhr,13,path,,UNLABELED,184.54,387.9,191.39,377.67,6.85,10.23,70.0755,40.4125,37.0347,187.965,382.785,0.6696,30,1,0,1,rgb,207,207,207,0,none,,,,0.0,102.2269,1.9014,93.1689,5.7889,0.0,594.0,387.36,0.0,62.4324
hhr,14,path,,UNLABELED,180.99,450.34,188.3,443.3,7.31,7.04,51.4624,24.5825,31.2942,184.645,446.82,1.0384,28,1,0,1,rgb,207,207,207,0,none,,,,0.0,17.6343,1.9644,3.2154,3.5656,0.0,594.0,387.36,0.0,46.658
hhr,15,path,,UNLABELED,178.84,488.48,186.71,476.64,7.87,11.84,93.1807,61.8073,40.4981,182.775,482.56,0.6647,18,1,0,1,rgb,207,207,207,0,none,,,,0.0,126.0262,1.2425,93.2453,7.7725,0.0,594.0,387.36,0.0,80.608
