airport,object_id,subpath_index,edge_index,mid_x,mid_y,angle,length
hky,0,0,0,41.93,178.02,124.5835,11.0288
hky,0,0,1,40.31,183.5,31.903,3.5574
hky,0,0,2,44.92,179.97,124.7418,10.8795
hky,1,0,0,140.645,208.0,172.6083,5.5965
hky,1,0,1,143.635,209.045,81.2999,2.8427
hky,1,0,2,141.04,210.775,173.4026,5.6575
hky,2,0,0,181.36,287.005,34.6662,341.4065
hky,2,0,1,322.515,382.985,124.1033,2.6931
hky,2,0,2,182.905,284.775,34.6729,341.3489
hky,3,0,0,200.345,297.31,124.6119,27.4113
hky,3,0,1,209.64,287.075,34.6853,3.6727
hky,3,0,2,203.335,299.435,124.6319,27.503
hky,4,0,0,182.295,310.14,124.2241,15.7708
hky,4,0,1,194.295,308.84,34.6064,18.3823
hky,4,0,2,197.39,320.51,124.7229,15.695
hky,5,0,0,333.575,386.155,6.4629,18.568
hky,5,0,1,343.375,385.65,110.3532,3.3064
hky,5,0,2,334.26,383.09,5.9505,19.485
hky,6,0,0,162.23,333.27,81.8521,246.1043
hky,6,0,1,181.145,454.86,171.5167,2.9826
hky,6,0,2,165.145,332.83,81.836,246.1142
hky,7,0,0,279.175,343.14,124.6979,13.4036
hky,7,0,1,284.47,338.635,34.1786,3.5779
hky,7,0,2,282.13,345.155,124.7086,13.4175
hky,8,0,0,167.01,366.75,171.6341,13.059
hky,8,0,1,173.255,364.505,80.5738,2.6255
hky,8,0,2,166.615,364.075,172.3323,12.9659
hky,9,0,0,182.575,407.895,172.8134,8.0734
hky,9,0,1,185.935,402.81,81.9838,9.2504
hky,9,0,2,186.98,398.01,172.5831,3.4085
hky,9,0,3,187.085,387.02,81.628,21.772
hky,9,0,4,188.705,375.78,171.6573,6.4786
hky,9,0,5,191.84,375.345,153.4374,0.1565
hky,9,0,6,192.42,375.31,173.8534,1.3075
hky,9,0,7,192.565,371.13,82.9952,8.2818
hky,9,0,8,188.095,367.565,172.1736,8.0046
hky,9,0,9,183.195,361.695,81.7074,12.9655
hky,9,0,10,186.225,354.74,172.2445,8.0032
hky,9,0,11,190.01,353.01,81.3986,2.4071
hky,9,0,12,189.275,350.955,57.3149,2.0555
hky,9,0,13,188.255,348.6,72.6681,3.1218
hky,9,0,14,187.74,346.2,86.8548,1.8227
hky,9,0,15,185.765,345.455,175.1009,3.8641
hky,9,0,16,176.89,346.665,171.4491,14.0563
hky,10,0,0,38.45,183.505,105.8686,2.048
hky,10,0,1,38.275,185.58,84.4976,2.1901
hky,10,0,2,38.885,187.645,62.6183,2.1961
hky,10,0,3,40.155,189.29,41.2124,2.0338
hky,10,0,4,41.75,188.795,125.4676,2.8609
hky,10,0,5,42.265,187.33,43.6018,0.87
hky,10,0,6,41.76,186.61,65.6588,0.922
hky,10,0,7,41.56,185.725,88.768,0.9302
hky,10,0,8,41.7,184.855,110.3231,0.8638
hky,10,0,9,40.29,183.485,31.7404,3.6687
hky,11,0,0,50.78,177.645,23.1529,1.6531
hky,11,0,1,49.12,177.325,179.6824,1.8
hky,11,0,2,47.385,177.705,155.815,1.8307
hky,11,0,3,46.225,178.37,138.2565,0.8712
hky,11,0,4,45.765,178.825,129.2906,0.4264
hky,11,0,5,45.515,179.155,124.8739,0.4023
hky,11,0,6,45.375,179.32,0.0,0.05
hky,11,0,7,46.685,177.41,124.9517,4.6606
hky,11,0,8,49.78,176.735,35.0575,4.3002
hky,12,0,0,51.56,177.98,26.5519,0.0447
hky,12,0,1,51.585,177.995,45.0328,0.0141
hky,12,0,2,51.6,178.005,26.5869,0.0224
hky,12,0,3,51.615,178.015,44.9344,0.0141
hky,12,0,4,51.58,177.995,31.9985,0.0943
hky,13,0,0,205.26,296.595,125.0956,0.4522
hky,13,0,1,205.38,296.41,0.0,0.02
hky,13,0,2,205.31,296.5,123.6934,0.2163
hky,13,0,3,205.19,296.685,122.2743,0.2247
hky,14,0,0,202.635,300.39,124.6498,8.7766
hky,14,0,1,200.66,303.575,140.7406,1.3432
hky,14,0,2,201.865,302.94,162.9567,1.4329
hky,14,0,3,203.245,302.795,5.342,1.3961
hky,14,0,4,204.51,303.145,26.5654,1.2746
hky,14,0,5,205.78,302.25,120.6776,2.744
hky,14,0,6,205.975,300.67,38.3824,1.2885
hky,14,0,7,205.15,299.635,63.2546,1.4221
hky,14,0,8,204.805,298.415,87.5528,1.1711
hky,14,0,9,204.955,297.305,108.4354,1.1068
hky,15,0,0,197.315,301.68,124.6227,0.5104
hky,15,0,1,197.175,301.905,71.5738,0.0316
hky,15,0,2,197.215,301.87,124.9873,0.1221
hky,15,0,3,197.29,301.765,126.0241,0.136
hky,15,0,4,197.395,301.59,118.4448,0.2729
hky,16,0,0,199.985,297.825,124.7115,8.8683
hky,16,0,1,202.47,294.19,165.9509,0.0825
hky,16,0,2,201.92,294.63,139.8651,1.3342
hky,16,0,3,200.725,295.285,161.8158,1.442
hky,16,0,4,199.325,295.45,4.7966,1.435
hky,16,0,5,198.015,295.085,27.1408,1.3372
hky,16,0,6,196.755,295.99,118.7925,2.7614
hky,16,0,7,196.6,297.61,38.7961,1.3087
hky,16,0,8,197.425,298.665,63.9704,1.4356
hky,16,0,9,197.765,299.88,87.4885,1.1411
hky,16,0,10,197.625,300.96,107.9282,1.072
hky,17,0,0,206.025,284.75,53.6729,1.266
hky,17,0,1,206.58,285.905,74.4073,1.3393
hky,17,0,2,206.695,287.21,95.6248,1.3264
hky,17,0,3,206.36,288.42,116.1464,1.2254
hky,17,0,4,207.525,290.085,37.8471,3.6345
hky,17,0,5,209.38,290.65,127.3664,1.3841
hky,17,0,6,210.48,289.75,152.7655,1.5296
hky,17,0,7,211.79,289.37,177.2738,1.2614
hky,17,0,8,212.98,289.525,18.2812,1.1795
hky,17,0,9,209.595,286.975,34.7329,9.6007
hky,18,0,0,213.75,289.855,34.6251,0.5104
hky,18,0,1,213.955,289.985,71.5738,0.0316
hky,18,0,2,213.85,289.9,34.9952,0.2441
hky,18,0,3,213.645,289.77,29.7431,0.2419
hky,19,0,0,205.57,284.175,39.0943,0.2062
hky,19,0,1,205.41,284.045,39.0943,0.2062
hky,19,0,2,205.325,284.0,104.026,0.0412
hky,19,0,3,205.485,284.13,33.6901,0.3966
hky,20,0,0,198.375,311.47,47.6977,1.3521
hky,20,0,1,197.665,310.285,69.5817,1.4618
hky,20,0,2,197.435,308.875,91.975,1.4509
hky,20,0,3,197.735,307.53,113.9193,1.3565
hky,20,0,4,196.595,305.85,36.8376,3.536
hky,20,0,5,194.765,305.305,128.8628,1.3228
hky,20,0,6,193.705,306.16,152.2053,1.4583
hky,20,0,7,192.325,306.535,177.2734,1.4717
hky,20,0,8,190.955,306.33,20.7048,1.3577
hky,20,0,9,194.575,309.03,34.6426,10.3438
hky,21,0,0,272.73,346.86,34.8756,0.8045
hky,21,0,1,272.355,346.635,173.6534,0.0906
hky,21,0,2,272.485,346.76,34.4374,0.4244
hky,21,0,3,272.86,346.985,27.7006,0.4518
hky,22,0,0,277.055,349.89,35.0258,9.757
hky,22,0,1,281.035,352.655,66.8044,0.0762
hky,22,0,2,280.575,352.115,48.6142,1.3462
hky,22,0,3,279.895,350.92,71.1922,1.4578
hky,22,0,4,279.715,349.505,94.3377,1.4542
hky,22,0,5,280.075,348.18,116.9464,1.3461
hky,22,0,6,278.95,346.53,36.2885,3.5482
hky,22,0,7,277.075,346.045,128.2237,1.4384
hky,22,0,8,275.91,346.96,154.0752,1.6011
hky,22,0,9,274.635,347.34,176.9061,1.1116
hky,22,0,10,273.57,347.23,15.3502,1.0577
hky,23,0,0,280.115,335.555,71.5476,0.0316
hky,23,0,1,280.585,336.05,45.9094,1.3366
hky,23,0,2,281.315,337.2,68.4201,1.441
hky,23,0,3,281.56,338.59,91.5915,1.4406
hky,23,0,4,281.27,339.92,113.8744,1.3342
hky,23,0,5,282.39,341.605,37.7176,3.5144
hky,23,0,6,284.22,342.15,129.6983,1.3777
hky,23,0,7,285.345,341.285,153.9395,1.5251
hky,23,0,8,286.79,340.96,0.7534,1.5201
hky,23,0,9,288.175,341.265,25.2677,1.3822
hky,23,0,10,288.85,341.54,158.1956,0.1077
hky,23,0,11,284.505,338.53,34.2281,10.6313
hky,24,0,0,341.86,383.63,163.1785,1.7969
hky,24,0,1,343.25,382.65,126.3571,1.7881
hky,24,0,2,343.78,381.035,90.0,1.79
hky,24,0,3,343.24,379.42,53.1305,1.8
hky,24,0,4,342.715,378.7,0.0,0.03
hky,24,0,5,345.36,380.5,34.3883,6.374
hky,24,0,6,346.765,384.175,123.1577,4.4794
hky,24,0,7,343.27,384.97,25.4437,5.0277
hky,25,0,0,323.095,384.605,20.7203,2.8547
hky,25,0,1,324.5,383.595,92.6451,3.0332
hky,25,0,2,324.245,382.08,0.0,0.65
hky,25,0,3,323.595,381.975,17.9039,0.6831
hky,25,0,4,322.405,382.84,131.7252,2.5993
hky,25,0,5,321.65,383.955,52.8145,0.364
hky,26,0,0,144.635,211.385,56.9566,1.2287
hky,26,0,1,143.72,210.645,21.2033,1.2442
hky,26,0,2,143.285,209.01,95.8717,2.8348
hky,26,0,3,144.135,207.775,13.9398,1.4528
hky,26,0,4,145.485,208.345,31.4835,1.5127
hky,26,0,5,146.63,209.32,49.2365,1.5315
hky,26,0,6,147.42,210.565,66.4382,1.451
hky,26,0,7,146.34,211.565,166.2591,2.8207
hky,27,0,0,141.135,210.675,45.0,0.0424
hky,27,0,1,140.635,210.895,158.2944,1.1086
hky,27,0,2,139.685,211.505,137.0453,1.1887
hky,27,0,3,139.0,212.445,115.0461,1.1811
hky,27,0,4,138.71,213.53,94.1597,1.1029
hky,27,0,5,138.67,214.1,90.0,0.04
hky,27,0,6,138.45,212.57,81.9216,3.1311
hky,27,0,7,139.675,210.84,172.8997,2.9123
hky,28,0,0,156.45,250.315,31.4272,0.2109
hky,28,0,1,156.26,250.21,26.5651,0.2236
hky,28,0,2,155.945,250.1,15.5925,0.4464
hky,28,0,3,155.245,250.065,177.0499,0.9713
hky,28,0,4,154.34,250.335,149.744,0.9725
hky,28,0,5,153.68,250.945,123.3265,0.8737
hky,28,0,6,153.04,249.505,77.505,3.6976
hky,28,0,7,153.52,248.3,34.2872,2.1302
hky,28,0,8,155.47,249.635,34.4858,2.5962
hky,30,0,0,149.27,245.365,34.0195,2.413
hky,30,0,1,150.125,246.835,100.3363,1.6162
hky,30,0,2,149.125,246.16,59.8162,3.4011
hky,31,0,0,145.46,257.525,52.8719,2.22
hky,31,0,1,147.21,258.66,13.0333,2.2171
hky,31,0,2,148.815,258.75,163.052,1.0977
hky,31,0,3,149.805,258.24,143.031,1.164
hky,31,0,4,150.585,257.4,122.7351,1.165
hky,31,0,5,151.015,256.375,102.1314,1.0944
hky,31,0,6,151.385,256.92,76.7147,2.2194
hky,31,0,7,149.44,259.085,153.7482,4.906
hky,31,0,8,146.195,259.59,29.0314,2.3903
hky,31,0,9,144.97,257.825,81.3628,2.3972
hky,32,0,0,146.45,234.495,34.5412,5.4145
hky,32,0,1,148.23,233.585,79.5714,4.9721
hky,32,0,2,147.585,231.505,118.1128,0.8277
hky,32,0,3,147.125,232.145,133.9397,0.7638
hky,32,0,4,146.37,232.68,152.048,1.1094
hky,32,0,5,145.28,232.995,174.7632,1.205
hky,32,0,6,144.56,233.03,9.4641,0.2433
hky,32,0,7,144.33,232.985,12.8012,0.2256
hky,33,0,0,147.86,230.775,102.3626,0.7473
hky,33,0,1,147.865,229.81,82.8744,1.2093
hky,33,0,2,147.515,228.73,60.192,1.1064
hky,33,0,3,147.51,229.695,79.4164,2.94
hky,34,0,0,143.57,232.51,34.6949,1.5811
hky,34,0,1,142.81,231.99,32.4738,0.2608
hky,34,0,2,143.02,232.23,44.0904,0.8911
hky,34,0,3,143.78,232.75,25.5145,0.9751
hky,35,0,0,133.3,250.55,45.0,0.0848
hky,35,0,1,133.695,250.68,20.6305,0.9082
hky,35,0,2,134.625,250.795,174.9081,1.014
hky,35,0,3,135.55,250.465,145.8398,1.0151
hky,35,0,4,136.2,249.79,120.5301,0.9055
hky,35,0,5,136.685,251.29,82.3161,3.8142
hky,35,0,6,135.135,251.88,35.7623,4.4488
hky,36,0,0,137.58,262.75,114.6871,2.7295
hky,36,0,1,138.3,262.53,81.6341,2.0619
hky,36,0,2,137.73,263.77,163.0091,1.5057
hky,37,0,0,139.86,273.485,82.0178,2.7365
hky,37,0,1,138.505,272.765,151.407,2.6536
hky,37,0,2,138.005,273.425,2.1524,1.3309
hky,37,0,3,139.09,273.715,32.251,0.9933
hky,37,0,4,139.78,274.41,57.8749,1.0155
hky,38,0,0,136.865,273.66,151.3055,1.083
hky,38,0,1,136.865,273.66,151.3055,1.083
hky,39,0,0,140.08,275.035,81.2545,0.3946
hky,39,0,1,140.13,275.235,14.0054,0.0412
hky,39,0,2,140.13,275.14,78.6867,0.2039
hky,39,0,3,140.08,274.94,73.3024,0.2088
hky,40,0,0,153.15,268.63,87.9752,3.9625
hky,40,0,1,149.87,268.055,156.3613,7.008
hky,40,0,2,146.87,270.96,82.0304,3.0293
hky,40,0,3,147.435,271.415,108.7635,2.2073
hky,40,0,4,148.215,270.005,139.3425,1.1204
hky,40,0,5,149.115,269.45,158.1983,1.0232
hky,40,0,6,150.2,269.245,178.5914,1.2204
hky,40,0,7,151.43,269.475,21.5615,1.3333
hky,40,0,8,152.515,270.195,45.6101,1.3294
hky,40,0,9,153.2,271.24,68.8953,1.222
hky,40,0,10,153.43,271.825,56.3032,0.0361
hky,40,0,11,153.33,271.225,79.8592,1.2495
hky,41,0,0,157.46,269.905,38.842,4.4166
hky,41,0,1,156.125,270.745,80.183,4.5161
hky,41,0,2,156.6,272.46,100.0077,1.0357
hky,41,0,3,157.045,271.59,134.5996,1.0112
hky,41,0,4,157.84,271.12,165.9638,0.9071
hky,41,0,5,158.73,271.15,17.2815,0.9425
hky,42,0,0,174.48,262.765,90.0,0.01
hky,42,0,1,173.345,262.2,26.6662,2.5402
hky,42,0,2,170.93,261.37,11.4818,2.6123
hky,42,0,3,168.34,261.195,176.2879,2.6255
hky,42,0,4,165.835,261.685,161.2779,2.5235
hky,42,0,5,167.035,260.695,149.7809,5.5433
hky,42,0,6,171.955,261.03,34.4169,6.1216
hky,43,0,0,159.04,265.335,120.5538,2.636
