airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
huf,0,path,,UNLABELED,21.93,175.64,49.82,148.34,27.89,27.3,761.3966,202.1928,72.0108,35.875,161.99,1.0216,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,43.7638,28.6299,43.5645,33.0252,0.0,594.0,387.36,0.0,202.1928
huf,1,path,,UNLABELED,49.82,326.13,251.59,148.77,201.77,177.36,35785.9312,894.5307,647.2784,150.705,237.45,1.1376,38,1,0,1,rgb,207,207,207,0,none,,,,0.0,39.2906,114.9677,43.1162,196.1726,0.0,594.0,387.36,0.0,6070.9389
huf,2,path,,UNLABELED,176.5,439.87,304.97,363.82,128.47,76.05,9770.144,2026.6446,705.0129,240.735,401.845,1.6893,62,1,0,1,rgb,207,207,207,0,none,,,,0.0,171.6727,2.7235,133.9784,44.8165,0.0,594.0,387.36,0.0,6803.713
huf,3,path,,UNLABELED,179.05,361.12,213.59,328.15,34.54,32.97,1138.7847,76.4431,95.5035,196.32,344.635,1.0476,5,1,0,1,rgb,207,207,207,0,none,,,,0.0,43.2234,785.9338,43.5069,46.1332,0.0,594.0,387.36,0.0,76.4431
huf,4,path,,UNLABELED,149.04,406.87,180.13,291.08,31.09,115.79,3599.9109,256.3439,313.6411,164.585,348.975,0.2685,81,1,0,1,rgb,207,207,207,0,none,,,,0.0,95.3737,45.1754,90.3275,26.2404,0.0,594.0,387.36,0.0,2066.2923
huf,5,path,,UNLABELED,170.01,416.74,222.84,389.85,52.83,26.89,1420.5987,239.3428,137.8027,196.425,403.295,1.9647,27,1,0,1,rgb,207,207,207,0,none,,,,0.0,163.5983,10.4215,133.9631,31.2592,0.0,594.0,387.36,0.0,538.4943
huf,6,path,,UNLABELED,170.16,292.1,190.74,270.52,20.58,21.58,444.1168,79.7451,65.9362,180.45,281.31,0.9537,23,1,0,1,rgb,207,207,207,0,none,,,,0.0,136.4716,5.186,42.8986,13.6917,0.0,594.0,387.36,0.0,196.43
huf,7,path,,UNLABELED,150.68,341.42,159.79,327.1,9.11,14.32,130.4553,70.807,72.2415,155.235,334.26,0.6362,14,1,0,1,rgb,207,207,207,0,none,,,,0.0,105.4663,4.9421,90.0,14.32,0.0,594.0,387.36,0.0,114.467
huf,8,path,,UNLABELED,124.11,324.8,155.02,304.62,30.91,20.18,623.7646,232.1812,149.2482,139.565,314.71,1.5317,22,1,0,1,rgb,207,207,207,0,none,,,,0.0,16.7254,4.0938,1.0846,26.9448,0.0,594.0,387.36,0.0,464.049
huf,9,path,,UNLABELED,124.04,324.39,130.98,306.87,6.94,17.52,121.5886,62.2139,30.77,127.51,315.63,0.3961,10,1,0,1,rgb,207,207,207,0,none,,,,0.0,87.7916,4.5721,89.3795,5.5403,0.0,594.0,387.36,0.0,88.8948
huf,10,path,,UNLABELED,269.13,376.41,310.55,324.58,41.42,51.83,2146.7987,619.4971,180.4804,289.84,350.495,0.7992,36,1,0,1,rgb,207,207,207,0,none,,,,0.0,122.1508,9.4262,90.0,21.0,0.0,594.0,387.36,0.0,1025.1446
